,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2020-01-17 00:00:00,6.2,6.28,4.7,5.0,60929,2020
1,2020-01-20 00:00:00,5.0,5.0,4.35,4.8,21965,2020
2,2020-01-21 00:00:00,4.8,4.8,4.4,4.405,10365,2020
3,2020-01-22 00:00:00,4.405,4.58,4.35,4.36,4898,2020
4,2020-01-23 00:00:00,4.36,4.559,4.25,4.25,8882,2020
5,2020-01-24 00:00:00,4.3,4.3,4.122,4.25,5536,2020
6,2020-01-27 00:00:00,4.15,4.33,4.01,4.03,5832,2020
7,2020-01-28 00:00:00,4.03,4.26,4.01,4.18,2948,2020
8,2020-01-29 00:00:00,4.14,4.15,3.75,4.15,6850,2020
9,2020-01-30 00:00:00,3.85,4.08,3.85,3.8710000000000004,1723,2020
10,2020-01-31 00:00:00,3.87,3.87,3.75,3.85,3017,2020
11,2020-02-03 00:00:00,3.84,3.84,3.5,3.77,1786,2020
12,2020-02-04 00:00:00,3.9960000000000004,3.9960000000000004,3.65,3.79,3929,2020
13,2020-02-05 00:00:00,3.66,3.798,3.5660000000000003,3.64,5080,2020
14,2020-02-06 00:00:00,3.64,3.995,3.64,3.947,9474,2020
15,2020-02-07 00:00:00,3.95,3.96,3.852,3.852,1780,2020
16,2020-02-10 00:00:00,3.92,4.59,3.92,4.59,8522,2020
17,2020-02-11 00:00:00,4.59,5.28,4.59,5.0,43102,2020
18,2020-02-12 00:00:00,5.04,5.35,4.8,5.2,31392,2020
19,2020-02-13 00:00:00,5.19,5.3,4.8,5.24,10484,2020
20,2020-02-14 00:00:00,5.25,5.25,4.95,5.2,5436,2020
21,2020-02-17 00:00:00,5.25,5.38,5.1,5.3,6678,2020
22,2020-02-18 00:00:00,5.23,6.3,5.22,6.3,66739,2020
23,2020-02-19 00:00:00,6.8,7.4,6.6,6.6,69887,2020
24,2020-02-20 00:00:00,6.7,7.3,6.7,6.99,17386,2020
25,2020-02-21 00:00:00,6.73,6.86,6.51,6.75,5714,2020
