,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2015-07-09 00:00:00,0.3784,0.3784,0.3784,0.3784,92045,2015
1,2015-07-16 00:00:00,0.5896,0.7040000000000001,0.5896,0.7040000000000001,74901,2015
2,2015-07-17 00:00:00,0.8272,0.8272,0.5368,0.5544,49898,2015
3,2015-07-20 00:00:00,0.5896,0.6248,0.528,0.616,27226,2015
4,2015-07-21 00:00:00,0.6072,0.6336,0.528,0.6336,18286,2015
5,2015-07-22 00:00:00,0.66,0.7040000000000001,0.5984,0.7040000000000001,2877,2015
6,2015-07-23 00:00:00,0.7216,0.8624,0.7128,0.8624,16114,2015
7,2015-07-24 00:00:00,1.0296,1.232,0.8624,1.1704,53415,2015
8,2015-07-27 00:00:00,1.276,1.3552,1.0208,1.056,36380,2015
9,2015-07-28 00:00:00,0.9768,1.1616,0.7832,1.1616,25094,2015
10,2015-07-29 00:00:00,1.1792,1.188,0.9504,1.012,22250,2015
11,2015-07-30 00:00:00,1.012,1.1,0.8448,0.9856,17873,2015
12,2015-07-31 00:00:00,0.8712,0.9856,0.836,0.9416,5072,2015
13,2015-08-03 00:00:00,0.8448,0.924,0.7656,0.792,21727,2015
14,2015-08-04 00:00:00,0.8448,0.8448,0.836,0.836,1739,2015
15,2015-08-05 00:00:00,0.836,0.836,0.792,0.792,2307,2015
16,2015-08-06 00:00:00,0.7832,0.968,0.7832,0.968,11791,2015
17,2015-08-07 00:00:00,0.968,1.012,0.88,0.88,3632,2015
18,2015-08-10 00:00:00,0.88,0.924,0.88,0.88,1060,2015
19,2015-08-11 00:00:00,0.792,0.9152,0.792,0.9152,2419,2015
20,2015-08-12 00:00:00,0.8712,0.8712,0.8008,0.8008,1511,2015
21,2015-08-13 00:00:00,0.8008,0.9152,0.792,0.9152,675,2015
22,2015-08-14 00:00:00,0.88,0.968,0.88,0.968,5009,2015
23,2015-08-17 00:00:00,1.0384,1.0384,1.0384,1.0384,11,2015
24,2015-08-18 00:00:00,0.8624,0.8624,0.8624,0.8624,284,2015
25,2015-08-19 00:00:00,0.88,0.9592,0.88,0.9592,870,2015
26,2015-08-20 00:00:00,0.9592,0.968,0.9592,0.968,852,2015
27,2015-08-21 00:00:00,0.9592,1.056,0.88,1.0296,9849,2015
28,2015-08-24 00:00:00,0.8536,0.968,0.836,0.968,4183,2015
29,2015-08-25 00:00:00,0.9416,0.968,0.9416,0.968,5330,2015
30,2015-08-26 00:00:00,0.9592,0.968,0.9592,0.968,5000,2015
31,2015-08-27 00:00:00,1.056,1.0824,1.056,1.0736,9519,2015
32,2015-08-28 00:00:00,1.1440000000000001,1.364,1.1,1.276,20972,2015
33,2015-08-31 00:00:00,1.3464,1.6016,1.3464,1.584,16598,2015
34,2015-09-01 00:00:00,1.892,1.892,1.6280000000000001,1.6280000000000001,12356,2015
35,2015-09-02 00:00:00,1.6280000000000001,1.9536,1.6280000000000001,1.9536,20684,2015
36,2015-09-03 00:00:00,2.2792,2.4992,1.9888,2.4552,5028,2015
37,2015-09-04 00:00:00,2.5344,2.5344,2.0328,2.2,7651,2015
38,2015-09-07 00:00:00,2.112,2.42,1.9448,2.3584,12025,2015
39,2015-09-08 00:00:00,2.244,2.4464,1.936,2.112,4963,2015
40,2015-09-09 00:00:00,2.112,2.2,1.6896,1.6896,8197,2015
41,2015-09-10 00:00:00,1.8744,2.244,1.54,2.244,10836,2015
42,2015-09-11 00:00:00,2.464,2.464,1.9712,2.2,974,2015
43,2015-09-14 00:00:00,2.1912,2.596,1.76,2.376,4735,2015
44,2015-09-15 00:00:00,2.64,2.64,2.3408,2.3408,94,2015
