,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2007-09-27 00:00:00,1.2116,1.3027,1.1269,1.1595,1278360,2007
1,2007-09-28 00:00:00,1.1334,1.2898,1.1008,1.2571,596827,2007
2,2007-10-01 00:00:00,1.2832,1.4004,1.2376,1.4004,269873,2007
3,2007-10-02 00:00:00,1.4395,1.7261,1.4395,1.6219999999999999,733264,2007
4,2007-10-03 00:00:00,1.6676,1.7131,1.5438,1.5764,407335,2007
5,2007-10-04 00:00:00,1.5764,1.6155,1.4983,1.5764,179369,2007
6,2007-10-05 00:00:00,1.5764,1.5764,1.4591,1.5438,86062,2007
7,2007-10-08 00:00:00,1.5764,1.5894,1.4983,1.5113,81652,2007
8,2007-10-09 00:00:00,1.5113,1.5113,1.3939,1.4786,131230,2007
9,2007-10-10 00:00:00,1.4461,1.4723,1.3223,1.3548,169732,2007
10,2007-10-11 00:00:00,1.3548,1.3548,1.2964,1.3223,48809,2007
11,2007-10-12 00:00:00,1.3223,1.3223,1.2441,1.3223,89858,2007
12,2007-10-15 00:00:00,1.3484,1.3484,1.2376,1.2767,64470,2007
13,2007-10-16 00:00:00,1.2571,1.3613,1.2311,1.3223,93198,2007
14,2007-10-17 00:00:00,1.2898,1.3159,1.2571,1.2767,31209,2007
15,2007-10-18 00:00:00,1.2637,1.2637,1.2376,1.2376,24663,2007
16,2007-10-19 00:00:00,1.2376,1.2702,1.2246,1.2571,38371,2007
17,2007-10-22 00:00:00,1.2571,1.2571,1.2116,1.2505,37921,2007
18,2007-10-23 00:00:00,1.2505,1.2832,1.2246,1.2505,50981,2007
19,2007-10-24 00:00:00,1.2571,1.2571,1.2505,1.2505,1920,2007
20,2007-10-25 00:00:00,1.2832,1.3288,1.2571,1.2702,73160,2007
21,2007-10-26 00:00:00,1.2702,1.4134,1.2702,1.3223,94406,2007
22,2007-10-29 00:00:00,1.3548,1.3874,1.3353,1.3353,11202,2007
23,2007-10-30 00:00:00,1.3679,1.3679,1.2964,1.2964,7045,2007
24,2007-10-31 00:00:00,1.3159,1.4134,1.3159,1.4134,72656,2007
25,2007-11-02 00:00:00,1.3548,1.3874,1.3223,1.3874,18703,2007
26,2007-11-05 00:00:00,1.3874,1.4004,1.3353,1.4004,22219,2007
27,2007-11-06 00:00:00,1.3874,1.4004,1.3548,1.3679,21019,2007
28,2007-11-07 00:00:00,1.3679,1.3679,1.2246,1.2571,36198,2007
29,2007-11-08 00:00:00,1.2571,1.2571,1.205,1.2441,62238,2007
30,2007-11-09 00:00:00,1.2571,1.2898,1.2505,1.2767,9499,2007
31,2007-11-12 00:00:00,1.2441,1.3288,1.2116,1.2767,53878,2007
32,2007-11-13 00:00:00,1.2571,1.2571,1.2116,1.2505,24686,2007
33,2007-11-14 00:00:00,1.2311,1.2311,1.2311,1.2311,21,2007
34,2007-11-15 00:00:00,1.2311,1.2311,1.153,1.153,53662,2007
35,2007-11-16 00:00:00,1.153,1.153,1.1074,1.1465,59575,2007
36,2007-11-19 00:00:00,1.1465,1.153,1.1204,1.1204,18651,2007
37,2007-11-20 00:00:00,1.1139,1.1139,0.9837,1.0487,41020,2007
38,2007-11-21 00:00:00,1.0682,1.0682,1.0226,1.0682,9210,2007
39,2007-11-22 00:00:00,1.0421,1.0879,0.9575,1.0879,63520,2007
40,2007-11-23 00:00:00,1.0682,1.0748,1.0421,1.0748,15390,2007
41,2007-11-26 00:00:00,1.0879,1.14,1.0879,1.1008,14667,2007
42,2007-11-27 00:00:00,1.0748,1.1465,1.0553,1.1008,48005,2007
43,2007-11-28 00:00:00,1.2505,1.2505,1.1726,1.2116,38445,2007
44,2007-11-29 00:00:00,1.2311,1.2505,1.2246,1.2246,10043,2007
45,2007-11-30 00:00:00,1.2702,1.3159,1.2571,1.2964,43548,2007
46,2007-12-03 00:00:00,1.3288,1.3679,1.2571,1.3679,38595,2007
47,2007-12-04 00:00:00,1.3744,1.3874,1.3418,1.3744,19454,2007
48,2007-12-05 00:00:00,1.3679,1.3809,1.2964,1.3809,22511,2007
49,2007-12-06 00:00:00,1.4917,1.6219999999999999,1.4917,1.5894,283985,2007
50,2007-12-07 00:00:00,1.6545,1.9542,1.6219999999999999,1.7001,247495,2007
51,2007-12-10 00:00:00,1.7587,1.7783,1.7131,1.7718,162230,2007
52,2007-12-11 00:00:00,1.7783,1.7783,1.6285,1.7587,111617,2007
53,2007-12-12 00:00:00,1.7131,1.7913,1.5764,1.6545,52669,2007
54,2007-12-13 00:00:00,1.6676,1.7001,1.5764,1.6611,79591,2007
55,2007-12-14 00:00:00,1.7652,1.7783,1.5764,1.6676,61025,2007
