,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2019-02-14 00:00:00,2.85,2.85,1.82,2.38,572183,2019
1,2019-02-15 00:00:00,2.5,3.34,2.5,2.73,495926,2019
2,2019-02-18 00:00:00,2.69,2.69,1.92,2.07,480943,2019
3,2019-02-19 00:00:00,2.19,2.19,1.82,1.83,175358,2019
4,2019-02-20 00:00:00,1.8,2.0,1.76,1.92,211600,2019
5,2019-02-21 00:00:00,1.86,1.92,1.84,1.9,35575,2019
6,2019-02-22 00:00:00,1.9,1.98,1.78,1.86,123766,2019
7,2019-02-25 00:00:00,1.79,1.85,1.7,1.72,228942,2019
8,2019-02-26 00:00:00,1.7,1.8,1.7,1.79,129773,2019
9,2019-02-27 00:00:00,1.79,1.83,1.7,1.75,109808,2019
10,2019-02-28 00:00:00,1.75,1.79,1.71,1.78,67876,2019
11,2019-03-01 00:00:00,1.78,1.96,1.73,1.87,89273,2019
12,2019-03-04 00:00:00,1.87,2.19,1.85,2.07,227747,2019
13,2019-03-05 00:00:00,2.06,2.49,2.02,2.38,339625,2019
14,2019-03-06 00:00:00,2.42,2.78,2.42,2.78,244413,2019
15,2019-03-07 00:00:00,2.8,2.84,2.5,2.55,137400,2019
16,2019-03-08 00:00:00,2.6,2.6,2.28,2.55,57274,2019
17,2019-03-11 00:00:00,2.549,2.55,2.3,2.4,108576,2019
18,2019-03-12 00:00:00,2.399,2.438,2.205,2.28,124512,2019
19,2019-03-13 00:00:00,2.283,2.43,2.2,2.4,89127,2019
20,2019-03-14 00:00:00,2.4,2.48,2.31,2.37,85585,2019
21,2019-03-15 00:00:00,2.4,2.52,2.25,2.43,172320,2019
22,2019-03-18 00:00:00,2.45,2.56,2.215,2.31,209290,2019
23,2019-03-19 00:00:00,2.3,2.37,2.3,2.37,99095,2019
24,2019-03-20 00:00:00,2.37,2.44,2.35,2.42,20598,2019
25,2019-03-21 00:00:00,2.49,2.49,2.35,2.43,28307,2019
26,2019-03-22 00:00:00,2.469,2.52,2.4,2.5,93769,2019
27,2019-03-25 00:00:00,2.5,2.52,2.4,2.46,27291,2019
28,2019-03-26 00:00:00,2.465,2.465,2.395,2.44,24533,2019
29,2019-03-27 00:00:00,2.44,2.44,2.31,2.38,40578,2019
30,2019-03-28 00:00:00,2.41,2.45,2.3,2.45,43439,2019
31,2019-03-29 00:00:00,2.38,2.498,2.38,2.45,31750,2019
32,2019-04-01 00:00:00,2.479,2.6,2.451,2.58,74284,2019
33,2019-04-02 00:00:00,2.59,2.78,2.5380000000000003,2.54,195929,2019
34,2019-04-03 00:00:00,2.65,2.678,2.48,2.56,257427,2019
35,2019-04-04 00:00:00,2.608,2.68,2.57,2.59,59417,2019
36,2019-04-05 00:00:00,2.7,2.86,2.6,2.84,107530,2019
37,2019-04-08 00:00:00,2.83,2.93,2.714,2.92,133320,2019
38,2019-04-09 00:00:00,2.9,2.9,2.805,2.81,210286,2019
39,2019-04-10 00:00:00,2.82,2.87,2.79,2.79,22091,2019
40,2019-04-11 00:00:00,2.84,2.84,2.72,2.72,174102,2019
41,2019-04-12 00:00:00,2.71,2.85,2.51,2.8,301321,2019
42,2019-04-15 00:00:00,2.79,2.8,2.657,2.8,5825,2019
43,2019-04-16 00:00:00,2.8,2.8,2.65,2.8,20827,2019
44,2019-04-17 00:00:00,2.7,2.8,2.6239999999999997,2.8,36346,2019
45,2019-04-18 00:00:00,2.75,2.7889999999999997,2.668,2.79,14228,2019
46,2019-04-23 00:00:00,2.7,2.7845,2.7,2.78,12480,2019
47,2019-04-24 00:00:00,2.6839999999999997,2.77,2.65,2.77,45840,2019
48,2019-04-25 00:00:00,2.7460000000000004,2.77,2.68,2.77,30352,2019
49,2019-04-26 00:00:00,2.7,2.759,2.68,2.74,129472,2019
50,2019-04-29 00:00:00,2.7,2.75,2.66,2.75,74421,2019
51,2019-04-30 00:00:00,2.7,2.762,2.67,2.76,28575,2019
52,2019-05-02 00:00:00,2.764,2.78,2.682,2.78,21856,2019
53,2019-05-06 00:00:00,2.764,2.78,2.69,2.75,36875,2019
54,2019-05-07 00:00:00,2.71,2.72,2.6,2.69,50878,2019
55,2019-05-08 00:00:00,2.69,2.69,2.63,2.67,10567,2019
56,2019-05-09 00:00:00,2.62,2.69,2.605,2.61,13905,2019
57,2019-05-10 00:00:00,2.52,2.59,2.22,2.58,75586,2019
58,2019-05-13 00:00:00,2.677,2.677,2.44,2.55,31846,2019
59,2019-05-14 00:00:00,2.476,2.5,2.4,2.49,50165,2019
60,2019-05-15 00:00:00,2.365,2.488,2.3,2.43,53887,2019
61,2019-05-16 00:00:00,2.4305,2.4305,2.28,2.4,51452,2019
62,2019-05-17 00:00:00,2.4,2.5,2.38,2.44,22686,2019
63,2019-05-20 00:00:00,2.49,2.5,2.42,2.47,20805,2019
64,2019-05-21 00:00:00,2.5,2.5,2.4,2.44,40225,2019
65,2019-05-22 00:00:00,2.44,2.44,2.323,2.4,11073,2019
66,2019-05-23 00:00:00,2.33,2.44,2.23,2.44,15950,2019
67,2019-05-24 00:00:00,2.4,2.43,2.36,2.43,3800,2019
68,2019-05-27 00:00:00,2.37,2.4,2.3,2.35,18855,2019
69,2019-05-28 00:00:00,2.35,2.3890000000000002,2.31,2.39,6909,2019
70,2019-05-29 00:00:00,2.34,2.399,2.27,2.4,15191,2019
71,2019-05-30 00:00:00,2.31,2.377,2.3,2.38,6937,2019
72,2019-05-31 00:00:00,2.35,2.73,2.32,2.73,53222,2019
73,2019-06-03 00:00:00,2.68,2.68,2.46,2.46,13056,2019
74,2019-06-04 00:00:00,2.401,2.59,2.36,2.59,17109,2019
75,2019-06-05 00:00:00,2.57,2.67,2.48,2.48,19523,2019
76,2019-06-06 00:00:00,2.451,2.488,2.36,2.4,7382,2019
77,2019-06-07 00:00:00,2.488,2.54,2.4,2.54,10848,2019
78,2019-06-10 00:00:00,2.48,2.498,2.162,2.4,33550,2019
79,2019-06-11 00:00:00,2.28,2.4,2.28,2.39,8110,2019
80,2019-06-12 00:00:00,2.39,2.44,2.31,2.37,1810,2019
81,2019-06-13 00:00:00,2.367,2.408,2.303,2.4,6074,2019
82,2019-06-14 00:00:00,2.31,2.398,2.31,2.39,1982,2019
83,2019-06-17 00:00:00,2.449,2.449,2.3040000000000003,2.36,17121,2019
84,2019-06-18 00:00:00,2.32,2.35,2.28,2.35,9166,2019
85,2019-06-19 00:00:00,2.285,2.36,2.26,2.36,11026,2019
86,2019-06-21 00:00:00,2.26,2.36,2.26,2.36,13368,2019
87,2019-06-24 00:00:00,2.4,2.4,2.27,2.37,5825,2019
88,2019-06-25 00:00:00,2.37,2.37,2.3,2.37,8212,2019
89,2019-06-26 00:00:00,2.312,2.312,2.25,2.29,24965,2019
90,2019-06-27 00:00:00,2.3,2.3,2.2,2.24,15473,2019
91,2019-06-28 00:00:00,2.29,2.37,2.25,2.33,36908,2019
92,2019-07-01 00:00:00,2.39,2.448,2.378,2.43,37207,2019
93,2019-07-02 00:00:00,2.428,2.428,2.39,2.41,2939,2019
94,2019-07-03 00:00:00,2.41,2.41,2.39,2.39,5900,2019
95,2019-07-04 00:00:00,2.4,2.4,2.27,2.38,5012,2019
96,2019-07-05 00:00:00,2.311,2.41,2.311,2.41,4800,2019
97,2019-07-08 00:00:00,2.4,2.4,2.35,2.4,7714,2019
98,2019-07-09 00:00:00,2.4,2.47,2.4,2.46,16571,2019
99,2019-07-10 00:00:00,2.414,2.548,2.414,2.53,28805,2019
100,2019-07-11 00:00:00,2.548,2.55,2.45,2.49,10420,2019
101,2019-07-12 00:00:00,2.41,2.46,2.39,2.44,10893,2019
102,2019-07-15 00:00:00,2.41,2.46,2.35,2.42,6343,2019
103,2019-07-16 00:00:00,2.42,2.45,2.38,2.42,5939,2019
104,2019-07-17 00:00:00,2.42,2.42,2.36,2.42,9000,2019
105,2019-07-18 00:00:00,2.44,2.44,2.38,2.44,4600,2019
106,2019-07-19 00:00:00,2.43,2.44,2.4,2.43,5530,2019
107,2019-07-22 00:00:00,2.43,2.43,2.4,2.4,2648,2019
108,2019-07-23 00:00:00,2.43,2.43,2.3609999999999998,2.4,4292,2019
109,2019-07-24 00:00:00,2.42,2.42,2.3,2.39,28670,2019
110,2019-07-25 00:00:00,2.37,2.43,2.323,2.43,19541,2019
111,2019-07-26 00:00:00,2.43,2.43,2.35,2.43,10887,2019
112,2019-07-29 00:00:00,2.43,2.7,2.43,2.6460000000000004,56684,2019
113,2019-07-30 00:00:00,2.6460000000000004,2.895,2.6,2.85,124669,2019
114,2019-07-31 00:00:00,2.85,2.85,2.7,2.77,42706,2019
115,2019-08-01 00:00:00,2.75,2.81,2.62,2.65,116340,2019
116,2019-08-02 00:00:00,2.68,2.7,2.6,2.6660000000000004,25856,2019
117,2019-08-05 00:00:00,2.66,2.66,2.49,2.6,8775,2019
118,2019-08-06 00:00:00,2.62,2.64,2.53,2.62,32121,2019
119,2019-08-07 00:00:00,2.625,2.625,2.44,2.6,18730,2019
120,2019-08-08 00:00:00,2.56,2.63,2.47,2.63,81828,2019
121,2019-08-09 00:00:00,2.63,2.67,2.5995,2.648,15774,2019
122,2019-08-12 00:00:00,2.66,2.66,2.5,2.59,193458,2019
123,2019-08-13 00:00:00,2.59,2.7,2.5,2.7,180774,2019
124,2019-08-14 00:00:00,2.7,2.75,2.6,2.74,15481,2019
125,2019-08-16 00:00:00,2.73,2.88,2.63,2.86,71520,2019
126,2019-08-19 00:00:00,2.85,3.16,2.85,3.028,158404,2019
127,2019-08-20 00:00:00,3.025,3.4,2.89,3.28,157798,2019
128,2019-08-21 00:00:00,3.34,3.489,3.2,3.38,165903,2019
129,2019-08-22 00:00:00,3.3795,3.445,3.29,3.32,66803,2019
130,2019-08-23 00:00:00,3.32,3.35,3.04,3.278,118542,2019
131,2019-08-26 00:00:00,3.2689999999999997,3.42,3.1,3.2489999999999997,167367,2019
132,2019-08-27 00:00:00,3.16,3.34,3.1,3.2289999999999996,143779,2019
133,2019-08-28 00:00:00,3.153,3.2289999999999996,2.97,3.22,132288,2019
134,2019-08-29 00:00:00,3.1,3.15,3.011,3.12,139007,2019
135,2019-08-30 00:00:00,3.12,3.2,3.01,3.2,100238,2019
136,2019-09-02 00:00:00,3.19,3.19,3.035,3.065,159936,2019
137,2019-09-03 00:00:00,3.06,3.0995,3.0239999999999996,3.035,43838,2019
138,2019-09-04 00:00:00,3.05,3.14,3.011,3.05,99251,2019
139,2019-09-05 00:00:00,3.069,3.069,2.975,3.03,34582,2019
140,2019-09-06 00:00:00,2.975,3.07,2.952,3.05,34197,2019
141,2019-09-09 00:00:00,3.1,3.3,3.1,3.24,121778,2019
142,2019-09-10 00:00:00,3.2,3.24,3.14,3.185,28779,2019
143,2019-09-11 00:00:00,3.185,3.225,3.15,3.22,36317,2019
144,2019-09-12 00:00:00,3.238,3.24,3.17,3.19,55441,2019
145,2019-09-13 00:00:00,3.219,3.4,3.2,3.3,172788,2019
146,2019-09-16 00:00:00,3.44,3.88,3.4,3.8,260202,2019
147,2019-09-17 00:00:00,3.8,3.8695,3.7,3.72,55367,2019
148,2019-09-18 00:00:00,3.76,4.18,3.73,4.01,183697,2019
149,2019-09-19 00:00:00,4.02,4.04,3.86,3.95,83240,2019
150,2019-09-20 00:00:00,4.0,4.03,3.95,4.0,64237,2019
151,2019-09-23 00:00:00,4.0,4.188,3.43,3.5,302705,2019
152,2019-09-24 00:00:00,3.35,3.61,3.14,3.6,576779,2019
153,2019-09-25 00:00:00,3.6,3.6,3.4,3.52,70027,2019
154,2019-09-26 00:00:00,3.53,3.74,3.33,3.41,163032,2019
155,2019-09-27 00:00:00,3.362,3.55,3.08,3.5,192614,2019
156,2019-09-30 00:00:00,3.59,3.59,3.3,3.49,125226,2019
157,2019-10-01 00:00:00,3.4,3.48,3.32,3.47,26823,2019
158,2019-10-02 00:00:00,3.45,3.45,3.0655,3.1,119551,2019
159,2019-10-03 00:00:00,3.11,3.25,3.1,3.2,63388,2019
160,2019-10-04 00:00:00,3.19,3.19,2.9545,3.06,180167,2019
161,2019-10-07 00:00:00,3.03,3.16,2.91,2.9789999999999996,143328,2019
162,2019-10-08 00:00:00,3.0,3.1,2.98,3.07,50873,2019
163,2019-10-09 00:00:00,3.0695,3.0695,2.98,3.04,34406,2019
164,2019-10-10 00:00:00,3.05,3.16,2.9,3.16,112527,2019
165,2019-10-11 00:00:00,3.16,3.3,3.06,3.13,102635,2019
166,2019-10-14 00:00:00,3.11,3.24,3.08,3.23,122560,2019
167,2019-10-15 00:00:00,3.22,3.2880000000000003,3.15,3.2345,43540,2019
168,2019-10-16 00:00:00,3.26,3.26,3.14,3.2289999999999996,18377,2019
169,2019-10-17 00:00:00,3.17,3.25,3.04,3.12,60019,2019
170,2019-10-18 00:00:00,3.1,3.19,3.06,3.1889999999999996,79370,2019
171,2019-10-21 00:00:00,3.1639999999999997,3.1639999999999997,2.86,3.09,103382,2019
172,2019-10-22 00:00:00,3.049,3.049,2.56,2.64,330944,2019
173,2019-10-23 00:00:00,2.68,2.73,2.57,2.6289999999999996,109224,2019
174,2019-10-24 00:00:00,2.635,2.66,2.43,2.5015,205880,2019
175,2019-10-25 00:00:00,2.52,2.52,2.221,2.249,315354,2019
176,2019-10-28 00:00:00,2.22,2.24,2.01,2.0305,380105,2019
177,2019-10-29 00:00:00,2.06,2.157,1.935,2.119,275339,2019
178,2019-10-30 00:00:00,2.12,2.12,1.6104,1.77,1541504,2019
179,2019-10-31 00:00:00,1.79,1.86,1.7,1.75,167882,2019
180,2019-11-04 00:00:00,1.8,1.899,1.75,1.848,132531,2019
181,2019-11-05 00:00:00,1.9180000000000001,1.9340000000000002,1.8019999999999998,1.87,59871,2019
182,2019-11-06 00:00:00,1.9,1.9,1.77,1.83,59327,2019
183,2019-11-07 00:00:00,1.83,1.83,1.73,1.7988,97303,2019
184,2019-11-08 00:00:00,1.83,1.83,1.72,1.775,59908,2019
185,2019-11-12 00:00:00,1.775,1.82,1.74,1.8,24681,2019
186,2019-11-13 00:00:00,1.8,1.9,1.756,1.84,128277,2019
187,2019-11-14 00:00:00,1.84,1.87,1.781,1.835,31044,2019
188,2019-11-15 00:00:00,1.82,1.82,1.734,1.805,32140,2019
189,2019-11-18 00:00:00,1.82,1.829,1.751,1.7719999999999998,40513,2019
190,2019-11-19 00:00:00,1.81,1.82,1.79,1.808,22835,2019
191,2019-11-20 00:00:00,1.83,1.83,1.77,1.798,20393,2019
192,2019-11-21 00:00:00,1.844,1.844,1.82,1.84,11413,2019
193,2019-11-22 00:00:00,1.85,2.12,1.85,2.04,302146,2019
194,2019-11-25 00:00:00,2.1,2.1,1.96,1.986,78417,2019
195,2019-11-26 00:00:00,2.01,2.059,1.93,1.96,46946,2019
196,2019-11-27 00:00:00,2.0,2.03,1.942,1.97,67794,2019
197,2019-11-28 00:00:00,1.9998,1.9998,1.945,1.9509999999999998,27909,2019
198,2019-11-29 00:00:00,1.97,1.97,1.919,1.96,15171,2019
199,2019-12-02 00:00:00,1.96,1.96,1.9,1.902,32520,2019
200,2019-12-03 00:00:00,1.929,1.93,1.9022,1.9280000000000002,28831,2019
201,2019-12-04 00:00:00,1.9280000000000002,1.9280000000000002,1.83,1.91,42654,2019
202,2019-12-05 00:00:00,1.91,2.028,1.9,2.0,21471,2019
203,2019-12-06 00:00:00,2.0,2.0,1.932,1.935,12145,2019
204,2019-12-09 00:00:00,2.028,2.028,1.91,1.925,19489,2019
205,2019-12-10 00:00:00,1.925,1.9798,1.9040000000000001,1.9040000000000001,12148,2019
206,2019-12-11 00:00:00,1.95,2.02,1.95,1.98,25243,2019
207,2019-12-12 00:00:00,2.0,2.0865,1.98,2.04,131365,2019
208,2019-12-13 00:00:00,2.08,2.09,2.04,2.04,40337,2019
209,2019-12-16 00:00:00,2.03,2.032,1.98,2.028,43009,2019
210,2019-12-17 00:00:00,2.024,2.03,1.97,2.02,14219,2019
211,2019-12-18 00:00:00,1.972,2.0,1.935,1.97,49677,2019
212,2019-12-19 00:00:00,2.14,2.29,2.14,2.2085,363372,2019
213,2019-12-20 00:00:00,2.2695,2.29,2.1705,2.22,113880,2019
214,2019-12-23 00:00:00,2.198,2.198,2.11,2.164,52705,2019
215,2019-12-27 00:00:00,2.15,2.39,2.11,2.34,80527,2019
216,2019-12-30 00:00:00,2.35,2.82,2.35,2.56,402256,2019
217,2020-01-02 00:00:00,2.7,2.73,2.52,2.638,145266,2020
218,2020-01-03 00:00:00,2.6,2.65,2.52,2.53,180399,2020
219,2020-01-07 00:00:00,2.56,2.6,2.356,2.44,192755,2020
220,2020-01-08 00:00:00,2.4,2.569,2.333,2.352,161359,2020
221,2020-01-09 00:00:00,2.436,2.495,2.301,2.301,276519,2020
222,2020-01-10 00:00:00,2.32,2.399,2.32,2.32,53485,2020
223,2020-01-13 00:00:00,2.3695,2.3695,2.141,2.27,223685,2020
224,2020-01-14 00:00:00,2.22,2.2880000000000003,2.15,2.244,182034,2020
225,2020-01-15 00:00:00,2.25,2.4395,2.18,2.36,91272,2020
226,2020-01-16 00:00:00,2.324,2.418,2.31,2.399,49396,2020
227,2020-01-17 00:00:00,2.385,2.52,2.32,2.43,103745,2020
228,2020-01-20 00:00:00,2.47,2.59,2.3,2.49,119539,2020
229,2020-01-21 00:00:00,2.49,2.55,2.41,2.4219999999999997,23829,2020
230,2020-01-22 00:00:00,2.4305,2.55,2.4,2.42,36505,2020
231,2020-01-23 00:00:00,2.42,2.42,2.3,2.31,65878,2020
232,2020-01-24 00:00:00,2.34,2.448,2.27,2.4,68373,2020
233,2020-01-27 00:00:00,2.45,2.546,2.4,2.479,128716,2020
234,2020-01-28 00:00:00,2.479,2.529,2.44,2.479,68099,2020
235,2020-01-29 00:00:00,2.49,2.499,2.41,2.41,49167,2020
236,2020-01-30 00:00:00,2.41,2.489,2.4,2.465,58438,2020
237,2020-01-31 00:00:00,2.5,2.63,2.48,2.62,128397,2020
238,2020-02-03 00:00:00,2.62,2.67,2.58,2.636,59397,2020
239,2020-02-04 00:00:00,2.64,2.68,2.6,2.65,22933,2020
240,2020-02-05 00:00:00,2.667,2.78,2.58,2.67,84409,2020
241,2020-02-06 00:00:00,2.72,2.72,2.59,2.6005,36161,2020
242,2020-02-07 00:00:00,2.61,2.655,2.5,2.6,38070,2020
243,2020-02-10 00:00:00,2.66,2.66,2.605,2.605,12344,2020
244,2020-02-11 00:00:00,2.6,2.698,2.6,2.65,32685,2020
245,2020-02-12 00:00:00,2.66,2.66,2.6,2.62,36962,2020
246,2020-02-13 00:00:00,2.64,2.7895,2.513,2.73,251850,2020
247,2020-02-14 00:00:00,2.78,2.84,2.7510000000000003,2.8175,93662,2020
248,2020-02-17 00:00:00,3.2680000000000002,3.2680000000000002,2.92,3.02,334796,2020
249,2020-02-18 00:00:00,3.09,3.09,2.9755,3.025,126454,2020
250,2020-02-19 00:00:00,3.07,3.15,3.06,3.1,152441,2020
251,2020-02-20 00:00:00,3.082,3.12,3.05,3.071,60328,2020
252,2020-02-21 00:00:00,3.065,3.15,3.06,3.15,43368,2020
253,2020-02-24 00:00:00,3.1,3.1,2.86,2.88,176528,2020
254,2020-02-25 00:00:00,2.8,2.88,2.26,2.64,424193,2020
255,2020-02-26 00:00:00,2.5,2.84,2.36,2.66,224521,2020
256,2020-02-27 00:00:00,2.69,2.69,2.35,2.39,209594,2020
257,2020-02-28 00:00:00,2.25,2.35,1.96,2.12,332886,2020
258,2020-03-02 00:00:00,2.2,2.42,2.135,2.27,213087,2020
259,2020-03-03 00:00:00,2.41,2.54,2.3,2.41,228534,2020
260,2020-03-04 00:00:00,2.33,2.4,2.17,2.4,75674,2020
261,2020-03-05 00:00:00,2.42,2.56,2.36,2.39,85392,2020
262,2020-03-06 00:00:00,2.292,2.39,2.252,2.39,28669,2020
263,2020-03-09 00:00:00,2.025,2.2,1.9,2.07,433442,2020
264,2020-03-10 00:00:00,2.05,2.15,1.99,2.04,135451,2020
265,2020-03-11 00:00:00,2.1,2.1,1.7,1.722,245983,2020
266,2020-03-12 00:00:00,1.27,1.6,1.22,1.24,204875,2020
267,2020-03-13 00:00:00,1.3,1.56,1.288,1.319,226392,2020
268,2020-03-16 00:00:00,1.3,1.79,1.17,1.78,331329,2020
269,2020-03-17 00:00:00,1.73,2.14,1.7,1.97,448911,2020
270,2020-03-18 00:00:00,1.89,2.1,1.8,1.9,178467,2020
271,2020-03-19 00:00:00,1.9,2.14,1.9,2.13,152240,2020
272,2020-03-20 00:00:00,2.18,2.33,2.1,2.1,154949,2020
273,2020-03-23 00:00:00,2.1,2.1,1.8,2.04,136004,2020
274,2020-03-24 00:00:00,2.14,2.42,2.14,2.28,215628,2020
275,2020-03-25 00:00:00,2.39,2.5,2.23,2.356,222970,2020
276,2020-03-26 00:00:00,2.43,2.43,2.262,2.369,63838,2020
277,2020-03-27 00:00:00,2.371,2.48,2.35,2.439,88468,2020
278,2020-03-30 00:00:00,2.4,2.4,2.23,2.311,123385,2020
279,2020-03-31 00:00:00,2.38,2.38,2.3,2.34,54655,2020
280,2020-04-01 00:00:00,2.33,2.35,2.24,2.26,53863,2020
281,2020-04-02 00:00:00,2.24,2.295,2.12,2.2,110658,2020
282,2020-04-03 00:00:00,2.185,2.27,2.14,2.21,32438,2020
283,2020-04-06 00:00:00,2.3,2.4,2.2,2.4,66264,2020
284,2020-04-07 00:00:00,2.485,2.55,2.21,2.3,97151,2020
285,2020-04-08 00:00:00,2.29,2.43,2.26,2.3,41266,2020
286,2020-04-09 00:00:00,2.25,2.43,2.25,2.35,43940,2020
287,2020-04-14 00:00:00,2.4,2.45,2.35,2.45,98270,2020
288,2020-04-15 00:00:00,2.49,2.84,2.39,2.73,182427,2020
289,2020-04-16 00:00:00,2.83,2.935,2.74,2.9,163519,2020
290,2020-04-17 00:00:00,2.98,3.07,2.915,2.96,170556,2020
291,2020-04-20 00:00:00,3.05,3.2,3.03,3.18,302484,2020
292,2020-04-21 00:00:00,3.18,3.56,2.76,3.3,634763,2020
293,2020-04-22 00:00:00,3.4,3.48,3.11,3.35,350728,2020
294,2020-04-23 00:00:00,3.4,3.53,3.35,3.53,203299,2020
295,2020-04-24 00:00:00,3.55,3.99,3.39,3.81,600253,2020
296,2020-04-27 00:00:00,3.82,4.1,3.62,3.925,231491,2020
297,2020-04-28 00:00:00,4.01,4.15,3.92,4.1,231221,2020
298,2020-04-29 00:00:00,5.19,5.19,4.12,4.33,1216409,2020
299,2020-04-30 00:00:00,4.3,4.6,4.0,4.36,567820,2020
300,2020-05-04 00:00:00,4.49,4.49,4.0,4.275,364161,2020
301,2020-05-05 00:00:00,4.2,4.25,3.92,4.05,495109,2020
302,2020-05-06 00:00:00,4.19,4.19,3.64,3.9,410125,2020
303,2020-05-07 00:00:00,3.56,4.1,3.54,3.9,595626,2020
304,2020-05-08 00:00:00,2.4,3.18,2.26,2.725,3540690,2020
305,2020-05-11 00:00:00,2.695,2.84,2.43,2.75,1033343,2020
306,2020-05-12 00:00:00,2.75,2.75,2.55,2.68,453578,2020
307,2020-05-13 00:00:00,2.68,2.69,2.55,2.64,214438,2020
308,2020-05-14 00:00:00,2.62,2.62,2.255,2.38,457959,2020
309,2020-05-15 00:00:00,2.4,2.68,2.39,2.54,380154,2020
310,2020-05-18 00:00:00,2.46,2.53,2.35,2.43,251011,2020
311,2020-05-19 00:00:00,2.43,2.49,2.4,2.445,132676,2020
312,2020-05-20 00:00:00,2.43,2.455,2.37,2.41,133100,2020
313,2020-05-21 00:00:00,2.41,2.48,2.38,2.45,138516,2020
314,2020-05-22 00:00:00,2.48,2.54,2.41,2.51,96280,2020
315,2020-05-25 00:00:00,2.5,2.53,2.45,2.495,76600,2020
316,2020-05-26 00:00:00,2.47,2.6,2.445,2.54,137586,2020
317,2020-05-27 00:00:00,2.58,2.635,2.43,2.43,246360,2020
318,2020-05-28 00:00:00,2.46,2.46,2.375,2.38,237662,2020
319,2020-05-29 00:00:00,2.4,2.425,2.38,2.425,40260,2020
320,2020-06-01 00:00:00,2.45,2.45,2.365,2.42,76920,2020
321,2020-06-02 00:00:00,2.385,2.4,2.3,2.32,195878,2020
322,2020-06-03 00:00:00,2.32,2.34,2.24,2.28,185698,2020
323,2020-06-04 00:00:00,2.28,2.28,2.16,2.21,182770,2020
324,2020-06-05 00:00:00,2.21,2.21,2.1,2.17,193225,2020
325,2020-06-08 00:00:00,2.2,2.34,2.16,2.3,301492,2020
326,2020-06-09 00:00:00,2.335,2.34,2.17,2.27,92666,2020
327,2020-06-10 00:00:00,2.265,2.285,2.175,2.2,85242,2020
328,2020-06-12 00:00:00,2.185,2.225,2.15,2.215,210272,2020
329,2020-06-15 00:00:00,2.2,2.21,2.18,2.2,107880,2020
330,2020-06-16 00:00:00,2.2,2.26,2.18,2.18,138637,2020
331,2020-06-17 00:00:00,2.18,2.21,2.18,2.195,79887,2020
332,2020-06-18 00:00:00,2.2,2.38,2.17,2.27,341446,2020
333,2020-06-19 00:00:00,2.3,2.315,2.21,2.245,114504,2020
334,2020-06-22 00:00:00,2.24,2.245,2.17,2.19,194553,2020
335,2020-06-23 00:00:00,2.2,2.45,2.17,2.26,236407,2020
