,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-07-01 00:00:00,10.235,10.235,6.8889,7.1841,19843,2010
1,2010-07-02 00:00:00,7.1841,7.1841,6.8889,7.0857,1698,2010
2,2010-07-05 00:00:00,7.0857,7.0857,6.3968,6.4952,7319,2010
3,2010-07-06 00:00:00,6.4952,6.4952,5.7079,6.4952,3230,2010
4,2010-07-07 00:00:00,6.4952,6.5937,6.1016,6.5937,2015,2010
5,2010-07-08 00:00:00,6.2984,6.4952,6.2,6.4952,391,2010
6,2010-07-09 00:00:00,6.4952,6.8889,6.0032,6.0032,1093,2010
7,2010-07-12 00:00:00,5.9048,5.9048,5.4127,5.9048,2101,2010
8,2010-07-13 00:00:00,6.3968,6.4952,5.9048,5.9048,1887,2010
9,2010-07-14 00:00:00,6.2984,6.2984,6.2984,6.2984,0,2010
10,2010-07-15 00:00:00,6.3968,6.3968,5.8063,6.3968,366,2010
11,2010-07-16 00:00:00,6.3968,6.6921,6.3968,6.6921,762,2010
12,2010-07-19 00:00:00,6.5937,6.5937,6.5937,6.5937,0,2010
13,2010-07-20 00:00:00,6.4952,6.4952,5.8063,6.2984,1539,2010
14,2010-07-21 00:00:00,6.0032,6.2984,6.0032,6.2984,208,2010
15,2010-07-22 00:00:00,5.9048,6.0032,5.9048,6.0032,2583,2010
16,2010-07-23 00:00:00,6.0032,6.3968,5.9048,6.3968,859,2010
17,2010-07-26 00:00:00,6.3968,7.1841,6.3968,6.8889,2475,2010
18,2010-07-27 00:00:00,6.8889,6.8889,6.8889,6.8889,1841,2010
19,2010-07-28 00:00:00,6.8889,7.4794,6.2,7.0857,11231,2010
20,2010-07-29 00:00:00,7.4794,8.1683,6.8889,7.381,16460,2010
21,2010-07-30 00:00:00,7.0857,7.2825,6.8889,7.2825,1615,2010
22,2010-08-02 00:00:00,7.381,7.381,7.381,7.381,0,2010
23,2010-08-03 00:00:00,7.381,7.381,7.381,7.381,0,2010
24,2010-08-04 00:00:00,7.381,7.381,6.5937,6.6921,945,2010
25,2010-08-05 00:00:00,6.4952,6.7905,6.4952,6.7905,965,2010
26,2010-08-06 00:00:00,7.0857,7.0857,6.3968,6.8889,1421,2010
27,2010-08-09 00:00:00,6.8889,6.8889,6.3968,6.3968,807,2010
28,2010-08-10 00:00:00,6.7905,6.7905,6.7905,6.7905,0,2010
29,2010-08-11 00:00:00,6.7905,6.7905,6.0032,6.6921,868,2010
30,2010-08-12 00:00:00,6.1016,6.5937,5.9048,6.2,4322,2010
31,2010-08-13 00:00:00,6.4952,6.4952,6.1016,6.4952,52,2010
32,2010-08-16 00:00:00,6.4952,6.4952,6.4952,6.4952,0,2010
33,2010-08-17 00:00:00,6.4952,6.4952,6.4952,6.4952,0,2010
34,2010-08-18 00:00:00,6.4952,6.4952,6.4952,6.4952,709,2010
35,2010-08-19 00:00:00,6.4952,6.4952,6.1016,6.4952,204,2010
36,2010-08-20 00:00:00,6.4952,6.9873,6.4952,6.9873,4392,2010
37,2010-08-23 00:00:00,6.8889,6.8889,6.8889,6.8889,102,2010
38,2010-08-24 00:00:00,7.0857,7.0857,6.5937,6.5937,421,2010
39,2010-08-25 00:00:00,6.5937,6.5937,6.5937,6.5937,428,2010
40,2010-08-26 00:00:00,6.8889,6.8889,6.5937,6.5937,418,2010
41,2010-08-27 00:00:00,6.7905,6.7905,6.7905,6.7905,0,2010
42,2010-08-30 00:00:00,6.8889,6.8889,6.8889,6.8889,76,2010
43,2010-08-31 00:00:00,6.5937,6.5937,6.0032,6.4952,1128,2010
44,2010-09-01 00:00:00,6.4952,6.4952,6.4952,6.4952,153,2010
45,2010-09-02 00:00:00,6.3968,6.3968,6.3968,6.3968,0,2010
46,2010-09-03 00:00:00,6.3968,6.3968,6.3968,6.3968,254,2010
