,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-11-22 00:00:00,1.35,1.4,1.08,1.19,67668,2011
1,2011-11-23 00:00:00,1.18,1.2,1.09,1.19,13582,2011
2,2011-11-24 00:00:00,1.18,1.18,0.97,1.0,14873,2011
3,2011-11-25 00:00:00,1.0,1.19,0.96,1.19,7466,2011
4,2011-11-28 00:00:00,1.2,1.2,1.05,1.19,3323,2011
5,2011-11-29 00:00:00,1.11,1.2,1.05,1.14,2093,2011
6,2011-11-30 00:00:00,1.15,1.15,1.02,1.1,701,2011
7,2011-12-01 00:00:00,1.02,1.15,1.0,1.15,2600,2011
8,2011-12-02 00:00:00,1.13,1.13,1.12,1.13,2010,2011
9,2011-12-05 00:00:00,1.14,1.14,1.05,1.12,2155,2011
10,2011-12-06 00:00:00,1.1,1.1,1.05,1.05,310,2011
11,2011-12-07 00:00:00,1.14,1.14,1.02,1.02,1860,2011
12,2011-12-08 00:00:00,1.1,1.12,1.05,1.1,3000,2011
13,2011-12-09 00:00:00,1.14,1.14,1.05,1.1,3210,2011
14,2011-12-12 00:00:00,1.14,1.14,1.14,1.14,2,2011
15,2011-12-13 00:00:00,1.14,1.36,1.14,1.23,58539,2011
16,2011-12-14 00:00:00,1.23,1.23,1.15,1.15,999,2011
17,2011-12-15 00:00:00,1.15,1.32,1.15,1.32,201,2011
18,2011-12-16 00:00:00,1.2,1.25,1.2,1.25,2002,2011
19,2011-12-19 00:00:00,1.2,1.2,1.1,1.1,1860,2011
20,2011-12-20 00:00:00,1.17,1.24,1.17,1.24,371,2011
21,2011-12-21 00:00:00,1.24,1.24,1.24,1.24,373,2011
22,2011-12-22 00:00:00,1.24,1.3,1.2,1.29,6916,2011
23,2011-12-23 00:00:00,1.33,1.33,1.25,1.25,210,2011
24,2011-12-27 00:00:00,1.2,1.35,1.2,1.25,36590,2011
25,2011-12-28 00:00:00,1.25,1.25,1.16,1.16,2999,2011
26,2011-12-29 00:00:00,1.15,1.23,1.15,1.23,705,2011
27,2011-12-30 00:00:00,1.39,1.39,1.2,1.25,1482,2011
28,2012-01-04 00:00:00,1.25,1.25,1.25,1.25,629,2012
29,2012-01-09 00:00:00,1.2,1.23,1.06,1.06,3102,2012
30,2012-01-10 00:00:00,1.07,1.25,1.07,1.25,630,2012
31,2012-01-11 00:00:00,1.07,1.15,1.07,1.15,1172,2012
32,2012-01-12 00:00:00,1.28,1.28,1.15,1.25,1011,2012
33,2012-01-13 00:00:00,1.28,1.28,1.28,1.28,2,2012
34,2012-01-16 00:00:00,1.27,1.28,1.16,1.28,274,2012
35,2012-01-17 00:00:00,1.28,1.28,1.18,1.28,3005,2012
36,2012-01-18 00:00:00,1.28,1.28,1.28,1.28,2,2012
37,2012-01-19 00:00:00,1.28,1.28,1.18,1.18,192,2012
38,2012-01-20 00:00:00,1.28,1.28,1.18,1.18,502,2012
39,2012-01-23 00:00:00,1.16,1.16,1.16,1.16,1000,2012
40,2012-01-24 00:00:00,1.28,1.28,1.19,1.28,1007,2012
41,2012-01-25 00:00:00,1.28,1.28,1.19,1.19,1462,2012
42,2012-01-26 00:00:00,1.28,1.28,1.19,1.19,502,2012
43,2012-01-27 00:00:00,1.28,1.28,1.28,1.28,2,2012
44,2012-01-30 00:00:00,1.19,1.25,1.19,1.25,510,2012
45,2012-01-31 00:00:00,1.25,1.25,1.25,1.25,1,2012
46,2012-02-01 00:00:00,1.25,1.25,1.22,1.22,38505,2012
47,2012-02-02 00:00:00,1.25,1.25,1.25,1.25,2,2012
48,2012-02-03 00:00:00,1.25,1.25,1.25,1.25,2,2012
49,2012-02-06 00:00:00,1.25,1.25,1.25,1.25,5,2012
50,2012-02-07 00:00:00,1.2,1.2,1.2,1.2,10,2012
51,2012-02-08 00:00:00,1.2,1.2,1.2,1.2,2,2012
52,2012-02-09 00:00:00,1.2,1.2,1.17,1.2,927,2012
53,2012-02-10 00:00:00,1.2,1.2,1.2,1.2,2,2012
54,2012-02-13 00:00:00,1.2,1.28,1.2,1.28,12,2012
55,2012-02-14 00:00:00,1.3,1.3,1.18,1.25,2118,2012
56,2012-02-15 00:00:00,1.17,1.25,1.17,1.25,102,2012
57,2012-02-16 00:00:00,1.24,1.24,1.17,1.17,1002,2012
58,2012-02-20 00:00:00,1.22,1.22,1.22,1.22,10,2012
59,2012-02-22 00:00:00,1.24,1.24,1.24,1.24,10,2012
60,2012-02-23 00:00:00,1.24,1.24,1.24,1.24,10,2012
61,2012-02-24 00:00:00,1.24,1.24,1.24,1.24,1578,2012
62,2012-02-27 00:00:00,1.24,1.24,1.15,1.15,1000,2012
63,2012-02-28 00:00:00,1.24,1.24,1.24,1.24,8297,2012
64,2012-02-29 00:00:00,1.24,1.24,1.24,1.24,16039,2012
65,2012-03-01 00:00:00,1.24,1.24,1.24,1.24,2,2012
66,2012-03-02 00:00:00,1.24,1.44,1.2,1.44,30711,2012
67,2012-03-05 00:00:00,1.36,1.36,1.3,1.3,11600,2012
68,2012-03-06 00:00:00,1.26,1.26,1.26,1.26,50,2012
69,2012-03-07 00:00:00,1.25,1.25,1.25,1.25,7187,2012
70,2012-03-12 00:00:00,1.25,1.25,1.17,1.2,2855,2012
71,2012-03-13 00:00:00,1.17,1.17,1.17,1.17,50,2012
72,2012-03-14 00:00:00,1.27,1.27,1.27,1.27,10,2012
73,2012-03-16 00:00:00,1.2,1.35,1.17,1.25,8076,2012
74,2012-03-19 00:00:00,1.25,1.25,1.25,1.25,2000,2012
75,2012-03-20 00:00:00,1.25,1.44,1.2,1.38,92457,2012
76,2012-03-21 00:00:00,1.33,1.38,1.25,1.29,26228,2012
77,2012-03-22 00:00:00,1.32,1.32,1.18,1.23,11082,2012
78,2012-03-23 00:00:00,1.35,1.37,1.23,1.23,11600,2012
79,2012-03-26 00:00:00,1.28,1.35,1.25,1.35,4065,2012
80,2012-03-27 00:00:00,1.26,1.36,1.26,1.26,13285,2012
81,2012-03-28 00:00:00,1.37,1.37,1.3,1.3,26839,2012
82,2012-03-29 00:00:00,1.31,1.38,1.31,1.38,24598,2012
83,2012-03-30 00:00:00,1.4,1.54,1.4,1.54,43377,2012
84,2012-04-02 00:00:00,1.55,1.6,1.55,1.59,2090,2012
85,2012-04-03 00:00:00,1.58,1.6,1.58,1.6,2820,2012
86,2012-04-04 00:00:00,1.59,1.6,1.5,1.58,10960,2012
87,2012-04-05 00:00:00,1.6,1.6,1.51,1.6,768,2012
88,2012-04-11 00:00:00,1.5,1.5,1.5,1.5,3070,2012
89,2012-04-12 00:00:00,1.5,1.5,1.41,1.41,2080,2012
90,2012-04-13 00:00:00,1.42,1.5,1.42,1.42,1350,2012
91,2012-04-16 00:00:00,1.42,1.42,1.25,1.34,11110,2012
92,2012-04-17 00:00:00,1.34,1.59,1.34,1.41,10400,2012
93,2012-04-18 00:00:00,1.41,1.43,1.41,1.43,400,2012
