,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2009-12-18 00:00:00,0.1003,0.1003,0.0725,0.0983,801131,2009
1,2009-12-21 00:00:00,0.0949,0.0983,0.061,0.061,2734606,2009
2,2009-12-22 00:00:00,0.0617,0.0617,0.0549,0.0576,300678,2009
3,2009-12-23 00:00:00,0.0461,0.0542,0.0305,0.0386,19032722,2009
4,2009-12-28 00:00:00,0.038,0.038,0.0312,0.0339,1950908,2009
5,2009-12-29 00:00:00,0.0353,0.0373,0.0332,0.0373,1181121,2009
6,2009-12-30 00:00:00,0.0373,0.0373,0.0339,0.0366,1214028,2009
7,2009-12-31 00:00:00,0.0359,0.0359,0.0339,0.0353,497104,2009
8,2010-01-04 00:00:00,0.0366,0.0366,0.0332,0.0339,158400,2010
9,2010-01-05 00:00:00,0.0346,0.0346,0.0312,0.0319,854261,2010
10,2010-01-06 00:00:00,0.0332,0.0332,0.0312,0.0332,225453,2010
11,2010-01-07 00:00:00,0.0332,0.0332,0.0312,0.0332,514966,2010
12,2010-01-08 00:00:00,0.0332,0.0332,0.0305,0.0312,420389,2010
13,2010-01-11 00:00:00,0.0325,0.0325,0.0292,0.0292,764654,2010
14,2010-01-12 00:00:00,0.0319,0.0319,0.0292,0.0312,1051409,2010
15,2010-01-13 00:00:00,0.0319,0.0359,0.0305,0.0346,6500561,2010
16,2010-01-14 00:00:00,0.0346,0.0393,0.0332,0.0386,3123268,2010
17,2010-01-15 00:00:00,0.0393,0.0522,0.0386,0.0475,8858363,2010
18,2010-01-18 00:00:00,0.0468,0.0556,0.0441,0.0461,3921627,2010
19,2010-01-19 00:00:00,0.0495,0.0495,0.0407,0.0434,1503408,2010
20,2010-01-20 00:00:00,0.0441,0.0441,0.038,0.0427,1129687,2010
21,2010-01-21 00:00:00,0.0427,0.0475,0.0386,0.0475,4440163,2010
22,2010-01-22 00:00:00,0.0475,0.0475,0.0407,0.0414,1700365,2010
23,2010-01-25 00:00:00,0.0441,0.0475,0.0427,0.0454,2014982,2010
24,2010-01-26 00:00:00,0.0454,0.0454,0.0427,0.0427,386922,2010
25,2010-01-27 00:00:00,0.0454,0.0454,0.038,0.0407,395890,2010
26,2010-01-28 00:00:00,0.0414,0.0441,0.0414,0.0441,144550,2010
27,2010-01-29 00:00:00,0.0434,0.0434,0.0393,0.0427,345459,2010
28,2010-02-01 00:00:00,0.0427,0.0427,0.0407,0.042,235542,2010
29,2010-02-02 00:00:00,0.0427,0.0468,0.042,0.0447,633556,2010
30,2010-02-03 00:00:00,0.0447,0.0447,0.0427,0.0441,129991,2010
31,2010-02-04 00:00:00,0.0441,0.0454,0.0407,0.0441,729756,2010
32,2010-02-05 00:00:00,0.042,0.0427,0.0407,0.042,136304,2010
33,2010-02-08 00:00:00,0.0441,0.0441,0.0393,0.0414,198033,2010
34,2010-02-09 00:00:00,0.0414,0.0414,0.0359,0.0414,1051675,2010
35,2010-02-10 00:00:00,0.0434,0.0434,0.0386,0.0407,398648,2010
36,2010-02-11 00:00:00,0.0414,0.0414,0.0373,0.04,197679,2010
37,2010-02-12 00:00:00,0.04,0.0414,0.0373,0.04,2939144,2010
38,2010-02-15 00:00:00,0.0407,0.042,0.0366,0.0386,684296,2010
