,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-07-13 00:00:00,31.2,37.4,31.2,36.0,20710,2011
1,2011-07-15 00:00:00,55.1,55.1,55.1,55.1,8941,2011
2,2011-07-18 00:00:00,50.0,59.5,47.1,47.5,4303,2011
3,2011-07-19 00:00:00,47.3,54.5,45.0,50.0,21590,2011
4,2011-07-20 00:00:00,50.1,72.0,50.0,72.0,7056,2011
5,2011-07-21 00:00:00,86.0,103.2,72.0,92.0,1808,2011
6,2011-07-22 00:00:00,101.0,121.2,81.0,105.5,2656,2011
7,2011-07-25 00:00:00,110.0,118.0,75.0,75.5,3212,2011
8,2011-07-26 00:00:00,46.0,46.0,33.0,33.0,21983,2011
9,2011-07-27 00:00:00,31.0,37.2,20.4,20.4,34203,2011
10,2011-07-28 00:00:00,21.0,24.4,19.9,22.0,14726,2011
11,2011-07-29 00:00:00,22.1,23.6,20.3,21.8,1823,2011
12,2011-08-01 00:00:00,21.7,23.4,17.6,18.8,6939,2011
13,2011-08-02 00:00:00,18.8,20.0,16.6,19.2,5635,2011
14,2011-08-03 00:00:00,18.0,18.5,14.4,15.8,4166,2011
15,2011-08-04 00:00:00,15.8,18.0,13.6,16.9,4072,2011
16,2011-08-05 00:00:00,16.4,16.5,13.6,16.4,1830,2011
17,2011-08-08 00:00:00,15.9,16.4,13.3,15.4,4271,2011
18,2011-08-09 00:00:00,13.1,15.4,13.0,13.8,1808,2011
19,2011-08-10 00:00:00,15.0,15.3,12.2,13.5,886,2011
20,2011-08-11 00:00:00,11.5,13.7,10.7,12.5,1397,2011
21,2011-08-12 00:00:00,12.8,14.9,11.6,12.2,1627,2011
22,2011-08-16 00:00:00,11.7,12.1,10.0,10.2,2626,2011
23,2011-08-17 00:00:00,10.9,14.6,9.6,14.5,7089,2011
24,2011-08-18 00:00:00,14.5,14.5,11.7,12.6,1151,2011
25,2011-08-19 00:00:00,12.7,15.1,12.2,13.0,878,2011
26,2011-08-22 00:00:00,14.7,14.7,11.8,13.1,1683,2011
27,2011-08-23 00:00:00,12.8,12.8,11.5,11.8,263,2011
28,2011-08-24 00:00:00,11.0,11.7,10.2,11.2,852,2011
29,2011-08-25 00:00:00,10.5,11.3,10.1,10.9,577,2011
30,2011-08-26 00:00:00,10.9,11.2,10.1,10.1,551,2011
31,2011-08-29 00:00:00,10.5,10.9,10.1,10.5,123,2011
32,2011-08-30 00:00:00,10.5,10.8,9.6,10.6,293,2011
33,2011-08-31 00:00:00,10.8,11.1,10.4,11.1,527,2011
34,2011-09-01 00:00:00,11.1,11.2,9.2,10.5,714,2011
35,2011-09-02 00:00:00,11.5,11.5,8.3,8.3,1406,2011
36,2011-09-05 00:00:00,9.0,9.2,8.4,9.2,834,2011
37,2011-09-06 00:00:00,9.1,10.4,8.2,9.4,3714,2011
38,2011-09-07 00:00:00,9.4,9.5,8.4,9.0,1020,2011
39,2011-09-08 00:00:00,9.3,9.3,8.6,9.3,96,2011
40,2011-09-09 00:00:00,9.3,9.4,7.5,8.2,1320,2011
41,2011-09-12 00:00:00,8.1,8.1,7.5,8.1,409,2011
42,2011-09-13 00:00:00,8.1,8.1,7.0,7.9,421,2011
43,2011-09-14 00:00:00,7.9,7.9,6.8,7.4,56,2011
44,2011-09-15 00:00:00,6.9,8.0,6.9,8.0,175,2011
45,2011-09-16 00:00:00,8.1,8.1,8.0,8.0,65,2011
46,2011-09-19 00:00:00,7.0,7.5,7.0,7.5,15,2011
47,2011-09-20 00:00:00,7.0,7.0,6.5,7.0,270,2011
48,2011-09-21 00:00:00,6.9,7.0,6.3,6.9,508,2011
49,2011-09-22 00:00:00,6.3,6.5,5.9,6.5,501,2011
50,2011-09-23 00:00:00,6.2,6.9,6.0,6.9,194,2011
51,2011-09-26 00:00:00,6.3,6.3,6.3,6.3,67,2011
52,2011-09-27 00:00:00,6.4,7.2,6.4,7.2,123,2011
53,2011-09-28 00:00:00,7.4,8.1,6.5,7.4,1068,2011
54,2011-09-30 00:00:00,7.3,7.9,7.0,7.9,211,2011
55,2011-10-03 00:00:00,7.9,8.0,7.5,8.0,210,2011
56,2011-10-04 00:00:00,8.1,8.1,7.3,7.3,375,2011
57,2011-10-05 00:00:00,7.5,7.9,6.9,7.5,2830,2011
58,2011-10-06 00:00:00,7.7,8.6,7.7,8.6,563,2011
59,2011-10-07 00:00:00,8.0,8.3,7.7,8.0,750,2011
60,2011-10-10 00:00:00,8.0,10.2,7.9,10.2,3366,2011
61,2011-10-11 00:00:00,10.2,10.8,9.0,9.8,436,2011
62,2011-10-12 00:00:00,9.8,10.2,9.2,9.9,3755,2011
63,2011-10-13 00:00:00,10.4,11.8,10.0,11.8,1051,2011
64,2011-10-14 00:00:00,11.7,14.2,10.8,13.0,2683,2011
65,2011-10-17 00:00:00,14.1,16.9,13.1,16.3,5166,2011
66,2011-10-18 00:00:00,17.0,20.3,14.9,19.9,4042,2011
67,2011-10-19 00:00:00,19.5,19.5,15.6,16.5,3008,2011
68,2011-10-20 00:00:00,16.5,17.1,14.0,14.0,272,2011
69,2011-10-21 00:00:00,14.2,15.9,14.2,15.9,171,2011
70,2011-10-24 00:00:00,16.5,16.5,10.1,14.3,1614,2011
71,2011-10-25 00:00:00,13.0,14.0,11.9,12.1,511,2011
72,2011-10-26 00:00:00,12.1,12.2,12.1,12.2,36,2011
73,2011-10-27 00:00:00,12.2,13.3,12.0,12.0,232,2011
74,2011-10-28 00:00:00,12.8,16.6,11.2,15.0,1618,2011
75,2011-10-31 00:00:00,16.6,17.2,14.0,15.5,341,2011
76,2011-11-02 00:00:00,14.9,14.9,13.0,13.7,586,2011
77,2011-11-03 00:00:00,13.6,13.6,13.0,13.0,178,2011
78,2011-11-04 00:00:00,12.7,12.7,10.5,12.5,329,2011
79,2011-11-07 00:00:00,12.5,15.0,12.5,15.0,1972,2011
80,2011-11-08 00:00:00,14.5,14.5,14.4,14.4,338,2011
81,2011-11-09 00:00:00,14.4,14.5,11.7,13.6,891,2011
82,2011-11-10 00:00:00,12.0,15.0,12.0,14.8,647,2011
83,2011-11-14 00:00:00,14.5,15.5,13.9,15.5,767,2011
84,2011-11-15 00:00:00,17.5,19.9,14.1,18.8,203,2011
85,2011-11-16 00:00:00,22.4,24.8,17.0,17.0,32,2011
86,2011-11-17 00:00:00,15.8,15.8,13.6,15.8,263,2011
87,2011-11-18 00:00:00,15.8,15.8,14.6,14.7,138,2011
88,2011-11-21 00:00:00,14.5,15.8,14.1,15.8,387,2011
89,2011-11-22 00:00:00,16.8,16.8,15.2,15.2,30,2011
90,2011-11-23 00:00:00,16.8,17.5,15.9,16.3,278,2011
91,2011-11-24 00:00:00,16.3,16.3,15.3,15.4,245,2011
