,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-08-21 00:00:00,17.0,20.26,16.5,20.14,13029,2013
1,2013-08-22 00:00:00,20.32,23.1,20.14,23.1,8199,2013
2,2013-08-23 00:00:00,23.14,27.0,20.0,24.26,6311,2013
3,2013-08-26 00:00:00,25.02,32.98,25.02,32.98,5496,2013
4,2013-08-27 00:00:00,33.0,33.27,26.4,26.7,6092,2013
5,2013-08-28 00:00:00,23.0,23.5,17.8,17.8,9212,2013
6,2013-08-29 00:00:00,17.8,19.6,17.0,17.69,6005,2013
7,2013-08-30 00:00:00,17.3,17.3,15.2,15.32,3811,2013
8,2013-09-02 00:00:00,15.33,16.3,15.3,15.8,1663,2013
9,2013-09-03 00:00:00,15.8,20.55,15.8,20.2,13909,2013
10,2013-09-04 00:00:00,20.2,21.6,16.4,16.99,7294,2013
11,2013-09-05 00:00:00,17.3,17.3,14.03,15.0,2746,2013
12,2013-09-06 00:00:00,15.0,15.2,13.1,14.5,1505,2013
13,2013-09-09 00:00:00,14.4,14.4,12.8,13.86,1906,2013
14,2013-09-10 00:00:00,13.7,13.85,12.61,13.85,1770,2013
15,2013-09-11 00:00:00,12.71,13.24,12.4,13.11,1114,2013
16,2013-09-12 00:00:00,12.9,14.63,11.81,13.0,2649,2013
17,2013-09-13 00:00:00,12.4,14.8,12.0,14.7,8337,2013
18,2013-09-16 00:00:00,13.87,14.8,12.0,13.0,5076,2013
19,2013-09-17 00:00:00,12.7,13.2,12.0,13.2,1386,2013
20,2013-09-18 00:00:00,12.0,13.2,11.56,12.3,2186,2013
21,2013-09-19 00:00:00,12.3,13.64,12.3,13.5,2541,2013
22,2013-09-20 00:00:00,13.0,13.5,12.06,13.0,422,2013
23,2013-09-23 00:00:00,12.7,12.7,12.0,12.68,1175,2013
24,2013-09-24 00:00:00,12.79,12.79,12.0,12.67,1090,2013
25,2013-09-25 00:00:00,12.0,12.5,11.0,11.52,2840,2013
26,2013-09-26 00:00:00,11.53,13.49,11.4,13.0,2145,2013
27,2013-09-27 00:00:00,13.5,13.7,12.25,13.7,758,2013
28,2013-09-30 00:00:00,13.0,13.8,12.5,13.8,155,2013
29,2013-10-01 00:00:00,13.8,13.8,13.1,13.33,325,2013
30,2013-10-02 00:00:00,13.2,13.2,12.5,12.5,228,2013
31,2013-10-03 00:00:00,12.5,12.5,12.5,12.5,120,2013
32,2013-10-04 00:00:00,12.5,12.79,12.5,12.79,130,2013
33,2013-10-08 00:00:00,13.0,13.0,12.4,12.4,165,2013
34,2013-10-09 00:00:00,12.4,12.4,12.4,12.4,84,2013
35,2013-10-10 00:00:00,12.4,12.57,12.4,12.4,430,2013
36,2013-10-11 00:00:00,12.9,14.08,12.9,14.0,782,2013
37,2013-10-14 00:00:00,13.99,14.07,12.8,12.8,215,2013
38,2013-10-15 00:00:00,14.08,14.08,14.08,14.08,1,2013
39,2013-10-16 00:00:00,13.1,14.08,13.0,14.08,1247,2013
40,2013-10-17 00:00:00,14.0,14.0,12.0,13.27,305,2013
41,2013-10-18 00:00:00,13.15,13.85,13.15,13.85,150,2013
42,2013-10-21 00:00:00,13.85,14.59,13.85,14.59,875,2013
43,2013-10-22 00:00:00,14.6,15.7,14.5,15.7,1066,2013
44,2013-10-23 00:00:00,15.69,15.8,14.6,14.6,751,2013
45,2013-10-24 00:00:00,15.5,16.0,14.6,15.95,715,2013
46,2013-10-25 00:00:00,15.3,15.7,15.0,15.0,153,2013
47,2013-10-28 00:00:00,14.6,14.6,14.6,14.6,100,2013
48,2013-10-29 00:00:00,14.6,15.6,14.6,15.0,427,2013
49,2013-10-31 00:00:00,15.25,15.25,15.25,15.25,3,2013
50,2013-11-04 00:00:00,15.0,15.0,14.2,15.0,302,2013
51,2013-11-05 00:00:00,15.0,15.0,15.0,15.0,2,2013
52,2013-11-06 00:00:00,15.0,15.0,15.0,15.0,192,2013
53,2013-11-07 00:00:00,15.1,15.15,15.1,15.15,487,2013
54,2013-11-08 00:00:00,15.0,15.15,14.8,14.8,400,2013
55,2013-11-12 00:00:00,14.8,14.8,14.8,14.8,104,2013
56,2013-11-13 00:00:00,15.0,15.0,15.0,15.0,5,2013
57,2013-11-14 00:00:00,15.0,15.0,15.0,15.0,5,2013
58,2013-11-15 00:00:00,15.0,15.0,15.0,15.0,352,2013
59,2013-11-18 00:00:00,15.0,15.0,15.0,15.0,3,2013
60,2013-11-19 00:00:00,14.6,14.6,13.7,13.7,649,2013
61,2013-11-20 00:00:00,13.66,14.18,13.66,14.18,205,2013
62,2013-11-21 00:00:00,14.18,14.18,13.6,13.6,247,2013
63,2013-11-25 00:00:00,13.2,13.2,13.0,13.0,384,2013
64,2013-11-27 00:00:00,13.0,13.0,13.0,13.0,92,2013
65,2013-11-28 00:00:00,13.1,15.2,12.33,15.15,1528,2013
66,2013-11-29 00:00:00,14.99,15.0,14.0,14.9,307,2013
67,2013-12-02 00:00:00,14.8,14.8,14.0,14.0,426,2013
68,2013-12-03 00:00:00,14.0,14.0,14.0,14.0,5,2013
69,2013-12-04 00:00:00,14.0,14.0,14.0,14.0,2,2013
70,2013-12-05 00:00:00,14.0,14.0,14.0,14.0,3,2013
71,2013-12-06 00:00:00,14.0,14.0,14.0,14.0,2,2013
72,2013-12-09 00:00:00,13.99,13.99,13.99,13.99,5,2013
73,2013-12-10 00:00:00,13.99,14.0,13.99,14.0,263,2013
