,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-08-27 00:00:00,2.736,3.3205,1.9392,2.4439,69880,2008
1,2008-08-28 00:00:00,2.4527,2.4527,2.0276,2.0276,7880,2008
2,2008-08-29 00:00:00,2.1694,2.1694,1.8417,2.0454,2938,2008
3,2008-09-01 00:00:00,1.7619999999999998,2.4172,1.7619999999999998,2.3198,5896,2008
4,2008-09-02 00:00:00,1.8506,2.2667,1.8506,2.2225,1701,2008
5,2008-09-03 00:00:00,2.1869,2.4881,2.1869,2.3198,4699,2008
6,2008-09-04 00:00:00,2.3198,2.6121,2.3198,2.6121,1837,2008
7,2008-09-05 00:00:00,2.6211,2.7981,2.6211,2.7981,18641,2008
8,2008-09-08 00:00:00,2.7892,3.9403,2.7539,3.6569,55777,2008
9,2008-09-09 00:00:00,3.8429,5.472,3.8429,5.2507,87507,2008
10,2008-09-10 00:00:00,5.2507,7.2606,4.2679,4.5867,33894,2008
11,2008-09-11 00:00:00,4.5512,6.1007,4.1527,4.5512,9023,2008
12,2008-09-12 00:00:00,3.6745,4.7992,3.6393,3.719,2674,2008
13,2008-09-15 00:00:00,4.2236,4.3298,3.4974,3.9225,5660,2008
14,2008-09-16 00:00:00,4.2414,4.3209,3.6836,3.9403,5015,2008
15,2008-09-17 00:00:00,3.719,4.2324,3.5507,3.9491,661,2008
16,2008-09-18 00:00:00,3.7719,4.7283,3.7719,4.5954,6353,2008
17,2008-09-19 00:00:00,4.3829,5.2507,4.3743,4.7992,44691,2008
18,2008-09-22 00:00:00,4.3298,4.7992,3.8075,4.0022,34773,2008
19,2008-09-23 00:00:00,4.3653,4.3653,3.2408,3.5861,36352,2008
20,2008-09-24 00:00:00,3.2673,3.8694,3.2673,3.6658,7197,2008
21,2008-09-25 00:00:00,3.4621,3.6569,3.4091,3.6569,2772,2008
22,2008-09-26 00:00:00,3.6569,3.6569,3.2938,3.2938,1486,2008
23,2008-09-29 00:00:00,3.1523,3.4091,2.9751,3.1433,11592,2008
24,2008-09-30 00:00:00,2.9751,3.4091,2.5589,3.4091,10741,2008
25,2008-10-01 00:00:00,3.4002,3.6569,3.0903,3.4974,7625,2008
26,2008-10-02 00:00:00,3.471,3.6129,3.1523,3.1523,7298,2008
27,2008-10-03 00:00:00,3.4091,3.4091,2.9928,3.2408,6129,2008
28,2008-10-06 00:00:00,3.2319,3.2319,3.2319,3.2319,115,2008
29,2008-10-07 00:00:00,3.1787,3.1787,2.6475,3.0194,3075,2008
30,2008-10-08 00:00:00,3.0459,3.0637,2.6475,2.6475,684,2008
31,2008-10-09 00:00:00,3.0194,3.0194,2.6211,2.7981,1965,2008
32,2008-10-10 00:00:00,2.6653,2.9309,2.2403,2.3376,5269,2008
33,2008-10-13 00:00:00,3.0371,3.0371,2.8866,2.8866,2533,2008
34,2008-10-14 00:00:00,2.9309,3.4534,2.9309,3.1965,2919,2008
35,2008-10-15 00:00:00,3.4355,3.4355,3.4355,3.4355,343,2008
36,2008-10-16 00:00:00,3.4179,3.4534,3.4179,3.4534,2086,2008
37,2008-10-17 00:00:00,3.4534,3.4534,3.4444,3.4444,120,2008
38,2008-10-20 00:00:00,3.3648,3.7365,2.8423,3.5861,3969,2008
39,2008-10-21 00:00:00,3.5861,3.5861,2.8689,3.5682,58,2008
40,2008-10-22 00:00:00,3.5507,3.5507,3.5507,3.5507,382,2008
41,2008-10-23 00:00:00,3.5417,3.5417,2.8511,2.9396,196,2008
42,2008-10-24 00:00:00,3.4002,3.4002,2.9309,3.3205,2403,2008
43,2008-10-27 00:00:00,2.9309,3.3028,2.9309,3.2673,1204,2008
44,2008-10-28 00:00:00,3.2761,3.2761,2.9309,3.2408,628,2008
45,2008-10-29 00:00:00,2.9396,3.2586,2.9396,3.2230000000000003,634,2008
46,2008-10-30 00:00:00,2.9751,3.2230000000000003,2.9751,3.2053,750,2008
47,2008-10-31 00:00:00,3.2053,3.2408,2.8689,3.2408,397,2008
48,2008-11-03 00:00:00,3.2142,3.8339999999999996,3.2142,3.6745,2969,2008
49,2008-11-04 00:00:00,3.6745,3.6745,2.9751,3.285,1697,2008
