,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2009-12-09 00:00:00,0.8851,1.1234,0.6894,0.8170000000000001,1068838,2009
1,2009-12-10 00:00:00,0.8426,0.8426,0.6468,0.6894,197955,2009
2,2009-12-11 00:00:00,0.6809,0.6809,0.5702,0.5702,94313,2009
3,2009-12-14 00:00:00,0.5532,0.6043,0.4681,0.4681,73140,2009
4,2009-12-15 00:00:00,0.5447,0.5532,0.4851,0.5532,36203,2009
5,2009-12-16 00:00:00,0.6043,0.6298,0.4851,0.5702,87747,2009
6,2009-12-17 00:00:00,0.5106,0.5702,0.4766,0.5191,30348,2009
7,2009-12-18 00:00:00,0.5106,0.5702,0.4766,0.5191,29894,2009
8,2009-12-21 00:00:00,0.5191,0.5617,0.4766,0.4766,52915,2009
9,2009-12-22 00:00:00,0.4851,0.4851,0.4511,0.4511,9518,2009
10,2009-12-23 00:00:00,0.4511,0.4936,0.4511,0.4851,11694,2009
11,2009-12-28 00:00:00,0.4681,0.5191,0.4511,0.5191,5850,2009
12,2009-12-29 00:00:00,0.5191,0.5277,0.5021,0.5021,17616,2009
13,2009-12-30 00:00:00,0.5191,0.5191,0.4511,0.4596,8256,2009
14,2009-12-31 00:00:00,0.4681,0.5106,0.4681,0.5106,235,2009
15,2010-01-04 00:00:00,0.5106,0.5191,0.5021,0.5191,5288,2010
16,2010-01-05 00:00:00,0.5106,0.5447,0.5106,0.5447,24829,2010
17,2010-01-06 00:00:00,0.5447,0.5532,0.5021,0.5447,14288,2010
18,2010-01-07 00:00:00,0.5362,0.5362,0.5362,0.5362,118,2010
19,2010-01-08 00:00:00,0.4851,0.5362,0.4766,0.5362,16114,2010
20,2010-01-11 00:00:00,0.5191,0.5702,0.4936,0.5702,55511,2010
21,2010-01-12 00:00:00,0.5702,0.5872,0.5191,0.5872,17019,2010
22,2010-01-13 00:00:00,0.5957,0.6383,0.5872,0.6298,10300,2010
23,2010-01-14 00:00:00,0.6383,0.6979,0.6298,0.6809,43978,2010
24,2010-01-15 00:00:00,0.7745,0.9617,0.7745,0.9617,204304,2010
25,2010-01-18 00:00:00,0.9787,1.1404,0.8085,1.0213,162508,2010
26,2010-01-19 00:00:00,1.0213,1.0213,0.8511,0.9702,11143,2010
27,2010-01-20 00:00:00,0.9617,0.9617,0.8511,0.9106,67241,2010
28,2010-01-21 00:00:00,0.9106,1.0894,0.8511,1.0213,142412,2010
29,2010-01-22 00:00:00,0.9787,0.9787,0.8596,0.8681,66192,2010
30,2010-01-25 00:00:00,0.8596,0.8596,0.7829999999999999,0.8340000000000001,48734,2010
31,2010-01-26 00:00:00,0.8681,0.8681,0.8085,0.8085,17038,2010
32,2010-01-27 00:00:00,0.8085,0.8511,0.7574,0.8255,15506,2010
33,2010-01-28 00:00:00,0.8255,0.8255,0.7489,0.8170000000000001,15686,2010
34,2010-01-29 00:00:00,0.8766,0.9787,0.8255,0.8255,210776,2010
35,2010-02-01 00:00:00,0.8170000000000001,0.8851,0.7489,0.7745,46491,2010
36,2010-02-02 00:00:00,0.7829999999999999,0.8170000000000001,0.6809,0.7659999999999999,71938,2010
37,2010-02-03 00:00:00,0.7659999999999999,0.7659999999999999,0.7149,0.7319,23304,2010
38,2010-02-04 00:00:00,0.7319,0.7829999999999999,0.6809,0.7404,30088,2010
39,2010-02-05 00:00:00,0.6979,0.6979,0.6553,0.6809,32940,2010
40,2010-02-08 00:00:00,0.6723,0.7659999999999999,0.6723,0.7574,120857,2010
41,2010-02-09 00:00:00,0.7489,0.7489,0.7489,0.7489,118,2010
42,2010-02-10 00:00:00,0.7489,0.7574,0.6979,0.7574,2280,2010
43,2010-02-11 00:00:00,0.7064,0.7064,0.6979,0.6979,2644,2010
44,2010-02-12 00:00:00,0.6979,0.7574,0.6894,0.7489,56314,2010
45,2010-02-15 00:00:00,0.7574,0.7574,0.7149,0.7149,235,2010
46,2010-02-16 00:00:00,0.6979,0.6979,0.6383,0.6383,32794,2010
47,2010-02-17 00:00:00,0.6383,0.6638,0.6383,0.6638,470,2010
48,2010-02-18 00:00:00,0.6638,0.6638,0.6638,0.6638,1410,2010
49,2010-02-19 00:00:00,0.6298,0.6383,0.5957,0.6383,35067,2010
50,2010-02-22 00:00:00,0.5957,0.6298,0.5617,0.6043,113084,2010
51,2010-02-23 00:00:00,0.6043,0.7234,0.6043,0.6383,149758,2010
52,2010-02-24 00:00:00,0.6383,0.6553,0.6213,0.6213,9375,2010
53,2010-02-25 00:00:00,0.6043,0.6043,0.5957,0.5957,10741,2010
54,2010-02-26 00:00:00,0.5957,0.6128,0.5957,0.5957,300,2010
55,2010-03-01 00:00:00,0.5957,0.5957,0.5957,0.5957,3643,2010
56,2010-03-02 00:00:00,0.5957,0.6213,0.5872,0.6213,8344,2010
57,2010-03-03 00:00:00,0.6213,0.6298,0.5787,0.6298,20958,2010
58,2010-03-04 00:00:00,0.6213,0.6809,0.6213,0.6809,8098,2010
59,2010-03-05 00:00:00,0.6894,0.6979,0.6298,0.6298,11255,2010
60,2010-03-08 00:00:00,0.6298,0.6979,0.6298,0.6468,17033,2010
61,2010-03-09 00:00:00,0.6638,0.6638,0.6128,0.6383,5346,2010
62,2010-03-10 00:00:00,0.6043,0.6468,0.5872,0.6383,15667,2010
63,2010-03-11 00:00:00,0.5872,0.6213,0.5787,0.6213,9792,2010
64,2010-03-12 00:00:00,0.5872,0.6383,0.5872,0.6383,14118,2010
65,2010-03-15 00:00:00,0.6128,0.6383,0.5872,0.5957,6074,2010
66,2010-03-16 00:00:00,0.5787,0.6128,0.5787,0.6128,2979,2010
67,2010-03-17 00:00:00,0.5702,0.6043,0.5702,0.6043,13437,2010
68,2010-03-18 00:00:00,0.6043,0.6043,0.5702,0.5702,3496,2010
69,2010-03-19 00:00:00,0.5617,0.5872,0.5617,0.5872,3866,2010
70,2010-03-22 00:00:00,0.5872,0.5957,0.5787,0.5957,6051,2010
71,2010-03-23 00:00:00,0.5787,0.5957,0.5787,0.5787,2399,2010
72,2010-03-24 00:00:00,0.5702,0.5702,0.5362,0.5362,29966,2010
73,2010-03-25 00:00:00,0.5447,0.5787,0.5447,0.5787,4130,2010
74,2010-03-26 00:00:00,0.5787,0.5787,0.5362,0.5362,2468,2010
75,2010-03-29 00:00:00,0.5617,0.5617,0.5362,0.5362,1585,2010
76,2010-03-30 00:00:00,0.5191,0.5532,0.5191,0.5532,212,2010
77,2010-03-31 00:00:00,0.5191,0.5191,0.4851,0.5021,38860,2010
78,2010-04-01 00:00:00,0.5021,0.5362,0.4936,0.5362,22907,2010
79,2010-04-06 00:00:00,0.5447,0.5787,0.5447,0.5787,5249,2010
80,2010-04-07 00:00:00,0.5702,0.5702,0.5532,0.5532,2468,2010
81,2010-04-08 00:00:00,0.5277,0.5277,0.5277,0.5277,2820,2010
82,2010-04-09 00:00:00,0.5277,0.5277,0.5191,0.5191,5993,2010
83,2010-04-12 00:00:00,0.5191,0.5191,0.5106,0.5106,5390,2010
