,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2009-05-14 00:00:00,1.8865,6.6972,1.8865,3.7637,51125,2009
1,2009-05-15 00:00:00,3.7448,4.3389999999999995,2.5939,2.9996,65505,2009
2,2009-05-18 00:00:00,2.8298,2.8298,2.311,2.4619,62697,2009
3,2009-05-19 00:00:00,2.4525,2.5939,1.9714,2.2638,55520,2009
4,2009-05-20 00:00:00,2.311,2.311,1.8111,1.9431,50130,2009
5,2009-05-21 00:00:00,1.8959,2.0752,1.745,1.9148,46358,2009
6,2009-05-22 00:00:00,1.7545,1.8394,1.5564,1.5564,28262,2009
7,2009-05-25 00:00:00,1.4715,1.6413,1.33,1.4149,13836,2009
8,2009-05-26 00:00:00,1.4338,1.4621,1.2734,1.33,11391,2009
9,2009-05-27 00:00:00,1.4055,1.5281,1.4055,1.4809999999999999,7464,2009
10,2009-05-28 00:00:00,1.5469,1.5469,1.33,1.4243,1915,2009
11,2009-05-29 00:00:00,1.396,1.5752,1.3771,1.5469,4708,2009
12,2009-06-01 00:00:00,1.5564,1.83,1.5092,1.7639,16903,2009
13,2009-06-02 00:00:00,1.8394,1.9526,1.7262,1.7922,11937,2009
14,2009-06-03 00:00:00,1.7922,1.9714,1.7073,1.7828,5304,2009
15,2009-06-04 00:00:00,1.8582,1.8582,1.6696,1.7828,3334,2009
16,2009-06-05 00:00:00,1.745,1.8771,1.679,1.7828,2686,2009
17,2009-06-08 00:00:00,1.6602,1.7733,1.6036,1.6130000000000002,3680,2009
18,2009-06-09 00:00:00,1.6413,1.6413,1.3677,1.4621,8217,2009
19,2009-06-10 00:00:00,1.4621,1.5752,1.3866,1.4904,6217,2009
20,2009-06-12 00:00:00,1.4904,1.5281,1.4055,1.5281,278,2009
21,2009-06-15 00:00:00,1.4149,1.4809999999999999,1.3206,1.396,10873,2009
22,2009-06-16 00:00:00,1.4055,1.4621,1.33,1.4621,3313,2009
23,2009-06-17 00:00:00,1.33,1.6036,1.33,1.5941,6034,2009
24,2009-06-18 00:00:00,1.5847,1.5847,1.5752,1.5752,214,2009
25,2009-06-19 00:00:00,1.5941,1.5941,1.4904,1.5658,5130,2009
26,2009-06-22 00:00:00,1.5564,1.5564,1.4432,1.5092,3170,2009
27,2009-06-23 00:00:00,1.4526,1.4526,1.4432,1.4432,1865,2009
28,2009-06-24 00:00:00,1.4432,1.5092,1.4432,1.5092,1223,2009
29,2009-06-25 00:00:00,1.5186,1.5941,1.3583,1.5752,2493,2009
30,2009-06-26 00:00:00,1.5564,1.5564,1.3866,1.4621,3292,2009
31,2009-06-29 00:00:00,1.4243,1.4243,1.3677,1.4149,8001,2009
32,2009-06-30 00:00:00,1.4149,1.4149,1.4149,1.4149,4178,2009
33,2009-07-01 00:00:00,1.4149,1.4621,1.4149,1.4621,2,2009
34,2009-07-02 00:00:00,1.4526,1.4904,1.3394,1.3488,3221,2009
35,2009-07-03 00:00:00,1.4243,1.6224,1.4149,1.6130000000000002,10377,2009
36,2009-07-06 00:00:00,1.6224,1.6224,1.6130000000000002,1.6130000000000002,213,2009
37,2009-07-07 00:00:00,1.5941,1.5941,1.5847,1.5847,2,2009
38,2009-07-08 00:00:00,1.5564,1.5564,1.3866,1.4998,158,2009
39,2009-07-09 00:00:00,1.5092,1.5092,1.5092,1.5092,2,2009
40,2009-07-10 00:00:00,1.5092,1.5092,1.5092,1.5092,2,2009
41,2009-07-13 00:00:00,1.5658,1.5658,1.5658,1.5658,2,2009
42,2009-07-14 00:00:00,1.5658,1.5658,1.5564,1.5564,2,2009
43,2009-07-15 00:00:00,1.5564,1.5658,1.396,1.5658,540,2009
44,2009-07-16 00:00:00,1.5564,1.5564,1.3677,1.3771,1090,2009
45,2009-07-17 00:00:00,1.4243,1.5092,1.4243,1.4998,661,2009
46,2009-07-20 00:00:00,1.4998,1.4998,1.3677,1.3677,3,2009
47,2009-07-21 00:00:00,1.4149,1.6413,1.4149,1.6036,11737,2009
48,2009-07-22 00:00:00,1.5186,1.6130000000000002,1.5186,1.5281,436,2009
49,2009-07-23 00:00:00,1.6130000000000002,1.7356,1.6130000000000002,1.6507,648,2009
50,2009-07-24 00:00:00,1.6507,1.7262,1.6507,1.7262,1051,2009
51,2009-07-27 00:00:00,1.7262,1.7262,1.6036,1.7073,2928,2009
52,2009-07-28 00:00:00,1.6978,1.6978,1.4715,1.5375,4034,2009
53,2009-07-29 00:00:00,1.5564,1.679,1.5564,1.679,214,2009
54,2009-07-30 00:00:00,1.679,1.679,1.3771,1.5092,8093,2009
55,2009-07-31 00:00:00,1.6130000000000002,1.6507,1.6130000000000002,1.6507,21,2009
56,2009-08-03 00:00:00,1.6507,1.6507,1.5469,1.6413,659,2009
57,2009-08-04 00:00:00,1.5941,1.6319,1.5941,1.6319,180,2009
58,2009-08-05 00:00:00,1.6319,1.6319,1.4809999999999999,1.4998,2147,2009
59,2009-08-06 00:00:00,1.5092,1.6319,1.5092,1.6319,266,2009
60,2009-08-07 00:00:00,1.6319,1.6319,1.6319,1.6319,2,2009
61,2009-08-10 00:00:00,1.6319,1.7828,1.5658,1.7828,8789,2009
62,2009-08-11 00:00:00,1.8771,2.0281,1.8771,2.0281,13250,2009
63,2009-08-12 00:00:00,2.0281,2.0281,1.8582,2.0281,3220,2009
64,2009-08-13 00:00:00,2.0281,2.0281,1.7922,1.7922,1940,2009
65,2009-08-14 00:00:00,1.7922,1.8771,1.7073,1.8771,3262,2009
66,2009-08-17 00:00:00,1.8771,1.8865,1.8771,1.8865,239,2009
67,2009-08-18 00:00:00,1.8111,1.8111,1.8017,1.8017,880,2009
68,2009-08-19 00:00:00,1.745,2.0186,1.745,1.9714,5142,2009
69,2009-08-20 00:00:00,1.9431,2.0468,1.8865,2.0468,6849,2009
70,2009-08-21 00:00:00,2.1601,2.1601,2.0468,2.1412,537,2009
71,2009-08-24 00:00:00,2.0752,2.1507,1.9809,2.1507,6585,2009
72,2009-08-25 00:00:00,2.1507,2.2449,2.0752,2.2449,7036,2009
73,2009-08-26 00:00:00,2.2544,2.3016,2.2544,2.3016,847,2009
74,2009-08-27 00:00:00,2.2544,2.2544,2.2544,2.2544,1,2009
75,2009-08-28 00:00:00,2.2449,2.311,2.1035,2.311,538,2009
76,2009-08-31 00:00:00,2.2355,2.3299,2.1412,2.1978,4565,2009
77,2009-09-01 00:00:00,2.3299,2.3299,2.1223,2.1695,3294,2009
78,2009-09-02 00:00:00,2.0374,2.3299,2.0281,2.3299,6306,2009
79,2009-09-03 00:00:00,2.311,2.311,2.311,2.311,1,2009
80,2009-09-04 00:00:00,2.3016,2.3016,2.1695,2.1695,362,2009
81,2009-09-07 00:00:00,2.3016,2.3016,2.1695,2.2921,426,2009
82,2009-09-08 00:00:00,2.3016,2.3016,2.3016,2.3016,2,2009
83,2009-09-09 00:00:00,2.2638,2.3016,1.9054,2.1978,5804,2009
84,2009-09-10 00:00:00,2.0846,2.1129,2.0846,2.0846,744,2009
85,2009-09-11 00:00:00,2.0374,2.0374,2.0374,2.0374,211,2009
86,2009-09-14 00:00:00,1.9809,1.9809,1.8865,1.8865,4533,2009
87,2009-09-15 00:00:00,1.8959,1.9714,1.8865,1.9714,1193,2009
88,2009-09-16 00:00:00,2.0092,2.0092,1.9809,1.9809,2121,2009
89,2009-09-17 00:00:00,1.8865,1.9809,1.8865,1.9809,2745,2009
90,2009-09-18 00:00:00,1.9054,1.9809,1.9054,1.9809,574,2009
91,2009-09-21 00:00:00,1.8488,1.9809,1.8394,1.9809,2257,2009
92,2009-09-22 00:00:00,1.8488,1.9714,1.7828,1.9714,7309,2009
93,2009-09-23 00:00:00,1.9809,1.9809,1.9809,1.9809,2,2009
94,2009-09-24 00:00:00,1.9809,1.9809,1.9809,1.9809,2,2009
95,2009-09-25 00:00:00,1.9809,1.9809,1.7922,1.9431,5673,2009
96,2009-09-28 00:00:00,1.8394,1.8394,1.8394,1.8394,753,2009
97,2009-09-29 00:00:00,1.9809,1.9809,1.9809,1.9809,119,2009
98,2009-09-30 00:00:00,1.8771,1.8771,1.7639,1.7639,2502,2009
99,2009-10-01 00:00:00,1.6507,1.9337,1.6507,1.9337,771,2009
100,2009-10-02 00:00:00,1.7922,1.8771,1.7922,1.8771,686,2009
101,2009-10-05 00:00:00,1.8771,1.8771,1.7073,1.8771,13,2009
102,2009-10-06 00:00:00,1.8865,1.8865,1.7262,1.7262,2,2009
103,2009-10-07 00:00:00,1.7356,1.7922,1.7262,1.7922,7305,2009
104,2009-10-08 00:00:00,1.6507,1.7356,1.5847,1.7356,2846,2009
105,2009-10-09 00:00:00,1.6036,1.745,1.6036,1.7262,1631,2009
106,2009-10-12 00:00:00,1.7167,1.7733,1.7167,1.7262,3302,2009
107,2009-10-13 00:00:00,1.7073,1.83,1.6696,1.6696,1237,2009
108,2009-10-14 00:00:00,1.679,1.679,1.679,1.679,108,2009
109,2009-10-15 00:00:00,1.6978,1.83,1.6884,1.83,569,2009
110,2009-10-16 00:00:00,1.8017,1.9148,1.8017,1.9148,998,2009
111,2009-10-19 00:00:00,1.962,1.962,1.962,1.962,1,2009
112,2009-10-20 00:00:00,1.962,1.962,1.962,1.962,1,2009
113,2009-10-21 00:00:00,1.7073,1.7639,1.6130000000000002,1.6696,5520,2009
114,2009-10-22 00:00:00,1.6978,1.8488,1.6978,1.8205,1685,2009
115,2009-10-23 00:00:00,1.6978,1.8488,1.6978,1.8488,229,2009
116,2009-10-26 00:00:00,1.9337,1.9337,1.9337,1.9337,1,2009
117,2009-10-27 00:00:00,1.8205,1.8205,1.6884,1.8205,8,2009
118,2009-10-28 00:00:00,1.9242,1.9242,1.5941,1.9148,69,2009
