,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-11-26 00:00:00,6.55,7.3,6.3,6.5,86963,2013
1,2013-11-27 00:00:00,6.33,6.5,5.8,6.5,47495,2013
2,2013-11-28 00:00:00,6.5,6.59,5.85,6.09,14287,2013
3,2013-11-29 00:00:00,6.09,6.6,5.7,5.7,6680,2013
4,2013-12-02 00:00:00,5.7,5.7,4.57,5.47,41992,2013
5,2013-12-03 00:00:00,5.49,5.49,4.42,5.06,7295,2013
6,2013-12-04 00:00:00,5.0,5.0,4.82,4.98,2605,2013
7,2013-12-05 00:00:00,4.99,5.0,4.99,5.0,400,2013
8,2013-12-06 00:00:00,4.98,5.02,4.71,5.02,24275,2013
9,2013-12-09 00:00:00,5.02,5.02,4.85,4.98,1265,2013
10,2013-12-10 00:00:00,4.88,5.12,4.88,5.12,1071,2013
11,2013-12-11 00:00:00,5.0,5.12,4.82,4.98,16056,2013
12,2013-12-12 00:00:00,4.98,5.12,4.98,5.12,31,2013
13,2013-12-13 00:00:00,5.12,5.16,5.0,5.16,2030,2013
14,2013-12-16 00:00:00,5.16,5.18,4.15,4.68,28200,2013
15,2013-12-19 00:00:00,4.73,4.73,4.73,4.73,1,2013
16,2013-12-20 00:00:00,4.73,5.65,4.73,5.11,5865,2013
17,2013-12-23 00:00:00,4.95,5.32,4.95,5.32,425,2013
18,2013-12-30 00:00:00,5.32,5.89,5.32,5.89,1150,2013
19,2014-01-02 00:00:00,6.59,6.59,6.14,6.34,300,2014
20,2014-01-03 00:00:00,6.34,6.34,5.3,6.0,1558,2014
21,2014-01-07 00:00:00,5.8,5.8,5.48,5.48,985,2014
22,2014-01-09 00:00:00,5.3,5.5,5.1,5.5,1025,2014
23,2014-01-10 00:00:00,5.2,5.2,5.05,5.05,70,2014
24,2014-01-14 00:00:00,5.0,5.0,5.0,5.0,10,2014
25,2014-01-16 00:00:00,4.73,4.73,4.38,4.5,5757,2014
26,2014-01-17 00:00:00,4.45,4.97,4.45,4.97,1750,2014
27,2014-01-20 00:00:00,4.3,4.62,4.2,4.51,1836,2014
28,2014-01-21 00:00:00,4.51,4.7,4.4,4.7,386,2014
29,2014-01-22 00:00:00,4.7,5.13,4.6,5.13,955,2014
30,2014-01-23 00:00:00,5.24,5.24,5.24,5.24,4,2014
31,2014-01-24 00:00:00,5.24,5.24,4.85,4.85,1258,2014
32,2014-01-27 00:00:00,4.8,5.14,4.11,4.75,2062,2014
33,2014-01-28 00:00:00,5.09,5.1,4.75,5.0,2500,2014
34,2014-01-31 00:00:00,5.1,5.21,4.16,5.21,331,2014
35,2014-02-03 00:00:00,5.05,5.37,5.0,5.0,1360,2014
36,2014-02-04 00:00:00,5.37,5.71,5.0,5.68,2641,2014
37,2014-02-05 00:00:00,5.68,5.68,5.68,5.68,5,2014
38,2014-02-06 00:00:00,5.2,7.05,4.99,7.05,32538,2014
39,2014-02-07 00:00:00,6.0,7.75,6.0,7.0,7334,2014
