,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-04-25 00:00:00,13.14,18.9,13.14,18.9,4121,2012
1,2012-04-26 00:00:00,27.03,27.03,27.03,27.03,313,2012
2,2012-04-27 00:00:00,29.0,34.8,24.0,24.0,2272,2012
3,2012-04-30 00:00:00,20.05,23.7,20.05,23.7,1091,2012
4,2012-05-02 00:00:00,22.75,23.87,22.73,22.73,208,2012
5,2012-05-04 00:00:00,22.86,23.84,22.7,22.7,389,2012
6,2012-05-07 00:00:00,27.24,27.24,17.45,17.49,1342,2012
7,2012-05-08 00:00:00,17.49,18.97,17.49,18.97,59,2012
8,2012-05-09 00:00:00,18.97,18.97,15.16,15.16,1210,2012
9,2012-05-10 00:00:00,15.16,15.4,15.16,15.4,76,2012
10,2012-05-11 00:00:00,15.15,15.15,15.15,15.15,5,2012
11,2012-05-14 00:00:00,15.0,16.79,12.0,12.0,328,2012
12,2012-05-15 00:00:00,12.0,14.0,11.5,14.0,17,2012
13,2012-05-16 00:00:00,13.98,14.0,13.4,13.4,79,2012
14,2012-05-17 00:00:00,13.5,13.5,10.72,10.72,13,2012
15,2012-05-18 00:00:00,12.5,12.5,12.5,12.5,1,2012
16,2012-05-21 00:00:00,12.4,14.0,12.4,14.0,68,2012
17,2012-05-22 00:00:00,10.0,12.98,10.0,12.98,641,2012
18,2012-05-23 00:00:00,14.35,14.35,10.0,10.0,506,2012
19,2012-05-25 00:00:00,8.0,11.9,8.0,11.9,42,2012
20,2012-05-28 00:00:00,10.5,10.5,10.5,10.5,4,2012
21,2012-05-29 00:00:00,12.4,12.4,12.4,12.4,40,2012
22,2012-05-30 00:00:00,12.78,12.78,12.78,12.78,1,2012
23,2012-05-31 00:00:00,12.55,12.55,12.55,12.55,39,2012
24,2012-06-04 00:00:00,14.3,14.3,10.05,13.5,118,2012
25,2012-06-05 00:00:00,13.88,13.88,13.88,13.88,1,2012
26,2012-06-06 00:00:00,13.99,13.99,13.99,13.99,1,2012
27,2012-06-11 00:00:00,13.99,13.99,11.19,11.19,274,2012
28,2012-06-13 00:00:00,13.0,13.42,13.0,13.42,31,2012
29,2012-06-14 00:00:00,11.11,14.17,11.11,13.52,311,2012
30,2012-06-15 00:00:00,13.99,13.99,11.0,13.98,318,2012
31,2012-06-18 00:00:00,13.98,13.98,12.0,12.0,79,2012
32,2012-06-19 00:00:00,13.9,13.9,13.9,13.9,1,2012
33,2012-06-25 00:00:00,13.77,13.77,10.3,10.5,200,2012
34,2012-06-26 00:00:00,11.0,11.0,11.0,11.0,280,2012
35,2012-06-27 00:00:00,11.5,11.99,11.0,11.99,220,2012
36,2012-06-28 00:00:00,10.89,10.89,10.89,10.89,200,2012
37,2012-06-29 00:00:00,10.89,10.9,10.89,10.9,175,2012
38,2012-07-02 00:00:00,12.98,12.98,10.9,10.9,243,2012
39,2012-07-03 00:00:00,12.98,12.98,10.94,10.94,258,2012
40,2012-07-04 00:00:00,12.99,12.99,10.9,10.9,223,2012
41,2012-07-05 00:00:00,12.99,12.99,11.0,11.0,203,2012
42,2012-07-06 00:00:00,12.99,12.99,11.0,11.0,113,2012
43,2012-07-09 00:00:00,12.99,12.99,12.99,12.99,1,2012
44,2012-07-10 00:00:00,12.99,12.99,11.0,11.0,101,2012
45,2012-07-11 00:00:00,12.99,12.99,12.99,12.99,1,2012
46,2012-07-13 00:00:00,12.99,12.99,11.16,11.16,36,2012
47,2012-07-16 00:00:00,12.99,12.99,12.96,12.96,17,2012
48,2012-07-18 00:00:00,12.93,12.93,12.93,12.93,1,2012
49,2012-07-23 00:00:00,12.9,12.9,12.9,12.9,1,2012
50,2012-07-25 00:00:00,12.87,12.87,10.32,10.32,101,2012
51,2012-07-26 00:00:00,10.0,10.0,10.0,10.0,67,2012
52,2012-08-01 00:00:00,9.89,9.89,9.89,9.89,100,2012
53,2012-08-03 00:00:00,9.3,9.3,9.3,9.3,100,2012
54,2012-08-06 00:00:00,9.5,9.5,9.5,9.5,40,2012
