,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-09-13 00:00:00,1.15,1.38,1.15,1.38,9000,2010
1,2010-09-14 00:00:00,1.72,2.0,1.72,2.0,16300,2010
2,2010-09-15 00:00:00,2.4,2.4,1.7,2.0,29295,2010
3,2010-09-16 00:00:00,1.83,2.13,1.6,1.7,4572,2010
4,2010-09-17 00:00:00,1.8,1.84,1.36,1.84,4380,2010
5,2010-09-20 00:00:00,1.83,1.83,1.47,1.57,2160,2010
6,2010-09-21 00:00:00,1.79,1.79,1.6,1.69,3195,2010
7,2010-09-22 00:00:00,1.8,1.8,1.45,1.7,11161,2010
8,2010-09-23 00:00:00,1.79,2.0,1.6,2.0,13277,2010
9,2010-09-24 00:00:00,2.04,2.14,1.64,1.73,10883,2010
10,2010-09-27 00:00:00,1.97,1.97,1.67,1.75,1027,2010
11,2010-09-28 00:00:00,1.93,1.93,1.65,1.65,5117,2010
12,2010-09-29 00:00:00,1.68,1.68,1.65,1.65,2125,2010
13,2010-09-30 00:00:00,1.88,1.88,1.88,1.88,3,2010
14,2010-10-01 00:00:00,1.86,1.86,1.86,1.86,3,2010
15,2010-10-04 00:00:00,1.82,1.82,1.62,1.78,1603,2010
16,2010-10-05 00:00:00,1.81,1.81,1.81,1.81,3,2010
17,2010-10-06 00:00:00,1.81,1.81,1.81,1.81,3,2010
18,2010-10-07 00:00:00,1.63,1.8,1.63,1.8,300,2010
19,2010-10-08 00:00:00,1.81,1.81,1.79,1.79,1003,2010
20,2010-10-11 00:00:00,1.83,1.83,1.83,1.83,2003,2010
21,2010-10-12 00:00:00,1.76,1.76,1.76,1.76,3,2010
22,2010-10-13 00:00:00,1.83,1.83,1.67,1.77,1054,2010
23,2010-10-14 00:00:00,1.76,1.76,1.7,1.7,3993,2010
24,2010-10-15 00:00:00,1.78,1.78,1.78,1.78,4,2010
25,2010-10-18 00:00:00,1.78,1.78,1.76,1.76,262,2010
26,2010-10-19 00:00:00,1.76,1.76,1.76,1.76,4,2010
27,2010-10-20 00:00:00,1.76,1.76,1.76,1.76,3,2010
28,2010-10-21 00:00:00,1.76,1.76,1.76,1.76,828,2010
29,2010-10-22 00:00:00,1.83,1.83,1.78,1.78,1203,2010
30,2010-10-25 00:00:00,1.83,1.83,1.83,1.83,3,2010
31,2010-10-26 00:00:00,1.83,1.83,1.8,1.8,302,2010
32,2010-10-27 00:00:00,1.83,1.83,1.83,1.83,2,2010
33,2010-10-28 00:00:00,1.83,1.83,1.83,1.83,3,2010
34,2010-11-02 00:00:00,1.82,1.82,1.82,1.82,4,2010
