,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-05-23 00:00:00,3.9,3.9,2.49,2.49,64893,2011
1,2011-05-24 00:00:00,2.25,2.35,2.15,2.18,16037,2011
2,2011-05-25 00:00:00,2.28,2.55,2.28,2.43,5520,2011
3,2011-05-26 00:00:00,2.43,2.67,2.26,2.52,4268,2011
4,2011-05-27 00:00:00,2.3,2.48,2.12,2.4,5403,2011
5,2011-05-30 00:00:00,2.48,2.82,2.48,2.82,10963,2011
6,2011-05-31 00:00:00,2.9,2.9,2.75,2.9,1100,2011
7,2011-06-01 00:00:00,2.9,2.9,2.84,2.84,540,2011
8,2011-06-02 00:00:00,2.84,2.84,2.5,2.58,1412,2011
9,2011-06-03 00:00:00,2.5,2.9,2.5,2.9,783,2011
10,2011-06-06 00:00:00,2.85,3.13,2.5,3.13,2922,2011
11,2011-06-07 00:00:00,3.0,3.05,2.7,2.9,1810,2011
12,2011-06-08 00:00:00,2.6,2.9,2.6,2.9,1840,2011
13,2011-06-09 00:00:00,2.65,2.9,2.6,2.9,3510,2011
14,2011-06-10 00:00:00,2.65,2.75,2.5,2.52,2759,2011
15,2011-06-13 00:00:00,2.52,2.67,2.5,2.67,4579,2011
16,2011-06-14 00:00:00,2.75,3.15,2.75,3.1,3341,2011
17,2011-06-15 00:00:00,2.9,3.7,2.73,3.59,8030,2011
18,2011-06-16 00:00:00,3.49,3.49,2.88,3.48,4466,2011
19,2011-06-17 00:00:00,3.1,3.4,3.0,3.4,1210,2011
20,2011-06-20 00:00:00,3.0,3.0,2.73,2.75,1496,2011
21,2011-06-21 00:00:00,2.5,2.6,2.5,2.6,3741,2011
22,2011-06-22 00:00:00,2.27,2.77,2.27,2.5,1967,2011
23,2011-06-24 00:00:00,2.31,2.6,2.05,2.1,3082,2011
24,2011-06-27 00:00:00,2.05,2.3,2.05,2.3,696,2011
25,2011-06-28 00:00:00,2.3,2.47,2.3,2.4,1100,2011
26,2011-06-29 00:00:00,2.33,2.4,2.2,2.2,1315,2011
27,2011-06-30 00:00:00,2.2,2.75,2.0,2.75,5530,2011
28,2011-07-01 00:00:00,2.6,2.7,2.3,2.7,2170,2011
29,2011-07-05 00:00:00,2.5,2.5,2.4,2.4,912,2011
30,2011-07-06 00:00:00,2.4,2.69,2.31,2.55,2273,2011
31,2011-07-07 00:00:00,2.31,2.7,2.31,2.7,1415,2011
32,2011-07-08 00:00:00,2.4,2.9,2.4,2.9,1623,2011
33,2011-07-12 00:00:00,2.85,2.85,2.7,2.7,70,2011
34,2011-07-13 00:00:00,2.6,2.6,1.75,1.88,12256,2011
35,2011-07-14 00:00:00,2.25,2.25,1.52,1.7,24933,2011
36,2011-07-15 00:00:00,1.57,1.57,1.16,1.45,22998,2011
37,2011-07-18 00:00:00,1.5,1.5,1.32,1.32,5446,2011
38,2011-07-19 00:00:00,1.3,1.44,1.3,1.44,3176,2011
39,2011-07-20 00:00:00,1.43,1.59,1.43,1.59,4300,2011
40,2011-07-21 00:00:00,1.59,1.8,1.59,1.8,6,2011
41,2011-07-22 00:00:00,1.79,1.79,1.7,1.7,2015,2011
42,2011-07-25 00:00:00,1.82,2.0,1.46,1.5,14667,2011
43,2011-07-26 00:00:00,1.45,1.45,1.25,1.25,6450,2011
44,2011-07-27 00:00:00,1.2,1.38,1.05,1.25,4475,2011
45,2011-07-28 00:00:00,1.2,1.25,1.08,1.25,1801,2011
46,2011-07-29 00:00:00,1.07,1.25,1.0,1.14,12902,2011
47,2011-08-01 00:00:00,0.95,1.19,0.91,1.19,56019,2011
48,2011-08-02 00:00:00,1.19,1.3,1.15,1.29,1919,2011
49,2011-08-03 00:00:00,1.3,1.49,1.17,1.17,2495,2011
50,2011-08-04 00:00:00,1.11,1.11,0.8,0.8,12975,2011
51,2011-08-05 00:00:00,0.8,0.8,0.65,0.75,9549,2011
52,2011-08-08 00:00:00,0.6,0.75,0.6,0.75,1620,2011
53,2011-08-09 00:00:00,0.6,0.7,0.5,0.7,25500,2011
54,2011-08-10 00:00:00,0.7,0.74,0.57,0.62,11282,2011
55,2011-08-11 00:00:00,0.57,0.57,0.5,0.5,27575,2011
56,2011-08-12 00:00:00,0.56,0.6,0.56,0.6,6671,2011
57,2011-08-16 00:00:00,0.6,0.69,0.6,0.65,23894,2011
58,2011-08-17 00:00:00,0.64,0.65,0.59,0.6,23594,2011
59,2011-08-18 00:00:00,0.6,0.6,0.51,0.51,14895,2011
60,2011-08-19 00:00:00,0.51,0.51,0.5,0.5,1100,2011
61,2011-08-22 00:00:00,0.49,0.55,0.47,0.5,24390,2011
62,2011-08-23 00:00:00,0.47,0.48,0.44,0.48,6877,2011
63,2011-08-24 00:00:00,0.44,0.44,0.4,0.44,23083,2011
64,2011-08-25 00:00:00,0.44,0.52,0.44,0.47,113747,2011
65,2011-08-26 00:00:00,0.47,0.47,0.4,0.4,129713,2011
66,2011-08-29 00:00:00,0.4,0.41,0.39,0.39,52854,2011
67,2011-08-30 00:00:00,0.39,0.4,0.37,0.39,71412,2011
68,2011-08-31 00:00:00,0.39,0.4,0.36,0.4,29732,2011
69,2011-09-01 00:00:00,0.39,0.39,0.38,0.38,4000,2011
70,2011-09-02 00:00:00,0.38,0.38,0.38,0.38,11000,2011
71,2011-09-05 00:00:00,0.41,0.41,0.37,0.4,7667,2011
72,2011-09-06 00:00:00,0.4,0.4,0.35,0.38,88578,2011
73,2011-09-07 00:00:00,0.38,0.39,0.37,0.39,16803,2011
74,2011-09-08 00:00:00,0.39,0.39,0.36,0.39,3480,2011
75,2011-09-09 00:00:00,0.37,0.39,0.36,0.36,12550,2011
76,2011-09-12 00:00:00,0.36,0.39,0.36,0.39,11400,2011
77,2011-09-13 00:00:00,0.39,0.4,0.38,0.39,22453,2011
78,2011-09-14 00:00:00,0.39,0.41,0.39,0.4,22177,2011
79,2011-09-15 00:00:00,0.41,0.41,0.38,0.38,9464,2011
80,2011-09-16 00:00:00,0.37,0.41,0.37,0.41,18955,2011
81,2011-09-19 00:00:00,0.41,0.41,0.38,0.38,4423,2011
82,2011-09-20 00:00:00,0.38,0.4,0.38,0.39,16383,2011
83,2011-09-21 00:00:00,0.39,0.39,0.34,0.36,23940,2011
84,2011-09-22 00:00:00,0.33,0.36,0.33,0.36,4322,2011
