,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-08-19 00:00:00,0.7409,0.8825,0.7159,0.7825,628753,2010
1,2010-08-20 00:00:00,0.8158,0.8241,0.7326,0.7659,102897,2010
2,2010-08-23 00:00:00,0.7492,0.8575,0.7492,0.7908,200673,2010
3,2010-08-24 00:00:00,0.7992,0.8158,0.7575,0.7992,170235,2010
4,2010-08-25 00:00:00,0.8075,1.0323,0.7992,0.9991,253048,2010
5,2010-08-26 00:00:00,1.024,1.1156,0.9158,0.9575,217812,2010
6,2010-08-27 00:00:00,0.9741,0.9825,0.8825,0.8825,110365,2010
7,2010-08-30 00:00:00,0.8658,0.9324,0.8409,0.8492,44048,2010
8,2010-08-31 00:00:00,0.8908,0.8991,0.8325,0.8492,37809,2010
9,2010-09-01 00:00:00,0.8325,0.8991,0.8158,0.8742,40388,2010
10,2010-09-02 00:00:00,0.8658,0.8658,0.8325,0.8325,37327,2010
11,2010-09-03 00:00:00,0.8241,0.9658,0.8158,0.8908,102088,2010
12,2010-09-06 00:00:00,0.9324,0.9658,0.8991,0.9658,39909,2010
13,2010-09-07 00:00:00,0.9241,0.9575,0.8908,0.9075,42492,2010
14,2010-09-08 00:00:00,0.9158,0.9492,0.9158,0.9241,42928,2010
15,2010-09-09 00:00:00,0.9075,0.9075,0.8409,0.8908,45907,2010
16,2010-09-10 00:00:00,0.8658,0.8991,0.8658,0.8991,11759,2010
17,2010-09-13 00:00:00,0.8575,1.074,0.8409,0.9991,181453,2010
18,2010-09-14 00:00:00,0.9908,1.0156,0.9407,0.9658,33207,2010
19,2010-09-15 00:00:00,0.9241,0.9991,0.9158,0.9492,47454,2010
20,2010-09-16 00:00:00,0.8991,0.9241,0.8825,0.8991,60292,2010
21,2010-09-17 00:00:00,0.9158,0.9908,0.8825,0.9825,88096,2010
22,2010-09-20 00:00:00,0.9575,0.9908,0.9241,0.9407,34307,2010
23,2010-09-21 00:00:00,0.9407,0.9908,0.9158,0.9492,51585,2010
24,2010-09-22 00:00:00,0.9241,0.9658,0.9158,0.9658,19605,2010
25,2010-09-23 00:00:00,0.9492,0.9492,0.8991,0.9324,39856,2010
26,2010-09-24 00:00:00,0.9241,0.9407,0.8991,0.9241,25379,2010
27,2010-09-27 00:00:00,0.8991,0.9407,0.8991,0.9407,7666,2010
28,2010-09-28 00:00:00,0.9324,0.9324,0.9075,0.9241,14906,2010
29,2010-09-29 00:00:00,0.9324,0.9324,0.8742,0.9075,35180,2010
30,2010-09-30 00:00:00,0.8825,0.9575,0.8658,0.9575,27284,2010
31,2010-10-01 00:00:00,0.9575,0.9575,0.9158,0.9492,11638,2010
32,2010-10-04 00:00:00,0.9158,0.9575,0.9158,0.9492,8971,2010
33,2010-10-05 00:00:00,0.9407,0.9407,0.9075,0.9158,3207,2010
34,2010-10-06 00:00:00,0.9075,0.9407,0.8991,0.9407,8653,2010
35,2010-10-07 00:00:00,0.9324,0.9324,0.9324,0.9324,600,2010
36,2010-10-08 00:00:00,0.9324,0.9324,0.9158,0.9158,4522,2010
37,2010-10-11 00:00:00,0.9158,0.9158,0.9075,0.9158,1408,2010
38,2010-10-12 00:00:00,0.9075,0.9075,0.8325,0.8575,69263,2010
39,2010-10-13 00:00:00,0.8492,0.8742,0.8492,0.8575,10943,2010
40,2010-10-14 00:00:00,0.8575,0.8825,0.8325,0.8658,41054,2010
41,2010-10-15 00:00:00,0.8409,0.8492,0.8158,0.8325,19971,2010
42,2010-10-18 00:00:00,0.8325,0.8492,0.7908,0.8492,28768,2010
43,2010-10-19 00:00:00,0.8158,0.8409,0.8158,0.8325,9293,2010
44,2010-10-20 00:00:00,0.8158,0.8325,0.8158,0.8325,8889,2010
45,2010-10-21 00:00:00,0.8158,0.8409,0.8158,0.8409,10821,2010
46,2010-10-22 00:00:00,0.8158,0.8492,0.8158,0.8492,1136,2010
47,2010-10-25 00:00:00,0.8492,0.8492,0.8158,0.8241,15258,2010
48,2010-10-26 00:00:00,0.8158,0.8409,0.8075,0.8409,13694,2010
49,2010-10-27 00:00:00,0.8409,0.8409,0.8241,0.8241,721,2010
50,2010-10-28 00:00:00,0.8075,0.8158,0.7825,0.8075,11546,2010
51,2010-10-29 00:00:00,0.7991,0.8075,0.7905,0.8075,3602,2010
52,2010-11-02 00:00:00,0.8158,0.8158,0.7908,0.7992,15032,2010
53,2010-11-03 00:00:00,0.8075,0.8075,0.7825,0.8075,14661,2010
54,2010-11-04 00:00:00,0.8075,0.8075,0.7825,0.7908,9177,2010
55,2010-11-08 00:00:00,0.7742,0.7992,0.7659,0.7908,10817,2010
56,2010-11-09 00:00:00,0.7825,0.7825,0.7659,0.7825,4571,2010
57,2010-11-10 00:00:00,0.7659,0.8325,0.7575,0.7825,19839,2010
58,2010-11-12 00:00:00,0.7575,0.7742,0.7575,0.7742,2610,2010
59,2010-11-15 00:00:00,0.7659,0.7825,0.7659,0.7825,2529,2010
60,2010-11-16 00:00:00,0.7742,0.7825,0.7409,0.7409,8289,2010
61,2010-11-17 00:00:00,0.7575,0.8991,0.7243,0.8241,60864,2010
62,2010-11-18 00:00:00,0.8241,0.8658,0.7659,0.7908,21120,2010
63,2010-11-19 00:00:00,0.7908,0.7908,0.7409,0.7742,4088,2010
64,2010-11-22 00:00:00,0.7908,0.8075,0.7825,0.8075,8862,2010
65,2010-11-23 00:00:00,0.7659,0.7908,0.7659,0.7908,2080,2010
