,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-01-28 00:00:00,2.3419,2.3545,1.7233,1.8212,280835,2010
1,2010-01-29 00:00:00,1.7643,1.8243,1.7328,1.8243,25075,2010
2,2010-02-01 00:00:00,1.8243,1.8243,1.7959,1.8243,9260,2010
3,2010-02-02 00:00:00,1.7959,1.7959,1.777,1.7928,7197,2010
4,2010-02-03 00:00:00,1.7928,1.8747,1.7928,1.8747,12997,2010
5,2010-02-04 00:00:00,1.8747,1.8747,1.7897,1.8558,7971,2010
6,2010-02-05 00:00:00,1.8085,1.8527,1.7707,1.8527,8496,2010
7,2010-02-08 00:00:00,1.8558,1.8558,1.7707,1.8243,10697,2010
8,2010-02-09 00:00:00,1.8181,1.8181,1.7486,1.7643,7729,2010
9,2010-02-10 00:00:00,1.7643,1.7643,1.7043,1.7612,7731,2010
10,2010-02-11 00:00:00,1.7643,1.7643,1.7643,1.7643,33,2010
11,2010-02-12 00:00:00,1.7643,1.7643,1.7202,1.7612,1792,2010
12,2010-02-15 00:00:00,1.7612,1.7612,1.7202,1.7612,1920,2010
13,2010-02-16 00:00:00,1.8181,1.8181,1.8181,1.8181,63,2010
14,2010-02-17 00:00:00,1.8085,1.8085,1.7202,1.8085,4995,2010
15,2010-02-18 00:00:00,1.8085,1.8085,1.8085,1.8085,33,2010
16,2010-02-19 00:00:00,1.8085,1.8085,1.6728,1.7959,1677,2010
17,2010-02-22 00:00:00,1.7043,1.8053,1.7043,1.8053,509,2010
18,2010-02-23 00:00:00,1.8053,1.8053,1.8053,1.8053,33,2010
19,2010-02-24 00:00:00,1.8053,1.8053,1.7328,1.7959,857,2010
20,2010-02-25 00:00:00,1.7928,1.7928,1.6728,1.78,7338,2010
21,2010-02-26 00:00:00,1.7707,1.7707,1.6728,1.7612,2431,2010
22,2010-03-01 00:00:00,1.7581,1.7581,1.6571,1.7328,3326,2010
23,2010-03-02 00:00:00,1.7043,2.0769,1.7043,2.0769,35269,2010
24,2010-03-03 00:00:00,2.0958,2.0958,1.8243,2.0516,12543,2010
25,2010-03-04 00:00:00,1.9883,2.0484,1.9158,1.9758,4149,2010
26,2010-03-05 00:00:00,2.0073,2.0484,1.9758,1.9758,856,2010
27,2010-03-08 00:00:00,2.0484,2.0484,2.0232,2.0232,1707,2010
28,2010-03-09 00:00:00,2.0673,2.2505,1.9758,1.9758,6937,2010
29,2010-03-11 00:00:00,1.9158,1.9727,1.8591,1.9727,8844,2010
30,2010-03-12 00:00:00,1.8717,1.8875,1.8117,1.8875,1731,2010
31,2010-03-15 00:00:00,1.8558,1.9727,1.8243,1.9727,10240,2010
32,2010-03-16 00:00:00,1.8875,1.8875,1.8275,1.8275,984,2010
33,2010-03-17 00:00:00,1.8307,1.9285,1.8307,1.9285,101,2010
34,2010-03-18 00:00:00,1.9443,1.9727,1.9443,1.9474,79058,2010
35,2010-03-19 00:00:00,1.9727,1.9727,1.9727,1.9727,33,2010
36,2010-03-22 00:00:00,1.9727,1.9727,1.9474,1.9474,4302,2010
37,2010-03-23 00:00:00,1.9317,1.9317,1.9317,1.9317,654,2010
38,2010-03-24 00:00:00,1.9158,1.9158,1.9,1.9,66400,2010
39,2010-03-25 00:00:00,1.9,1.9632,1.9,1.9632,82348,2010
40,2010-03-26 00:00:00,1.9632,1.9632,1.9632,1.9632,33,2010
41,2010-03-29 00:00:00,1.9632,1.9632,1.9474,1.9474,62,2010
42,2010-03-30 00:00:00,1.9474,1.9474,1.8843,1.8843,6312,2010
43,2010-03-31 00:00:00,1.8875,1.8875,1.8558,1.8558,495,2010
44,2010-04-01 00:00:00,1.8843,1.8843,1.8243,1.8243,8414,2010
45,2010-04-06 00:00:00,1.8243,1.8243,1.8243,1.8243,33,2010
46,2010-04-07 00:00:00,1.8243,1.8243,1.8243,1.8243,33,2010
47,2010-04-08 00:00:00,1.8243,1.8243,1.7486,1.7486,4646,2010
48,2010-04-09 00:00:00,1.7076,1.7202,1.6571,1.7202,10428,2010
49,2010-04-12 00:00:00,1.6413,1.8117,1.5812,1.8117,151977,2010
50,2010-04-14 00:00:00,1.8212,1.8212,1.8212,1.8212,33,2010
51,2010-04-15 00:00:00,1.8212,1.8212,1.8212,1.8212,33,2010
52,2010-04-16 00:00:00,1.8212,1.8212,1.8212,1.8212,33,2010
53,2010-04-19 00:00:00,1.8212,1.8212,1.8212,1.8212,33,2010
54,2010-04-20 00:00:00,1.8212,1.8212,1.8212,1.8212,33,2010
55,2010-04-21 00:00:00,1.8212,1.8212,1.7043,1.7043,1349,2010
56,2010-04-22 00:00:00,1.7043,1.7043,1.7043,1.7043,33,2010
57,2010-04-23 00:00:00,1.7043,1.7043,1.6444,1.6444,572,2010
58,2010-04-26 00:00:00,1.6475,1.7643,1.6475,1.7643,196,2010
59,2010-04-27 00:00:00,1.7928,1.7928,1.7928,1.7928,33,2010
60,2010-04-28 00:00:00,1.78,1.78,1.78,1.78,33,2010
61,2010-04-29 00:00:00,1.7612,1.7612,1.7612,1.7612,33,2010
62,2010-04-30 00:00:00,1.7581,1.7643,1.6728,1.7643,72,2010
63,2010-05-04 00:00:00,1.7643,1.7643,1.7643,1.7643,33,2010
64,2010-05-05 00:00:00,1.7643,1.7643,1.7643,1.7643,33,2010
65,2010-05-06 00:00:00,1.7643,1.7643,1.7643,1.7643,33,2010
66,2010-05-07 00:00:00,1.635,1.635,1.6318,1.6318,4104,2010
67,2010-05-10 00:00:00,1.6318,1.6318,1.6318,1.6318,33,2010
68,2010-05-11 00:00:00,1.6318,1.6318,1.6318,1.6318,33,2010
69,2010-05-12 00:00:00,1.6318,1.7328,1.5213,1.7328,1350,2010
70,2010-05-14 00:00:00,1.7297,1.7297,1.6444,1.6444,9207,2010
71,2010-05-17 00:00:00,1.7297,1.7297,1.7297,1.7297,326,2010
72,2010-05-18 00:00:00,1.7297,1.7297,1.7265,1.7265,806,2010
73,2010-05-19 00:00:00,1.6413,1.7297,1.4266,1.6413,14202,2010
74,2010-05-20 00:00:00,1.6413,1.6413,1.6413,1.6413,33,2010
75,2010-05-21 00:00:00,1.6413,1.6413,1.6413,1.6413,33,2010
