,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-12-17 00:00:00,1.64,1.64,1.64,1.64,12960,2012
1,2012-12-18 00:00:00,1.67,2.21,1.53,1.65,31710,2012
2,2012-12-19 00:00:00,1.7,1.81,1.51,1.73,14853,2012
3,2012-12-20 00:00:00,1.8,1.8,1.17,1.32,21448,2012
4,2012-12-21 00:00:00,1.32,1.32,1.2,1.22,12550,2012
5,2012-12-27 00:00:00,1.23,1.45,1.23,1.3,9059,2012
6,2012-12-28 00:00:00,1.27,1.27,1.22,1.22,3840,2012
7,2013-01-02 00:00:00,1.22,1.27,1.18,1.27,2313,2013
8,2013-01-03 00:00:00,1.26,1.26,1.12,1.12,3257,2013
9,2013-01-04 00:00:00,1.18,1.18,1.18,1.18,100,2013
10,2013-01-07 00:00:00,1.15,1.34,1.15,1.34,13708,2013
11,2013-01-08 00:00:00,1.4,1.45,1.19,1.26,14617,2013
12,2013-01-09 00:00:00,1.26,1.26,1.25,1.26,1525,2013
13,2013-01-10 00:00:00,1.26,1.26,1.26,1.26,1050,2013
14,2013-01-11 00:00:00,1.24,1.24,1.17,1.21,1365,2013
15,2013-01-14 00:00:00,1.21,1.21,1.21,1.21,15,2013
16,2013-01-15 00:00:00,1.21,1.21,1.17,1.17,610,2013
17,2013-01-16 00:00:00,1.2,1.2,1.2,1.2,20,2013
18,2013-01-17 00:00:00,1.2,1.2,1.08,1.08,1120,2013
19,2013-01-18 00:00:00,1.08,1.08,1.08,1.08,700,2013
20,2013-01-21 00:00:00,1.06,1.06,0.97,0.97,2000,2013
21,2013-01-22 00:00:00,0.92,0.92,0.92,0.92,757,2013
22,2013-01-24 00:00:00,0.9,0.9,0.9,0.9,2228,2013
23,2013-01-25 00:00:00,0.9,0.9,0.9,0.9,72,2013
24,2013-01-31 00:00:00,0.9,1.05,0.9,1.05,3650,2013
25,2013-02-01 00:00:00,1.01,1.01,0.99,0.99,1600,2013
26,2013-02-04 00:00:00,0.99,0.99,0.99,0.99,2020,2013
27,2013-02-05 00:00:00,1.0,1.0,1.0,1.0,15,2013
28,2013-02-06 00:00:00,1.0,1.0,0.96,0.96,373,2013
29,2013-02-07 00:00:00,0.96,0.96,0.94,0.96,2060,2013
30,2013-02-08 00:00:00,0.98,1.11,0.98,1.08,7314,2013
31,2013-02-11 00:00:00,1.08,1.08,1.08,1.08,15,2013
32,2013-02-12 00:00:00,1.05,1.05,1.05,1.05,283,2013
33,2013-02-13 00:00:00,1.05,1.05,1.05,1.05,5217,2013
34,2013-02-14 00:00:00,1.02,1.02,1.01,1.01,1100,2013
35,2013-02-15 00:00:00,1.01,1.01,0.98,0.98,5520,2013
36,2013-02-18 00:00:00,0.98,1.04,0.98,1.04,3570,2013
37,2013-02-19 00:00:00,1.04,1.04,1.04,1.04,1150,2013
38,2013-02-20 00:00:00,1.02,1.02,1.0,1.0,2140,2013
39,2013-02-21 00:00:00,1.01,1.05,1.01,1.05,1070,2013
40,2013-02-22 00:00:00,1.05,1.05,1.05,1.05,550,2013
41,2013-02-25 00:00:00,1.06,1.07,1.03,1.07,1750,2013
42,2013-02-26 00:00:00,1.07,1.08,1.07,1.08,3235,2013
43,2013-02-27 00:00:00,1.09,1.15,1.09,1.11,9531,2013
44,2013-02-28 00:00:00,1.12,1.13,1.07,1.13,3050,2013
45,2013-03-01 00:00:00,1.14,1.15,1.06,1.06,9582,2013
46,2013-03-04 00:00:00,1.05,1.05,1.05,1.05,2700,2013
47,2013-03-05 00:00:00,1.09,1.11,1.06,1.06,2325,2013
48,2013-03-06 00:00:00,1.06,1.06,1.06,1.06,320,2013
49,2013-03-07 00:00:00,1.09,1.2,1.03,1.2,4271,2013
50,2013-03-08 00:00:00,1.19,1.19,1.1,1.1,1382,2013
51,2013-03-11 00:00:00,1.1,1.1,1.1,1.1,938,2013
52,2013-03-12 00:00:00,1.08,1.08,1.03,1.03,770,2013
53,2013-03-13 00:00:00,1.05,1.05,1.05,1.05,50,2013
54,2013-03-14 00:00:00,1.05,1.14,1.05,1.14,1330,2013
55,2013-03-15 00:00:00,1.1,1.16,1.1,1.16,130,2013
56,2013-03-19 00:00:00,1.15,1.15,1.14,1.14,53,2013
57,2013-03-20 00:00:00,1.14,1.14,1.08,1.08,2537,2013
58,2013-03-21 00:00:00,1.08,1.17,1.08,1.17,1060,2013
59,2013-03-22 00:00:00,1.17,1.17,1.17,1.17,30,2013
60,2013-03-25 00:00:00,1.15,1.15,1.15,1.15,10,2013
61,2013-03-26 00:00:00,1.15,1.15,1.15,1.15,50,2013
62,2013-03-27 00:00:00,1.1,1.1,1.06,1.06,461,2013
63,2013-03-28 00:00:00,1.06,1.06,1.06,1.06,25,2013
64,2013-04-02 00:00:00,1.06,1.06,1.06,1.06,18,2013
65,2013-04-03 00:00:00,1.06,1.06,1.06,1.06,925,2013
66,2013-04-04 00:00:00,1.06,1.06,1.06,1.06,1274,2013
67,2013-04-05 00:00:00,1.02,1.02,1.02,1.02,1300,2013
68,2013-04-08 00:00:00,1.01,1.01,1.01,1.01,10,2013
