,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2019-09-20 00:00:00,65.0,95.0,65.0,95.0,438,2019
1,2019-09-23 00:00:00,101.0,120.0,101.0,120.0,41,2019
2,2019-09-24 00:00:00,150.0,180.0,150.0,180.0,51,2019
3,2019-09-25 00:00:00,216.0,259.2,216.0,259.2,43,2019
4,2019-09-26 00:00:00,300.0,300.0,299.95,300.0,31,2019
5,2019-09-27 00:00:00,249.9,249.9,200.0,200.0,20,2019
6,2019-09-30 00:00:00,150.0,180.0,120.0,175.0,39,2019
7,2019-10-01 00:00:00,180.0,215.0,144.0,144.0,31,2019
8,2019-10-02 00:00:00,150.0,180.0,120.0,169.0,39,2019
9,2019-10-07 00:00:00,169.0,179.8,140.0,140.0,5,2019
10,2019-10-08 00:00:00,149.0,150.0,120.0,144.9,28,2019
11,2019-10-09 00:00:00,130.0,130.0,104.0,130.0,21,2019
12,2019-10-10 00:00:00,120.0,130.0,120.0,130.0,10,2019
13,2019-10-11 00:00:00,120.0,120.0,120.0,120.0,1,2019
14,2019-10-14 00:00:00,110.0,110.0,88.0,88.0,12,2019
15,2019-10-15 00:00:00,95.0,95.0,95.0,95.0,3,2019
16,2019-10-16 00:00:00,100.0,100.0,100.0,100.0,16,2019
17,2019-10-17 00:00:00,120.0,150.0,120.0,150.0,16,2019
18,2019-10-18 00:00:00,120.0,120.0,120.0,120.0,10,2019
19,2019-10-21 00:00:00,100.0,100.0,80.0,80.0,57,2019
20,2019-10-22 00:00:00,74.0,79.0,50.0,50.0,113,2019
21,2019-10-23 00:00:00,55.0,66.0,55.0,66.0,22,2019
22,2019-10-24 00:00:00,60.0,60.0,55.0,55.0,25,2019
23,2019-10-28 00:00:00,55.5,66.0,50.0,66.0,47,2019
24,2019-10-31 00:00:00,65.6,65.6,65.0,65.0,3,2019
25,2019-11-07 00:00:00,64.0,70.0,64.0,70.0,15,2019
26,2019-11-08 00:00:00,79.8,100.0,79.8,100.0,34,2019
27,2019-11-12 00:00:00,111.0,132.0,111.0,132.0,18,2019
28,2019-11-13 00:00:00,152.02,182.0,152.02,182.0,70,2019
