,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-02-15 00:00:00,1.42,2.01,1.42,1.63,651301,2012
1,2012-02-16 00:00:00,1.59,1.66,1.41,1.41,619091,2012
2,2012-02-17 00:00:00,1.47,1.55,1.39,1.43,957162,2012
3,2012-02-20 00:00:00,1.46,1.46,1.19,1.2,720019,2012
4,2012-02-21 00:00:00,1.25,1.3,1.24,1.25,315156,2012
5,2012-02-22 00:00:00,1.3,1.34,1.14,1.2,535989,2012
6,2012-02-23 00:00:00,1.19,1.27,1.09,1.27,491022,2012
7,2012-02-24 00:00:00,1.28,1.29,1.05,1.07,1454593,2012
8,2012-02-27 00:00:00,1.07,1.09,0.89,0.9,1251608,2012
9,2012-02-28 00:00:00,0.92,0.95,0.75,0.75,1211422,2012
10,2012-02-29 00:00:00,0.76,0.84,0.76,0.81,1076659,2012
11,2012-03-01 00:00:00,0.84,0.85,0.74,0.75,1167316,2012
12,2012-03-02 00:00:00,0.76,0.84,0.7,0.7,3039900,2012
13,2012-03-05 00:00:00,0.69,0.72,0.56,0.56,1085780,2012
14,2012-03-06 00:00:00,0.59,0.6,0.49,0.5,1342909,2012
15,2012-03-07 00:00:00,0.49,0.55,0.47,0.52,276131,2012
16,2012-03-08 00:00:00,0.55,0.58,0.52,0.53,1202718,2012
17,2012-03-09 00:00:00,0.53,0.53,0.48,0.49,67409,2012
18,2012-03-12 00:00:00,0.49,0.55,0.47,0.49,246130,2012
19,2012-03-13 00:00:00,0.48,0.5,0.42,0.42,139214,2012
20,2012-03-14 00:00:00,0.42,0.43,0.39,0.43,51753,2012
21,2012-03-15 00:00:00,0.45,0.45,0.42,0.42,41958,2012
22,2012-03-16 00:00:00,0.41,0.48,0.36,0.47,103343,2012
23,2012-03-19 00:00:00,0.47,0.47,0.42,0.46,4172,2012
24,2012-03-20 00:00:00,0.46,0.46,0.42,0.46,3250,2012
25,2012-03-21 00:00:00,0.46,0.46,0.39,0.44,29029,2012
26,2012-03-22 00:00:00,0.41,0.44,0.37,0.39,109265,2012
27,2012-03-23 00:00:00,0.4,0.41,0.33,0.41,44987,2012
28,2012-03-26 00:00:00,0.38,0.41,0.35,0.41,27288,2012
29,2012-03-27 00:00:00,0.41,0.43,0.38,0.43,22860,2012
30,2012-03-28 00:00:00,0.44,0.61,0.42,0.61,396408,2012
31,2012-03-29 00:00:00,0.64,0.7,0.5,0.67,1291569,2012
32,2012-03-30 00:00:00,0.7,0.72,0.58,0.6,1188100,2012
33,2012-04-02 00:00:00,0.65,0.82,0.64,0.82,1084284,2012
34,2012-04-03 00:00:00,0.9,1.24,0.86,1.1,1574376,2012
35,2012-04-04 00:00:00,1.06,1.17,0.85,0.86,747126,2012
