,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-11-29 00:00:00,12.0,12.4,12.0,12.4,936,2012
1,2012-11-30 00:00:00,12.8,12.92,12.0,12.91,758,2012
2,2012-12-03 00:00:00,12.9,12.9,10.6,12.5,448,2012
3,2012-12-04 00:00:00,10.7,12.99,10.7,12.99,102,2012
4,2012-12-05 00:00:00,10.81,12.94,10.81,12.94,2,2012
5,2012-12-06 00:00:00,13.31,13.31,13.29,13.29,182,2012
6,2012-12-07 00:00:00,14.84,14.84,13.26,13.27,202,2012
7,2012-12-10 00:00:00,14.83,14.83,13.27,13.27,142,2012
8,2012-12-11 00:00:00,14.75,14.75,12.0,13.74,5110,2012
9,2012-12-12 00:00:00,13.74,13.89,12.0,13.89,3,2012
10,2012-12-13 00:00:00,13.89,13.9,13.89,13.9,4,2012
11,2012-12-14 00:00:00,13.89,13.89,12.07,13.89,3,2012
12,2012-12-17 00:00:00,12.51,12.52,12.5,12.5,1596,2012
13,2012-12-18 00:00:00,12.01,13.89,12.01,13.89,1120,2012
14,2012-12-19 00:00:00,13.89,14.88,12.92,14.88,699,2012
15,2012-12-20 00:00:00,14.07,16.5,14.07,16.5,312,2012
16,2012-12-21 00:00:00,17.0,19.78,14.1,17.3,1809,2012
17,2012-12-27 00:00:00,17.3,17.3,15.0,17.29,306,2012
18,2012-12-28 00:00:00,17.8,19.74,14.5,18.5,4480,2012
19,2013-01-02 00:00:00,19.0,19.0,15.5,15.6,1235,2013
20,2013-01-03 00:00:00,16.0,17.29,15.7,17.29,1124,2013
21,2013-01-04 00:00:00,15.5,18.6,15.5,18.6,272,2013
22,2013-01-07 00:00:00,18.0,18.0,15.8,15.8,301,2013
23,2013-01-08 00:00:00,15.81,15.81,15.81,15.81,295,2013
24,2013-01-09 00:00:00,15.93,16.0,15.5,15.5,257,2013
25,2013-01-11 00:00:00,16.95,16.95,16.95,16.95,90,2013
26,2013-01-14 00:00:00,17.87,17.89,17.55,17.55,158,2013
27,2013-01-15 00:00:00,17.55,17.55,17.55,17.55,1,2013
28,2013-01-16 00:00:00,17.7,17.7,17.7,17.7,100,2013
29,2013-01-17 00:00:00,17.5,17.5,17.5,17.5,1,2013
30,2013-01-18 00:00:00,17.42,17.42,17.42,17.42,1,2013
31,2013-01-21 00:00:00,16.95,16.99,15.0,15.5,359,2013
32,2013-01-22 00:00:00,15.61,15.7,15.0,15.0,250,2013
33,2013-01-23 00:00:00,16.91,16.91,15.0,15.0,795,2013
34,2013-01-24 00:00:00,16.9,16.9,15.0,15.0,767,2013
35,2013-01-25 00:00:00,16.92,16.92,15.0,15.0,1371,2013
36,2013-01-28 00:00:00,15.0,16.44,15.0,16.44,2002,2013
37,2013-01-29 00:00:00,16.28,16.28,16.06,16.07,101,2013
38,2013-01-30 00:00:00,16.4,16.4,14.8,16.38,1552,2013
39,2013-01-31 00:00:00,15.67,15.67,15.0,15.06,2147,2013
40,2013-02-01 00:00:00,15.58,15.58,15.01,15.01,434,2013
41,2013-02-04 00:00:00,15.07,15.19,14.77,15.19,357,2013
42,2013-02-05 00:00:00,15.19,15.19,15.0,15.0,265,2013
43,2013-02-06 00:00:00,16.39,16.39,15.0,15.0,10001,2013
44,2013-02-07 00:00:00,16.4,16.4,15.19,15.19,71,2013
45,2013-02-08 00:00:00,16.4,16.4,16.4,16.4,1,2013
46,2013-02-11 00:00:00,14.7,15.07,13.99,15.07,1123,2013
47,2013-02-12 00:00:00,16.2,16.2,13.18,14.97,888,2013
48,2013-02-13 00:00:00,16.2,16.2,13.64,15.5,500,2013
49,2013-02-14 00:00:00,13.96,15.8,13.3,15.8,776,2013
50,2013-02-15 00:00:00,15.0,15.0,13.64,14.4,52,2013
51,2013-02-18 00:00:00,15.99,15.99,14.0,14.66,50,2013
52,2013-02-19 00:00:00,15.99,15.99,13.49,14.37,101,2013
53,2013-02-20 00:00:00,15.94,15.94,14.37,14.37,2,2013
54,2013-02-21 00:00:00,16.0,16.0,12.9,14.35,690,2013
55,2013-02-22 00:00:00,14.24,15.3,14.24,15.3,668,2013
56,2013-02-25 00:00:00,14.95,14.95,12.5,14.37,1249,2013
57,2013-02-26 00:00:00,14.34,14.34,12.76,14.25,552,2013
58,2013-02-27 00:00:00,14.19,14.19,14.0,14.0,552,2013
59,2013-02-28 00:00:00,14.0,14.0,14.0,14.0,1,2013
60,2013-03-01 00:00:00,14.0,14.0,14.0,14.0,1,2013
61,2013-03-04 00:00:00,14.0,14.0,14.0,14.0,1,2013
62,2013-03-05 00:00:00,14.0,14.0,14.0,14.0,1,2013
63,2013-03-06 00:00:00,14.0,14.2,14.0,14.2,202,2013
64,2013-03-07 00:00:00,14.0,14.0,12.0,13.98,937,2013
65,2013-03-08 00:00:00,14.0,14.0,11.4,13.8,2899,2013
66,2013-03-11 00:00:00,13.9,13.9,12.0,12.0,501,2013
67,2013-03-12 00:00:00,13.5,13.5,11.47,12.4,709,2013
68,2013-03-13 00:00:00,12.4,12.4,12.4,12.4,235,2013
69,2013-03-14 00:00:00,12.38,12.38,12.38,12.38,1,2013
70,2013-03-15 00:00:00,12.38,12.38,12.38,12.38,1,2013
71,2013-03-18 00:00:00,12.0,12.0,12.0,12.0,1,2013
72,2013-03-19 00:00:00,12.0,12.0,12.0,12.0,1,2013
73,2013-03-20 00:00:00,12.0,12.0,12.0,12.0,1,2013
74,2013-03-21 00:00:00,12.0,12.0,12.0,12.0,1,2013
75,2013-03-22 00:00:00,12.2,12.2,12.2,12.2,1,2013
76,2013-03-25 00:00:00,12.0,12.0,12.0,12.0,1,2013
77,2013-03-26 00:00:00,12.0,12.0,10.6,11.9,739,2013
