,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-01-18 00:00:00,3.93,3.93,2.5,3.0,249331,2008
1,2008-01-21 00:00:00,3.0,3.2,2.6,2.97,56622,2008
2,2008-01-22 00:00:00,2.94,2.94,2.61,2.79,13089,2008
3,2008-01-23 00:00:00,2.65,2.85,2.3,2.3,41485,2008
4,2008-01-24 00:00:00,2.4,2.55,2.12,2.5,61743,2008
5,2008-01-25 00:00:00,2.49,2.5,2.3,2.5,16944,2008
6,2008-01-28 00:00:00,2.4,2.4,2.2,2.25,7408,2008
7,2008-01-29 00:00:00,2.21,2.48,2.1,2.3,22957,2008
8,2008-01-30 00:00:00,2.37,2.37,2.09,2.15,5962,2008
9,2008-01-31 00:00:00,2.2,2.4,2.15,2.4,27365,2008
10,2008-02-01 00:00:00,2.42,2.75,2.42,2.5,37024,2008
11,2008-02-04 00:00:00,2.5,2.9,2.35,2.9,70567,2008
12,2008-02-05 00:00:00,3.0,3.47,2.85,2.88,144277,2008
13,2008-02-06 00:00:00,2.73,2.9,2.43,2.7,25838,2008
14,2008-02-07 00:00:00,2.85,2.85,2.4,2.54,38231,2008
15,2008-02-08 00:00:00,2.47,2.59,2.31,2.55,20416,2008
16,2008-02-11 00:00:00,2.48,2.89,2.32,2.46,15366,2008
17,2008-02-12 00:00:00,2.6,2.73,2.42,2.71,9940,2008
18,2008-02-13 00:00:00,2.76,2.78,2.5,2.78,17633,2008
19,2008-02-14 00:00:00,2.75,3.09,2.5,3.08,64113,2008
20,2008-02-15 00:00:00,2.67,3.0,2.6,2.6,30706,2008
21,2008-02-18 00:00:00,2.53,2.8,2.53,2.73,16405,2008
22,2008-02-19 00:00:00,2.94,2.94,2.7,2.9,2385,2008
23,2008-02-20 00:00:00,2.72,2.88,2.72,2.88,2000,2008
24,2008-02-21 00:00:00,2.66,2.66,2.48,2.59,30934,2008
25,2008-02-22 00:00:00,2.52,2.57,2.52,2.57,2164,2008
26,2008-02-25 00:00:00,2.62,2.66,2.6,2.66,800,2008
27,2008-02-26 00:00:00,2.68,2.78,2.5,2.78,18465,2008
28,2008-02-27 00:00:00,2.53,2.53,2.53,2.53,200,2008
