,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-10-02 00:00:00,1.05,1.5,1.05,1.39,86855,2012
1,2012-10-03 00:00:00,1.39,1.59,1.35,1.49,2629,2012
2,2012-10-04 00:00:00,1.35,1.35,1.2,1.2,5166,2012
3,2012-10-05 00:00:00,1.19,1.19,1.01,1.01,1720,2012
4,2012-10-08 00:00:00,1.0,1.19,1.0,1.0,705,2012
5,2012-10-09 00:00:00,0.8,1.17,0.8,1.17,1945,2012
6,2012-10-10 00:00:00,1.05,1.17,0.97,1.15,2900,2012
7,2012-10-11 00:00:00,0.93,1.17,0.92,1.1,10616,2012
8,2012-10-12 00:00:00,0.99,1.19,0.99,1.13,1847,2012
9,2012-10-15 00:00:00,1.19,1.2,1.19,1.19,2000,2012
10,2012-10-16 00:00:00,1.28,1.28,1.28,1.28,50,2012
11,2012-10-17 00:00:00,1.03,1.82,1.03,1.57,14066,2012
12,2012-10-18 00:00:00,1.57,1.57,1.56,1.56,1399,2012
13,2012-10-19 00:00:00,1.86,2.0,1.86,2.0,1160,2012
14,2012-10-22 00:00:00,2.4,2.4,1.93,1.93,3266,2012
15,2012-10-23 00:00:00,2.31,2.31,2.31,2.31,1,2012
16,2012-10-24 00:00:00,1.53,1.86,1.53,1.86,480,2012
17,2012-10-25 00:00:00,1.84,1.84,1.69,1.69,49,2012
18,2012-10-26 00:00:00,1.53,1.53,1.53,1.53,115,2012
19,2012-10-29 00:00:00,1.37,1.37,1.3,1.3,4192,2012
20,2012-10-30 00:00:00,1.39,1.39,1.16,1.16,111,2012
21,2012-10-31 00:00:00,1.35,1.35,1.35,1.35,100,2012
22,2012-11-05 00:00:00,1.22,1.22,1.22,1.22,110,2012
23,2012-11-06 00:00:00,1.12,1.22,1.12,1.22,651,2012
24,2012-11-07 00:00:00,1.22,1.39,1.22,1.39,25,2012
25,2012-11-13 00:00:00,1.11,1.11,1.11,1.11,651,2012
26,2012-11-14 00:00:00,1.08,1.08,1.08,1.08,300,2012
27,2012-11-20 00:00:00,1.12,1.12,1.12,1.12,150,2012
28,2012-11-22 00:00:00,1.03,1.03,0.99,0.99,1300,2012
29,2012-11-23 00:00:00,1.01,1.01,1.01,1.01,500,2012
30,2012-11-26 00:00:00,1.03,1.03,1.03,1.03,967,2012
31,2012-11-30 00:00:00,1.14,1.47,1.14,1.47,2460,2012
32,2012-12-03 00:00:00,1.47,1.47,1.47,1.47,40,2012
33,2012-12-05 00:00:00,1.34,1.34,1.34,1.34,1200,2012
34,2012-12-12 00:00:00,1.25,1.25,1.25,1.25,1200,2012
35,2012-12-13 00:00:00,1.13,1.25,1.13,1.25,2351,2012
36,2012-12-19 00:00:00,1.18,1.18,1.18,1.18,1500,2012
37,2012-12-21 00:00:00,1.04,1.04,1.03,1.03,2000,2012
38,2013-01-02 00:00:00,1.19,1.19,1.19,1.19,1400,2013
39,2013-01-04 00:00:00,1.09,1.09,1.09,1.09,101,2013
40,2013-01-07 00:00:00,1.06,1.06,1.06,1.06,1000,2013
41,2013-01-08 00:00:00,1.01,1.01,1.01,1.01,1000,2013
42,2013-01-17 00:00:00,1.11,1.11,1.11,1.11,270,2013
43,2013-01-25 00:00:00,0.91,0.91,0.9,0.9,3416,2013
44,2013-01-29 00:00:00,0.9,0.99,0.9,0.99,1790,2013
45,2013-01-30 00:00:00,0.99,0.99,0.99,0.99,153,2013
46,2013-01-31 00:00:00,0.84,0.84,0.8,0.8,2491,2013
47,2013-02-04 00:00:00,0.85,0.85,0.85,0.85,1100,2013
48,2013-02-05 00:00:00,0.89,0.98,0.89,0.98,713,2013
49,2013-02-06 00:00:00,0.99,0.99,0.99,0.99,605,2013
50,2013-02-07 00:00:00,0.98,0.98,0.98,0.98,650,2013
51,2013-02-08 00:00:00,0.97,0.97,0.97,0.97,950,2013
52,2013-02-11 00:00:00,0.84,0.84,0.84,0.84,170,2013
53,2013-02-12 00:00:00,0.93,0.93,0.93,0.93,650,2013
54,2013-02-13 00:00:00,0.94,0.94,0.94,0.94,1100,2013
55,2013-02-14 00:00:00,0.95,0.95,0.95,0.95,100,2013
56,2013-02-19 00:00:00,0.92,0.93,0.92,0.93,3250,2013
57,2013-02-20 00:00:00,0.98,0.98,0.98,0.98,100,2013
58,2013-02-25 00:00:00,0.96,0.97,0.96,0.97,1660,2013
59,2013-02-26 00:00:00,0.89,0.91,0.89,0.91,1073,2013
60,2013-02-28 00:00:00,0.89,0.89,0.89,0.89,1700,2013
61,2013-03-01 00:00:00,0.86,0.86,0.82,0.82,700,2013
62,2013-03-05 00:00:00,0.89,0.89,0.89,0.89,504,2013
63,2013-03-06 00:00:00,0.89,0.89,0.89,0.89,115,2013
64,2013-03-20 00:00:00,0.81,0.81,0.81,0.81,1000,2013
65,2013-03-28 00:00:00,0.66,0.96,0.66,0.96,4201,2013
66,2013-04-12 00:00:00,0.9,0.92,0.77,0.77,2532,2013
67,2013-04-15 00:00:00,0.63,0.63,0.63,0.63,500,2013
68,2013-04-17 00:00:00,0.51,0.51,0.51,0.51,432,2013
69,2013-04-22 00:00:00,0.42,0.5,0.42,0.5,600,2013
70,2013-04-23 00:00:00,0.6,0.6,0.48,0.48,1801,2013
71,2013-05-02 00:00:00,0.4,0.4,0.4,0.4,1000,2013
72,2013-05-06 00:00:00,0.32,0.32,0.32,0.32,102,2013
73,2013-05-28 00:00:00,0.45,0.45,0.45,0.45,1000,2013
74,2013-06-07 00:00:00,0.48,0.55,0.48,0.55,4000,2013
75,2013-06-10 00:00:00,0.57,0.68,0.52,0.65,2663,2013
76,2013-06-11 00:00:00,0.75,0.76,0.72,0.72,979,2013
77,2013-06-12 00:00:00,0.65,0.78,0.56,0.72,800,2013
78,2013-06-13 00:00:00,0.69,0.8,0.69,0.8,80,2013
79,2013-06-14 00:00:00,0.69,0.8,0.69,0.8,970,2013
80,2013-06-17 00:00:00,0.65,0.88,0.65,0.88,650,2013
81,2013-06-18 00:00:00,0.85,0.99,0.85,0.98,2843,2013
82,2013-06-19 00:00:00,1.17,1.17,0.87,1.08,253,2013
83,2013-06-21 00:00:00,1.08,1.24,1.08,1.24,180,2013
84,2013-06-24 00:00:00,1.0,1.24,1.0,1.23,2956,2013
85,2013-06-25 00:00:00,1.16,1.23,1.0,1.23,3476,2013
86,2013-06-26 00:00:00,1.19,1.22,1.19,1.22,150,2013
87,2013-06-27 00:00:00,1.22,1.22,1.22,1.22,10,2013
88,2013-06-28 00:00:00,1.22,1.46,1.22,1.45,9796,2013
89,2013-07-01 00:00:00,1.16,1.16,1.16,1.16,10,2013
90,2013-07-02 00:00:00,0.93,0.93,0.92,0.92,390,2013
91,2013-07-04 00:00:00,1.1,1.1,1.1,1.1,10,2013
92,2013-07-08 00:00:00,1.0,1.0,1.0,1.0,1000,2013
93,2013-07-10 00:00:00,1.0,1.0,1.0,1.0,10,2013
94,2013-07-16 00:00:00,1.0,1.0,1.0,1.0,2,2013
95,2013-07-26 00:00:00,0.92,0.92,0.92,0.92,600,2013
96,2013-07-30 00:00:00,0.92,0.92,0.92,0.92,20,2013
97,2013-07-31 00:00:00,1.1,1.32,1.1,1.32,1542,2013
98,2013-08-01 00:00:00,1.35,1.62,1.2,1.62,8531,2013
99,2013-08-02 00:00:00,1.61,1.61,1.61,1.61,5,2013
100,2013-08-05 00:00:00,1.61,1.61,1.61,1.61,10,2013
101,2013-08-06 00:00:00,1.61,1.61,1.61,1.61,10,2013
102,2013-08-07 00:00:00,1.6,1.6,1.6,1.6,6,2013
103,2013-08-09 00:00:00,1.61,1.61,1.61,1.61,5,2013
104,2013-08-12 00:00:00,1.6,1.6,1.6,1.6,8,2013
105,2013-08-13 00:00:00,1.59,1.59,1.59,1.59,5,2013
106,2013-08-16 00:00:00,1.46,1.46,1.46,1.46,62,2013
107,2013-08-19 00:00:00,1.38,1.38,1.2,1.2,1605,2013
108,2013-08-21 00:00:00,1.2,1.2,1.2,1.2,5,2013
109,2013-08-23 00:00:00,1.2,1.2,1.2,1.2,5,2013
110,2013-08-26 00:00:00,1.2,1.2,1.2,1.2,6,2013
111,2013-08-28 00:00:00,1.2,1.2,1.2,1.2,3,2013
