,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-03-21 00:00:00,0.68,0.9,0.67,0.9,77065,2013
1,2013-03-22 00:00:00,0.95,1.36,0.9,0.99,47416,2013
2,2013-03-25 00:00:00,1.06,1.27,0.86,0.89,32285,2013
3,2013-03-26 00:00:00,0.81,0.92,0.81,0.81,4204,2013
4,2013-03-27 00:00:00,0.9,0.91,0.81,0.89,10847,2013
5,2013-03-28 00:00:00,0.89,0.95,0.75,0.95,10669,2013
6,2013-04-02 00:00:00,0.85,0.86,0.76,0.86,5916,2013
7,2013-04-03 00:00:00,0.74,0.81,0.74,0.81,1250,2013
8,2013-04-04 00:00:00,0.7,0.75,0.67,0.75,1736,2013
9,2013-04-05 00:00:00,0.75,0.75,0.75,0.75,34,2013
10,2013-04-09 00:00:00,0.65,0.7,0.6,0.7,4000,2013
11,2013-04-12 00:00:00,0.65,0.65,0.65,0.65,1000,2013
12,2013-04-17 00:00:00,0.6,0.6,0.6,0.6,1000,2013
13,2013-04-18 00:00:00,0.55,0.6,0.5,0.6,2436,2013
14,2013-04-19 00:00:00,0.6,0.6,0.6,0.6,336,2013
15,2013-04-22 00:00:00,0.56,0.56,0.56,0.56,160,2013
16,2013-04-25 00:00:00,0.56,0.56,0.56,0.56,400,2013
17,2013-04-26 00:00:00,0.56,0.56,0.48,0.52,8913,2013
18,2013-04-29 00:00:00,0.62,0.62,0.62,0.62,1000,2013
19,2013-04-30 00:00:00,0.55,0.55,0.55,0.55,200,2013
20,2013-05-06 00:00:00,0.65,0.65,0.65,0.65,100,2013
21,2013-05-07 00:00:00,0.67,0.67,0.67,0.67,900,2013
22,2013-05-08 00:00:00,0.72,0.8,0.72,0.78,1831,2013
23,2013-05-10 00:00:00,0.75,0.75,0.75,0.75,928,2013
24,2013-05-13 00:00:00,0.7,0.75,0.7,0.75,218,2013
25,2013-05-15 00:00:00,0.7,0.7,0.7,0.7,878,2013
26,2013-05-16 00:00:00,0.73,0.73,0.73,0.73,477,2013
27,2013-05-22 00:00:00,0.63,0.63,0.63,0.63,875,2013
28,2013-05-31 00:00:00,0.66,0.66,0.56,0.56,250,2013
29,2013-06-18 00:00:00,0.67,0.81,0.67,0.81,4782,2013
30,2013-06-19 00:00:00,0.82,0.99,0.82,0.9,3900,2013
31,2013-06-20 00:00:00,0.8,0.8,0.72,0.72,1982,2013
32,2013-06-21 00:00:00,0.65,0.7,0.65,0.7,6000,2013
33,2013-06-24 00:00:00,0.7,0.7,0.7,0.7,1000,2013
34,2013-07-01 00:00:00,0.65,0.65,0.65,0.65,800,2013
35,2013-07-10 00:00:00,0.68,0.7,0.68,0.7,6709,2013
36,2013-07-15 00:00:00,0.75,0.82,0.75,0.82,1100,2013
37,2013-07-16 00:00:00,0.72,0.72,0.72,0.72,1000,2013
38,2013-07-23 00:00:00,0.65,0.65,0.65,0.65,1000,2013
39,2013-07-24 00:00:00,0.6,0.75,0.48,0.65,10323,2013
40,2013-07-25 00:00:00,0.62,0.62,0.62,0.62,2329,2013
41,2013-08-01 00:00:00,0.7,0.82,0.7,0.8,5201,2013
42,2013-08-05 00:00:00,0.87,0.9,0.8,0.9,1334,2013
43,2013-08-06 00:00:00,0.8,0.8,0.8,0.8,709,2013
44,2013-08-13 00:00:00,0.75,0.75,0.7,0.75,1980,2013
45,2013-08-16 00:00:00,0.75,0.75,0.75,0.75,600,2013
46,2013-09-04 00:00:00,0.7,0.7,0.7,0.7,720,2013
47,2013-09-11 00:00:00,0.65,0.65,0.65,0.65,1000,2013
48,2013-09-19 00:00:00,0.6,0.65,0.6,0.65,1045,2013
49,2013-09-20 00:00:00,0.55,0.65,0.55,0.65,1420,2013
50,2013-09-23 00:00:00,0.64,0.64,0.55,0.55,710,2013
51,2013-09-27 00:00:00,0.55,0.75,0.5,0.75,4890,2013
52,2013-09-30 00:00:00,0.75,0.8,0.75,0.8,1310,2013
53,2013-10-03 00:00:00,0.8,1.0,0.8,1.0,2000,2013
54,2013-10-04 00:00:00,1.0,1.0,1.0,1.0,500,2013
55,2013-10-07 00:00:00,1.0,1.0,1.0,1.0,100,2013
56,2013-10-11 00:00:00,1.0,1.0,1.0,1.0,500,2013
57,2013-10-14 00:00:00,0.8,0.85,0.67,0.75,2700,2013
58,2013-10-17 00:00:00,0.81,0.81,0.81,0.81,1000,2013
59,2013-10-18 00:00:00,0.75,0.75,0.7,0.7,2000,2013
60,2013-10-21 00:00:00,0.68,0.68,0.68,0.68,1000,2013
61,2013-10-22 00:00:00,0.8,0.8,0.8,0.8,500,2013
62,2013-10-23 00:00:00,0.7,0.7,0.7,0.7,1000,2013
63,2013-10-25 00:00:00,0.68,0.68,0.65,0.65,1500,2013
64,2013-10-28 00:00:00,0.66,0.66,0.56,0.56,1500,2013
65,2013-10-29 00:00:00,0.57,0.57,0.55,0.55,1000,2013
66,2013-12-03 00:00:00,0.65,0.65,0.65,0.65,452,2013
67,2013-12-12 00:00:00,0.65,0.65,0.65,0.65,100,2013
68,2013-12-27 00:00:00,0.52,0.52,0.52,0.52,2500,2013
69,2013-12-30 00:00:00,0.48,0.48,0.39,0.39,10403,2013
70,2014-01-02 00:00:00,0.42,0.42,0.4,0.4,5000,2014
71,2014-01-03 00:00:00,0.42,0.5,0.42,0.5,10300,2014
72,2014-01-07 00:00:00,0.57,0.57,0.5,0.56,6030,2014
73,2014-01-08 00:00:00,0.56,0.59,0.51,0.58,2280,2014
74,2014-01-09 00:00:00,0.56,0.56,0.5,0.5,3500,2014
75,2014-01-10 00:00:00,0.55,0.55,0.55,0.55,100,2014
76,2014-01-17 00:00:00,0.5,0.5,0.5,0.5,70,2014
77,2014-01-20 00:00:00,0.53,0.53,0.53,0.53,40,2014
78,2014-01-21 00:00:00,0.53,0.53,0.53,0.53,50,2014
79,2014-01-22 00:00:00,0.53,0.53,0.53,0.53,10,2014
80,2014-01-23 00:00:00,0.53,0.53,0.53,0.53,20,2014
81,2014-01-24 00:00:00,0.53,0.53,0.53,0.53,20,2014
82,2014-01-27 00:00:00,0.53,0.53,0.53,0.53,20,2014
83,2014-01-28 00:00:00,0.53,0.53,0.53,0.53,20,2014
84,2014-01-29 00:00:00,0.53,0.53,0.53,0.53,20,2014
85,2014-01-30 00:00:00,0.53,0.53,0.53,0.53,20,2014
86,2014-01-31 00:00:00,0.53,0.53,0.53,0.53,20,2014
87,2014-02-03 00:00:00,0.53,0.53,0.53,0.53,20,2014
88,2014-02-04 00:00:00,0.53,0.53,0.53,0.53,20,2014
