,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-04-11 00:00:00,1.96,1.96,1.68,1.7,862445,2011
1,2011-04-12 00:00:00,1.75,1.75,1.65,1.65,87549,2011
2,2011-04-13 00:00:00,1.69,1.69,1.62,1.65,29275,2011
3,2011-04-14 00:00:00,1.65,1.65,1.5,1.53,116838,2011
4,2011-04-15 00:00:00,1.54,1.56,1.47,1.48,108967,2011
5,2011-04-18 00:00:00,1.48,1.59,1.48,1.49,85650,2011
6,2011-04-19 00:00:00,1.52,1.69,1.52,1.58,66873,2011
7,2011-04-20 00:00:00,1.6,1.69,1.6,1.68,21159,2011
8,2011-04-21 00:00:00,1.68,1.69,1.56,1.6,20891,2011
9,2011-04-26 00:00:00,1.6,1.7,1.6,1.7,11045,2011
10,2011-04-27 00:00:00,1.65,1.7,1.65,1.67,6831,2011
11,2011-04-28 00:00:00,1.67,1.7,1.64,1.69,13607,2011
12,2011-04-29 00:00:00,1.65,1.65,1.6,1.65,25352,2011
13,2011-05-02 00:00:00,1.69,1.69,1.66,1.66,1179,2011
14,2011-05-04 00:00:00,1.67,1.7,1.65,1.69,30603,2011
15,2011-05-05 00:00:00,1.66,1.7,1.66,1.67,7142,2011
16,2011-05-06 00:00:00,1.65,1.67,1.65,1.67,1050,2011
17,2011-05-09 00:00:00,1.65,1.66,1.65,1.65,11237,2011
18,2011-05-10 00:00:00,1.65,1.71,1.65,1.71,39707,2011
19,2011-05-11 00:00:00,1.7,1.76,1.7,1.75,42200,2011
20,2011-05-12 00:00:00,1.7,1.7,1.66,1.7,9500,2011
21,2011-05-13 00:00:00,1.7,1.7,1.65,1.69,27850,2011
22,2011-05-16 00:00:00,1.67,1.69,1.67,1.69,2414,2011
23,2011-05-17 00:00:00,1.66,1.67,1.62,1.67,10974,2011
24,2011-05-18 00:00:00,1.65,1.67,1.64,1.66,83093,2011
25,2011-05-19 00:00:00,1.66,1.68,1.66,1.66,31238,2011
26,2011-05-23 00:00:00,1.68,1.68,1.62,1.62,6122,2011
27,2011-05-24 00:00:00,1.62,1.62,1.55,1.6,5200,2011
28,2011-05-26 00:00:00,1.54,1.62,1.51,1.62,8612,2011
