,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-01-24 00:00:00,1.7719,1.7719,1.7719,1.7719,74348,2011
1,2011-01-25 00:00:00,2.0178,2.4213,1.6415,1.7623,190040,2011
2,2011-01-26 00:00:00,1.6838,1.6838,1.4979,1.6345,57017,2011
3,2011-01-27 00:00:00,1.5023,1.8662,1.4988,1.7975,44125,2011
4,2011-01-28 00:00:00,1.7596,1.7623,1.6001,1.7578,6787,2011
5,2011-01-31 00:00:00,1.75,1.81,1.65,1.81,7559,2011
6,2011-02-01 00:00:00,1.8142,1.8371,1.6741,1.7887,76254,2011
7,2011-02-02 00:00:00,1.7314,1.7623,1.7006,1.7623,1248,2011
8,2011-02-03 00:00:00,1.7843,1.7843,1.6741,1.7508,19748,2011
9,2011-02-04 00:00:00,1.7508,2.0971,1.683,2.0627,66552,2011
10,2011-02-07 00:00:00,2.0619,2.2469,1.7623,2.053,21064,2011
11,2011-02-08 00:00:00,2.0522,2.1403,2.0178,2.1394,4255,2011
12,2011-02-09 00:00:00,2.1385,2.1385,1.7649,2.0266,6185,2011
13,2011-02-10 00:00:00,2.009,2.0619,1.8415,2.0442,20507,2011
14,2011-02-11 00:00:00,1.9385,2.0266,1.8063,1.9729,12042,2011
15,2011-02-14 00:00:00,1.8944,2.0169,1.7667,2.0169,16785,2011
16,2011-02-15 00:00:00,2.009,2.009,1.8239,1.9385,5221,2011
17,2011-02-16 00:00:00,1.9385,1.9385,1.7754,1.8856,4597,2011
18,2011-02-17 00:00:00,1.8856,1.9816,1.8504,1.9816,11202,2011
19,2011-02-18 00:00:00,1.9816,2.0266,1.9816,2.009,612,2011
20,2011-02-21 00:00:00,2.009,2.009,1.9121,2.0002,5255,2011
21,2011-02-22 00:00:00,1.9958,1.9958,1.8768,1.9385,7830,2011
22,2011-02-23 00:00:00,1.9385,1.9605,1.8063,1.9605,33684,2011
23,2011-02-24 00:00:00,1.9605,1.9605,1.9121,1.9297,1510,2011
24,2011-02-25 00:00:00,1.9288,1.9288,1.8548,1.9288,4017,2011
25,2011-02-28 00:00:00,1.9261,1.9393,1.8535,1.9327,2373,2011
26,2011-03-01 00:00:00,1.9327,1.9723,1.8931,1.9723,7433,2011
27,2011-03-02 00:00:00,1.9723,1.9723,1.9195,1.9657,5720,2011
28,2011-03-03 00:00:00,1.9195,1.9657,1.8931,1.9591,32663,2011
29,2011-03-04 00:00:00,1.9596,1.9843,1.9121,1.9826,10567,2011
30,2011-03-07 00:00:00,1.9826,2.0046,1.9165,2.0046,20213,2011
31,2011-03-08 00:00:00,2.0046,2.0442,1.9297,2.0354,230489,2011
32,2011-03-09 00:00:00,2.0266,2.0442,1.9438,2.0442,15265,2011
33,2011-03-10 00:00:00,2.0448,2.0646,2.0448,2.0514,227,2011
34,2011-03-11 00:00:00,2.025,2.0712,2.025,2.0712,8682,2011
35,2011-03-14 00:00:00,2.0619,2.0619,1.9438,2.0354,5493,2011
36,2011-03-15 00:00:00,1.9438,2.0266,1.9438,2.0266,8829,2011
37,2011-03-16 00:00:00,2.0266,2.0266,1.9129,1.9208,11622,2011
38,2011-03-17 00:00:00,1.9129,2.025,1.9129,2.0185,5753,2011
39,2011-03-18 00:00:00,2.025,2.0580000000000003,2.025,2.0580000000000003,9897,2011
40,2011-03-21 00:00:00,2.0580000000000003,2.0580000000000003,2.0580000000000003,2.0580000000000003,227,2011
41,2011-03-22 00:00:00,2.0580000000000003,2.0580000000000003,2.0514,2.0580000000000003,443,2011
42,2011-03-23 00:00:00,2.0442,2.0486,1.9385,2.0178,9499,2011
43,2011-03-24 00:00:00,2.0119,2.025,1.9129,1.9987,16309,2011
44,2011-03-25 00:00:00,2.0119,2.0185,1.9855,2.0185,5289,2011
45,2011-03-28 00:00:00,1.9921,2.2097,1.9921,2.2031,21620,2011
46,2011-03-29 00:00:00,2.2163,2.6451,2.2163,2.6451,19510,2011
47,2011-03-30 00:00:00,2.8166,3.806,2.8166,3.6939,42344,2011
48,2011-03-31 00:00:00,3.69,3.69,2.95,3.57,18726,2011
49,2011-04-01 00:00:00,4.2744,5.1253,4.1556,5.1253,50768,2011
50,2011-04-04 00:00:00,5.4749,6.9261,5.4749,6.9261,23451,2011
51,2011-04-05 00:00:00,8.2453,9.888,7.5857,8.6477,99414,2011
52,2011-04-06 00:00:00,9.3469,9.3469,7.9221,8.1134,46097,2011
53,2011-04-07 00:00:00,8.1134,9.0369,7.9155,8.4036,25267,2011
54,2011-04-08 00:00:00,8.3772,8.5421,7.7572,8.0936,6825,2011
55,2011-04-11 00:00:00,7.7572,7.7572,6.5303,7.2559,19413,2011
56,2011-04-12 00:00:00,7.058,7.2427,6.5962,6.8535,3487,2011
57,2011-04-13 00:00:00,6.8535,6.9063,6.405,6.9063,1825,2011
58,2011-04-14 00:00:00,6.7282,7.1899,6.5962,7.1899,1449,2011
59,2011-04-15 00:00:00,6.9261,7.5857,6.9261,7.5197,2166,2011
60,2011-04-18 00:00:00,7.2559,7.2559,6.8601,6.9195,4409,2011
61,2011-04-19 00:00:00,6.8601,7.2493,6.7282,7.2493,3473,2011
62,2011-04-20 00:00:00,7.2427,7.2493,6.9261,7.2361,2056,2011
63,2011-04-21 00:00:00,7.2163,7.2361,6.5962,7.1899,3458,2011
64,2011-04-26 00:00:00,7.1899,7.1899,6.5962,6.9129,2645,2011
65,2011-04-27 00:00:00,6.4973,6.8601,6.3324,6.8601,761,2011
66,2011-04-28 00:00:00,6.5962,6.992000000000001,6.5962,6.9129,518,2011
67,2011-04-29 00:00:00,6.92,6.92,6.27,6.91,1854,2011
68,2011-05-02 00:00:00,6.8733,6.8733,6.5962,6.8667,159,2011
69,2011-05-04 00:00:00,6.2664,6.8271,5.1781,5.1781,24215,2011
70,2011-05-05 00:00:00,5.1781,5.2638,4.4393,5.2638,1160,2011
71,2011-05-06 00:00:00,5.2374,5.2374,4.6504,5.2374,659,2011
72,2011-05-09 00:00:00,4.6108,4.6108,3.7005,3.8588,15901,2011
73,2011-05-10 00:00:00,3.8522,3.8522,3.3641,3.4960000000000004,3071,2011
74,2011-05-11 00:00:00,3.3707,3.595,3.2322,3.595,4885,2011
75,2011-05-12 00:00:00,3.5884,3.8192,3.2519,3.8192,2827,2011
76,2011-05-13 00:00:00,3.806,4.1556,3.806,4.1556,1229,2011
77,2011-05-16 00:00:00,4.1556,4.2876,4.0897,4.1227,2703,2011
78,2011-05-17 00:00:00,3.9577,4.2744,3.8588,3.9577,1327,2011
79,2011-05-18 00:00:00,3.9577,3.9577,3.6279,3.9512,914,2011
80,2011-05-19 00:00:00,3.9512,3.9512,3.9512,3.9512,62,2011
81,2011-05-20 00:00:00,3.9577,4.2084,3.8852,4.2084,740,2011
82,2011-05-23 00:00:00,4.1952,4.1952,4.1952,4.1952,88,2011
83,2011-05-24 00:00:00,4.2084,4.2216,3.6609,4.2216,1669,2011
84,2011-05-25 00:00:00,4.2216,4.2216,4.2216,4.2216,26,2011
85,2011-05-26 00:00:00,4.1556,4.1556,3.6279,3.9512,4533,2011
86,2011-05-27 00:00:00,3.9182,3.9182,3.6939,3.9182,276,2011
87,2011-05-30 00:00:00,3.8588,3.8588,3.5422,3.8258,1655,2011
88,2011-05-31 00:00:00,3.7599,3.8918,3.6939,3.8918,559,2011
89,2011-06-01 00:00:00,3.9182,3.9182,3.9182,3.9182,30,2011
90,2011-06-02 00:00:00,3.7928,3.8918,3.7599,3.8918,1871,2011
91,2011-06-03 00:00:00,3.8918,4.0237,3.8258,4.0237,13771,2011
