,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-05-22 00:00:00,14.0,14.6,13.0,14.6,1692,2012
1,2012-05-23 00:00:00,14.0,15.0,14.0,14.28,292,2012
2,2012-05-24 00:00:00,14.1,14.99,14.0,14.0,458,2012
3,2012-05-25 00:00:00,14.1,14.7,13.6,14.0,747,2012
4,2012-05-28 00:00:00,14.0,14.0,13.4,13.4,30,2012
5,2012-05-29 00:00:00,13.4,13.4,13.4,13.4,10,2012
6,2012-06-05 00:00:00,13.6,13.6,13.5,13.5,200,2012
7,2012-06-08 00:00:00,13.5,13.5,13.0,13.5,3714,2012
8,2012-06-19 00:00:00,13.7,14.5,13.7,14.5,202,2012
9,2012-06-21 00:00:00,14.5,14.5,14.5,14.5,15,2012
10,2012-06-22 00:00:00,14.35,14.35,14.35,14.35,5,2012
11,2012-06-26 00:00:00,14.1,14.1,13.5,13.6,4007,2012
12,2012-07-03 00:00:00,13.5,13.5,13.04,13.44,86,2012
13,2012-07-13 00:00:00,13.5,13.5,13.5,13.5,4805,2012
14,2012-07-31 00:00:00,13.6,13.6,13.5,13.5,10,2012
15,2012-08-08 00:00:00,13.5,13.5,13.5,13.5,11,2012
16,2012-08-09 00:00:00,13.5,13.5,13.5,13.5,10,2012
17,2012-08-10 00:00:00,13.5,13.5,13.5,13.5,10,2012
18,2012-08-30 00:00:00,13.5,13.5,13.5,13.5,10,2012
19,2012-08-31 00:00:00,13.49,13.5,13.49,13.5,10,2012
20,2012-09-13 00:00:00,13.5,13.6,13.5,13.6,105004,2012
21,2012-09-24 00:00:00,13.52,13.52,13.04,13.04,140,2012
22,2012-10-10 00:00:00,13.13,13.13,13.13,13.13,10,2012
23,2012-10-16 00:00:00,13.0,13.0,10.51,13.0,3915,2012
24,2012-10-31 00:00:00,12.95,13.0,12.95,13.0,3505,2012
25,2012-11-20 00:00:00,13.05,13.05,13.05,13.05,10,2012
26,2012-12-10 00:00:00,13.13,13.13,13.13,13.13,5,2012
27,2012-12-18 00:00:00,13.13,13.13,13.0,13.0,10,2012
28,2013-01-02 00:00:00,13.15,13.15,13.15,13.15,300,2013
29,2013-01-09 00:00:00,13.15,13.15,13.15,13.15,5,2013
30,2013-01-22 00:00:00,13.15,13.15,13.15,13.15,2,2013
31,2013-01-23 00:00:00,13.15,13.15,13.15,13.15,5,2013
32,2013-01-24 00:00:00,13.15,13.15,13.0,13.0,20,2013
33,2013-01-25 00:00:00,13.0,13.0,13.0,13.0,10,2013
34,2013-01-28 00:00:00,13.0,13.0,13.0,13.0,40,2013
35,2013-01-29 00:00:00,13.0,13.0,13.0,13.0,10,2013
36,2013-01-30 00:00:00,13.0,13.0,13.0,13.0,10,2013
37,2013-01-31 00:00:00,13.0,13.0,13.0,13.0,10,2013
38,2013-02-01 00:00:00,13.0,13.0,13.0,13.0,10,2013
39,2013-02-04 00:00:00,13.0,13.0,13.0,13.0,6,2013
40,2013-02-05 00:00:00,13.0,13.0,13.0,13.0,1,2013
41,2013-02-06 00:00:00,13.0,13.0,13.0,13.0,1,2013
42,2013-02-07 00:00:00,13.0,13.0,13.0,13.0,1,2013
43,2013-02-08 00:00:00,13.0,13.0,13.0,13.0,1,2013
44,2013-02-11 00:00:00,13.0,13.0,13.0,13.0,1,2013
45,2013-02-12 00:00:00,13.0,13.0,13.0,13.0,1,2013
46,2013-02-13 00:00:00,13.0,13.0,13.0,13.0,1,2013
47,2013-02-14 00:00:00,13.0,13.0,13.0,13.0,1,2013
48,2013-02-15 00:00:00,13.0,13.0,13.0,13.0,1,2013
49,2013-02-18 00:00:00,13.0,13.0,13.0,13.0,1,2013
50,2013-02-19 00:00:00,12.8,12.8,12.8,12.8,20,2013
51,2013-02-25 00:00:00,12.79,13.0,12.79,13.0,140,2013
52,2013-02-26 00:00:00,13.0,13.0,13.0,13.0,1,2013
53,2013-02-27 00:00:00,12.8,12.8,12.8,12.8,5,2013
54,2013-02-28 00:00:00,12.5,12.5,12.49,12.5,140,2013
55,2013-03-14 00:00:00,12.5,12.63,12.5,12.63,15,2013
56,2013-03-20 00:00:00,12.7,12.9,12.7,12.9,20,2013
57,2013-03-21 00:00:00,13.0,13.0,13.0,13.0,1,2013
58,2013-03-22 00:00:00,13.0,13.0,12.98,12.99,2262,2013
59,2013-03-25 00:00:00,13.0,13.0,13.0,13.0,1,2013
60,2013-03-26 00:00:00,13.0,13.0,13.0,13.0,1,2013
61,2013-03-27 00:00:00,13.0,13.0,10.5,10.88,596,2013
62,2013-04-11 00:00:00,11.0,11.28,11.0,11.28,150,2013
63,2013-05-06 00:00:00,11.2,11.2,11.2,11.2,5,2013
64,2013-05-10 00:00:00,11.11,11.11,10.9,10.9,310,2013
65,2013-06-03 00:00:00,10.91,10.91,10.91,10.91,5,2013
66,2013-06-07 00:00:00,10.8,10.8,8.7,8.7,750,2013
67,2013-06-10 00:00:00,8.8,9.2,8.8,9.1,2760,2013
68,2013-06-13 00:00:00,9.1,9.19,9.1,9.12,525,2013
69,2013-06-20 00:00:00,9.05,9.05,8.95,8.95,10,2013
70,2013-06-27 00:00:00,8.95,8.95,8.95,8.95,2,2013
71,2013-06-28 00:00:00,8.95,8.95,8.5,8.5,72,2013
72,2013-07-11 00:00:00,8.5,8.5,8.5,8.5,2,2013
73,2013-07-12 00:00:00,8.5,8.5,8.5,8.5,2,2013
74,2013-07-15 00:00:00,8.5,8.5,8.5,8.5,2,2013
75,2013-07-16 00:00:00,8.5,8.5,8.5,8.5,2,2013
76,2013-07-17 00:00:00,8.5,8.5,8.5,8.5,2,2013
77,2013-07-18 00:00:00,8.5,8.5,8.5,8.5,2,2013
78,2013-07-22 00:00:00,8.5,8.5,8.5,8.5,2,2013
79,2013-07-23 00:00:00,8.5,8.5,8.5,8.5,2,2013
80,2013-07-24 00:00:00,8.5,8.5,8.5,8.5,2,2013
81,2013-07-25 00:00:00,8.5,8.5,8.5,8.5,2,2013
82,2013-07-29 00:00:00,8.5,8.5,8.5,8.5,2,2013
83,2013-07-30 00:00:00,8.5,8.5,8.5,8.5,2,2013
84,2013-07-31 00:00:00,8.5,8.5,8.5,8.5,2,2013
85,2013-08-01 00:00:00,8.5,8.5,8.5,8.5,2,2013
86,2013-08-02 00:00:00,8.5,8.5,8.5,8.5,2,2013
87,2013-08-05 00:00:00,8.5,8.5,8.5,8.5,2,2013
88,2013-08-06 00:00:00,8.5,8.5,8.5,8.5,2,2013
89,2013-08-08 00:00:00,8.5,8.5,8.5,8.5,2,2013
90,2013-08-09 00:00:00,8.5,8.5,8.5,8.5,2,2013
91,2013-08-13 00:00:00,8.5,8.5,8.5,8.5,2,2013
92,2013-08-16 00:00:00,8.5,8.5,8.5,8.5,2,2013
93,2013-08-19 00:00:00,8.5,8.5,8.5,8.5,2,2013
94,2013-08-20 00:00:00,8.5,8.5,8.5,8.5,2,2013
95,2013-08-23 00:00:00,8.5,8.5,8.5,8.5,2,2013
96,2013-08-26 00:00:00,8.5,8.5,8.5,8.5,2,2013
97,2013-08-27 00:00:00,8.5,8.5,8.5,8.5,4,2013
98,2013-08-30 00:00:00,8.5,8.5,8.5,8.5,4,2013
99,2013-09-02 00:00:00,8.5,8.5,8.5,8.5,2,2013
100,2013-09-03 00:00:00,8.5,8.5,8.5,8.5,2,2013
101,2013-09-06 00:00:00,8.5,8.5,8.5,8.5,2,2013
102,2013-09-12 00:00:00,8.5,8.5,8.5,8.5,2,2013
103,2013-09-16 00:00:00,8.5,8.5,8.5,8.5,4,2013
104,2013-09-17 00:00:00,8.5,8.5,8.5,8.5,2,2013
105,2013-09-20 00:00:00,8.5,8.5,8.5,8.5,2,2013
