,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-02-17 00:00:00,1.4211,1.5789,1.1842,1.4211,542292,2011
1,2011-02-18 00:00:00,1.3421,1.5789,1.1842,1.5,377847,2011
2,2011-02-21 00:00:00,1.5789,1.6579,1.4211,1.4211,430907,2011
3,2011-02-22 00:00:00,1.4211,1.4211,1.2632,1.4211,99364,2011
4,2011-02-23 00:00:00,1.3421,1.4211,1.2632,1.4211,47601,2011
5,2011-02-24 00:00:00,1.3421,1.4211,1.2632,1.3421,30109,2011
6,2011-02-25 00:00:00,1.2632,1.4211,1.2632,1.4211,29881,2011
7,2011-02-28 00:00:00,1.3421,1.5,1.3421,1.5,130042,2011
8,2011-03-01 00:00:00,1.5,1.5,1.3421,1.4211,11432,2011
9,2011-03-02 00:00:00,1.4211,1.4211,1.2632,1.2632,61826,2011
10,2011-03-03 00:00:00,1.3421,1.3421,1.1842,1.3421,62681,2011
11,2011-03-04 00:00:00,1.3421,1.3421,1.1842,1.3421,9690,2011
12,2011-03-07 00:00:00,1.2632,1.3421,1.1842,1.3421,31147,2011
13,2011-03-08 00:00:00,1.2632,1.2632,1.1842,1.2632,1862,2011
14,2011-03-09 00:00:00,1.1842,1.2632,1.1842,1.2632,6834,2011
15,2011-03-10 00:00:00,1.1842,1.3421,1.1842,1.2632,102119,2011
16,2011-03-11 00:00:00,1.2632,1.2632,1.1842,1.2632,21590,2011
17,2011-03-14 00:00:00,1.1842,1.2632,1.1842,1.2632,25929,2011
18,2011-03-15 00:00:00,1.2632,1.2632,1.1053,1.1842,57291,2011
19,2011-03-16 00:00:00,1.1842,1.2632,1.1842,1.1842,3059,2011
20,2011-03-17 00:00:00,1.1842,1.1842,1.1053,1.1842,17227,2011
21,2011-03-18 00:00:00,1.2632,1.2632,1.1053,1.2632,2761,2011
22,2011-03-21 00:00:00,1.2632,1.2632,1.1053,1.1842,9196,2011
23,2011-03-22 00:00:00,1.1842,1.1842,1.1053,1.1053,10938,2011
24,2011-03-23 00:00:00,1.1053,1.1842,1.1053,1.1842,1748,2011
25,2011-03-24 00:00:00,1.1842,1.1842,1.0263,1.1053,9475,2011
26,2011-03-25 00:00:00,1.1053,1.1842,1.0263,1.1053,1754,2011
27,2011-03-28 00:00:00,1.1842,1.1842,1.0263,1.1053,1932,2011
28,2011-03-29 00:00:00,1.1053,1.1053,1.1053,1.1053,9760,2011
29,2011-03-30 00:00:00,1.1053,1.1053,1.0263,1.0263,10767,2011
30,2011-03-31 00:00:00,1.0263,1.2632,1.0263,1.2632,57082,2011
31,2011-04-01 00:00:00,1.1842,1.3421,1.1842,1.2632,101213,2011
32,2011-04-04 00:00:00,1.2632,1.2632,1.1842,1.1842,5421,2011
33,2011-04-05 00:00:00,1.1842,1.1842,1.1053,1.1842,21451,2011
34,2011-04-06 00:00:00,1.1842,1.1842,1.1053,1.1842,12831,2011
35,2011-04-07 00:00:00,1.1053,1.1842,1.1053,1.1842,22908,2011
36,2011-04-08 00:00:00,1.1842,1.2632,1.1053,1.2632,3179,2011
37,2011-04-11 00:00:00,1.1842,1.1842,1.1053,1.1053,45670,2011
38,2011-04-12 00:00:00,1.1053,1.1053,1.1053,1.1053,44067,2011
39,2011-04-13 00:00:00,1.1053,1.1053,1.1053,1.1053,30166,2011
40,2011-04-14 00:00:00,1.1053,1.1842,1.1053,1.1842,823,2011
41,2011-04-15 00:00:00,1.1842,1.2632,1.1053,1.1842,57994,2011
42,2011-04-18 00:00:00,1.1842,1.1842,1.1053,1.1842,6454,2011
