,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2018-04-03 00:00:00,0.95,1.42,0.93,1.42,122894,2018
1,2018-04-04 00:00:00,1.7,2.05,1.66,2.05,35566,2018
2,2018-04-05 00:00:00,2.46,2.85,1.9,1.9,49828,2018
3,2018-04-06 00:00:00,1.85,1.85,1.3,1.72,25736,2018
4,2018-04-09 00:00:00,1.6,1.72,1.33,1.6,30000,2018
5,2018-04-10 00:00:00,1.66,1.68,1.33,1.4,44356,2018
6,2018-04-11 00:00:00,1.32,1.5,1.08,1.36,29477,2018
7,2018-04-12 00:00:00,1.37,1.64,1.22,1.64,16291,2018
8,2018-04-13 00:00:00,1.62,1.7,1.5,1.58,6956,2018
9,2018-04-16 00:00:00,1.61,1.63,1.29,1.36,10485,2018
10,2018-04-17 00:00:00,1.35,1.35,1.08,1.2,13410,2018
11,2018-04-18 00:00:00,1.22,1.35,0.98,1.02,12117,2018
12,2018-04-19 00:00:00,1.02,1.08,0.85,1.01,13118,2018
13,2018-04-20 00:00:00,1.0,1.0,0.8,0.87,26007,2018
14,2018-04-23 00:00:00,0.83,0.99,0.83,0.99,6382,2018
15,2018-04-24 00:00:00,1.02,1.02,0.82,0.89,10043,2018
16,2018-04-25 00:00:00,0.81,0.95,0.65,0.65,28684,2018
17,2018-04-26 00:00:00,0.63,0.63,0.51,0.62,10427,2018
18,2018-04-27 00:00:00,0.62,0.65,0.51,0.61,13992,2018
19,2018-04-30 00:00:00,0.61,0.61,0.51,0.6,166,2018
20,2018-05-02 00:00:00,0.61,0.61,0.51,0.6,1100,2018
21,2018-05-04 00:00:00,0.61,0.61,0.55,0.6,4062,2018
22,2018-05-07 00:00:00,0.61,0.61,0.5,0.56,4306,2018
23,2018-05-08 00:00:00,0.5,0.6,0.4,0.59,68523,2018
24,2018-05-09 00:00:00,0.59,0.83,0.59,0.79,17269,2018
25,2018-05-10 00:00:00,0.78,0.9,0.7,0.89,24238,2018
26,2018-05-11 00:00:00,0.95,0.99,0.95,0.99,6108,2018
27,2018-05-14 00:00:00,0.97,1.16,0.97,1.08,16160,2018
28,2018-05-15 00:00:00,1.08,1.19,0.92,1.17,7315,2018
29,2018-05-16 00:00:00,1.24,1.24,1.0,1.13,5138,2018
30,2018-05-17 00:00:00,1.22,1.27,1.14,1.24,2113,2018
31,2018-05-18 00:00:00,1.26,1.26,1.09,1.19,842,2018
32,2018-05-21 00:00:00,1.33,1.33,1.12,1.26,1592,2018
33,2018-05-22 00:00:00,1.23,1.23,1.0,1.04,7229,2018
34,2018-05-23 00:00:00,1.04,1.1,0.85,0.9,19911,2018
35,2018-05-24 00:00:00,0.85,0.94,0.69,0.94,13144,2018
36,2018-05-25 00:00:00,0.94,1.0,0.81,0.89,3541,2018
37,2018-05-28 00:00:00,0.94,1.0,0.8,0.85,7619,2018
38,2018-05-29 00:00:00,0.85,0.85,0.75,0.85,4136,2018
39,2018-05-30 00:00:00,0.85,0.85,0.68,0.73,11520,2018
40,2018-06-01 00:00:00,0.7,0.72,0.58,0.65,7600,2018
41,2018-06-04 00:00:00,0.7,0.7,0.58,0.7,5358,2018
42,2018-06-05 00:00:00,0.7,0.7,0.68,0.68,17,2018
43,2018-06-06 00:00:00,0.68,0.68,0.61,0.68,1094,2018
44,2018-06-07 00:00:00,0.68,0.7,0.64,0.7,1725,2018
45,2018-06-08 00:00:00,0.7,0.7,0.58,0.64,6220,2018
46,2018-06-11 00:00:00,0.64,0.7,0.6,0.7,3404,2018
47,2018-06-12 00:00:00,0.7,0.7,0.59,0.7,5238,2018
48,2018-06-13 00:00:00,0.7,0.7,0.56,0.69,24379,2018
49,2018-06-14 00:00:00,0.66,0.66,0.55,0.62,6867,2018
50,2018-06-15 00:00:00,0.62,0.68,0.6,0.68,7785,2018
51,2018-06-18 00:00:00,0.68,0.68,0.55,0.61,16045,2018
52,2018-06-19 00:00:00,0.61,0.61,0.42,0.55,33463,2018
53,2018-06-20 00:00:00,0.55,0.63,0.5,0.59,5933,2018
54,2018-06-21 00:00:00,0.58,0.58,0.47,0.5,66584,2018
55,2018-06-22 00:00:00,0.54,0.54,0.54,0.54,2,2018
56,2018-06-25 00:00:00,0.51,0.51,0.41,0.46,34965,2018
57,2018-06-26 00:00:00,0.45,0.45,0.43,0.45,3910,2018
58,2018-06-27 00:00:00,0.44,0.44,0.42,0.44,2954,2018
59,2018-06-28 00:00:00,0.44,0.49,0.4,0.49,73156,2018
60,2018-06-29 00:00:00,0.47,0.47,0.4,0.46,23747,2018
61,2018-07-02 00:00:00,0.46,0.46,0.4,0.45,27812,2018
62,2018-07-03 00:00:00,0.45,0.45,0.4,0.44,2611,2018
63,2018-07-04 00:00:00,0.44,0.46,0.41,0.46,8008,2018
64,2018-07-05 00:00:00,0.46,0.46,0.4,0.43,10755,2018
65,2018-07-06 00:00:00,0.43,0.43,0.4,0.43,4263,2018
66,2018-07-09 00:00:00,0.43,0.43,0.4,0.43,4082,2018
67,2018-07-10 00:00:00,0.43,0.43,0.43,0.43,4,2018
68,2018-07-11 00:00:00,0.43,0.43,0.38,0.43,2004,2018
69,2018-07-12 00:00:00,0.43,0.48,0.4,0.48,14965,2018
70,2018-07-13 00:00:00,0.48,0.48,0.44,0.48,2160,2018
71,2018-07-16 00:00:00,0.48,0.48,0.42,0.45,2659,2018
72,2018-07-17 00:00:00,0.45,0.45,0.45,0.45,2,2018
73,2018-07-18 00:00:00,0.45,0.45,0.45,0.45,2,2018
74,2018-07-19 00:00:00,0.45,0.45,0.4,0.45,2354,2018
75,2018-07-20 00:00:00,0.44,0.44,0.37,0.44,13362,2018
76,2018-07-23 00:00:00,0.37,0.41,0.36,0.41,6563,2018
77,2018-07-24 00:00:00,0.41,0.41,0.37,0.41,1456,2018
78,2018-07-25 00:00:00,0.41,0.41,0.36,0.4,1507,2018
79,2018-07-26 00:00:00,0.4,0.4,0.36,0.4,1772,2018
80,2018-07-27 00:00:00,0.4,0.4,0.4,0.4,2,2018
81,2018-07-30 00:00:00,0.4,0.4,0.39,0.4,12815,2018
82,2018-07-31 00:00:00,0.4,0.4,0.4,0.4,2,2018
83,2018-08-01 00:00:00,0.39,0.39,0.39,0.39,2,2018
84,2018-08-02 00:00:00,0.39,0.39,0.39,0.39,2,2018
85,2018-08-03 00:00:00,0.39,0.39,0.39,0.39,2,2018
86,2018-08-06 00:00:00,0.39,0.39,0.36,0.38,2096,2018
87,2018-08-07 00:00:00,0.34,0.37,0.34,0.37,5982,2018
88,2018-08-08 00:00:00,0.37,0.44,0.34,0.44,8957,2018
89,2018-08-09 00:00:00,0.43,0.43,0.43,0.43,2,2018
90,2018-08-10 00:00:00,0.43,0.49,0.36,0.49,28279,2018
91,2018-08-13 00:00:00,0.48,0.48,0.45,0.47,3109,2018
92,2018-08-14 00:00:00,0.48,0.49,0.41,0.44,23367,2018
93,2018-08-16 00:00:00,0.43,0.43,0.36,0.42,6801,2018
94,2018-08-17 00:00:00,0.42,0.42,0.34,0.42,6006,2018
95,2018-08-20 00:00:00,0.41,0.41,0.41,0.41,1,2018
