,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-12-19 00:00:00,1.49,2.12,1.49,1.97,18553,2011
1,2011-12-20 00:00:00,1.95,1.96,1.81,1.81,5533,2011
2,2011-12-21 00:00:00,1.81,1.81,1.81,1.81,470,2011
3,2011-12-22 00:00:00,1.9,2.0,1.9,2.0,2836,2011
4,2011-12-23 00:00:00,2.1,2.2,2.1,2.16,21779,2011
5,2011-12-27 00:00:00,2.15,2.15,2.15,2.15,599,2011
6,2011-12-28 00:00:00,2.2,2.9,2.2,2.9,14503,2011
7,2011-12-29 00:00:00,3.09,3.09,2.36,2.36,10796,2011
8,2011-12-30 00:00:00,2.26,2.26,1.95,1.95,15418,2011
9,2012-01-02 00:00:00,2.0,2.1,2.0,2.0,1699,2012
10,2012-01-03 00:00:00,1.95,1.95,1.95,1.95,1050,2012
11,2012-01-04 00:00:00,1.98,2.04,1.98,2.04,2514,2012
12,2012-01-09 00:00:00,2.04,2.2,2.04,2.2,3608,2012
13,2012-01-10 00:00:00,2.15,2.15,2.15,2.15,200,2012
14,2012-01-11 00:00:00,2.2,2.2,2.2,2.2,500,2012
15,2012-01-12 00:00:00,2.12,2.2,2.12,2.2,774,2012
16,2012-01-13 00:00:00,2.1,2.1,2.1,2.1,257,2012
17,2012-01-19 00:00:00,2.1,2.1,2.1,2.1,1448,2012
18,2012-01-20 00:00:00,1.95,2.11,1.95,2.11,4376,2012
19,2012-01-23 00:00:00,2.2,2.41,2.2,2.41,7960,2012
20,2012-01-24 00:00:00,2.3,2.41,2.3,2.41,2606,2012
21,2012-01-26 00:00:00,2.41,2.41,2.41,2.41,1000,2012
22,2012-01-27 00:00:00,2.31,2.31,2.3,2.3,3960,2012
23,2012-01-30 00:00:00,2.3,2.3,2.3,2.3,40,2012
24,2012-02-01 00:00:00,2.3,2.3,2.3,2.3,2000,2012
25,2012-02-03 00:00:00,2.3,2.3,2.3,2.3,500,2012
26,2012-02-09 00:00:00,2.41,2.7,2.33,2.45,3992,2012
27,2012-02-10 00:00:00,2.39,2.39,2.39,2.39,466,2012
28,2012-02-13 00:00:00,2.46,2.86,2.46,2.86,1117,2012
29,2012-02-14 00:00:00,2.46,2.69,2.46,2.69,2912,2012
30,2012-02-15 00:00:00,2.7,3.15,2.6,2.7,3426,2012
31,2012-02-17 00:00:00,2.73,2.73,2.73,2.73,925,2012
32,2012-02-20 00:00:00,2.62,3.15,2.62,2.88,3818,2012
33,2012-02-21 00:00:00,2.77,2.91,2.77,2.91,5297,2012
34,2012-02-23 00:00:00,2.78,2.78,2.78,2.78,3395,2012
35,2012-02-24 00:00:00,3.04,3.15,3.04,3.15,2516,2012
36,2012-02-27 00:00:00,3.77,3.77,3.76,3.77,3600,2012
37,2012-02-28 00:00:00,4.43,4.43,3.79,4.25,60,2012
38,2012-02-29 00:00:00,4.2,4.2,3.77,3.83,2715,2012
39,2012-03-02 00:00:00,4.38,4.5,3.7,4.5,6146,2012
40,2012-03-05 00:00:00,5.4,5.4,4.2,4.2,3107,2012
41,2012-03-06 00:00:00,3.67,4.0,3.67,4.0,701,2012
42,2012-03-07 00:00:00,4.0,4.0,4.0,4.0,306,2012
43,2012-03-08 00:00:00,4.01,4.01,4.0,4.0,306,2012
44,2012-03-09 00:00:00,4.0,4.09,3.9,4.09,317,2012
45,2012-03-12 00:00:00,4.09,4.09,4.09,4.09,537,2012
46,2012-03-13 00:00:00,4.2,4.9,3.8,4.09,5541,2012
47,2012-03-15 00:00:00,4.0,4.2,3.8,3.99,3325,2012
48,2012-03-16 00:00:00,4.0,4.0,3.8,3.95,3027,2012
49,2012-03-19 00:00:00,3.8,4.72,3.8,4.1,8470,2012
50,2012-03-20 00:00:00,4.0,4.0,4.0,4.0,600,2012
51,2012-03-21 00:00:00,4.0,4.0,4.0,4.0,600,2012
52,2012-03-22 00:00:00,3.9,3.9,3.9,3.9,800,2012
53,2012-03-27 00:00:00,3.9,3.9,3.5,3.85,1978,2012
54,2012-03-28 00:00:00,3.88,3.88,3.88,3.88,1,2012
55,2012-03-29 00:00:00,3.7,3.7,3.7,3.7,210,2012
56,2012-03-30 00:00:00,3.8,3.8,3.8,3.8,650,2012
57,2012-04-04 00:00:00,3.65,3.65,3.65,3.65,640,2012
58,2012-04-12 00:00:00,3.8,3.8,3.66,3.66,201,2012
59,2012-04-13 00:00:00,3.75,3.75,3.65,3.67,1517,2012
60,2012-04-17 00:00:00,3.72,3.72,3.72,3.72,611,2012
61,2012-04-18 00:00:00,3.7,3.98,3.7,3.95,4982,2012
62,2012-04-19 00:00:00,3.81,3.81,3.81,3.81,600,2012
63,2012-04-20 00:00:00,3.6,3.6,3.5,3.58,1339,2012
64,2012-04-23 00:00:00,3.58,3.58,3.58,3.58,1398,2012
65,2012-04-25 00:00:00,3.58,3.58,3.58,3.58,2797,2012
66,2012-04-26 00:00:00,3.58,3.58,3.0,3.0,3327,2012
67,2012-04-27 00:00:00,3.4,3.4,2.6,2.6,4056,2012
68,2012-04-30 00:00:00,2.61,2.61,2.61,2.61,24,2012
69,2012-05-02 00:00:00,2.76,3.13,2.76,3.13,1485,2012
70,2012-05-04 00:00:00,3.23,3.23,3.21,3.21,1560,2012
71,2012-05-07 00:00:00,2.88,3.7,2.88,2.91,6731,2012
72,2012-05-08 00:00:00,3.15,3.16,3.15,3.16,1588,2012
73,2012-05-09 00:00:00,3.01,3.2,3.01,3.2,842,2012
74,2012-05-14 00:00:00,3.21,3.21,3.15,3.21,1995,2012
75,2012-05-15 00:00:00,3.15,3.15,3.15,3.15,794,2012
76,2012-05-17 00:00:00,3.15,3.15,2.8,2.94,1676,2012
77,2012-05-18 00:00:00,3.08,3.25,3.08,3.25,1782,2012
78,2012-05-21 00:00:00,3.41,3.41,3.41,3.41,734,2012
79,2012-05-22 00:00:00,3.5,3.7,3.5,3.7,1192,2012
80,2012-05-23 00:00:00,3.57,3.57,3.0,3.17,3433,2012
81,2012-05-24 00:00:00,3.3,3.5,3.3,3.5,1916,2012
82,2012-05-30 00:00:00,3.73,4.09,3.5,3.5,1334,2012
83,2012-05-31 00:00:00,4.0,4.0,3.51,3.51,771,2012
84,2012-06-04 00:00:00,3.51,3.51,3.5,3.5,1200,2012
85,2012-06-06 00:00:00,3.5,4.0,3.5,4.0,20,2012
86,2012-06-13 00:00:00,3.5,3.5,3.5,3.5,758,2012
87,2012-06-14 00:00:00,3.62,3.62,3.62,3.62,691,2012
88,2012-06-15 00:00:00,3.53,3.53,3.33,3.33,2125,2012
