,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-07-11 00:00:00,0.8679,1.0125,0.5786,0.7714,34087,2013
1,2013-07-12 00:00:00,0.7714,0.8196,0.6171,0.6171,9204,2013
2,2013-07-15 00:00:00,0.6075,0.6268,0.5979,0.6268,6121,2013
3,2013-07-17 00:00:00,0.6268,0.6268,0.5979,0.5979,17,2013
4,2013-07-18 00:00:00,0.5979,0.675,0.5496,0.675,4993,2013
5,2013-07-19 00:00:00,0.6654,0.7618,0.6654,0.7618,2385,2013
6,2013-07-23 00:00:00,0.7618,0.7618,0.675,0.675,2384,2013
7,2013-07-30 00:00:00,0.6846,0.6846,0.6654,0.6654,415,2013
8,2013-08-06 00:00:00,0.675,0.675,0.6364,0.6364,2748,2013
9,2013-08-07 00:00:00,0.5979,0.5979,0.5786,0.5786,1400,2013
10,2013-08-12 00:00:00,0.6075,0.6075,0.6075,0.6075,2489,2013
11,2013-08-14 00:00:00,0.6075,0.6075,0.5882,0.5882,502,2013
12,2013-08-16 00:00:00,0.6171,0.6557,0.6171,0.6557,539,2013
13,2013-08-27 00:00:00,0.6557,0.6557,0.6557,0.6557,207,2013
14,2013-08-29 00:00:00,0.6557,0.6557,0.6557,0.6557,104,2013
15,2013-10-21 00:00:00,0.7136,0.7329,0.7039,0.7039,209,2013
16,2013-10-22 00:00:00,0.6943,0.6943,0.6943,0.6943,52,2013
17,2013-10-23 00:00:00,0.6943,0.6943,0.6943,0.6943,52,2013
18,2013-11-26 00:00:00,0.7425,0.7425,0.7136,0.7136,2018,2013
19,2013-12-06 00:00:00,0.7136,0.7136,0.6654,0.675,4770,2013
20,2013-12-09 00:00:00,0.6846,0.7232,0.6846,0.7232,2593,2013
21,2013-12-10 00:00:00,0.7136,0.7232,0.7136,0.7232,2593,2013
22,2013-12-20 00:00:00,0.7232,0.7232,0.6268,0.6268,3111,2013
23,2013-12-30 00:00:00,0.6268,0.6268,0.6268,0.6268,2479,2013
24,2014-02-03 00:00:00,0.6268,0.6268,0.6268,0.6268,52,2014
25,2014-03-20 00:00:00,0.6461,0.6461,0.6461,0.6461,104,2014
26,2014-03-21 00:00:00,0.6461,0.6461,0.6461,0.6461,52,2014
27,2014-03-24 00:00:00,0.6461,0.6461,0.6461,0.6461,31,2014
28,2014-03-25 00:00:00,0.6461,0.6461,0.6461,0.6461,83,2014
29,2014-03-26 00:00:00,0.6461,0.6461,0.6461,0.6461,104,2014
30,2014-03-27 00:00:00,0.6461,0.6461,0.6461,0.6461,104,2014
31,2014-03-28 00:00:00,0.6461,0.6461,0.6461,0.6461,104,2014
32,2014-03-31 00:00:00,0.6461,0.6461,0.6461,0.6461,31,2014
33,2014-04-03 00:00:00,0.6557,0.6557,0.6557,0.6557,81,2014
34,2014-05-13 00:00:00,0.6654,0.6654,0.6654,0.6654,52,2014
35,2014-05-14 00:00:00,0.6654,0.6654,0.6654,0.6654,31,2014
