,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-07-29 00:00:00,4.82,5.6,4.82,5.2,127484,2010
1,2010-07-30 00:00:00,5.25,5.34,4.4,4.4,29781,2010
2,2010-08-02 00:00:00,4.37,4.37,3.98,4.15,19931,2010
3,2010-08-03 00:00:00,4.14,4.15,4.0,4.0,7867,2010
4,2010-08-04 00:00:00,4.0,4.16,4.0,4.16,4983,2010
5,2010-08-05 00:00:00,4.01,4.09,4.01,4.09,230,2010
6,2010-08-06 00:00:00,4.01,4.17,4.0,4.17,4290,2010
7,2010-08-09 00:00:00,4.08,4.19,4.08,4.19,603,2010
8,2010-08-10 00:00:00,4.08,4.29,4.08,4.29,1028,2010
9,2010-08-11 00:00:00,4.19,4.39,4.19,4.39,1590,2010
10,2010-08-12 00:00:00,4.38,4.62,4.22,4.5,7002,2010
11,2010-08-13 00:00:00,4.6,4.65,4.58,4.6,1500,2010
12,2010-08-16 00:00:00,4.65,4.65,4.41,4.46,2400,2010
13,2010-08-17 00:00:00,4.45,4.48,4.45,4.45,755,2010
14,2010-08-18 00:00:00,4.5,4.5,4.5,4.5,50,2010
15,2010-08-19 00:00:00,4.49,4.49,4.2,4.2,4937,2010
16,2010-08-20 00:00:00,4.0,4.2,4.0,4.2,131,2010
17,2010-08-23 00:00:00,4.2,4.2,3.96,4.0,5250,2010
18,2010-08-24 00:00:00,4.0,4.1,4.0,4.1,608,2010
19,2010-08-25 00:00:00,4.0,4.14,4.0,4.12,1114,2010
20,2010-08-26 00:00:00,4.16,4.2,4.1,4.1,741,2010
21,2010-08-27 00:00:00,4.0,4.15,4.0,4.1,1222,2010
22,2010-08-30 00:00:00,4.2,4.2,3.96,4.01,5680,2010
23,2010-08-31 00:00:00,3.98,4.05,3.98,4.05,627,2010
24,2010-09-01 00:00:00,4.08,4.08,4.08,4.08,168,2010
25,2010-09-02 00:00:00,4.2,4.23,4.2,4.22,800,2010
26,2010-09-03 00:00:00,4.2,4.23,4.2,4.23,800,2010
27,2010-09-06 00:00:00,4.23,4.33,4.23,4.33,750,2010
28,2010-09-07 00:00:00,4.3,4.3,4.3,4.3,100,2010
29,2010-09-08 00:00:00,4.25,4.4,4.25,4.4,211,2010
30,2010-09-09 00:00:00,4.37,4.37,4.37,4.37,50,2010
