,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-08-26 00:00:00,2.09,2.09,1.7,1.9,48047,2011
1,2011-08-29 00:00:00,1.77,1.87,1.52,1.64,7590,2011
2,2011-08-30 00:00:00,1.6,1.6,1.55,1.55,505,2011
3,2011-08-31 00:00:00,1.45,1.59,1.38,1.59,5120,2011
4,2011-09-01 00:00:00,1.4,1.5,1.3,1.41,3863,2011
5,2011-09-02 00:00:00,1.35,1.35,1.25,1.25,3710,2011
6,2011-09-06 00:00:00,1.1,1.15,1.0,1.1,11950,2011
7,2011-09-08 00:00:00,0.97,0.97,0.88,0.91,5772,2011
8,2011-09-09 00:00:00,0.85,1.0,0.77,0.87,9385,2011
9,2011-09-12 00:00:00,0.86,0.86,0.7,0.8,9370,2011
10,2011-09-14 00:00:00,0.66,0.68,0.61,0.61,22747,2011
11,2011-09-15 00:00:00,0.56,0.61,0.49,0.5,38779,2011
12,2011-09-16 00:00:00,0.56,0.56,0.45,0.49,61463,2011
13,2011-09-19 00:00:00,0.45,0.53,0.44,0.52,50947,2011
14,2011-09-20 00:00:00,0.55,0.65,0.45,0.58,49360,2011
15,2011-09-21 00:00:00,0.54,0.64,0.54,0.61,9631,2011
16,2011-09-22 00:00:00,0.53,0.56,0.5,0.56,6501,2011
17,2011-09-23 00:00:00,0.51,0.62,0.45,0.62,88268,2011
18,2011-09-26 00:00:00,0.53,0.56,0.51,0.53,13270,2011
19,2011-09-27 00:00:00,0.54,0.59,0.54,0.58,7500,2011
20,2011-09-28 00:00:00,0.56,0.68,0.56,0.68,18121,2011
21,2011-09-29 00:00:00,0.64,0.9,0.64,0.9,18115,2011
22,2011-09-30 00:00:00,0.92,0.93,0.92,0.92,7862,2011
23,2011-10-03 00:00:00,0.84,0.89,0.78,0.83,8650,2011
24,2011-10-04 00:00:00,0.8,0.99,0.8,0.99,3550,2011
25,2011-10-05 00:00:00,1.0,1.0,0.85,0.9,3650,2011
26,2011-10-06 00:00:00,0.81,1.0,0.81,1.0,3400,2011
27,2011-10-07 00:00:00,0.84,0.98,0.84,0.87,7103,2011
28,2011-10-10 00:00:00,0.96,0.96,0.87,0.92,3400,2011
29,2011-10-11 00:00:00,0.83,0.88,0.83,0.88,3400,2011
30,2011-10-12 00:00:00,0.79,0.99,0.79,0.99,6650,2011
31,2011-10-17 00:00:00,0.85,0.95,0.8,0.95,6750,2011
32,2011-10-18 00:00:00,0.81,0.81,0.81,0.81,999,2011
33,2011-10-19 00:00:00,0.75,0.75,0.75,0.75,3400,2011
34,2011-10-20 00:00:00,0.71,0.76,0.71,0.76,4001,2011
35,2011-10-24 00:00:00,0.67,0.72,0.63,0.68,8620,2011
36,2011-10-25 00:00:00,0.64,0.77,0.61,0.77,17900,2011
37,2011-10-26 00:00:00,0.7,0.82,0.65,0.75,121717,2011
38,2011-10-27 00:00:00,0.68,0.68,0.68,0.68,3700,2011
39,2011-10-28 00:00:00,0.66,0.67,0.66,0.67,51000,2011
40,2011-10-31 00:00:00,0.68,0.75,0.68,0.75,4600,2011
41,2011-11-02 00:00:00,0.71,0.71,0.71,0.71,100,2011
42,2011-11-03 00:00:00,0.74,0.74,0.74,0.74,100,2011
43,2011-11-04 00:00:00,0.76,0.95,0.76,0.95,3500,2011
44,2011-11-08 00:00:00,0.71,0.71,0.71,0.71,4000,2011
45,2011-11-09 00:00:00,0.71,0.89,0.71,0.89,5906,2011
46,2011-11-15 00:00:00,0.71,0.71,0.71,0.71,1199,2011
47,2011-11-16 00:00:00,0.72,0.8,0.72,0.8,3502,2011
48,2011-11-17 00:00:00,0.71,0.71,0.71,0.71,3600,2011
49,2011-11-18 00:00:00,0.71,0.71,0.58,0.69,34098,2011
50,2011-11-22 00:00:00,0.63,0.72,0.63,0.72,4001,2011
51,2011-11-24 00:00:00,0.6,0.61,0.6,0.61,4400,2011
52,2011-11-28 00:00:00,0.56,0.61,0.56,0.61,4501,2011
53,2011-11-30 00:00:00,0.58,0.72,0.58,0.72,4501,2011
