,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-07-25 00:00:00,1.12,1.34,1.05,1.1,361018,2011
1,2011-07-26 00:00:00,1.05,1.1,0.85,0.88,131618,2011
2,2011-07-27 00:00:00,0.88,0.95,0.8,0.89,91512,2011
3,2011-07-28 00:00:00,0.89,0.89,0.77,0.81,55658,2011
4,2011-07-29 00:00:00,0.84,0.84,0.77,0.84,32890,2011
5,2011-08-01 00:00:00,0.79,0.84,0.78,0.79,19795,2011
6,2011-08-02 00:00:00,0.84,0.84,0.76,0.79,8403,2011
7,2011-08-03 00:00:00,0.8,0.8,0.73,0.76,2845,2011
8,2011-08-04 00:00:00,0.72,0.72,0.65,0.65,22255,2011
9,2011-08-05 00:00:00,0.65,0.65,0.54,0.57,24800,2011
10,2011-08-08 00:00:00,0.71,0.71,0.57,0.57,56731,2011
11,2011-08-09 00:00:00,0.55,0.58,0.55,0.57,6598,2011
12,2011-08-10 00:00:00,0.57,0.57,0.53,0.56,1291,2011
13,2011-08-11 00:00:00,0.53,0.53,0.48,0.51,17911,2011
14,2011-08-12 00:00:00,0.52,0.55,0.51,0.54,11697,2011
15,2011-08-16 00:00:00,0.54,0.63,0.5,0.63,20928,2011
16,2011-08-17 00:00:00,0.52,0.8,0.51,0.8,312591,2011
17,2011-08-18 00:00:00,0.75,0.75,0.52,0.57,199994,2011
18,2011-08-19 00:00:00,0.58,0.58,0.5,0.53,78549,2011
19,2011-08-22 00:00:00,0.53,0.55,0.5,0.5,30489,2011
20,2011-08-23 00:00:00,0.51,0.51,0.45,0.49,44181,2011
21,2011-08-24 00:00:00,0.49,0.49,0.45,0.46,12121,2011
22,2011-08-25 00:00:00,0.45,0.49,0.43,0.45,26169,2011
23,2011-08-26 00:00:00,0.45,0.45,0.42,0.44,4991,2011
24,2011-08-29 00:00:00,0.45,0.45,0.41,0.44,6544,2011
25,2011-08-30 00:00:00,0.43,0.45,0.42,0.45,3002,2011
26,2011-08-31 00:00:00,0.42,0.45,0.42,0.44,8488,2011
27,2011-09-01 00:00:00,0.43,0.45,0.42,0.45,2598,2011
28,2011-09-02 00:00:00,0.43,0.45,0.43,0.45,11722,2011
29,2011-09-05 00:00:00,0.44,0.44,0.44,0.44,150,2011
30,2011-09-06 00:00:00,0.44,0.44,0.44,0.44,644,2011
31,2011-09-07 00:00:00,0.4,0.45,0.4,0.45,3407,2011
32,2011-09-09 00:00:00,0.41,0.42,0.38,0.42,25610,2011
33,2011-09-12 00:00:00,0.37,0.39,0.34,0.35,18259,2011
34,2011-09-13 00:00:00,0.35,0.36,0.35,0.36,1760,2011
35,2011-09-14 00:00:00,0.35,0.4,0.35,0.38,11036,2011
36,2011-09-15 00:00:00,0.38,0.39,0.38,0.39,3100,2011
37,2011-09-16 00:00:00,0.39,0.44,0.37,0.4,26121,2011
38,2011-09-19 00:00:00,0.41,0.41,0.41,0.41,1088,2011
39,2011-09-20 00:00:00,0.4,0.41,0.34,0.35,38459,2011
40,2011-09-21 00:00:00,0.35,0.36,0.34,0.36,21591,2011
41,2011-09-22 00:00:00,0.36,0.36,0.32,0.36,11782,2011
42,2011-09-23 00:00:00,0.32,0.34,0.32,0.34,17236,2011
43,2011-09-26 00:00:00,0.35,0.36,0.35,0.36,796,2011
44,2011-09-28 00:00:00,0.34,0.36,0.34,0.34,239,2011
45,2011-09-29 00:00:00,0.32,0.36,0.32,0.36,5799,2011
46,2011-09-30 00:00:00,0.36,0.36,0.32,0.36,10682,2011
47,2011-10-03 00:00:00,0.33,0.37,0.32,0.36,15571,2011
48,2011-10-06 00:00:00,0.33,0.35,0.3,0.31,26208,2011
49,2011-10-07 00:00:00,0.31,0.34,0.31,0.34,5689,2011
50,2011-10-11 00:00:00,0.3,0.31,0.29,0.31,14500,2011
51,2011-10-12 00:00:00,0.31,0.34,0.31,0.33,17680,2011
52,2011-10-13 00:00:00,0.3,0.32,0.29,0.32,29320,2011
53,2011-10-14 00:00:00,0.29,0.32,0.28,0.32,14800,2011
54,2011-10-17 00:00:00,0.29,0.29,0.28,0.28,7102,2011
55,2011-10-18 00:00:00,0.29,0.29,0.28,0.28,5000,2011
56,2011-10-19 00:00:00,0.29,0.29,0.29,0.29,2500,2011
57,2011-10-20 00:00:00,0.28,0.28,0.28,0.28,2197,2011
58,2011-10-21 00:00:00,0.31,0.31,0.31,0.31,80,2011
59,2011-10-25 00:00:00,0.31,0.31,0.31,0.31,200,2011
60,2011-10-26 00:00:00,0.31,0.31,0.31,0.31,250,2011
