,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-02-06 00:00:00,3.0,3.4,2.8,3.0,48017,2012
1,2012-02-07 00:00:00,3.2,4.6,3.0,4.6,76312,2012
2,2012-02-08 00:00:00,4.6,4.6,3.2,3.4,74231,2012
3,2012-02-09 00:00:00,3.4,3.6,3.2,3.2,7724,2012
4,2012-02-10 00:00:00,3.2,3.8,3.2,3.8,9671,2012
5,2012-02-13 00:00:00,3.8,3.8,3.2,3.6,5503,2012
6,2012-02-14 00:00:00,3.6,3.8,3.4,3.6,10989,2012
7,2012-02-15 00:00:00,3.4,3.6,3.4,3.6,6206,2012
8,2012-02-16 00:00:00,3.4,3.6,3.4,3.4,3447,2012
9,2012-02-17 00:00:00,3.4,3.4,2.8,3.0,19691,2012
10,2012-02-20 00:00:00,3.0,3.4,3.0,3.0,19591,2012
11,2012-02-21 00:00:00,3.4,3.6,3.2,3.4,32790,2012
12,2012-02-22 00:00:00,3.4,4.4,3.4,4.2,52701,2012
13,2012-02-23 00:00:00,4.4,4.4,3.8,3.8,8631,2012
14,2012-02-24 00:00:00,3.8,4.2,3.8,4.2,1652,2012
15,2012-02-27 00:00:00,4.0,4.0,3.8,3.8,2794,2012
16,2012-02-28 00:00:00,3.6,4.2,3.6,4.2,12227,2012
17,2012-02-29 00:00:00,3.8,5.6,3.8,5.6,33902,2012
18,2012-03-01 00:00:00,5.4,5.6,4.6,5.2,6877,2012
19,2012-03-02 00:00:00,5.2,5.6,4.4,5.4,16310,2012
20,2012-03-05 00:00:00,4.8,5.2,4.8,5.2,1536,2012
21,2012-03-06 00:00:00,4.6,4.8,4.4,4.8,2378,2012
22,2012-03-07 00:00:00,4.4,5.6,4.4,5.6,9360,2012
23,2012-03-08 00:00:00,5.6,5.8,5.2,5.6,7813,2012
24,2012-03-09 00:00:00,5.6,5.6,5.2,5.6,2089,2012
25,2012-03-12 00:00:00,5.8,6.6,5.4,6.6,18664,2012
26,2012-03-13 00:00:00,6.6,6.8,5.4,5.8,11521,2012
27,2012-03-14 00:00:00,5.8,6.0,5.2,5.8,5337,2012
28,2012-03-15 00:00:00,5.8,6.0,5.2,5.6,3470,2012
29,2012-03-16 00:00:00,5.4,6.0,5.0,6.0,14654,2012
30,2012-03-19 00:00:00,6.0,6.2,5.6,6.2,5262,2012
31,2012-03-20 00:00:00,6.0,6.2,5.6,6.0,3776,2012
32,2012-03-21 00:00:00,6.0,6.8,5.8,6.8,18552,2012
33,2012-03-22 00:00:00,6.4,7.2,6.4,6.8,2971,2012
34,2012-03-23 00:00:00,6.6,7.2,6.6,7.2,6206,2012
35,2012-03-26 00:00:00,7.2,7.2,6.6,7.2,7339,2012
36,2012-03-27 00:00:00,7.2,7.4,6.8,7.2,8268,2012
37,2012-03-28 00:00:00,7.0,7.6,5.6,7.6,5743,2012
38,2012-03-29 00:00:00,6.6,6.6,5.0,5.2,56418,2012
39,2012-03-30 00:00:00,5.0,5.0,3.2,3.8,80382,2012
40,2012-04-02 00:00:00,3.8,4.0,3.4,3.8,25030,2012
41,2012-04-03 00:00:00,3.8,4.0,3.6,4.0,4531,2012
42,2012-04-04 00:00:00,3.8,4.0,3.6,4.0,12448,2012
43,2012-04-05 00:00:00,3.6,3.8,3.6,3.8,1358,2012
44,2012-04-10 00:00:00,3.6,3.8,3.6,3.8,8148,2012
45,2012-04-11 00:00:00,3.6,3.6,3.2,3.6,4409,2012
46,2012-04-12 00:00:00,3.6,3.8,3.4,3.8,1272,2012
47,2012-04-13 00:00:00,3.4,4.0,3.4,4.0,4235,2012
48,2012-04-16 00:00:00,3.8,3.8,3.6,3.8,610,2012
49,2012-04-17 00:00:00,3.6,4.2,3.6,4.2,16326,2012
50,2012-04-18 00:00:00,4.4,4.4,4.0,4.4,11780,2012
51,2012-04-19 00:00:00,4.2,4.4,4.0,4.4,2639,2012
52,2012-04-20 00:00:00,4.6,5.0,4.4,5.0,15527,2012
53,2012-04-23 00:00:00,4.6,4.8,4.6,4.8,5804,2012
54,2012-04-24 00:00:00,4.4,5.0,4.4,4.4,2241,2012
55,2012-04-25 00:00:00,4.2,4.4,4.0,4.2,1351,2012
56,2012-04-26 00:00:00,4.2,4.2,4.2,4.2,300,2012
57,2012-04-27 00:00:00,4.4,4.4,4.4,4.4,14,2012
58,2012-04-30 00:00:00,4.0,4.0,3.6,4.0,6868,2012
59,2012-05-02 00:00:00,4.0,4.0,3.6,3.8,3014,2012
60,2012-05-04 00:00:00,3.8,3.8,3.6,3.6,44,2012
61,2012-05-07 00:00:00,3.6,3.6,2.8,3.2,23067,2012
62,2012-05-08 00:00:00,3.2,3.2,2.6,3.0,15448,2012
63,2012-05-09 00:00:00,2.8,3.0,2.6,3.0,4104,2012
64,2012-05-10 00:00:00,2.8,3.0,2.6,3.0,2590,2012
65,2012-05-11 00:00:00,2.8,2.8,2.6,2.6,8150,2012
66,2012-05-14 00:00:00,2.6,2.8,2.4,2.8,1246,2012
67,2012-05-15 00:00:00,2.4,2.8,2.4,2.8,6298,2012
68,2012-05-16 00:00:00,2.6,2.6,2.2,2.4,10864,2012
69,2012-05-17 00:00:00,2.4,2.4,2.2,2.4,7433,2012
70,2012-05-18 00:00:00,2.2,2.4,2.2,2.4,706,2012
71,2012-05-21 00:00:00,2.4,2.4,2.4,2.4,125,2012
72,2012-05-22 00:00:00,2.2,2.4,2.0,2.4,2176,2012
73,2012-05-23 00:00:00,2.2,2.2,2.2,2.2,6850,2012
74,2012-05-24 00:00:00,2.0,2.2,2.0,2.2,251,2012
75,2012-05-25 00:00:00,2.0,2.2,2.0,2.2,1671,2012
76,2012-05-28 00:00:00,2.2,2.4,2.0,2.2,831,2012
77,2012-05-29 00:00:00,2.2,2.4,2.2,2.4,1345,2012
78,2012-05-30 00:00:00,2.2,2.4,2.2,2.4,656,2012
79,2012-05-31 00:00:00,2.2,2.4,2.2,2.4,559,2012
80,2012-06-01 00:00:00,2.2,2.4,2.0,2.4,2481,2012
81,2012-06-04 00:00:00,2.2,2.4,2.2,2.4,573,2012
82,2012-06-06 00:00:00,2.2,2.4,2.2,2.4,479,2012
83,2012-06-08 00:00:00,2.4,2.4,2.2,2.4,376,2012
84,2012-06-11 00:00:00,2.2,2.4,2.0,2.4,1752,2012
85,2012-06-13 00:00:00,2.0,2.2,2.0,2.2,463,2012
86,2012-06-15 00:00:00,2.0,2.4,2.0,2.2,8210,2012
87,2012-06-18 00:00:00,2.2,2.2,2.2,2.2,11,2012
88,2012-06-19 00:00:00,2.0,2.2,2.0,2.2,125,2012
89,2012-06-20 00:00:00,2.0,2.0,1.8,1.8,10622,2012
90,2012-06-21 00:00:00,2.0,2.0,1.8,1.8,2228,2012
91,2012-06-22 00:00:00,1.6,1.8,1.6,1.8,15,2012
92,2012-06-26 00:00:00,1.8,2.0,1.6,1.8,6734,2012
93,2012-06-27 00:00:00,1.4,1.6,1.4,1.6,977,2012
94,2012-06-28 00:00:00,1.6,1.8,1.6,1.8,3974,2012
95,2012-06-29 00:00:00,1.6,1.6,1.6,1.6,250,2012
96,2012-07-02 00:00:00,1.6,1.8,1.6,1.8,1511,2012
97,2012-07-03 00:00:00,1.6,1.6,1.4,1.6,351,2012
98,2012-07-04 00:00:00,1.4,1.6,1.4,1.6,455,2012
99,2012-07-05 00:00:00,1.6,1.8,1.4,1.8,1869,2012
100,2012-07-06 00:00:00,1.6,1.6,1.6,1.6,6930,2012
101,2012-07-09 00:00:00,1.4,1.4,1.4,1.4,2028,2012
102,2012-07-10 00:00:00,1.4,1.4,1.4,1.4,773,2012
103,2012-07-11 00:00:00,1.4,1.4,1.4,1.4,1696,2012
104,2012-07-12 00:00:00,1.4,1.4,1.4,1.4,254,2012
