,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-07-27 00:00:00,0.27365,0.32839,0.27365,0.32839,133983,2012
1,2012-07-30 00:00:00,0.3938,0.47241000000000005,0.3938,0.47241000000000005,36541,2012
2,2012-07-31 00:00:00,0.5763,0.6798,0.5763,0.6798,56841,2012
3,2012-08-01 00:00:00,0.7879,0.8209,0.7879,0.8209,12180,2012
4,2012-08-02 00:00:00,0.9851,1.1822,0.9851,1.1822,36541,2012
5,2012-08-03 00:00:00,1.2315,1.3682,1.2315,1.368,12180,2012
6,2012-08-07 00:00:00,1.367,1.367,1.367,1.367,4060,2012
7,2012-08-08 00:00:00,1.6404,1.6404,1.6404,1.6404,4060,2012
8,2012-08-09 00:00:00,1.9684,2.3621,1.9684,2.3621,12180,2012
9,2012-08-10 00:00:00,2.2167,2.463,2.2167,2.2167,12180,2012
10,2012-08-23 00:00:00,2.4627,2.4627,2.4627,2.4627,4060,2012
11,2012-08-24 00:00:00,2.3399,2.3399,2.3399,2.3399,4060,2012
12,2012-08-31 00:00:00,2.4623,2.4623,2.4623,2.4623,4060,2012
13,2012-09-03 00:00:00,2.463,2.463,2.463,2.463,16241,2012
14,2012-09-05 00:00:00,2.3399,2.3399,2.3399,2.3399,4060,2012
15,2012-09-13 00:00:00,2.463,2.5862,2.463,2.5862,36541,2012
16,2012-09-14 00:00:00,2.7093,2.7093,2.7089999999999996,2.7089999999999996,8120,2012
17,2012-09-26 00:00:00,3.2266,3.2266,3.2266,3.2266,4060,2012
18,2012-09-27 00:00:00,3.2266,3.2266,3.2266,3.2266,4060,2012
19,2012-10-02 00:00:00,3.8669,3.8669,3.8669,3.8669,4060,2012
20,2013-03-08 00:00:00,1.43,1.54,1.2354,1.54,174579,2013
21,2013-03-11 00:00:00,1.5231,1.5569,1.2438,1.54,74366,2013
22,2013-03-12 00:00:00,1.4385,2.2085,1.4385,1.6162,112907,2013
23,2013-03-13 00:00:00,1.6838,1.8108,1.4892,1.7092,51810,2013
24,2013-03-14 00:00:00,1.9038,1.98,1.5823,1.8192,13609,2013
25,2013-03-15 00:00:00,1.7938,2.6146,1.7938,1.8954,165882,2013
26,2013-03-18 00:00:00,2.0392,2.0392,1.54,1.8615,69302,2013
27,2013-03-19 00:00:00,1.7008,1.76,1.5738,1.6923,24137,2013
28,2013-03-20 00:00:00,1.5908,1.7431,1.5062,1.6754,39980,2013
29,2013-03-21 00:00:00,1.5569,1.6246,1.4977,1.5992,9238,2013
30,2013-03-22 00:00:00,1.5146,1.5485,1.4385,1.5315,26148,2013
31,2013-03-25 00:00:00,1.4469,1.5231,1.3538,1.4385,16430,2013
32,2013-03-26 00:00:00,1.5315,1.54,1.32,1.3623,10378,2013
33,2013-03-27 00:00:00,1.3538,1.54,1.2862,1.5315,3573,2013
34,2013-03-28 00:00:00,1.3877,1.5315,1.2777,1.5315,4250,2013
35,2013-04-02 00:00:00,1.4723,1.4723,1.2777,1.3538,10102,2013
36,2013-04-03 00:00:00,1.2946,1.43,1.2946,1.43,618,2013
37,2013-04-04 00:00:00,1.43,1.43,1.43,1.43,139,2013
38,2013-04-08 00:00:00,1.2862,1.4046,1.1592,1.4046,15966,2013
39,2013-04-09 00:00:00,1.21,1.21,1.21,1.21,4,2013
40,2013-04-10 00:00:00,1.3369,1.54,1.2946,1.54,4112,2013
41,2013-04-11 00:00:00,1.3792,1.4977,1.3708,1.4977,2022,2013
42,2013-04-12 00:00:00,1.3115,1.4385,1.21,1.4215,3427,2013
43,2013-04-15 00:00:00,1.2015,1.2608,1.2015,1.2608,85,2013
44,2013-04-17 00:00:00,1.3454,1.4215,1.2438,1.2438,3621,2013
45,2013-04-18 00:00:00,1.4215,1.5315,1.3962,1.5146,2912,2013
46,2013-04-19 00:00:00,1.3538,1.5146,1.3538,1.5146,226,2013
47,2013-04-22 00:00:00,1.3538,1.4723,1.2862,1.4723,1891,2013
48,2013-04-25 00:00:00,1.2777,1.43,1.2777,1.43,473,2013
49,2013-04-26 00:00:00,1.3623,1.43,1.3538,1.43,1513,2013
50,2013-04-30 00:00:00,1.2692,1.3877,1.2692,1.3877,461,2013
51,2013-05-06 00:00:00,1.4131,1.7262,1.4131,1.7262,18759,2013
52,2013-05-07 00:00:00,1.6923,1.6923,1.4215,1.4215,1148,2013
53,2013-05-08 00:00:00,1.4385,1.4808,1.2862,1.4808,1974,2013
54,2013-05-14 00:00:00,1.3031,1.4385,1.2862,1.43,2198,2013
55,2013-05-15 00:00:00,1.2946,1.4469,1.2946,1.4385,1359,2013
56,2013-05-16 00:00:00,1.4385,1.4385,1.4385,1.4385,100,2013
57,2013-05-17 00:00:00,1.4385,1.6246,1.4385,1.6246,2002,2013
58,2013-05-20 00:00:00,1.5992,1.6162,1.4977,1.6162,1364,2013
59,2013-05-21 00:00:00,1.4977,1.6077,1.3538,1.6077,567,2013
60,2013-05-22 00:00:00,1.4385,1.6077,1.2692,1.4469,8065,2013
61,2013-05-23 00:00:00,1.5062,1.5908,1.5062,1.5908,473,2013
62,2013-05-24 00:00:00,1.4638,1.4638,1.43,1.43,1604,2013
63,2013-05-27 00:00:00,1.5654,1.6077,1.43,1.5569,6814,2013
64,2013-05-28 00:00:00,1.4554,1.5569,1.4554,1.5569,709,2013
65,2013-05-29 00:00:00,1.4554,1.5485,1.43,1.5485,6767,2013
66,2013-05-31 00:00:00,1.4215,1.4215,1.4215,1.4215,908,2013
67,2013-06-03 00:00:00,1.3538,1.54,1.2946,1.5231,4006,2013
68,2013-06-04 00:00:00,1.3285,1.3285,1.3285,1.3285,591,2013
69,2013-06-05 00:00:00,1.5231,1.5992,1.3538,1.5823,2411,2013
70,2013-06-06 00:00:00,1.3623,1.6077,1.3623,1.6077,6662,2013
71,2013-06-10 00:00:00,1.4469,1.4469,1.4469,1.4469,162,2013
72,2013-06-11 00:00:00,1.4554,1.4554,1.4554,1.4554,177,2013
73,2013-06-12 00:00:00,1.4723,1.4723,1.4638,1.4638,1491,2013
74,2013-06-13 00:00:00,1.4638,1.4638,1.4638,1.4638,473,2013
75,2013-06-17 00:00:00,1.4638,1.4638,1.4638,1.4638,852,2013
76,2013-06-21 00:00:00,1.4385,1.5908,1.3623,1.5908,4236,2013
77,2013-06-25 00:00:00,1.4385,1.4385,1.4385,1.4385,51,2013
78,2013-06-27 00:00:00,1.4385,1.5908,1.3623,1.5908,8559,2013
79,2013-06-28 00:00:00,1.5654,1.5992,1.5654,1.5992,3545,2013
80,2013-07-01 00:00:00,1.3708,1.3708,1.3623,1.3623,768,2013
81,2013-07-02 00:00:00,1.3623,1.3623,1.3031,1.3031,3417,2013
82,2013-07-03 00:00:00,1.3538,1.3538,1.3031,1.3031,395,2013
83,2013-07-04 00:00:00,1.3115,1.3115,1.3115,1.3115,461,2013
84,2013-07-12 00:00:00,1.3115,1.3115,1.3115,1.3115,4,2013
85,2013-07-15 00:00:00,1.4385,1.4385,1.3538,1.3538,216,2013
86,2013-07-16 00:00:00,1.3538,1.3538,1.2185,1.2185,1182,2013
87,2013-07-17 00:00:00,1.3115,1.4385,1.3115,1.3115,11938,2013
88,2013-07-18 00:00:00,1.2692,1.2692,1.2185,1.2185,1210,2013
89,2013-07-30 00:00:00,1.1846,1.1846,1.0154,1.0154,1655,2013
90,2013-08-06 00:00:00,0.9562,0.9562,0.9562,0.9562,488,2013
91,2013-08-08 00:00:00,0.9477,0.9477,0.9477,0.9477,189,2013
92,2013-08-09 00:00:00,0.9731,1.0069,0.9731,1.0069,177,2013
93,2013-08-14 00:00:00,0.9731,1.1762,0.9731,1.1762,3074,2013
94,2013-08-16 00:00:00,1.1846,1.32,1.1846,1.32,473,2013
95,2013-08-19 00:00:00,1.21,1.21,1.1762,1.1762,3664,2013
96,2013-08-20 00:00:00,1.1846,1.1931,1.1846,1.1931,945,2013
97,2013-08-23 00:00:00,1.1931,1.1931,1.1931,1.1931,136,2013
98,2013-08-26 00:00:00,1.1931,1.3538,1.1931,1.3538,242,2013
99,2013-08-27 00:00:00,1.1931,1.43,1.1931,1.43,7902,2013
100,2013-08-28 00:00:00,1.3538,1.3538,1.3538,1.3538,118,2013
101,2013-08-29 00:00:00,1.3538,1.5738,1.3538,1.5738,5968,2013
102,2013-08-30 00:00:00,1.4385,1.5908,1.4385,1.5908,945,2013
103,2013-09-02 00:00:00,1.3538,1.5908,1.3538,1.5908,501,2013
104,2013-09-03 00:00:00,1.3538,1.5146,1.3538,1.5146,1330,2013
105,2013-09-04 00:00:00,1.3538,1.4892,1.3538,1.4892,1289,2013
106,2013-09-05 00:00:00,1.3538,1.3538,1.3538,1.3538,118,2013
107,2013-09-09 00:00:00,1.3538,1.5062,1.3538,1.5062,1064,2013
108,2013-09-11 00:00:00,1.3538,1.4385,1.1931,1.3369,3289,2013
109,2013-09-13 00:00:00,1.2269,1.2269,1.2269,1.2269,1839,2013
110,2013-09-18 00:00:00,1.3115,1.3877,1.3115,1.3877,1737,2013
111,2013-09-27 00:00:00,1.2692,1.2692,1.2692,1.2692,118,2013
112,2013-09-30 00:00:00,1.2692,1.2692,1.2692,1.2692,963,2013
113,2013-10-04 00:00:00,1.1846,1.32,1.1592,1.32,2600,2013
114,2013-10-08 00:00:00,1.2015,1.2015,1.1931,1.1931,1796,2013
115,2013-10-09 00:00:00,1.1931,1.1931,1.1762,1.1762,1182,2013
116,2013-10-10 00:00:00,1.1085,1.2523,1.1085,1.2523,979,2013
117,2013-10-21 00:00:00,1.0662,1.2269,1.0662,1.2269,272,2013
