,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2007-10-30 00:00:00,2.87,4.55,2.87,4.37,747077,2007
1,2007-10-31 00:00:00,4.93,4.93,4.07,4.26,293822,2007
2,2007-11-02 00:00:00,4.16,4.27,3.88,4.27,30434,2007
3,2007-11-05 00:00:00,4.45,4.45,3.93,4.44,59242,2007
4,2007-11-06 00:00:00,4.3,4.32,4.1,4.32,39141,2007
5,2007-11-07 00:00:00,4.3,4.5,4.13,4.36,15899,2007
6,2007-11-08 00:00:00,4.28,4.37,4.1,4.33,28593,2007
7,2007-11-09 00:00:00,4.36,4.53,4.21,4.52,27688,2007
8,2007-11-12 00:00:00,4.55,4.78,4.53,4.66,41488,2007
9,2007-11-13 00:00:00,4.54,4.63,4.31,4.52,33188,2007
10,2007-11-14 00:00:00,4.45,4.45,4.15,4.4,8565,2007
11,2007-11-15 00:00:00,4.52,4.52,4.4,4.4,6640,2007
12,2007-11-16 00:00:00,4.4,5.95,4.31,5.74,47073,2007
13,2007-11-19 00:00:00,5.7,5.74,5.56,5.7,12635,2007
14,2007-11-20 00:00:00,5.7,5.7,5.5,5.5,4703,2007
15,2007-11-21 00:00:00,5.79,5.79,5.58,5.74,23108,2007
16,2007-11-22 00:00:00,5.79,6.03,5.79,6.03,10059,2007
17,2007-11-23 00:00:00,6.08,7.23,6.08,6.6,23194,2007
18,2007-11-26 00:00:00,6.6,6.62,6.37,6.62,7240,2007
19,2007-11-27 00:00:00,6.63,6.65,6.56,6.65,3280,2007
20,2007-11-28 00:00:00,6.65,6.7,6.63,6.7,3715,2007
21,2007-11-29 00:00:00,6.7,6.77,6.61,6.77,11327,2007
22,2007-11-30 00:00:00,6.7,6.79,6.55,6.79,3690,2007
23,2007-12-03 00:00:00,6.7,6.7,6.6,6.65,3054,2007
24,2007-12-04 00:00:00,6.7,7.17,6.55,7.17,19719,2007
25,2007-12-05 00:00:00,7.18,7.42,7.14,7.42,18241,2007
26,2007-12-06 00:00:00,7.66,8.23,7.51,8.23,73468,2007
27,2007-12-07 00:00:00,8.23,9.04,8.23,9.04,82284,2007
28,2007-12-10 00:00:00,9.07,9.38,8.81,9.21,60968,2007
29,2007-12-11 00:00:00,9.0,9.09,8.14,8.85,55433,2007
30,2007-12-12 00:00:00,8.61,9.38,8.4,9.33,24042,2007
31,2007-12-13 00:00:00,9.09,9.38,8.95,9.32,34515,2007
32,2007-12-14 00:00:00,9.38,10.53,9.03,10.53,81565,2007
33,2007-12-17 00:00:00,9.91,10.82,9.91,10.82,24690,2007
34,2007-12-18 00:00:00,10.82,10.91,10.36,10.58,9300,2007
35,2007-12-19 00:00:00,10.96,10.96,10.53,10.91,2831,2007
36,2007-12-20 00:00:00,10.95,12.2,10.95,12.2,125404,2007
37,2007-12-21 00:00:00,12.2,12.44,11.72,12.44,13205,2007
38,2007-12-27 00:00:00,12.44,12.73,12.35,12.44,20910,2007
39,2007-12-28 00:00:00,13.04,14.36,12.44,14.36,40079,2007
40,2008-01-02 00:00:00,14.3,14.36,13.64,14.12,11051,2008
41,2008-01-03 00:00:00,14.07,14.07,11.64,12.48,17744,2008
42,2008-01-04 00:00:00,12.92,12.92,11.01,11.48,14077,2008
43,2008-01-07 00:00:00,11.72,11.72,9.67,9.67,30200,2008
44,2008-01-08 00:00:00,9.82,11.01,8.66,10.86,36351,2008
45,2008-01-09 00:00:00,10.86,10.86,9.35,10.23,9601,2008
46,2008-01-10 00:00:00,10.29,10.29,9.14,9.57,6728,2008
47,2008-01-11 00:00:00,10.05,10.05,9.0,9.76,6688,2008
48,2008-01-14 00:00:00,9.86,9.86,9.04,9.52,4486,2008
49,2008-01-15 00:00:00,9.52,9.52,9.09,9.28,1943,2008
50,2008-01-16 00:00:00,8.85,9.28,8.28,8.66,3393,2008
51,2008-01-17 00:00:00,9.28,9.28,8.66,9.04,3199,2008
52,2008-01-18 00:00:00,9.33,11.01,8.33,11.01,8911,2008
53,2008-01-21 00:00:00,9.09,10.53,9.09,10.15,9014,2008
54,2008-01-22 00:00:00,9.36,10.29,9.36,10.28,2837,2008
55,2008-01-23 00:00:00,10.77,10.77,9.49,10.05,3420,2008
56,2008-01-24 00:00:00,9.57,10.05,9.21,10.05,6032,2008
57,2008-01-25 00:00:00,9.26,9.79,9.09,9.23,6277,2008
58,2008-01-28 00:00:00,8.85,8.95,8.38,8.38,7206,2008
59,2008-01-29 00:00:00,8.42,8.61,8.42,8.61,982,2008
60,2008-01-30 00:00:00,8.61,9.09,8.38,9.09,576,2008
61,2008-01-31 00:00:00,8.61,9.24,8.28,8.61,215,2008
62,2008-02-01 00:00:00,9.09,9.09,8.61,8.61,1065,2008
63,2008-02-04 00:00:00,8.38,8.95,8.38,8.9,488,2008
64,2008-02-05 00:00:00,8.38,8.76,8.33,8.76,514,2008
65,2008-02-06 00:00:00,8.28,8.61,7.8,8.57,6251,2008
66,2008-02-07 00:00:00,8.14,8.14,6.94,6.94,7338,2008
67,2008-02-08 00:00:00,6.97,8.33,6.46,7.99,18085,2008
68,2008-02-11 00:00:00,8.23,9.09,7.8,8.84,5514,2008
69,2008-02-12 00:00:00,8.8,8.8,7.76,7.99,6644,2008
70,2008-02-13 00:00:00,7.66,8.09,7.21,8.09,1462,2008
71,2008-02-14 00:00:00,8.04,8.14,7.18,7.32,3445,2008
72,2008-02-15 00:00:00,7.33,7.66,7.18,7.32,2434,2008
73,2008-02-18 00:00:00,7.63,7.63,7.63,7.63,18,2008
74,2008-02-19 00:00:00,7.18,7.65,7.18,7.65,835,2008
75,2008-02-20 00:00:00,7.15,7.44,7.15,7.44,361,2008
76,2008-02-21 00:00:00,7.23,7.23,6.56,6.91,14357,2008
77,2008-02-22 00:00:00,6.7,6.7,6.03,6.41,8105,2008
78,2008-02-25 00:00:00,5.8,5.8,5.8,5.8,551,2008
79,2008-02-26 00:00:00,5.83,6.05,5.17,5.41,7708,2008
80,2008-02-27 00:00:00,5.41,5.41,4.36,4.47,43644,2008
81,2008-02-28 00:00:00,4.55,4.55,3.58,3.58,91054,2008
82,2008-02-29 00:00:00,3.35,3.35,2.69,3.1,224461,2008
83,2008-03-03 00:00:00,3.09,3.11,2.66,3.08,14806,2008
84,2008-03-04 00:00:00,3.11,3.72,2.9,3.64,119338,2008
85,2008-03-05 00:00:00,3.47,3.71,3.47,3.64,81810,2008
86,2008-03-06 00:00:00,3.64,3.64,3.16,3.25,37319,2008
87,2008-03-07 00:00:00,3.23,3.35,3.04,3.35,31518,2008
88,2008-03-10 00:00:00,3.35,3.68,3.35,3.68,58442,2008
89,2008-03-11 00:00:00,3.59,3.69,3.35,3.36,50308,2008
90,2008-03-12 00:00:00,3.45,3.45,3.19,3.28,30530,2008
91,2008-03-13 00:00:00,3.21,3.24,3.06,3.11,12424,2008
92,2008-03-14 00:00:00,3.11,3.3,3.02,3.24,26134,2008
93,2008-03-17 00:00:00,3.24,3.24,2.92,3.08,7273,2008
94,2008-03-18 00:00:00,3.08,3.08,2.92,2.97,9285,2008
95,2008-03-19 00:00:00,3.02,3.02,2.68,2.78,35898,2008
96,2008-03-20 00:00:00,2.8,2.8,2.58,2.65,51860,2008
97,2008-03-25 00:00:00,2.65,2.65,2.14,2.23,78487,2008
98,2008-03-26 00:00:00,2.2,2.31,1.97,2.28,36792,2008
99,2008-03-27 00:00:00,2.31,2.58,2.23,2.44,71830,2008
100,2008-03-28 00:00:00,2.49,2.61,2.35,2.61,57987,2008
101,2008-03-31 00:00:00,2.62,2.94,2.62,2.94,88571,2008
102,2008-04-01 00:00:00,2.92,3.46,2.89,3.37,111017,2008
