,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-05-24 00:00:00,1.2,1.2,0.86,0.86,28205,2011
1,2011-05-25 00:00:00,0.76,0.99,0.76,0.83,83,2011
2,2011-05-27 00:00:00,0.96,0.96,0.95,0.95,101,2011
3,2011-05-30 00:00:00,0.83,0.91,0.82,0.91,3510,2011
4,2011-06-01 00:00:00,0.77,0.77,0.7,0.72,28000,2011
5,2011-06-02 00:00:00,0.77,0.77,0.77,0.77,1000,2011
6,2011-06-03 00:00:00,0.72,0.73,0.72,0.73,7599,2011
7,2011-06-06 00:00:00,0.68,0.68,0.67,0.67,2500,2011
8,2011-06-09 00:00:00,0.63,0.69,0.62,0.69,5071,2011
9,2011-06-10 00:00:00,0.6,0.82,0.57,0.77,17482,2011
10,2011-06-13 00:00:00,0.7,0.7,0.64,0.67,14316,2011
11,2011-06-14 00:00:00,0.69,0.69,0.64,0.64,4600,2011
12,2011-06-16 00:00:00,0.62,0.62,0.61,0.61,7500,2011
13,2011-06-17 00:00:00,0.59,0.59,0.58,0.58,2000,2011
14,2011-06-20 00:00:00,0.54,0.54,0.47,0.48,6580,2011
15,2011-06-21 00:00:00,0.45,0.56,0.44,0.56,7750,2011
16,2011-06-22 00:00:00,0.51,0.51,0.51,0.51,1010,2011
17,2011-06-24 00:00:00,0.48,0.48,0.45,0.48,29832,2011
18,2011-06-27 00:00:00,0.45,0.45,0.44,0.45,14666,2011
19,2011-06-28 00:00:00,0.44,0.44,0.4,0.4,20682,2011
20,2011-06-29 00:00:00,0.38,0.38,0.32,0.36,63868,2011
21,2011-06-30 00:00:00,0.36,0.43,0.36,0.43,45271,2011
22,2011-07-01 00:00:00,0.43,0.43,0.37,0.42,12772,2011
23,2011-07-04 00:00:00,0.43,0.43,0.38,0.38,110,2011
24,2011-07-05 00:00:00,0.44,0.44,0.38,0.39,17870,2011
25,2011-07-07 00:00:00,0.42,0.42,0.36,0.36,17007,2011
26,2011-07-08 00:00:00,0.37,0.41,0.36,0.36,6861,2011
