,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2017-12-06 00:00:00,0.15,0.15,0.13,0.15,2321619,2017
1,2017-12-07 00:00:00,0.15,0.21,0.14,0.2,1995481,2017
2,2017-12-08 00:00:00,0.22,0.23,0.18,0.18,1311969,2017
3,2017-12-11 00:00:00,0.19,0.2,0.17,0.19,623027,2017
4,2017-12-12 00:00:00,0.19,0.19,0.17,0.18,410538,2017
5,2017-12-13 00:00:00,0.18,0.18,0.17,0.17,222849,2017
6,2017-12-14 00:00:00,0.17,0.17,0.16,0.16,446915,2017
7,2017-12-15 00:00:00,0.16,0.16,0.14,0.15,101326,2017
8,2017-12-18 00:00:00,0.15,0.15,0.13,0.13,99366,2017
9,2017-12-19 00:00:00,0.13,0.14,0.12,0.14,144025,2017
10,2017-12-20 00:00:00,0.14,0.14,0.12,0.13,11363,2017
11,2017-12-21 00:00:00,0.12,0.14,0.12,0.12,188102,2017
12,2017-12-22 00:00:00,0.12,0.15,0.12,0.15,100991,2017
13,2017-12-27 00:00:00,0.15,0.15,0.15,0.15,4900,2017
14,2017-12-28 00:00:00,0.16,0.16,0.14,0.14,12601,2017
15,2017-12-29 00:00:00,0.16,0.16,0.14,0.16,11751,2017
16,2018-01-03 00:00:00,0.16,0.16,0.15,0.15,1151,2018
17,2018-01-04 00:00:00,0.14,0.14,0.14,0.14,2965,2018
18,2018-01-05 00:00:00,0.14,0.15,0.13,0.14,8980,2018
19,2018-01-08 00:00:00,0.14,0.14,0.14,0.14,1151,2018
20,2018-01-09 00:00:00,0.14,0.14,0.13,0.13,27801,2018
21,2018-01-10 00:00:00,0.13,0.13,0.12,0.12,20774,2018
22,2018-01-11 00:00:00,0.13,0.15,0.12,0.15,68261,2018
23,2018-01-12 00:00:00,0.15,0.18,0.15,0.18,6092,2018
24,2018-01-15 00:00:00,0.19,0.19,0.16,0.17,8068,2018
25,2018-01-16 00:00:00,0.17,0.18,0.15,0.16,13273,2018
26,2018-01-17 00:00:00,0.16,0.16,0.14,0.15,11000,2018
27,2018-01-18 00:00:00,0.15,0.17,0.14,0.17,18222,2018
28,2018-01-19 00:00:00,0.17,0.17,0.14,0.14,6101,2018
