,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-01-11 00:00:00,21.41,22.89,20.5,21.0,107538,2011
1,2011-01-12 00:00:00,21.0,22.86,20.5,21.8,11162,2011
2,2011-01-13 00:00:00,21.7,22.48,20.5,21.3,27825,2011
3,2011-01-14 00:00:00,21.2,21.69,21.0,21.69,7729,2011
4,2011-01-17 00:00:00,21.69,24.89,20.73,24.89,5895,2011
5,2011-01-18 00:00:00,24.89,26.49,23.66,25.0,13371,2011
6,2011-01-19 00:00:00,25.1,25.9,24.8,25.0,2596,2011
7,2011-01-20 00:00:00,24.21,25.4,23.1,25.0,2883,2011
8,2011-01-21 00:00:00,25.0,25.0,23.25,23.5,2892,2011
9,2011-01-24 00:00:00,23.73,24.89,22.5,23.72,3956,2011
10,2011-01-26 00:00:00,23.8,24.85,23.2,24.85,371,2011
11,2011-01-27 00:00:00,24.5,24.8,24.1,24.1,68,2011
12,2011-01-28 00:00:00,23.5,24.89,23.25,23.75,725,2011
13,2011-01-31 00:00:00,24.0,24.88,24.0,24.77,1695,2011
14,2011-02-01 00:00:00,24.5,24.5,24.0,24.5,470,2011
15,2011-02-02 00:00:00,23.75,24.58,23.25,24.58,12668,2011
16,2011-02-03 00:00:00,24.0,24.0,23.6,24.0,172,2011
17,2011-02-04 00:00:00,23.35,24.0,23.35,24.0,726,2011
18,2011-02-07 00:00:00,23.5,23.72,22.7,23.72,2691,2011
19,2011-02-08 00:00:00,23.4,24.5,23.4,24.5,928,2011
20,2011-02-09 00:00:00,24.4,24.4,22.8,23.8,410,2011
21,2011-02-10 00:00:00,22.81,23.0,22.25,23.0,459,2011
22,2011-02-11 00:00:00,23.1,24.3,23.1,24.3,610,2011
23,2011-02-14 00:00:00,24.5,24.5,22.8,24.45,6950,2011
24,2011-02-15 00:00:00,23.6,23.6,22.05,23.49,1972,2011
25,2011-02-16 00:00:00,23.35,24.0,23.35,24.0,2125,2011
26,2011-02-17 00:00:00,23.2,23.75,23.2,23.75,202,2011
27,2011-02-18 00:00:00,24.0,24.0,22.4,23.95,2309,2011
28,2011-02-21 00:00:00,23.0,23.49,22.05,23.49,2321,2011
29,2011-02-22 00:00:00,22.1,23.94,22.1,23.94,435,2011
30,2011-02-25 00:00:00,23.0,23.9,22.6,23.9,512,2011
31,2011-02-28 00:00:00,23.89,23.89,22.75,23.84,174,2011
32,2011-03-02 00:00:00,23.19,23.19,23.19,23.19,10,2011
33,2011-03-04 00:00:00,23.2,23.2,22.1,23.2,210,2011
34,2011-03-07 00:00:00,22.05,23.1,22.05,23.1,229,2011
35,2011-03-08 00:00:00,21.6,22.5,21.55,22.5,535,2011
36,2011-03-09 00:00:00,22.3,23.0,22.3,23.0,1730,2011
