,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-03-24 00:00:00,1.17,1.26,1.1,1.15,287982,2011
1,2011-03-25 00:00:00,1.1,1.18,1.0,1.04,164784,2011
2,2011-03-28 00:00:00,1.06,1.15,1.01,1.02,78914,2011
3,2011-03-29 00:00:00,1.02,1.06,0.97,1.0,47710,2011
4,2011-03-30 00:00:00,0.99,1.04,0.95,1.04,15894,2011
5,2011-03-31 00:00:00,1.0,1.06,0.89,0.95,45391,2011
6,2011-04-01 00:00:00,0.98,1.11,0.91,1.04,58110,2011
7,2011-04-04 00:00:00,1.08,1.25,1.08,1.15,212434,2011
8,2011-04-05 00:00:00,1.2,1.28,1.05,1.08,114028,2011
9,2011-04-06 00:00:00,1.1,1.1,0.93,1.0,73907,2011
10,2011-04-07 00:00:00,0.99,1.09,0.98,1.08,65307,2011
11,2011-04-08 00:00:00,1.04,1.12,1.0,1.09,62900,2011
12,2011-04-11 00:00:00,1.09,1.09,1.02,1.07,11474,2011
13,2011-04-12 00:00:00,1.07,1.07,1.03,1.05,679,2011
14,2011-04-13 00:00:00,1.04,1.06,1.0,1.06,12951,2011
15,2011-04-14 00:00:00,1.06,1.06,1.01,1.01,701,2011
16,2011-04-15 00:00:00,1.03,1.05,1.0,1.01,6314,2011
17,2011-04-18 00:00:00,1.0,1.07,1.0,1.01,6261,2011
18,2011-04-19 00:00:00,1.02,1.07,1.0,1.07,10142,2011
19,2011-04-20 00:00:00,1.06,1.06,1.0,1.05,11726,2011
20,2011-04-21 00:00:00,1.05,1.05,1.01,1.02,6073,2011
21,2011-04-26 00:00:00,1.02,1.02,0.96,0.98,6590,2011
22,2011-04-27 00:00:00,0.98,1.0,0.98,1.0,1300,2011
23,2011-04-28 00:00:00,1.01,1.01,1.01,1.01,30,2011
24,2011-04-29 00:00:00,1.0,1.0,0.97,0.99,2688,2011
25,2011-05-02 00:00:00,1.0,1.0,0.98,0.98,1300,2011
26,2011-05-04 00:00:00,0.99,0.99,0.95,0.96,4223,2011
27,2011-05-05 00:00:00,0.97,0.97,0.95,0.95,31,2011
28,2011-05-09 00:00:00,0.97,1.1,0.97,1.05,8447,2011
29,2011-05-10 00:00:00,1.05,1.05,1.0,1.0,2100,2011
30,2011-05-11 00:00:00,0.99,1.03,0.93,1.0,10130,2011
31,2011-05-12 00:00:00,0.92,1.0,0.92,1.0,4192,2011
32,2011-05-13 00:00:00,1.0,1.0,0.98,0.98,1240,2011
33,2011-05-16 00:00:00,0.98,0.98,0.97,0.97,1170,2011
34,2011-05-17 00:00:00,0.96,0.96,0.93,0.95,1066,2011
35,2011-05-18 00:00:00,0.97,1.0,0.97,1.0,1345,2011
36,2011-05-19 00:00:00,0.99,1.0,0.95,0.96,4415,2011
37,2011-05-20 00:00:00,0.97,0.99,0.96,0.97,1110,2011
38,2011-05-23 00:00:00,0.96,0.97,0.94,0.97,810,2011
39,2011-05-24 00:00:00,0.98,0.98,0.96,0.96,4003,2011
40,2011-05-25 00:00:00,0.96,0.99,0.96,0.99,5300,2011
41,2011-05-26 00:00:00,0.98,0.98,0.96,0.96,1700,2011
42,2011-05-27 00:00:00,0.97,0.97,0.97,0.97,10,2011
43,2011-05-30 00:00:00,0.97,0.97,0.91,0.95,4909,2011
44,2011-05-31 00:00:00,0.95,0.96,0.9,0.93,3377,2011
45,2011-06-01 00:00:00,0.93,0.93,0.92,0.92,485,2011
46,2011-06-02 00:00:00,0.94,0.94,0.9,0.9,4950,2011
47,2011-06-03 00:00:00,0.9,0.9,0.9,0.9,11037,2011
48,2011-06-06 00:00:00,0.9,0.92,0.8,0.92,14626,2011
49,2011-06-07 00:00:00,0.89,0.98,0.89,0.94,17720,2011
50,2011-06-08 00:00:00,0.94,0.94,0.9,0.9,2120,2011
51,2011-06-09 00:00:00,0.93,0.94,0.9,0.94,1505,2011
52,2011-06-10 00:00:00,0.94,0.94,0.91,0.91,1989,2011
53,2011-06-13 00:00:00,0.91,0.91,0.91,0.91,636,2011
54,2011-06-14 00:00:00,0.91,0.93,0.91,0.93,350,2011
55,2011-06-15 00:00:00,0.93,0.95,0.93,0.93,460,2011
56,2011-06-16 00:00:00,0.94,0.94,0.91,0.93,310,2011
57,2011-06-17 00:00:00,0.9,0.94,0.9,0.94,1100,2011
58,2011-06-20 00:00:00,0.94,0.94,0.9,0.9,5115,2011
59,2011-06-21 00:00:00,0.92,0.92,0.89,0.9,2400,2011
60,2011-06-22 00:00:00,0.9,0.9,0.88,0.89,1005,2011
61,2011-06-24 00:00:00,0.89,0.89,0.89,0.89,100,2011
62,2011-06-28 00:00:00,0.92,0.92,0.92,0.92,5,2011
63,2011-06-29 00:00:00,0.89,0.89,0.89,0.89,200,2011
64,2011-06-30 00:00:00,0.89,0.89,0.89,0.89,110,2011
65,2011-07-01 00:00:00,0.89,0.89,0.89,0.89,100,2011
66,2011-07-04 00:00:00,0.88,0.88,0.88,0.88,5,2011
67,2011-07-05 00:00:00,0.84,0.84,0.84,0.84,100,2011
68,2011-07-06 00:00:00,0.84,0.84,0.81,0.81,1311,2011
69,2011-07-07 00:00:00,0.83,0.84,0.78,0.84,3417,2011
70,2011-07-11 00:00:00,0.83,0.84,0.73,0.82,4398,2011
71,2011-07-12 00:00:00,0.82,0.82,0.77,0.8,2397,2011
72,2011-07-13 00:00:00,0.8,0.8,0.7,0.7,3541,2011
73,2011-07-14 00:00:00,0.73,0.75,0.73,0.75,1550,2011
74,2011-07-15 00:00:00,0.78,0.78,0.78,0.78,10,2011
75,2011-07-18 00:00:00,0.75,0.75,0.73,0.73,4436,2011
76,2011-07-19 00:00:00,0.74,0.74,0.74,0.74,500,2011
77,2011-07-20 00:00:00,0.75,0.75,0.75,0.75,10,2011
78,2011-07-21 00:00:00,0.74,0.74,0.72,0.72,1700,2011
79,2011-07-22 00:00:00,0.71,0.74,0.71,0.72,2470,2011
80,2011-07-25 00:00:00,0.72,0.72,0.72,0.72,200,2011
81,2011-07-26 00:00:00,0.72,0.72,0.72,0.72,9790,2011
82,2011-07-27 00:00:00,0.72,0.75,0.72,0.75,960,2011
83,2011-08-02 00:00:00,0.75,0.75,0.75,0.75,200,2011
84,2011-08-03 00:00:00,0.75,0.8,0.7,0.7,1360,2011
85,2011-08-04 00:00:00,0.7,0.7,0.7,0.7,250,2011
86,2011-08-09 00:00:00,0.56,0.67,0.56,0.63,5501,2011
87,2011-08-10 00:00:00,0.63,0.63,0.62,0.62,300,2011
88,2011-08-11 00:00:00,0.63,0.63,0.63,0.63,100,2011
89,2011-08-12 00:00:00,0.63,0.81,0.63,0.81,8935,2011
90,2011-08-16 00:00:00,0.8,0.8,0.78,0.78,567,2011
91,2011-08-17 00:00:00,0.77,0.77,0.77,0.77,190,2011
92,2011-08-18 00:00:00,0.78,0.78,0.62,0.62,2514,2011
93,2011-08-19 00:00:00,0.72,0.72,0.72,0.72,600,2011
94,2011-08-22 00:00:00,0.74,0.74,0.74,0.74,200,2011
95,2011-08-23 00:00:00,0.7,0.7,0.7,0.7,1145,2011
96,2011-08-25 00:00:00,0.69,0.69,0.69,0.69,300,2011
97,2011-08-26 00:00:00,0.69,0.77,0.67,0.67,21110,2011
98,2011-08-30 00:00:00,0.68,0.72,0.68,0.72,410,2011
99,2011-09-02 00:00:00,0.72,0.77,0.7,0.71,4960,2011
100,2011-09-05 00:00:00,0.69,0.69,0.69,0.69,60,2011
101,2011-09-07 00:00:00,0.69,0.69,0.69,0.69,200,2011
102,2011-09-08 00:00:00,0.67,0.67,0.62,0.64,5701,2011
103,2011-09-09 00:00:00,0.63,0.63,0.6,0.63,1701,2011
104,2011-09-12 00:00:00,0.61,0.61,0.61,0.61,250,2011
105,2011-09-13 00:00:00,0.6,0.6,0.6,0.6,750,2011
106,2011-09-14 00:00:00,0.6,0.71,0.6,0.71,862,2011
107,2011-09-15 00:00:00,0.68,0.68,0.68,0.68,100,2011
108,2011-09-19 00:00:00,0.66,0.67,0.66,0.67,605,2011
109,2011-09-20 00:00:00,0.67,0.67,0.67,0.67,100,2011
110,2011-09-21 00:00:00,0.68,0.68,0.68,0.68,200,2011
111,2011-09-22 00:00:00,0.64,0.64,0.6,0.63,6650,2011
112,2011-09-23 00:00:00,0.6,0.6,0.58,0.58,30051,2011
113,2011-09-28 00:00:00,0.58,0.59,0.47,0.59,10700,2011
114,2011-09-29 00:00:00,0.59,0.59,0.51,0.56,2220,2011
115,2011-09-30 00:00:00,0.55,0.55,0.47,0.5,14736,2011
116,2011-10-03 00:00:00,0.5,0.53,0.5,0.53,510,2011
117,2011-10-05 00:00:00,0.5,0.5,0.49,0.49,9200,2011
118,2011-10-06 00:00:00,0.48,0.48,0.48,0.48,300,2011
119,2011-10-10 00:00:00,0.48,0.53,0.48,0.53,1193,2011
120,2011-10-11 00:00:00,0.53,0.53,0.51,0.53,611,2011
121,2011-10-12 00:00:00,0.53,0.53,0.48,0.53,568,2011
122,2011-10-13 00:00:00,0.53,0.53,0.53,0.53,300,2011
123,2011-10-14 00:00:00,0.53,0.53,0.53,0.53,200,2011
124,2011-10-17 00:00:00,0.53,0.56,0.5,0.55,14420,2011
125,2011-10-18 00:00:00,0.55,0.55,0.5,0.52,6920,2011
126,2011-10-19 00:00:00,0.5,0.53,0.5,0.53,401,2011
127,2011-10-20 00:00:00,0.5,0.5,0.5,0.5,1600,2011
128,2011-10-21 00:00:00,0.52,0.55,0.52,0.55,14629,2011
129,2011-10-24 00:00:00,0.53,0.53,0.52,0.52,6885,2011
130,2011-10-25 00:00:00,0.54,0.62,0.54,0.61,11902,2011
131,2011-10-26 00:00:00,0.61,0.65,0.61,0.63,12700,2011
132,2011-10-27 00:00:00,0.61,0.64,0.61,0.64,3425,2011
133,2011-10-28 00:00:00,0.66,0.66,0.6,0.64,3205,2011
134,2011-10-31 00:00:00,0.68,0.68,0.68,0.68,50,2011
135,2011-11-03 00:00:00,0.66,0.74,0.66,0.74,2500,2011
136,2011-11-04 00:00:00,0.7,0.7,0.7,0.7,200,2011
137,2011-11-07 00:00:00,0.7,0.7,0.7,0.7,200,2011
138,2011-11-08 00:00:00,0.71,0.75,0.71,0.75,4098,2011
139,2011-11-09 00:00:00,0.71,0.72,0.59,0.72,18854,2011
140,2011-11-10 00:00:00,0.72,0.72,0.56,0.56,1514,2011
141,2011-11-14 00:00:00,0.6,0.6,0.56,0.6,22,2011
142,2011-11-15 00:00:00,0.6,0.7,0.59,0.59,2964,2011
143,2011-11-16 00:00:00,0.6,0.65,0.59,0.65,1710,2011
144,2011-11-17 00:00:00,0.63,0.66,0.59,0.62,5040,2011
145,2011-11-18 00:00:00,0.6,0.64,0.6,0.64,802,2011
146,2011-11-21 00:00:00,0.62,0.64,0.62,0.64,201,2011
147,2011-11-22 00:00:00,0.63,0.63,0.63,0.63,200,2011
148,2011-11-23 00:00:00,0.62,0.65,0.62,0.62,922,2011
149,2011-11-24 00:00:00,0.62,0.62,0.62,0.62,605,2011
150,2011-11-25 00:00:00,0.62,0.62,0.62,0.62,500,2011
151,2011-11-28 00:00:00,0.62,0.62,0.62,0.62,300,2011
152,2011-11-29 00:00:00,0.62,0.62,0.57,0.62,6105,2011
153,2011-11-30 00:00:00,0.62,0.62,0.62,0.62,140,2011
154,2011-12-06 00:00:00,0.59,0.6,0.52,0.6,6010,2011
155,2011-12-07 00:00:00,0.61,0.62,0.61,0.62,210,2011
156,2011-12-08 00:00:00,0.6,0.6,0.52,0.54,7460,2011
157,2011-12-09 00:00:00,0.5,0.55,0.5,0.55,1400,2011
158,2011-12-12 00:00:00,0.52,0.6,0.45,0.57,11070,2011
159,2011-12-13 00:00:00,0.6,0.6,0.55,0.6,24270,2011
160,2011-12-14 00:00:00,0.6,0.6,0.52,0.59,3705,2011
161,2011-12-15 00:00:00,0.6,0.6,0.6,0.6,200,2011
162,2011-12-16 00:00:00,0.6,0.6,0.6,0.6,200,2011
163,2011-12-19 00:00:00,0.6,0.6,0.6,0.6,200,2011
164,2011-12-20 00:00:00,0.6,0.6,0.6,0.6,200,2011
165,2011-12-21 00:00:00,0.6,0.6,0.6,0.6,1000,2011
166,2011-12-22 00:00:00,0.6,0.6,0.6,0.6,200,2011
167,2011-12-23 00:00:00,0.57,0.59,0.53,0.59,7047,2011
168,2011-12-28 00:00:00,0.56,0.56,0.56,0.56,200,2011
169,2011-12-30 00:00:00,0.56,0.59,0.56,0.59,410,2011
170,2012-01-02 00:00:00,0.59,0.61,0.59,0.61,1353,2012
171,2012-01-03 00:00:00,0.6,0.6,0.6,0.6,200,2012
172,2012-01-04 00:00:00,0.6,0.6,0.6,0.6,200,2012
173,2012-01-09 00:00:00,0.6,0.6,0.6,0.6,200,2012
174,2012-01-10 00:00:00,0.6,0.6,0.6,0.6,200,2012
175,2012-01-11 00:00:00,0.6,0.6,0.6,0.6,200,2012
176,2012-01-12 00:00:00,0.57,0.58,0.55,0.58,730,2012
177,2012-01-13 00:00:00,0.55,0.59,0.55,0.59,1180,2012
178,2012-01-16 00:00:00,0.6,0.6,0.56,0.56,400,2012
179,2012-01-17 00:00:00,0.56,0.58,0.56,0.58,210,2012
180,2012-01-19 00:00:00,0.58,0.59,0.58,0.59,500,2012
181,2012-01-20 00:00:00,0.6,0.6,0.6,0.6,200,2012
182,2012-01-24 00:00:00,0.6,0.6,0.6,0.6,200,2012
