,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-04-29 00:00:00,14.505999999999998,15.472999999999999,11.991,11.991,36256,2011
1,2011-05-02 00:00:00,12.088,12.475,10.540999999999999,10.540999999999999,4356,2011
2,2011-05-04 00:00:00,11.024000000000001,11.024000000000001,8.8193,9.3319,9023,2011
3,2011-05-05 00:00:00,8.7033,9.4382,8.6549,9.2352,3558,2011
4,2011-05-06 00:00:00,9.1868,9.2448,8.6549,8.7033,714,2011
5,2011-05-09 00:00:00,9.1868,9.1868,8.7613,8.8484,1472,2011
6,2011-05-10 00:00:00,8.8387,8.9451,8.6259,8.8967,2321,2011
7,2011-05-11 00:00:00,8.6259,8.8,8.6163,8.6259,1503,2011
8,2011-05-12 00:00:00,8.5196,8.7033,8.5099,8.7033,1294,2011
9,2011-05-13 00:00:00,8.4615,9.0901,8.4615,9.0901,476,2011
10,2011-05-16 00:00:00,9.0901,9.0901,8.7033,8.9741,1546,2011
11,2011-05-17 00:00:00,8.9257,8.9257,8.6549,8.7033,995,2011
12,2011-05-18 00:00:00,8.887,8.887,8.887,8.887,12,2011
13,2011-05-19 00:00:00,8.7033,8.7033,8.2778,8.2778,1256,2011
14,2011-05-20 00:00:00,8.2778,8.4615,8.2778,8.4615,111,2011
15,2011-05-23 00:00:00,8.3262,8.5969,8.3262,8.5969,5,2011
16,2011-05-24 00:00:00,8.5969,8.5969,8.5969,8.5969,93,2011
17,2011-05-25 00:00:00,8.6936,8.6936,8.6936,8.6936,16,2011
18,2011-05-26 00:00:00,8.6936,8.6936,8.6936,8.6936,12,2011
19,2011-05-27 00:00:00,8.6936,8.6936,8.6936,8.6936,12,2011
20,2011-05-30 00:00:00,8.6936,8.6936,8.2295,8.2295,426,2011
21,2011-05-31 00:00:00,8.2391,8.3165,8.2295,8.2295,183,2011
22,2011-06-01 00:00:00,8.2681,8.2681,8.2488,8.2488,533,2011
23,2011-06-02 00:00:00,8.2778,8.2778,8.2778,8.2778,103,2011
24,2011-06-03 00:00:00,8.2488,8.2488,8.2488,8.2488,213,2011
25,2011-06-06 00:00:00,8.2488,8.2488,8.2488,8.2488,92,2011
26,2011-06-07 00:00:00,8.0747,8.0747,8.0747,8.0747,16,2011
27,2011-06-08 00:00:00,8.0747,8.0747,8.0554,8.0554,217,2011
28,2011-06-09 00:00:00,8.0554,8.2198,8.0554,8.2198,73,2011
