,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2014-11-06 00:00:00,8.02,9.98,8.02,8.35,3041,2014
1,2014-11-07 00:00:00,7.8,9.36,7.8,7.8,1542,2014
2,2014-11-10 00:00:00,7.5,7.5,6.0,6.0,557,2014
3,2014-11-12 00:00:00,6.5,7.9,6.5,7.9,1101,2014
4,2014-11-13 00:00:00,7.9,7.9,7.9,7.9,10,2014
5,2014-11-14 00:00:00,7.9,8.45,6.9,8.45,716,2014
6,2014-11-17 00:00:00,8.44,8.44,8.44,8.44,10,2014
7,2014-11-18 00:00:00,8.44,8.44,8.44,8.44,10,2014
8,2014-11-19 00:00:00,8.44,8.44,8.44,8.44,5,2014
9,2014-11-20 00:00:00,8.44,8.44,8.44,8.44,5,2014
10,2014-11-25 00:00:00,8.45,8.48,8.45,8.48,71,2014
11,2014-11-26 00:00:00,8.48,8.48,8.48,8.48,5,2014
12,2014-11-27 00:00:00,8.48,8.48,8.48,8.48,5,2014
13,2014-11-28 00:00:00,8.48,8.48,8.48,8.48,5,2014
14,2014-12-01 00:00:00,8.48,8.48,8.48,8.48,5,2014
15,2014-12-02 00:00:00,8.48,8.48,8.48,8.48,5,2014
16,2014-12-03 00:00:00,8.48,8.48,8.48,8.48,5,2014
17,2014-12-04 00:00:00,8.48,8.48,8.48,8.48,5,2014
18,2014-12-05 00:00:00,8.48,8.49,7.9,8.49,305,2014
19,2014-12-08 00:00:00,8.48,8.48,8.48,8.48,5,2014
20,2014-12-09 00:00:00,8.48,8.48,8.48,8.48,5,2014
21,2014-12-10 00:00:00,8.48,8.48,8.48,8.48,5,2014
22,2014-12-11 00:00:00,8.48,8.48,8.48,8.48,5,2014
23,2014-12-12 00:00:00,8.48,8.48,8.48,8.48,5,2014
24,2014-12-15 00:00:00,8.48,8.48,8.48,8.48,5,2014
25,2014-12-16 00:00:00,8.48,8.48,8.48,8.48,5,2014
26,2014-12-17 00:00:00,8.48,8.48,8.48,8.48,5,2014
27,2014-12-18 00:00:00,8.48,8.48,8.48,8.48,5,2014
28,2014-12-19 00:00:00,8.48,8.48,8.48,8.48,5,2014
29,2014-12-22 00:00:00,8.48,8.48,8.48,8.48,5,2014
30,2014-12-23 00:00:00,8.48,8.48,8.48,8.48,5,2014
31,2014-12-29 00:00:00,8.48,8.48,8.48,8.48,5,2014
32,2015-01-07 00:00:00,8.4,8.4,8.4,8.4,5,2015
33,2015-01-08 00:00:00,8.4,8.4,8.4,8.4,5,2015
34,2015-01-09 00:00:00,8.4,8.4,8.4,8.4,5,2015
35,2015-01-13 00:00:00,8.4,8.4,8.4,8.4,5,2015
36,2015-01-14 00:00:00,8.4,8.4,8.4,8.4,5,2015
37,2015-01-15 00:00:00,8.4,8.4,8.4,8.4,2,2015
38,2015-01-16 00:00:00,8.4,8.4,8.4,8.4,5,2015
39,2015-01-19 00:00:00,8.4,8.4,8.4,8.4,5,2015
40,2015-01-20 00:00:00,8.4,8.4,8.4,8.4,5,2015
41,2015-01-21 00:00:00,8.4,8.4,8.4,8.4,5,2015
42,2015-01-22 00:00:00,8.4,8.4,8.4,8.4,5,2015
43,2015-01-23 00:00:00,8.4,8.4,8.4,8.4,5,2015
44,2015-01-26 00:00:00,8.4,8.4,8.4,8.4,5,2015
45,2015-01-27 00:00:00,8.35,8.35,8.35,8.35,5,2015
46,2015-01-28 00:00:00,8.34,8.34,8.34,8.34,5,2015
47,2015-01-30 00:00:00,8.32,8.32,8.32,8.32,5,2015
48,2015-02-02 00:00:00,8.32,8.32,8.32,8.32,2,2015
49,2015-02-03 00:00:00,8.32,8.32,8.32,8.32,2,2015
50,2015-02-04 00:00:00,8.32,8.32,8.32,8.32,10,2015
51,2015-02-05 00:00:00,8.32,8.32,8.32,8.32,2,2015
52,2015-02-06 00:00:00,8.32,8.32,8.32,8.32,10,2015
53,2015-02-09 00:00:00,8.32,8.32,8.32,8.32,5,2015
54,2015-02-10 00:00:00,8.32,8.32,8.32,8.32,5,2015
55,2015-02-11 00:00:00,8.32,8.32,8.32,8.32,5,2015
56,2015-02-12 00:00:00,8.32,8.32,8.32,8.32,2,2015
57,2015-02-13 00:00:00,8.32,8.32,8.32,8.32,2,2015
58,2015-02-16 00:00:00,8.32,8.32,8.32,8.32,5,2015
59,2015-02-17 00:00:00,8.33,8.33,8.33,8.33,165,2015
60,2015-02-18 00:00:00,8.39,8.39,8.39,8.39,50,2015
61,2015-02-19 00:00:00,8.4,8.4,8.4,8.4,2,2015
62,2015-02-20 00:00:00,8.4,8.4,8.4,8.4,5,2015
63,2015-02-23 00:00:00,8.4,8.4,8.4,8.4,3,2015
64,2015-02-24 00:00:00,8.4,8.4,8.4,8.4,3,2015
65,2015-02-25 00:00:00,8.4,8.4,8.4,8.4,5,2015
66,2015-02-26 00:00:00,8.4,8.4,8.4,8.4,5,2015
67,2015-03-02 00:00:00,8.4,8.4,8.4,8.4,2,2015
68,2015-03-03 00:00:00,8.4,8.4,8.4,8.4,5,2015
69,2015-03-04 00:00:00,8.4,8.4,8.4,8.4,14,2015
70,2015-03-10 00:00:00,8.4,8.4,8.4,8.4,2,2015
71,2015-03-11 00:00:00,8.4,8.4,8.4,8.4,2,2015
72,2015-03-12 00:00:00,8.4,8.4,7.54,7.54,307,2015
73,2015-03-17 00:00:00,7.3,7.7,7.17,7.7,360,2015
74,2015-03-18 00:00:00,7.7,7.7,7.19,7.19,247,2015
75,2015-03-19 00:00:00,7.15,7.15,7.15,7.15,3,2015
76,2015-03-20 00:00:00,7.1,7.1,7.1,7.1,5,2015
77,2015-03-23 00:00:00,7.0,7.0,7.0,7.0,2,2015
78,2015-03-24 00:00:00,7.0,8.4,6.95,8.4,517,2015
79,2015-03-25 00:00:00,8.39,8.41,8.39,8.39,180,2015
80,2015-03-26 00:00:00,8.4,8.4,7.5,7.5,162,2015
81,2015-03-30 00:00:00,7.5,7.5,7.39,7.39,96,2015
82,2015-04-02 00:00:00,7.3,8.35,7.3,8.35,280,2015
83,2015-04-07 00:00:00,8.4,8.4,8.4,8.4,200,2015
84,2015-04-08 00:00:00,8.4,8.4,8.4,8.4,3,2015
85,2015-04-09 00:00:00,8.4,8.4,8.4,8.4,2,2015
86,2015-04-10 00:00:00,8.4,8.4,8.4,8.4,5,2015
87,2015-04-13 00:00:00,8.41,8.41,8.41,8.41,300,2015
88,2015-04-14 00:00:00,8.42,8.42,8.42,8.42,5,2015
89,2015-04-15 00:00:00,8.42,8.42,8.42,8.42,5,2015
90,2015-04-16 00:00:00,8.42,8.42,8.42,8.42,5,2015
91,2015-04-17 00:00:00,8.42,8.42,8.42,8.42,5,2015
92,2015-04-20 00:00:00,8.42,8.42,8.42,8.42,5,2015
93,2015-04-21 00:00:00,8.42,8.42,8.42,8.42,5,2015
94,2015-04-22 00:00:00,8.42,8.42,8.42,8.42,5,2015
95,2015-04-23 00:00:00,8.42,8.42,8.42,8.42,5,2015
96,2015-04-24 00:00:00,8.42,8.42,8.42,8.42,3,2015
97,2015-04-27 00:00:00,8.42,8.42,8.42,8.42,5,2015
98,2015-04-28 00:00:00,8.42,8.42,8.42,8.42,5,2015
99,2015-04-29 00:00:00,8.0,8.0,8.0,8.0,20,2015
100,2015-04-30 00:00:00,8.2,8.6,8.2,8.6,146,2015
101,2015-05-06 00:00:00,8.6,8.82,8.6,8.82,20,2015
102,2015-05-11 00:00:00,8.6,8.6,8.6,8.6,10,2015
103,2015-05-13 00:00:00,8.5,8.5,8.5,8.5,10,2015
104,2015-05-14 00:00:00,8.2,8.6,8.2,8.6,102,2015
105,2015-05-15 00:00:00,8.5,8.5,8.5,8.5,10,2015
106,2015-05-18 00:00:00,8.5,8.5,8.5,8.5,5,2015
107,2015-05-19 00:00:00,8.5,8.5,8.5,8.5,5,2015
108,2015-05-20 00:00:00,8.5,8.5,8.5,8.5,5,2015
109,2015-05-21 00:00:00,8.5,8.5,8.5,8.5,5,2015
110,2015-05-22 00:00:00,8.5,8.5,8.5,8.5,5,2015
111,2015-05-25 00:00:00,8.5,8.5,8.5,8.5,5,2015
112,2015-05-26 00:00:00,8.5,8.5,8.5,8.5,5,2015
113,2015-05-27 00:00:00,8.5,8.5,8.5,8.5,5,2015
