,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2015-08-18 00:00:00,7.0372,9.0663,5.9195,8.1135,77370,2015
1,2015-08-19 00:00:00,8.3869,8.9329,7.1283,7.1283,11197,2015
2,2015-08-20 00:00:00,7.6002,7.6002,6.6233,7.534,16116,2015
3,2015-08-21 00:00:00,7.534,7.534,6.4742,7.3684,63163,2015
4,2015-08-24 00:00:00,7.2442,7.4098,6.0852,6.0852,44267,2015
5,2015-08-25 00:00:00,5.9691,6.6067,5.7872,6.4577,17973,2015
6,2015-08-26 00:00:00,7.2774,7.2774,5.8285,6.3335,18048,2015
7,2015-08-27 00:00:00,6.3252,6.3252,5.4228,6.2093,9914,2015
8,2015-08-28 00:00:00,6.0106,6.8634,5.7953,6.8634,13417,2015
9,2015-08-31 00:00:00,6.8634,6.8634,5.7953,5.8451,11616,2015
10,2015-09-01 00:00:00,5.8451,6.0852,5.6298,5.7953,6236,2015
11,2015-09-02 00:00:00,5.7953,5.9195,5.5304,5.5304,10692,2015
12,2015-09-03 00:00:00,5.7953,5.8699,5.547000000000001,5.6298,20830,2015
13,2015-09-04 00:00:00,5.5553,5.8948,5.3896,5.8948,16085,2015
14,2015-09-07 00:00:00,5.8948,5.8948,5.4228,5.7209,6726,2015
15,2015-09-08 00:00:00,5.754,5.8948,5.754,5.8451,3480,2015
16,2015-09-09 00:00:00,5.961,5.961,5.3152,5.6298,12351,2015
17,2015-09-10 00:00:00,5.6298,5.6298,5.2986,5.2986,2745,2015
18,2015-09-11 00:00:00,5.489,5.489,5.4643,5.4643,2984,2015
19,2015-09-14 00:00:00,5.4394,5.547000000000001,5.34,5.34,1099,2015
20,2015-09-15 00:00:00,5.2986,5.5802,5.1579,5.3815,7968,2015
21,2015-09-16 00:00:00,5.3815,5.3815,5.132999999999999,5.132999999999999,8776,2015
22,2015-09-17 00:00:00,5.0503,5.2076,4.9757,4.9757,15732,2015
23,2015-09-18 00:00:00,4.8018,4.8018,4.1396,4.8018,13743,2015
24,2015-09-21 00:00:00,4.8846,7.0207,4.3051,6.8634,143992,2015
25,2015-09-22 00:00:00,5.961,9.522,5.961,8.6512,71747,2015
26,2015-09-23 00:00:00,9.728,10.184,6.7889,8.2789,76975,2015
27,2015-09-24 00:00:00,7.4512,10.059,7.4512,8.3204,52850,2015
28,2015-09-25 00:00:00,8.4698,10.25,8.4448,10.25,84382,2015
29,2015-09-28 00:00:00,10.349,10.415,7.4512,7.4512,77949,2015
30,2015-09-29 00:00:00,8.0307,8.0307,6.7889,8.0224,2312,2015
31,2015-09-30 00:00:00,7.9894,8.3619,7.1448,8.3619,13280,2015
32,2015-10-01 00:00:00,8.3532,9.2557,6.763999999999999,8.2789,71668,2015
33,2015-10-02 00:00:00,8.5278,9.48,7.2774,7.7741,91092,2015
34,2015-10-05 00:00:00,7.4512,7.9315,7.2856,7.2856,3029,2015
35,2015-10-06 00:00:00,7.2856,8.0307,5.8368,6.2093,63585,2015
36,2015-10-07 00:00:00,6.6481,6.6481,5.7953,6.2093,9097,2015
37,2015-10-08 00:00:00,6.3169,6.3169,5.7209,5.9775,17604,2015
38,2015-10-09 00:00:00,5.6794,5.8948,5.3235,5.8948,5549,2015
39,2015-10-12 00:00:00,5.8782,6.3665,5.4643,6.3665,29040,2015
40,2015-10-13 00:00:00,6.0602,6.0602,5.4311,5.4311,2546,2015
41,2015-10-14 00:00:00,5.4311,5.7872,5.3815,5.3815,484,2015
42,2015-10-15 00:00:00,5.3815,6.3335,5.3815,6.2921,8334,2015
43,2015-10-16 00:00:00,6.1761,6.8717,5.3649,5.3649,38211,2015
44,2015-10-19 00:00:00,5.3815,5.4974,4.8018,5.3483,11940,2015
45,2015-10-20 00:00:00,5.3483,5.3483,5.2986,5.2986,370,2015
46,2015-10-21 00:00:00,5.282,5.282,4.5535,4.8846,18228,2015
47,2015-10-22 00:00:00,4.8846,5.1496,4.5535,5.1496,22297,2015
48,2015-10-23 00:00:00,5.1496,5.2324,4.5948,4.8846,28805,2015
49,2015-10-26 00:00:00,4.9675,5.0254,4.6364,4.8018,1032,2015
50,2015-10-27 00:00:00,4.9675,5.0171,4.5535,5.0171,15090,2015
51,2015-10-28 00:00:00,4.9591,5.0171,4.8184,4.9591,13882,2015
52,2015-10-29 00:00:00,5.0337,5.0585,4.5535,4.8267,22386,2015
53,2015-10-30 00:00:00,4.8184,4.8184,4.8184,4.8184,363,2015
54,2015-11-02 00:00:00,4.7025,4.8598,4.6364,4.8598,1000,2015
55,2015-11-03 00:00:00,4.9675,5.4807,4.9675,5.4643,12575,2015
56,2015-11-04 00:00:00,5.2489,6.2093,5.2076,5.605,40736,2015
57,2015-11-05 00:00:00,6.0438,6.2921,5.2986,5.5802,109816,2015
58,2015-11-06 00:00:00,5.7292,5.7292,4.7191,5.6381,94534,2015
59,2015-11-09 00:00:00,5.7043,5.7043,4.5701,4.893,61108,2015
60,2015-11-10 00:00:00,5.0007,5.0007,4.09,4.9591,86060,2015
61,2015-11-12 00:00:00,4.7853,4.9510000000000005,4.5784,4.8764,6267,2015
62,2015-11-13 00:00:00,4.8846,4.8846,4.6445,4.8018,2107,2015
63,2015-11-16 00:00:00,4.8018,5.2986,4.5535,4.9261,28001,2015
64,2015-11-17 00:00:00,4.9261,4.9675,4.4458,4.8846,15161,2015
65,2015-11-18 00:00:00,4.8846,4.8846,4.6777,4.8764,542,2015
66,2015-11-19 00:00:00,4.7191,4.7191,4.5121,4.5121,1743,2015
67,2015-11-20 00:00:00,4.3878,5.4559,4.3466,5.4559,61454,2015
68,2015-11-23 00:00:00,5.4643,5.961,4.9675,5.0171,73667,2015
69,2015-11-24 00:00:00,5.0171,5.1579,4.9675,5.1579,3563,2015
70,2015-11-25 00:00:00,4.8598,5.2737,4.8515,5.2158,7325,2015
71,2015-11-26 00:00:00,5.132999999999999,5.2489,4.9591,5.2489,4201,2015
72,2015-11-27 00:00:00,5.2158,5.2158,5.0088,5.1993,5418,2015
73,2015-11-30 00:00:00,5.2573,5.2573,4.9510000000000005,5.2158,2502,2015
74,2015-12-01 00:00:00,5.2076,5.2076,4.8102,4.8102,12037,2015
75,2015-12-02 00:00:00,5.1414,5.1414,4.5038,4.8433,16903,2015
76,2015-12-03 00:00:00,4.6611,4.9344,4.1396,4.9344,38737,2015
77,2015-12-04 00:00:00,4.9178,4.9178,4.5452,4.8433,4886,2015
78,2015-12-07 00:00:00,4.8018,4.8018,4.4625,4.8018,1069,2015
79,2015-12-08 00:00:00,4.8018,5.3731,3.8746,4.5948,17644,2015
80,2015-12-09 00:00:00,4.5535,4.5535,4.2223,4.5121,1227,2015
81,2015-12-10 00:00:00,4.2638,4.5287,4.1396,4.1396,6977,2015
82,2015-12-11 00:00:00,4.7191,4.7191,4.421,4.6528,1690,2015
83,2015-12-14 00:00:00,4.4128,4.6777,4.2638,4.6777,967,2015
84,2015-12-15 00:00:00,4.6777,4.6777,4.3051,4.6364,1189,2015
85,2015-12-16 00:00:00,4.3382,4.8433,3.5187,4.7108,35160,2015
86,2015-12-17 00:00:00,4.5948,4.7108,4.3878,4.6942,1819,2015
87,2015-12-18 00:00:00,4.6694,4.6694,4.3382,4.6364,409,2015
88,2015-12-21 00:00:00,4.6197,4.6197,3.8995,4.09,9641,2015
89,2015-12-22 00:00:00,3.9409,4.3466,3.6014,4.3466,31493,2015
90,2015-12-23 00:00:00,4.3466,4.3466,3.8332,4.3382,2411,2015
91,2015-12-28 00:00:00,4.3299,4.3299,3.8,3.858,3532,2015
92,2015-12-29 00:00:00,3.8498,4.0153,3.7256,3.9326,4799,2015
93,2015-12-30 00:00:00,3.8083,3.9905,3.7091,3.9905,11107,2015
94,2016-01-04 00:00:00,3.9739999999999998,3.9739999999999998,3.3117,3.6428,6644,2016
95,2016-01-05 00:00:00,3.7256,4.5369,3.5352,4.2223,36105,2016
96,2016-01-07 00:00:00,4.1396,4.3878,3.767,4.3878,3140,2016
97,2016-01-08 00:00:00,4.2223,4.2223,3.7256,4.0981,3589,2016
98,2016-01-11 00:00:00,4.0153,4.0153,3.6428,3.9573,2717,2016
99,2016-01-12 00:00:00,3.8083,4.0401,3.7256,4.032,2336,2016
100,2016-01-13 00:00:00,4.0401,4.0401,3.825,4.0153,493,2016
101,2016-01-14 00:00:00,4.0153,4.0153,3.3364,3.4027,23103,2016
102,2016-01-15 00:00:00,3.3944,3.5931,3.2702,3.3944,7021,2016
