,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-02-16 00:00:00,2.8044,2.8088,2.2427,2.6964,25956,2010
1,2010-02-17 00:00:00,2.6921,2.6921,2.4198,2.4198,5462,2010
2,2010-02-18 00:00:00,2.5839999999999996,2.6835,2.5839999999999996,2.6835,693,2010
3,2010-02-19 00:00:00,2.6359,2.7743,2.4674,2.4716,2355,2010
4,2010-02-22 00:00:00,2.6273,2.6273,2.5063,2.5063,1212,2010
5,2010-02-23 00:00:00,2.5063,2.5798,2.4113,2.5798,4693,2010
6,2010-02-24 00:00:00,2.5754,2.5754,2.5149,2.5149,207,2010
7,2010-02-25 00:00:00,2.5149,2.5149,2.4113,2.4156,1124,2010
8,2010-02-26 00:00:00,2.5149,2.5149,2.4113,2.4113,1264,2010
9,2010-03-01 00:00:00,2.4977,2.4977,2.4502,2.4502,606,2010
10,2010-03-02 00:00:00,2.5496,2.5496,2.3983,2.3983,1307,2010
11,2010-03-03 00:00:00,2.4716,2.4716,2.4716,2.4716,199,2010
12,2010-03-04 00:00:00,2.4716,2.4716,2.4716,2.4716,199,2010
13,2010-03-05 00:00:00,2.5236,2.5236,2.4631,2.4631,207,2010
14,2010-03-08 00:00:00,2.5236,2.5236,2.4631,2.4631,212,2010
15,2010-03-09 00:00:00,2.5236,2.6056,2.5236,2.6056,1197,2010
16,2010-03-10 00:00:00,2.7656,3.0033,2.6402,3.0033,2859,2010
17,2010-03-11 00:00:00,2.8044,2.8044,2.7353,2.7353,681,2010
18,2010-03-12 00:00:00,2.8044,2.8044,2.4977,2.6056,6111,2010
19,2010-03-15 00:00:00,2.6446,2.6663,2.5667,2.5667,6683,2010
20,2010-03-16 00:00:00,2.6791,2.6791,2.4025,2.5236,10013,2010
21,2010-03-17 00:00:00,2.5798,2.5798,2.3636,2.3636,2096,2010
22,2010-03-18 00:00:00,2.4156,2.4156,2.3033,2.3033,1671,2010
23,2010-03-19 00:00:00,2.476,2.476,2.4156,2.4156,452,2010
24,2010-03-22 00:00:00,2.476,2.476,2.4458,2.4458,255,2010
25,2010-03-23 00:00:00,2.4458,2.4458,2.4458,2.4458,12,2010
26,2010-03-24 00:00:00,2.4371,2.4371,2.4371,2.4371,12,2010
27,2010-03-25 00:00:00,2.4371,2.4371,2.2082,2.2082,72,2010
28,2010-03-26 00:00:00,2.4371,2.4371,2.4371,2.4371,12,2010
29,2010-03-29 00:00:00,2.4371,2.476,2.4371,2.476,843,2010
30,2010-03-30 00:00:00,2.2297,2.4502,2.044,2.3248,4107,2010
31,2010-03-31 00:00:00,2.4025,2.4025,2.4025,2.4025,2,2010
