,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-01-21 00:00:00,4.1351,4.1351,2.1332,2.1824,138158,2011
1,2011-01-24 00:00:00,2.4285,2.4285,2.1332,2.207,24884,2011
2,2011-01-25 00:00:00,2.2972,2.6829,2.1824,2.5843,26252,2011
3,2011-01-26 00:00:00,2.6418,2.7896,2.5764,2.5764,24517,2011
4,2011-01-27 00:00:00,2.6255,2.6665,2.5024,2.5764,965,2011
5,2011-01-28 00:00:00,2.5353,2.5353,2.2399,2.445,12299,2011
6,2011-01-31 00:00:00,2.5188,2.5188,2.2727,2.2727,3759,2011
7,2011-02-01 00:00:00,2.2809,2.3383,2.1906,2.1906,5858,2011
8,2011-02-02 00:00:00,2.1988,2.2809,2.1332,2.2481,8062,2011
9,2011-02-03 00:00:00,2.1578,2.2644,2.1004,2.1004,573,2011
10,2011-02-04 00:00:00,2.2727,2.2727,2.1168,2.1168,575,2011
11,2011-02-07 00:00:00,2.2644,2.2644,2.1168,2.1168,5457,2011
12,2011-02-08 00:00:00,2.2317,2.3875,2.1742,2.1742,2948,2011
13,2011-02-09 00:00:00,2.2481,2.3795,2.1414,2.1414,3669,2011
14,2011-02-10 00:00:00,2.1578,2.1659,2.1004,2.1004,4954,2011
15,2011-02-11 00:00:00,2.1414,2.1414,2.1168,2.1168,3414,2011
16,2011-02-14 00:00:00,2.125,2.125,2.1168,2.1168,2100,2011
17,2011-02-15 00:00:00,2.1168,2.1168,2.0593,2.0593,1247,2011
18,2011-02-16 00:00:00,2.1168,2.1659,2.1168,2.1659,901,2011
19,2011-02-17 00:00:00,2.1659,2.1659,2.0184,2.0347,1170,2011
20,2011-02-18 00:00:00,2.0593,2.0593,2.0593,2.0593,445,2011
21,2011-02-21 00:00:00,2.1168,2.1742,2.0511,2.1496,6984,2011
22,2011-02-25 00:00:00,2.0511,2.1168,2.0511,2.1168,1706,2011
23,2011-02-28 00:00:00,2.1168,2.3795,2.1168,2.3219,8600,2011
24,2011-03-02 00:00:00,2.2481,2.2972,2.2481,2.2972,975,2011
25,2011-03-03 00:00:00,2.2235,2.2235,2.2153,2.2153,671,2011
26,2011-03-04 00:00:00,2.2891,2.3136,2.1824,2.1988,3739,2011
27,2011-03-07 00:00:00,2.1824,2.2891,2.1824,2.2891,579,2011
28,2011-03-08 00:00:00,2.1988,2.207,2.1742,2.1742,1203,2011
29,2011-03-09 00:00:00,2.1742,2.1742,2.1659,2.1659,832,2011
30,2011-03-10 00:00:00,2.2891,2.2891,2.1332,2.1332,6890,2011
31,2011-03-11 00:00:00,2.1332,2.1742,2.1332,2.1742,1257,2011
32,2011-03-14 00:00:00,2.2235,2.2317,2.1496,2.2317,3451,2011
33,2011-03-15 00:00:00,2.1659,2.2235,1.9936,2.0266,10029,2011
34,2011-03-16 00:00:00,2.207,2.207,2.207,2.207,610,2011
35,2011-03-17 00:00:00,2.1659,2.1742,2.0347,2.1332,2132,2011
36,2011-03-21 00:00:00,2.1578,2.1578,2.1578,2.1578,610,2011
37,2011-03-22 00:00:00,2.0184,2.0266,2.0184,2.0266,713,2011
38,2011-03-23 00:00:00,2.1414,2.1496,2.0676,2.0676,1722,2011
39,2011-03-24 00:00:00,2.1578,2.1578,2.1578,2.1578,549,2011
40,2011-03-28 00:00:00,2.1659,2.1659,2.1659,2.1659,456,2011
41,2011-03-29 00:00:00,2.084,2.084,2.0757,2.0757,979,2011
42,2011-03-31 00:00:00,2.0593,2.1496,2.0593,2.1496,538,2011
43,2011-04-01 00:00:00,2.125,2.1578,2.125,2.1578,1484,2011
44,2011-04-04 00:00:00,2.1742,2.1742,2.1004,2.1004,464,2011
45,2011-04-05 00:00:00,2.1659,2.1824,2.1004,2.1004,6279,2011
46,2011-04-07 00:00:00,2.1659,2.1742,2.1496,2.1742,2033,2011
47,2011-04-08 00:00:00,2.1414,2.1742,2.0922,2.1578,8396,2011
48,2011-04-11 00:00:00,2.1659,2.1742,2.1659,2.1742,1243,2011
49,2011-04-12 00:00:00,2.1332,2.1742,2.125,2.1332,7157,2011
50,2011-04-13 00:00:00,2.1659,2.1824,2.1659,2.1742,2890,2011
51,2011-04-14 00:00:00,2.1742,2.1906,2.1414,2.1496,1460,2011
52,2011-04-15 00:00:00,2.1906,2.1906,2.1742,2.1906,4440,2011
53,2011-04-18 00:00:00,2.125,2.125,2.125,2.125,133,2011
54,2011-04-20 00:00:00,2.1742,2.1824,2.1659,2.1659,1467,2011
55,2011-04-21 00:00:00,2.1659,2.1742,2.1659,2.1742,4476,2011
56,2011-04-27 00:00:00,2.1496,2.1742,2.1332,2.1742,3212,2011
57,2011-05-04 00:00:00,2.1332,2.1742,2.125,2.1414,3900,2011
58,2011-05-05 00:00:00,2.1332,2.1659,2.1332,2.1332,4911,2011
59,2011-05-06 00:00:00,2.1332,2.1332,2.1332,2.1332,2783,2011
60,2011-05-10 00:00:00,2.1085,2.1085,2.1085,2.1085,487,2011
61,2011-05-11 00:00:00,2.1496,2.3546,2.1496,2.1906,4167,2011
62,2011-05-12 00:00:00,2.1332,2.3711,2.1332,2.3711,4672,2011
63,2011-05-13 00:00:00,2.2481,2.3711,2.2481,2.3711,1788,2011
64,2011-05-16 00:00:00,2.2972,2.3795,2.2972,2.3795,3423,2011
65,2011-05-17 00:00:00,2.5188,2.5188,2.2972,2.5188,2133,2011
66,2011-05-18 00:00:00,2.2972,2.2972,2.2972,2.2972,244,2011
67,2011-05-19 00:00:00,2.2972,2.2972,2.2972,2.2972,887,2011
68,2011-05-23 00:00:00,2.2153,2.2235,2.2153,2.2235,864,2011
69,2011-05-24 00:00:00,2.2235,2.2235,2.2235,2.2235,231,2011
70,2011-05-26 00:00:00,2.2235,2.2235,2.2235,2.2235,671,2011
71,2011-05-30 00:00:00,2.2153,2.2153,2.1414,2.1414,1372,2011
72,2011-05-31 00:00:00,2.2153,2.2399,2.1988,2.1988,1375,2011
73,2011-06-02 00:00:00,2.1988,2.1988,2.1906,2.1906,399,2011
74,2011-06-03 00:00:00,2.1906,2.1906,2.1906,2.1906,366,2011
75,2011-06-06 00:00:00,2.125,2.2317,2.125,2.2317,3213,2011
76,2011-06-07 00:00:00,2.2153,2.2153,2.1988,2.1988,1035,2011
77,2011-06-13 00:00:00,2.1988,2.1988,2.1988,2.1988,1218,2011
78,2011-06-14 00:00:00,2.1414,2.1414,2.1414,2.1414,244,2011
79,2011-06-16 00:00:00,2.1168,2.1168,1.969,1.969,6511,2011
80,2011-06-17 00:00:00,2.0019,2.0101,2.0019,2.0101,1257,2011
81,2011-06-24 00:00:00,2.0676,2.0676,1.9774,1.9774,128,2011
82,2011-06-27 00:00:00,2.0676,2.0676,2.0676,2.0676,83,2011
83,2011-06-29 00:00:00,2.0101,2.0101,2.0101,2.0101,610,2011
84,2011-06-30 00:00:00,2.0676,2.0676,2.0676,2.0676,1365,2011
85,2011-07-01 00:00:00,1.969,1.969,1.969,1.969,48,2011
86,2011-07-06 00:00:00,2.0593,2.0676,2.0593,2.0676,610,2011
87,2011-07-07 00:00:00,2.0676,2.0676,2.0676,2.0676,671,2011
88,2011-07-14 00:00:00,2.0676,2.0676,2.0676,2.0676,10,2011
89,2011-07-15 00:00:00,2.0511,2.0511,1.9774,1.9774,366,2011
90,2011-07-20 00:00:00,2.0593,2.0676,2.0593,2.0676,268,2011
91,2011-07-22 00:00:00,1.9936,1.9936,1.8707,1.8707,2693,2011
92,2011-07-25 00:00:00,1.8953,1.9117,1.8953,1.8953,5180,2011
93,2011-07-26 00:00:00,1.9117,1.9117,1.9117,1.9117,1329,2011
94,2011-07-27 00:00:00,1.9117,1.9117,1.9117,1.9117,522,2011
95,2011-07-28 00:00:00,1.8871,1.8871,1.8871,1.8871,1369,2011
96,2011-08-01 00:00:00,1.8871,1.9035,1.8871,1.9035,1091,2011
97,2011-08-02 00:00:00,1.9035,1.9035,1.8624,1.8624,1830,2011
98,2011-08-03 00:00:00,1.8459,1.8459,1.8459,1.8459,747,2011
99,2011-08-05 00:00:00,1.8459,1.8459,1.8459,1.8459,975,2011
100,2011-08-08 00:00:00,1.6573,1.6573,1.6573,1.6573,907,2011
101,2011-08-09 00:00:00,1.6573,1.6573,1.485,1.485,2906,2011
102,2011-08-10 00:00:00,1.6327,1.723,1.5671,1.5671,6744,2011
103,2011-08-11 00:00:00,1.641,1.641,1.5097,1.5097,8543,2011
104,2011-08-12 00:00:00,1.5342,1.6327,1.5342,1.6246,732,2011
105,2011-08-16 00:00:00,1.641,1.641,1.5589,1.5671,3412,2011
106,2011-08-17 00:00:00,1.6163,1.641,1.6163,1.641,4022,2011
107,2011-08-18 00:00:00,1.6081,1.6081,1.6081,1.6081,1082,2011
108,2011-08-22 00:00:00,1.641,1.641,1.641,1.641,605,2011
109,2011-08-23 00:00:00,1.5589,1.5999,1.5014,1.5424,4633,2011
110,2011-08-26 00:00:00,1.4932,1.4932,1.485,1.485,1359,2011
111,2011-08-29 00:00:00,1.5424,1.5424,1.5014,1.5014,1463,2011
112,2011-08-30 00:00:00,1.4768,1.4768,1.4768,1.4768,266,2011
113,2011-09-02 00:00:00,1.4768,1.4768,1.3783,1.3783,1890,2011
114,2011-09-05 00:00:00,1.3783,1.3866,1.2554,1.2554,3075,2011
115,2011-09-06 00:00:00,1.3783,1.3783,1.2717,1.2717,1418,2011
116,2011-09-08 00:00:00,1.3208,1.3208,1.3208,1.3208,427,2011
117,2011-09-09 00:00:00,1.2554,1.2554,1.2142,1.2142,1427,2011
118,2011-09-12 00:00:00,1.1978,1.1978,1.0667,1.0667,2783,2011
119,2011-09-13 00:00:00,1.0667,1.1405,1.0255,1.0255,2195,2011
120,2011-09-14 00:00:00,1.0337,1.0337,1.0255,1.0255,548,2011
121,2011-09-20 00:00:00,1.206,1.2306,1.206,1.2306,2298,2011
122,2011-09-22 00:00:00,1.0748,1.0912,1.0748,1.0912,975,2011
123,2011-09-26 00:00:00,1.0748,1.0748,1.0748,1.0748,1,2011
124,2011-09-27 00:00:00,1.2225,1.2225,1.2225,1.2225,25,2011
125,2011-09-29 00:00:00,1.2225,1.2306,1.2225,1.2306,5277,2011
126,2011-09-30 00:00:00,1.2306,1.2306,1.1076,1.1076,1321,2011
127,2011-10-03 00:00:00,1.2306,1.2306,1.1486,1.1486,5775,2011
128,2011-10-07 00:00:00,1.3045,1.3045,1.2306,1.2306,385,2011
129,2011-10-10 00:00:00,1.3045,1.3128,1.0748,1.0748,5186,2011
130,2011-10-11 00:00:00,1.1486,1.1897,1.0912,1.0912,1191,2011
131,2011-10-19 00:00:00,1.0748,1.0748,1.0748,1.0748,256,2011
132,2011-10-20 00:00:00,1.0748,1.0748,0.9845,0.9845,2664,2011
