,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-05-20 00:00:00,0.6026,0.6026,0.6026,0.6026,645809,2011
1,2011-05-23 00:00:00,0.6391,0.767,0.5661,0.5661,319999,2011
2,2011-05-24 00:00:00,0.5174,0.7426,0.4991,0.4991,6412913,2011
3,2011-05-25 00:00:00,0.4991,0.7122,0.4991,0.7122,1318951,2011
4,2011-05-30 00:00:00,1.5339,1.5339,1.5339,1.5339,195957,2011
5,2011-05-31 00:00:00,1.838,2.204,1.838,2.204,84297,2011
6,2011-06-01 00:00:00,2.5504,3.0557,2.0574,3.0557,451759,2011
7,2011-06-02 00:00:00,3.6461,4.3704,3.3478,4.2609,233713,2011
8,2011-06-03 00:00:00,3.9809,4.2609,3.1957,4.2609,155717,2011
9,2011-06-06 00:00:00,4.5043,4.8087,2.8852,3.0678,1083358,2011
10,2011-06-07 00:00:00,2.4591,2.727,1.8809,1.8809,1074767,2011
11,2011-06-08 00:00:00,1.5217,1.5826,0.9739,1.0043,3782491,2011
12,2011-06-09 00:00:00,0.9617,1.0896,0.773,0.7791,3385178,2011
13,2011-06-10 00:00:00,0.6696,0.9496,0.6696,0.84,1034924,2011
14,2011-06-13 00:00:00,0.8522,1.0348,0.8522,1.0348,1410820,2011
15,2011-06-14 00:00:00,1.0835,1.1139,0.9617,0.9922,1169363,2011
16,2011-06-15 00:00:00,0.9922,0.9983,0.8522,0.907,439568,2011
17,2011-06-16 00:00:00,0.877,0.98,0.81,0.98,291873,2011
18,2011-06-17 00:00:00,0.7913,0.8522,0.5113,0.5296,8566895,2011
19,2011-06-20 00:00:00,0.4261,0.4687,0.3409,0.34700000000000003,12711203,2011
20,2011-06-21 00:00:00,0.34700000000000003,0.3957,0.2252,0.2252,14769282,2011
21,2011-06-22 00:00:00,0.2313,0.2861,0.2252,0.2861,2653633,2011
22,2011-06-24 00:00:00,0.2739,0.3226,0.2678,0.2739,2557654,2011
23,2011-06-27 00:00:00,0.28,0.3104,0.2739,0.2861,1200046,2011
