,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-11-04 00:00:00,5.0,12.9,4.18,6.3,9611,2008
1,2008-11-05 00:00:00,6.98,6.98,3.82,3.82,484,2008
2,2008-11-06 00:00:00,3.2,4.48,3.04,4.48,1941,2008
3,2008-11-07 00:00:00,4.0,4.38,2.72,3.2,12250,2008
4,2008-11-10 00:00:00,2.6,2.9,1.98,2.02,13345,2008
5,2008-11-12 00:00:00,2.02,2.38,1.6,1.6,8998,2008
6,2008-11-13 00:00:00,1.88,1.96,1.3,1.78,12996,2008
7,2008-11-14 00:00:00,1.48,1.78,1.46,1.46,2551,2008
8,2008-11-17 00:00:00,1.6,1.6,1.3,1.58,15634,2008
9,2008-11-18 00:00:00,1.4,1.44,1.34,1.34,700,2008
10,2008-11-19 00:00:00,1.4,1.4,1.3,1.3,838,2008
11,2008-11-20 00:00:00,1.28,1.28,1.04,1.24,1655,2008
12,2008-11-21 00:00:00,1.28,1.3,1.04,1.3,3808,2008
13,2008-11-24 00:00:00,1.3,1.32,1.08,1.32,1458,2008
14,2008-11-25 00:00:00,1.3,1.3,1.2,1.3,48,2008
15,2008-11-26 00:00:00,1.3,1.3,1.28,1.28,15,2008
16,2008-11-27 00:00:00,1.08,1.12,1.08,1.12,42,2008
17,2008-11-28 00:00:00,1.08,1.08,1.08,1.08,10,2008
18,2008-12-02 00:00:00,0.94,0.94,0.94,0.94,77,2008
19,2008-12-03 00:00:00,1.0,1.0,0.96,1.0,580,2008
20,2008-12-04 00:00:00,1.0,1.1,1.0,1.1,600,2008
21,2008-12-05 00:00:00,1.1,1.1,0.86,0.92,16475,2008
22,2008-12-08 00:00:00,0.88,0.9,0.78,0.8,12903,2008
23,2008-12-09 00:00:00,0.8,0.8,0.7,0.76,18818,2008
24,2008-12-10 00:00:00,0.76,0.76,0.68,0.7,10821,2008
25,2008-12-11 00:00:00,0.72,0.74,0.72,0.74,2505,2008
26,2008-12-12 00:00:00,0.76,0.76,0.76,0.76,10,2008
27,2008-12-16 00:00:00,0.76,0.76,0.76,0.76,10,2008
28,2008-12-17 00:00:00,0.76,0.76,0.66,0.66,7839,2008
29,2008-12-18 00:00:00,0.64,0.64,0.6,0.6,1818,2008
30,2008-12-19 00:00:00,0.66,0.7,0.62,0.7,3451,2008
31,2008-12-22 00:00:00,0.72,0.72,0.56,0.56,4858,2008
32,2008-12-23 00:00:00,0.56,0.64,0.56,0.56,5030,2008
33,2008-12-29 00:00:00,0.6,0.6,0.58,0.58,10,2008
34,2008-12-30 00:00:00,0.54,0.6,0.54,0.6,2595,2008
35,2008-12-31 00:00:00,0.58,0.58,0.58,0.58,10,2008
36,2009-01-05 00:00:00,0.6,0.6,0.54,0.6,2651,2009
37,2009-01-06 00:00:00,0.6,0.66,0.6,0.64,2484,2009
38,2009-01-07 00:00:00,0.64,0.66,0.64,0.66,2005,2009
39,2009-01-08 00:00:00,0.66,0.68,0.66,0.68,560,2009
40,2009-01-09 00:00:00,0.6,0.72,0.6,0.64,5429,2009
41,2009-01-12 00:00:00,0.58,0.58,0.58,0.58,10,2009
42,2009-01-13 00:00:00,0.58,0.68,0.58,0.62,17,2009
43,2009-01-14 00:00:00,0.64,0.64,0.58,0.64,330,2009
44,2009-01-15 00:00:00,0.68,0.68,0.68,0.68,10,2009
45,2009-01-16 00:00:00,0.7,0.7,0.6,0.66,1394,2009
46,2009-01-19 00:00:00,0.64,0.64,0.64,0.64,15,2009
47,2009-01-20 00:00:00,0.64,0.64,0.54,0.54,10,2009
48,2009-01-21 00:00:00,0.64,0.64,0.6,0.6,30,2009
49,2009-01-22 00:00:00,0.62,0.62,0.62,0.62,10,2009
50,2009-01-23 00:00:00,0.62,0.62,0.48,0.48,1512,2009
51,2009-01-26 00:00:00,0.5,0.6,0.5,0.56,310,2009
52,2009-01-27 00:00:00,0.6,0.6,0.52,0.56,1515,2009
53,2009-01-28 00:00:00,0.56,0.56,0.46,0.46,3108,2009
54,2009-01-29 00:00:00,0.48,0.52,0.48,0.52,815,2009
55,2009-01-30 00:00:00,0.52,0.56,0.5,0.5,2995,2009
56,2009-02-02 00:00:00,0.48,0.5,0.46,0.5,902,2009
57,2009-02-03 00:00:00,0.46,0.46,0.46,0.46,5,2009
58,2009-02-04 00:00:00,0.46,0.46,0.46,0.46,1,2009
59,2009-02-05 00:00:00,0.56,0.56,0.48,0.48,26,2009
60,2009-02-06 00:00:00,0.48,0.48,0.48,0.48,1,2009
61,2009-02-09 00:00:00,0.48,0.48,0.48,0.48,20,2009
62,2009-02-10 00:00:00,0.48,0.48,0.48,0.48,1,2009
63,2009-02-11 00:00:00,0.48,0.48,0.42,0.46,2010,2009
64,2009-02-12 00:00:00,0.46,0.48,0.46,0.48,1510,2009
65,2009-02-13 00:00:00,0.48,0.48,0.48,0.48,10,2009
66,2009-02-16 00:00:00,0.48,0.48,0.46,0.46,2135,2009
67,2009-02-17 00:00:00,0.48,0.48,0.4,0.42,610,2009
68,2009-02-18 00:00:00,0.46,0.46,0.38,0.38,2630,2009
69,2009-02-19 00:00:00,0.36,0.42,0.32,0.42,4560,2009
70,2009-02-20 00:00:00,0.42,0.42,0.42,0.42,5,2009
71,2009-02-23 00:00:00,0.42,0.42,0.42,0.42,10,2009
72,2009-02-24 00:00:00,0.42,0.42,0.42,0.42,510,2009
73,2009-02-25 00:00:00,0.42,0.42,0.42,0.42,260,2009
74,2009-02-26 00:00:00,0.42,0.42,0.34,0.34,15,2009
75,2009-02-27 00:00:00,0.36,0.46,0.36,0.44,1260,2009
76,2009-03-02 00:00:00,0.46,0.46,0.38,0.38,15,2009
77,2009-03-03 00:00:00,0.36,0.46,0.36,0.38,2270,2009
78,2009-03-04 00:00:00,0.38,0.46,0.38,0.46,11,2009
79,2009-03-05 00:00:00,0.46,0.46,0.46,0.46,10,2009
80,2009-03-06 00:00:00,0.46,0.46,0.46,0.46,1350,2009
81,2009-03-09 00:00:00,0.46,0.46,0.46,0.46,10,2009
82,2009-03-10 00:00:00,0.46,0.46,0.38,0.46,153,2009
83,2009-03-11 00:00:00,0.46,0.46,0.36,0.4,3025,2009
84,2009-03-12 00:00:00,0.4,0.44,0.4,0.44,10,2009
85,2009-03-13 00:00:00,0.44,0.44,0.42,0.42,174,2009
86,2009-03-16 00:00:00,0.44,0.44,0.44,0.44,10,2009
87,2009-03-17 00:00:00,0.44,0.44,0.42,0.42,10,2009
88,2009-03-18 00:00:00,0.44,0.44,0.42,0.44,1001,2009
89,2009-03-19 00:00:00,0.44,0.44,0.36,0.42,519,2009
90,2009-03-20 00:00:00,0.46,0.46,0.4,0.44,1665,2009
91,2009-03-23 00:00:00,0.46,0.46,0.42,0.46,760,2009
92,2009-03-24 00:00:00,0.46,0.46,0.34,0.46,3744,2009
93,2009-03-25 00:00:00,0.46,0.46,0.46,0.46,510,2009
94,2009-03-26 00:00:00,0.46,0.54,0.46,0.52,1486,2009
95,2009-03-27 00:00:00,0.52,0.56,0.44,0.56,1518,2009
96,2009-03-30 00:00:00,0.56,0.56,0.42,0.54,761,2009
97,2009-03-31 00:00:00,0.56,0.6,0.5,0.56,966,2009
98,2009-04-01 00:00:00,0.56,0.56,0.42,0.54,4891,2009
99,2009-04-02 00:00:00,0.54,0.56,0.54,0.56,1856,2009
100,2009-04-03 00:00:00,0.56,0.56,0.48,0.48,4139,2009
101,2009-04-06 00:00:00,0.52,0.52,0.44,0.48,7266,2009
102,2009-04-07 00:00:00,0.52,0.52,0.52,0.52,10,2009
103,2009-04-08 00:00:00,0.5,0.52,0.44,0.44,9730,2009
104,2009-04-09 00:00:00,0.44,0.44,0.44,0.44,410,2009
105,2009-04-14 00:00:00,0.48,0.48,0.48,0.48,894,2009
106,2009-04-15 00:00:00,0.46,0.54,0.46,0.5,5129,2009
107,2009-04-16 00:00:00,0.5,0.72,0.5,0.68,33491,2009
108,2009-04-17 00:00:00,0.64,0.7,0.6,0.7,6033,2009
109,2009-04-20 00:00:00,0.74,0.92,0.7,0.84,21271,2009
110,2009-04-21 00:00:00,0.88,0.88,0.76,0.88,3784,2009
111,2009-04-22 00:00:00,0.88,0.88,0.78,0.82,7915,2009
112,2009-04-23 00:00:00,0.88,0.94,0.84,0.92,16335,2009
113,2009-04-24 00:00:00,0.92,0.94,0.92,0.92,1579,2009
114,2009-04-27 00:00:00,0.96,0.96,0.82,0.94,2010,2009
115,2009-04-28 00:00:00,0.96,0.96,0.8,0.88,4000,2009
116,2009-04-29 00:00:00,0.9,0.9,0.82,0.88,3410,2009
117,2009-04-30 00:00:00,0.88,0.88,0.8,0.86,3010,2009
118,2009-05-04 00:00:00,0.86,0.86,0.78,0.8,1294,2009
119,2009-05-05 00:00:00,0.8,0.8,0.74,0.76,3510,2009
120,2009-05-06 00:00:00,0.76,0.76,0.7,0.72,1560,2009
121,2009-05-07 00:00:00,0.72,0.72,0.72,0.72,500,2009
122,2009-05-08 00:00:00,0.74,0.74,0.68,0.7,8370,2009
123,2009-05-11 00:00:00,0.74,0.74,0.62,0.7,2361,2009
124,2009-05-12 00:00:00,0.74,0.8,0.66,0.8,5556,2009
125,2009-05-13 00:00:00,0.8,0.8,0.78,0.78,10,2009
126,2009-05-14 00:00:00,0.8,0.8,0.7,0.76,510,2009
127,2009-05-15 00:00:00,0.72,0.72,0.58,0.66,12812,2009
128,2009-05-18 00:00:00,0.66,0.66,0.5,0.6,17034,2009
129,2009-05-19 00:00:00,0.66,0.66,0.58,0.62,8485,2009
130,2009-05-20 00:00:00,0.6,0.6,0.6,0.6,10,2009
131,2009-05-21 00:00:00,0.6,0.6,0.6,0.6,505,2009
132,2009-05-22 00:00:00,0.6,0.6,0.52,0.56,3010,2009
133,2009-05-25 00:00:00,0.56,0.56,0.56,0.56,10,2009
134,2009-05-26 00:00:00,0.56,0.56,0.48,0.48,1531,2009
135,2009-05-27 00:00:00,0.48,0.5,0.48,0.5,10,2009
136,2009-05-28 00:00:00,0.5,0.52,0.5,0.52,10,2009
137,2009-05-29 00:00:00,0.56,0.56,0.56,0.56,1650,2009
138,2009-06-01 00:00:00,0.56,0.6,0.56,0.6,1010,2009
139,2009-06-02 00:00:00,0.6,0.62,0.6,0.62,510,2009
140,2009-06-03 00:00:00,0.62,0.62,0.62,0.62,10,2009
141,2009-06-04 00:00:00,0.62,0.62,0.56,0.56,1510,2009
142,2009-06-05 00:00:00,0.6,0.6,0.5,0.56,1650,2009
143,2009-06-08 00:00:00,0.6,0.72,0.56,0.72,32043,2009
144,2009-06-09 00:00:00,0.68,0.7,0.66,0.68,9605,2009
145,2009-06-10 00:00:00,0.66,0.66,0.66,0.66,838,2009
146,2009-06-12 00:00:00,0.64,0.68,0.56,0.68,3813,2009
147,2009-06-15 00:00:00,0.64,0.64,0.64,0.64,310,2009
148,2009-06-16 00:00:00,0.66,0.66,0.54,0.66,1267,2009
149,2009-06-17 00:00:00,0.68,0.68,0.64,0.68,510,2009
150,2009-06-18 00:00:00,0.7,0.7,0.56,0.66,30031,2009
151,2009-06-19 00:00:00,0.66,0.66,0.54,0.6,10733,2009
152,2009-06-22 00:00:00,0.6,0.66,0.56,0.62,11523,2009
