,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-08-23 00:00:00,0.7,0.71,0.61,0.63,15309,2011
1,2011-08-24 00:00:00,0.64,0.64,0.52,0.59,3650,2011
2,2011-08-25 00:00:00,0.48,0.5,0.48,0.5,16450,2011
3,2011-08-26 00:00:00,0.52,0.52,0.52,0.52,200,2011
4,2011-08-29 00:00:00,0.52,0.57,0.52,0.57,3550,2011
5,2011-08-30 00:00:00,0.53,0.59,0.53,0.59,1260,2011
6,2011-08-31 00:00:00,0.48,0.65,0.48,0.56,17713,2011
7,2011-09-01 00:00:00,0.52,0.57,0.52,0.55,2075,2011
8,2011-09-02 00:00:00,0.57,0.57,0.57,0.57,80,2011
9,2011-09-05 00:00:00,0.57,0.57,0.47,0.5,8410,2011
10,2011-09-06 00:00:00,0.48,0.49,0.48,0.49,1534,2011
11,2011-09-07 00:00:00,0.51,0.51,0.51,0.51,150,2011
12,2011-09-08 00:00:00,0.51,0.51,0.51,0.51,1300,2011
13,2011-09-09 00:00:00,0.53,0.53,0.48,0.53,1424,2011
14,2011-09-13 00:00:00,0.54,0.54,0.54,0.54,1127,2011
15,2011-09-14 00:00:00,0.54,0.54,0.54,0.54,1000,2011
16,2011-09-15 00:00:00,0.54,0.54,0.54,0.54,1273,2011
17,2011-09-16 00:00:00,0.64,0.64,0.55,0.6,102,2011
18,2011-09-20 00:00:00,0.6,0.6,0.6,0.6,81,2011
19,2011-09-21 00:00:00,0.6,0.6,0.5,0.5,7220,2011
20,2011-09-22 00:00:00,0.58,0.58,0.58,0.58,1,2011
21,2011-09-23 00:00:00,0.55,0.55,0.55,0.55,10,2011
22,2011-09-26 00:00:00,0.55,0.55,0.54,0.54,8700,2011
23,2011-09-27 00:00:00,0.53,0.54,0.53,0.53,4710,2011
24,2011-09-28 00:00:00,0.48,0.53,0.48,0.53,799,2011
25,2011-09-29 00:00:00,0.48,0.48,0.48,0.48,5,2011
26,2011-09-30 00:00:00,0.53,0.53,0.53,0.53,100,2011
27,2011-10-03 00:00:00,0.53,0.54,0.53,0.54,828,2011
28,2011-10-04 00:00:00,0.46,0.46,0.46,0.46,828,2011
29,2011-10-07 00:00:00,0.51,0.65,0.51,0.65,65019,2011
30,2011-10-10 00:00:00,0.63,0.67,0.63,0.67,1100,2011
31,2011-10-11 00:00:00,0.61,0.61,0.5,0.5,10179,2011
32,2011-10-12 00:00:00,0.46,0.52,0.45,0.52,2417,2011
33,2011-10-13 00:00:00,0.5,0.51,0.5,0.51,1400,2011
34,2011-10-14 00:00:00,0.54,0.54,0.54,0.54,100,2011
35,2011-10-17 00:00:00,0.47,0.47,0.47,0.47,473,2011
36,2011-10-19 00:00:00,0.54,0.56,0.53,0.56,1841,2011
37,2011-10-21 00:00:00,0.58,0.6,0.58,0.6,811,2011
38,2011-10-24 00:00:00,0.54,0.54,0.39,0.5,91353,2011
39,2011-10-25 00:00:00,0.5,0.5,0.44,0.45,10159,2011
40,2011-10-26 00:00:00,0.5,0.64,0.5,0.64,6301,2011
41,2011-10-27 00:00:00,0.68,0.68,0.6,0.61,2868,2011
42,2011-10-28 00:00:00,0.55,0.59,0.51,0.51,25360,2011
43,2011-10-31 00:00:00,0.51,0.51,0.51,0.51,1000,2011
44,2011-11-02 00:00:00,0.54,0.56,0.54,0.56,7740,2011
45,2011-11-04 00:00:00,0.57,0.6,0.57,0.6,1700,2011
46,2011-11-08 00:00:00,0.52,0.52,0.52,0.52,10,2011
47,2011-11-10 00:00:00,0.59,0.6,0.59,0.6,31000,2011
48,2011-11-14 00:00:00,0.6,0.61,0.6,0.61,9700,2011
49,2011-11-15 00:00:00,0.61,0.69,0.61,0.69,38150,2011
50,2011-11-16 00:00:00,0.7,0.7,0.69,0.69,88517,2011
51,2011-11-17 00:00:00,0.69,0.69,0.69,0.69,15000,2011
52,2011-11-18 00:00:00,0.65,0.69,0.65,0.69,5000,2011
53,2011-11-30 00:00:00,0.56,0.56,0.56,0.56,1500,2011
54,2011-12-05 00:00:00,0.57,0.65,0.57,0.65,1600,2011
55,2011-12-08 00:00:00,0.55,0.55,0.55,0.55,5000,2011
56,2011-12-15 00:00:00,0.54,0.55,0.54,0.55,173423,2011
57,2011-12-20 00:00:00,0.55,0.55,0.55,0.55,33000,2011
58,2011-12-23 00:00:00,0.55,0.57,0.55,0.57,45000,2011
59,2011-12-27 00:00:00,0.57,0.65,0.57,0.65,22873,2011
60,2011-12-28 00:00:00,0.65,0.65,0.65,0.65,26127,2011
61,2011-12-30 00:00:00,0.55,0.6,0.55,0.55,1415,2011
62,2012-01-04 00:00:00,0.69,0.69,0.59,0.63,1935,2012
63,2012-01-09 00:00:00,0.63,0.69,0.63,0.63,2732,2012
64,2012-01-10 00:00:00,0.63,0.63,0.63,0.63,1000,2012
65,2012-01-11 00:00:00,0.63,0.63,0.63,0.63,1000,2012
66,2012-01-13 00:00:00,0.63,0.63,0.63,0.63,2980,2012
67,2012-01-16 00:00:00,0.63,0.63,0.63,0.63,3000,2012
68,2012-01-17 00:00:00,0.56,0.63,0.56,0.63,1588,2012
69,2012-01-19 00:00:00,0.63,0.63,0.63,0.63,1500,2012
70,2012-01-20 00:00:00,0.63,0.63,0.63,0.63,3000,2012
71,2012-01-23 00:00:00,0.63,0.63,0.63,0.63,4000,2012
72,2012-01-26 00:00:00,0.63,0.63,0.56,0.56,39987,2012
73,2012-01-31 00:00:00,0.65,0.65,0.65,0.65,8010,2012
74,2012-02-01 00:00:00,0.65,0.65,0.56,0.56,7200,2012
75,2012-02-07 00:00:00,0.63,0.63,0.56,0.56,4510,2012
76,2012-02-08 00:00:00,0.56,0.56,0.46,0.56,100913,2012
77,2012-02-09 00:00:00,0.56,0.63,0.56,0.63,622300,2012
78,2012-02-10 00:00:00,0.63,0.63,0.56,0.56,10360,2012
79,2012-02-13 00:00:00,0.55,0.61,0.47,0.56,10836,2012
80,2012-02-15 00:00:00,0.56,0.61,0.49,0.49,9994,2012
81,2012-02-16 00:00:00,0.56,0.56,0.56,0.56,9599,2012
82,2012-02-17 00:00:00,0.55,0.56,0.55,0.56,6111,2012
83,2012-02-20 00:00:00,0.57,0.57,0.56,0.56,20500,2012
84,2012-02-22 00:00:00,0.56,0.56,0.56,0.56,2500,2012
85,2012-02-23 00:00:00,0.56,0.56,0.56,0.56,13600,2012
86,2012-02-24 00:00:00,0.56,0.56,0.56,0.56,4500,2012
87,2012-02-27 00:00:00,0.56,0.56,0.56,0.56,9000,2012
88,2012-02-28 00:00:00,0.56,0.56,0.56,0.56,4500,2012
89,2012-03-01 00:00:00,0.56,0.56,0.56,0.56,9000,2012
90,2012-03-02 00:00:00,0.56,0.56,0.5,0.56,11517,2012
91,2012-03-05 00:00:00,0.56,0.56,0.56,0.56,8900,2012
92,2012-03-08 00:00:00,0.56,0.56,0.56,0.56,11500,2012
93,2012-03-09 00:00:00,0.56,0.56,0.56,0.56,529,2012
94,2012-03-12 00:00:00,0.47,0.56,0.47,0.56,117,2012
95,2012-03-13 00:00:00,0.56,0.63,0.56,0.56,5900,2012
96,2012-03-14 00:00:00,0.56,0.56,0.56,0.56,4500,2012
97,2012-03-15 00:00:00,0.56,0.63,0.47,0.56,4786,2012
98,2012-03-16 00:00:00,0.56,0.62,0.5,0.62,14100,2012
99,2012-03-20 00:00:00,0.56,0.56,0.5,0.56,9400,2012
100,2012-03-30 00:00:00,0.5,0.56,0.5,0.56,10100,2012
101,2012-04-04 00:00:00,0.56,0.56,0.56,0.56,4000,2012
102,2012-04-10 00:00:00,0.51,0.61,0.51,0.61,5001,2012
103,2012-04-11 00:00:00,0.53,0.61,0.51,0.51,20200,2012
104,2012-04-12 00:00:00,0.55,0.55,0.51,0.55,13400,2012
105,2012-04-13 00:00:00,0.55,0.55,0.45,0.5,6800,2012
106,2012-04-16 00:00:00,0.52,0.55,0.43,0.43,24088,2012
107,2012-04-17 00:00:00,0.53,0.53,0.41,0.41,17200,2012
108,2012-04-18 00:00:00,0.49,0.49,0.43,0.43,1800,2012
109,2012-04-19 00:00:00,0.42,0.42,0.42,0.42,200,2012
110,2012-04-20 00:00:00,0.41,0.41,0.38,0.39,2800,2012
111,2012-04-23 00:00:00,0.36,0.36,0.36,0.36,200,2012
112,2012-04-24 00:00:00,0.43,0.43,0.4,0.4,10000,2012
113,2012-04-25 00:00:00,0.43,0.45,0.4,0.4,8000,2012
114,2012-04-26 00:00:00,0.4,0.4,0.4,0.4,1188,2012
115,2012-04-27 00:00:00,0.45,0.45,0.45,0.45,4500,2012
116,2012-05-02 00:00:00,0.47,0.47,0.47,0.47,212,2012
117,2012-05-07 00:00:00,0.38,0.46,0.38,0.46,101,2012
118,2012-05-09 00:00:00,0.41,0.41,0.37,0.37,9910,2012
119,2012-05-10 00:00:00,0.35,0.38,0.32,0.38,7550,2012
120,2012-05-11 00:00:00,0.42,0.42,0.42,0.42,20,2012
121,2012-05-16 00:00:00,0.38,0.38,0.38,0.38,30,2012
122,2012-05-17 00:00:00,0.25,0.3,0.25,0.3,19150,2012
123,2012-05-18 00:00:00,0.21,0.34,0.21,0.33,10330,2012
124,2012-05-21 00:00:00,0.33,0.35,0.27,0.3,13619,2012
125,2012-05-25 00:00:00,0.3,0.34,0.3,0.34,8230,2012
126,2012-05-28 00:00:00,0.35,0.39,0.35,0.39,3600,2012
127,2012-05-31 00:00:00,0.39,0.45,0.39,0.45,4670,2012
128,2012-06-01 00:00:00,0.44,0.53,0.44,0.53,3900,2012
129,2012-06-04 00:00:00,0.48,0.61,0.48,0.61,2400,2012
130,2012-06-06 00:00:00,0.55,0.61,0.55,0.61,1500,2012
131,2012-06-08 00:00:00,0.61,0.61,0.61,0.61,250,2012
132,2012-06-11 00:00:00,0.51,0.6,0.51,0.6,3100,2012
133,2012-06-19 00:00:00,0.53,0.61,0.53,0.61,3500,2012
134,2012-06-29 00:00:00,0.5,0.5,0.5,0.5,16,2012
135,2012-07-02 00:00:00,0.6,0.6,0.6,0.6,100,2012
136,2012-07-03 00:00:00,0.6,0.68,0.6,0.68,4000,2012
137,2012-07-06 00:00:00,0.55,0.55,0.55,0.55,1000,2012
138,2012-07-09 00:00:00,0.59,0.59,0.49,0.59,300,2012
139,2012-07-11 00:00:00,0.49,0.68,0.49,0.68,4420,2012
140,2012-07-13 00:00:00,0.55,0.55,0.55,0.55,2000,2012
141,2012-07-20 00:00:00,0.49,0.59,0.49,0.59,2100,2012
142,2012-09-19 00:00:00,0.37,0.37,0.37,0.37,2600,2012
143,2012-09-20 00:00:00,0.3,0.3,0.25,0.3,13000,2012
144,2012-09-21 00:00:00,0.31,0.31,0.31,0.31,2000,2012
145,2012-09-24 00:00:00,0.36,0.36,0.26,0.26,3100,2012
146,2012-09-25 00:00:00,0.27,0.27,0.27,0.27,100,2012
147,2012-10-01 00:00:00,0.32,0.37,0.3,0.3,12000,2012
148,2012-10-02 00:00:00,0.34,0.35,0.34,0.35,9000,2012
