,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-08-11 00:00:00,6.79,8.16,6.79,8.16,4189,2010
1,2010-08-12 00:00:00,8.11,8.11,5.8,6.86,4702,2010
2,2010-08-13 00:00:00,6.3,7.37,6.0,7.35,3028,2010
3,2010-08-16 00:00:00,7.3,7.7,7.0,7.5,1303,2010
4,2010-08-17 00:00:00,7.5,7.5,7.0,7.0,90,2010
5,2010-08-18 00:00:00,6.95,6.95,6.5,6.95,112,2010
6,2010-08-20 00:00:00,6.6,7.45,6.6,7.45,280,2010
7,2010-08-26 00:00:00,7.5,7.5,7.5,7.5,5,2010
8,2010-08-31 00:00:00,7.0,7.28,6.5,7.28,380,2010
9,2010-09-01 00:00:00,7.5,7.5,7.5,7.5,2,2010
10,2010-09-07 00:00:00,6.5,7.3,6.5,7.3,212,2010
11,2010-09-08 00:00:00,7.3,7.3,7.3,7.3,80,2010
12,2010-09-10 00:00:00,7.1,7.1,7.1,7.1,5,2010
13,2010-09-13 00:00:00,7.1,7.3,7.1,7.3,245,2010
14,2010-09-14 00:00:00,7.3,7.3,7.3,7.3,100,2010
15,2010-09-20 00:00:00,7.49,7.49,6.5,6.5,160,2010
16,2010-09-21 00:00:00,7.3,7.3,6.6,6.6,595,2010
17,2010-09-28 00:00:00,7.0,7.2,6.85,7.0,1190,2010
18,2010-09-29 00:00:00,6.9,6.9,6.55,6.9,132,2010
19,2010-09-30 00:00:00,6.5,6.9,6.25,6.9,720,2010
20,2010-10-04 00:00:00,6.6,6.7,6.4,6.7,70,2010
21,2010-10-05 00:00:00,6.9,6.9,6.25,6.25,348,2010
22,2010-10-06 00:00:00,6.9,6.9,6.9,6.9,30,2010
23,2010-10-19 00:00:00,6.31,6.31,6.31,6.31,5,2010
24,2010-11-02 00:00:00,6.31,6.31,6.15,6.15,650,2010
25,2010-11-04 00:00:00,5.7,5.7,5.0,5.0,4665,2010
26,2010-11-05 00:00:00,5.5,5.5,5.5,5.5,10,2010
27,2010-11-08 00:00:00,5.5,5.5,5.5,5.5,20,2010
28,2010-11-09 00:00:00,5.48,5.48,5.48,5.48,100,2010
29,2010-11-12 00:00:00,5.0,5.0,5.0,5.0,625,2010
30,2010-11-16 00:00:00,4.6,4.6,4.0,4.5,3100,2010
31,2010-11-18 00:00:00,4.0,4.0,3.6,3.6,7520,2010
32,2010-11-19 00:00:00,3.85,4.3,3.85,4.0,725,2010
33,2010-11-22 00:00:00,4.0,4.8,4.0,4.8,2152,2010
