,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2018-09-25 00:00:00,13.02,13.02,9.01,10.8,16440,2018
1,2018-09-26 00:00:00,10.78,11.0,9.9,9.9,5525,2018
2,2018-09-27 00:00:00,9.9,9.9,8.1,9.0,3251,2018
3,2018-09-28 00:00:00,9.5,9.5,8.7,8.7,903,2018
4,2018-10-01 00:00:00,8.8,8.9,8.7,8.9,410,2018
5,2018-10-02 00:00:00,9.0,9.0,7.9,7.9,1775,2018
6,2018-10-03 00:00:00,7.9,7.9,7.2,7.7,580,2018
7,2018-10-04 00:00:00,7.7,7.7,7.0,7.6,660,2018
8,2018-10-05 00:00:00,7.9,8.5,7.9,8.4,1687,2018
9,2018-10-08 00:00:00,8.39,8.39,7.95,8.2,149,2018
10,2018-10-09 00:00:00,8.2,9.0,8.2,9.0,2373,2018
11,2018-10-10 00:00:00,9.2,9.2,8.0,8.0,3993,2018
12,2018-10-11 00:00:00,8.36,8.8,8.36,8.8,20,2018
13,2018-10-12 00:00:00,8.8,8.8,7.7,8.5,194,2018
14,2018-10-15 00:00:00,8.38,8.38,7.66,7.66,305,2018
15,2018-10-16 00:00:00,7.66,7.7,7.3,7.45,839,2018
16,2018-10-17 00:00:00,7.5,7.69,7.5,7.69,75,2018
17,2018-10-18 00:00:00,7.69,7.69,7.69,7.69,5,2018
18,2018-10-19 00:00:00,7.69,7.69,7.2,7.66,259,2018
19,2018-10-22 00:00:00,7.3,7.3,7.11,7.11,76,2018
20,2018-10-23 00:00:00,7.11,7.11,6.6,6.6,295,2018
21,2018-10-24 00:00:00,6.52,6.52,6.52,6.52,10,2018
22,2018-10-25 00:00:00,6.55,6.55,6.4,6.4,251,2018
23,2018-10-26 00:00:00,6.3,6.3,6.1,6.25,260,2018
24,2018-10-31 00:00:00,6.1,6.1,6.1,6.1,3310,2018
25,2018-11-02 00:00:00,6.3,6.5,6.3,6.5,17,2018
26,2018-11-07 00:00:00,6.3,6.3,6.15,6.15,3587,2018
27,2018-11-08 00:00:00,6.15,6.55,6.15,6.55,49,2018
28,2018-11-09 00:00:00,6.15,6.2,6.15,6.2,1260,2018
29,2018-11-13 00:00:00,6.2,7.44,5.0,7.44,3376,2018
30,2018-11-14 00:00:00,7.3,7.3,7.3,7.3,10,2018
31,2018-11-15 00:00:00,7.3,7.3,7.3,7.3,5,2018
