,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-09-27 00:00:00,2.2437,3.2230000000000003,2.2437,3.2230000000000003,17837,2012
1,2012-09-28 00:00:00,3.8029,4.088,2.4529,3.0232,10283,2012
2,2012-10-01 00:00:00,3.0043,3.0043,2.2437,2.2437,1951,2012
3,2012-10-02 00:00:00,2.2437,2.5669999999999997,2.2437,2.2437,9280,2012
4,2012-10-03 00:00:00,2.2437,2.662,2.2437,2.662,721,2012
5,2012-10-04 00:00:00,2.6144,2.6144,2.5669999999999997,2.5669999999999997,484,2012
6,2012-10-05 00:00:00,2.5004,2.5004,2.4433,2.4433,346,2012
7,2012-10-08 00:00:00,2.4433,2.4433,2.4433,2.4433,389,2012
8,2012-10-09 00:00:00,2.3768,2.6049,2.3578,2.3578,1903,2012
9,2012-10-10 00:00:00,2.3578,2.3578,2.3578,2.3578,111,2012
10,2012-10-11 00:00:00,2.3578,2.3578,2.3578,2.3578,168,2012
11,2012-10-12 00:00:00,2.3578,2.3578,2.3578,2.3578,5,2012
12,2012-10-15 00:00:00,2.3578,2.3578,2.3578,2.3578,10,2012
13,2012-10-16 00:00:00,2.3578,2.3578,2.3578,2.3578,5,2012
14,2012-10-17 00:00:00,2.3578,2.3578,2.2817,2.3292,1683,2012
15,2012-10-18 00:00:00,2.3292,2.3292,2.3292,2.3292,10,2012
16,2012-10-19 00:00:00,2.3292,2.3292,2.3292,2.3292,10,2012
17,2012-10-22 00:00:00,2.3292,2.4529,2.3292,2.4529,652,2012
18,2012-10-23 00:00:00,2.5194,2.5194,2.5194,2.5194,22,2012
19,2012-10-24 00:00:00,2.5669999999999997,2.662,2.5669999999999997,2.5669999999999997,1025,2012
20,2012-10-25 00:00:00,2.681,2.681,2.681,2.681,192,2012
21,2012-10-26 00:00:00,2.662,2.662,2.6144,2.6144,421,2012
22,2012-10-30 00:00:00,2.6144,2.6144,2.4624,2.4624,983,2012
23,2012-11-02 00:00:00,2.4624,2.4624,2.4148,2.4148,679,2012
24,2012-11-05 00:00:00,2.3768,2.3768,2.2913,2.2913,353,2012
25,2012-11-06 00:00:00,2.2437,2.2437,2.2437,2.2437,105,2012
26,2012-11-07 00:00:00,2.2437,2.2437,2.2437,2.2437,10,2012
27,2012-11-08 00:00:00,2.2437,2.2437,2.2437,2.2437,1075,2012
28,2012-11-09 00:00:00,2.2437,2.3768,2.2437,2.3768,643,2012
29,2012-11-19 00:00:00,2.3768,2.3768,2.3768,2.3768,10,2012
30,2012-11-20 00:00:00,2.3768,2.3768,2.2627,2.2627,305,2012
31,2012-11-22 00:00:00,2.2437,2.2437,2.2437,2.2437,10,2012
32,2012-11-23 00:00:00,2.2437,2.2437,2.2437,2.2437,10,2012
33,2012-11-26 00:00:00,2.2437,2.3768,2.2437,2.3768,465,2012
34,2012-11-27 00:00:00,2.4148,2.4718,2.4148,2.4718,526,2012
35,2012-11-28 00:00:00,2.5194,2.6049,2.5194,2.6049,526,2012
36,2012-11-30 00:00:00,2.662,2.662,2.662,2.662,22,2012
37,2012-12-03 00:00:00,2.662,2.662,2.662,2.662,10,2012
38,2012-12-04 00:00:00,2.662,2.662,2.662,2.662,10,2012
