,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-04-08 00:00:00,0.35600000000000004,0.379,0.15,0.165,1861230,2008
1,2008-04-09 00:00:00,0.16699999999999998,0.177,0.15,0.157,478990,2008
2,2008-04-10 00:00:00,0.14,0.146,0.127,0.13699999999999998,234430,2008
3,2008-04-11 00:00:00,0.132,0.132,0.114,0.124,153500,2008
4,2008-04-14 00:00:00,0.12,0.12,0.111,0.111,95580,2008
5,2008-04-15 00:00:00,0.115,0.115,0.10300000000000001,0.10300000000000001,128340,2008
6,2008-04-16 00:00:00,0.10300000000000001,0.10800000000000001,0.102,0.107,65710,2008
7,2008-04-17 00:00:00,0.107,0.107,0.1,0.106,41740,2008
8,2008-04-18 00:00:00,0.105,0.105,0.09,0.102,274160,2008
9,2008-04-21 00:00:00,0.102,0.102,0.1,0.1,47170,2008
10,2008-04-22 00:00:00,0.095,0.1,0.095,0.1,33930,2008
11,2008-04-23 00:00:00,0.094,0.099,0.092,0.096,130600,2008
12,2008-04-24 00:00:00,0.095,0.098,0.091,0.098,187370,2008
13,2008-04-25 00:00:00,0.098,0.136,0.098,0.136,1027530,2008
14,2008-04-28 00:00:00,0.14,0.149,0.12300000000000001,0.132,692760,2008
15,2008-04-29 00:00:00,0.132,0.132,0.122,0.128,426260,2008
16,2008-04-30 00:00:00,0.128,0.16899999999999998,0.12300000000000001,0.156,909360,2008
17,2008-05-05 00:00:00,0.16,0.172,0.147,0.155,1219030,2008
18,2008-05-06 00:00:00,0.157,0.158,0.134,0.15,649280,2008
19,2008-05-07 00:00:00,0.149,0.17800000000000002,0.14800000000000002,0.155,1331130,2008
20,2008-05-08 00:00:00,0.162,0.175,0.16,0.171,419200,2008
21,2008-05-09 00:00:00,0.17600000000000002,0.17600000000000002,0.159,0.17,221450,2008
22,2008-05-12 00:00:00,0.17,0.17,0.14,0.16,533720,2008
23,2008-05-13 00:00:00,0.162,0.162,0.14,0.142,170400,2008
24,2008-05-14 00:00:00,0.145,0.147,0.133,0.147,151520,2008
25,2008-05-15 00:00:00,0.153,0.153,0.13,0.136,56410,2008
26,2008-05-16 00:00:00,0.132,0.146,0.128,0.14,95040,2008
27,2008-05-19 00:00:00,0.14300000000000002,0.14300000000000002,0.141,0.141,13000,2008
28,2008-05-20 00:00:00,0.132,0.135,0.114,0.11699999999999999,277360,2008
29,2008-05-21 00:00:00,0.129,0.13,0.115,0.13,25140,2008
30,2008-05-23 00:00:00,0.125,0.125,0.113,0.122,5850,2008
31,2008-05-26 00:00:00,0.129,0.135,0.114,0.11900000000000001,54550,2008
32,2008-05-27 00:00:00,0.11,0.125,0.1,0.11800000000000001,389030,2008
33,2008-05-28 00:00:00,0.11599999999999999,0.11699999999999999,0.10800000000000001,0.11599999999999999,27170,2008
34,2008-05-29 00:00:00,0.107,0.133,0.107,0.133,71930,2008
35,2008-05-30 00:00:00,0.131,0.14300000000000002,0.131,0.14300000000000002,132140,2008
36,2008-06-02 00:00:00,0.141,0.141,0.11900000000000001,0.13,200090,2008
37,2008-06-03 00:00:00,0.12,0.133,0.113,0.126,246620,2008
38,2008-06-04 00:00:00,0.129,0.13,0.11199999999999999,0.13,263090,2008
39,2008-06-05 00:00:00,0.13,0.152,0.11900000000000001,0.14400000000000002,505600,2008
40,2008-06-06 00:00:00,0.14300000000000002,0.157,0.131,0.155,405520,2008
41,2008-06-09 00:00:00,0.14,0.165,0.14,0.152,310900,2008
42,2008-06-10 00:00:00,0.14400000000000002,0.152,0.138,0.147,224300,2008
43,2008-06-11 00:00:00,0.136,0.14,0.11900000000000001,0.122,421790,2008
44,2008-06-12 00:00:00,0.122,0.124,0.10300000000000001,0.11699999999999999,617010,2008
45,2008-06-13 00:00:00,0.124,0.124,0.11599999999999999,0.121,51680,2008
46,2008-06-16 00:00:00,0.12,0.128,0.11599999999999999,0.127,42970,2008
47,2008-06-17 00:00:00,0.11599999999999999,0.125,0.11199999999999999,0.124,87660,2008
48,2008-06-18 00:00:00,0.121,0.121,0.109,0.109,19660,2008
49,2008-06-19 00:00:00,0.115,0.124,0.10800000000000001,0.12,98980,2008
50,2008-06-20 00:00:00,0.12300000000000001,0.12300000000000001,0.10099999999999999,0.109,235870,2008
51,2008-06-23 00:00:00,0.10300000000000001,0.122,0.10300000000000001,0.122,42000,2008
52,2008-06-24 00:00:00,0.115,0.11699999999999999,0.11,0.11699999999999999,28900,2008
53,2008-06-25 00:00:00,0.11,0.11,0.105,0.11,82900,2008
54,2008-06-26 00:00:00,0.105,0.113,0.10099999999999999,0.106,209660,2008
55,2008-06-27 00:00:00,0.105,0.11,0.1,0.107,94960,2008
56,2008-06-30 00:00:00,0.11,0.111,0.109,0.109,33030,2008
57,2008-07-01 00:00:00,0.109,0.11199999999999999,0.109,0.109,22650,2008
58,2008-07-02 00:00:00,0.111,0.11199999999999999,0.111,0.111,20500,2008
59,2008-07-03 00:00:00,0.102,0.109,0.096,0.106,250710,2008
60,2008-07-04 00:00:00,0.106,0.111,0.105,0.111,118730,2008
61,2008-07-07 00:00:00,0.11199999999999999,0.11199999999999999,0.11199999999999999,0.11199999999999999,1000,2008
62,2008-07-08 00:00:00,0.11,0.11,0.11,0.11,250,2008
63,2008-07-09 00:00:00,0.11,0.11,0.098,0.10800000000000001,106060,2008
64,2008-07-10 00:00:00,0.106,0.106,0.099,0.106,30010,2008
65,2008-07-11 00:00:00,0.099,0.10300000000000001,0.098,0.10099999999999999,28920,2008
66,2008-07-14 00:00:00,0.106,0.106,0.106,0.106,120,2008
67,2008-07-15 00:00:00,0.10400000000000001,0.10400000000000001,0.10400000000000001,0.10400000000000001,250,2008
68,2008-07-16 00:00:00,0.10400000000000001,0.10400000000000001,0.094,0.102,350420,2008
69,2008-07-17 00:00:00,0.099,0.102,0.091,0.095,133800,2008
70,2008-07-18 00:00:00,0.09699999999999999,0.099,0.092,0.09699999999999999,49600,2008
71,2008-07-21 00:00:00,0.09,0.09699999999999999,0.09,0.09699999999999999,44000,2008
72,2008-07-22 00:00:00,0.091,0.096,0.091,0.096,34070,2008
73,2008-07-23 00:00:00,0.091,0.09699999999999999,0.09,0.096,35000,2008
74,2008-07-24 00:00:00,0.094,0.09699999999999999,0.092,0.09699999999999999,38800,2008
75,2008-07-25 00:00:00,0.099,0.099,0.09300000000000001,0.098,32870,2008
76,2008-07-28 00:00:00,0.096,0.1,0.096,0.1,73150,2008
77,2008-07-29 00:00:00,0.1,0.129,0.098,0.128,629010,2008
78,2008-07-30 00:00:00,0.113,0.124,0.1,0.107,567400,2008
79,2008-07-31 00:00:00,0.102,0.107,0.096,0.10400000000000001,367840,2008
80,2008-08-01 00:00:00,0.10300000000000001,0.10800000000000001,0.1,0.106,245460,2008
81,2008-08-04 00:00:00,0.111,0.12300000000000001,0.107,0.114,738160,2008
82,2008-08-05 00:00:00,0.11699999999999999,0.11699999999999999,0.10300000000000001,0.11599999999999999,201380,2008
83,2008-08-06 00:00:00,0.113,0.113,0.105,0.106,518760,2008
