,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2015-06-23 00:00:00,3.9,5.85,3.9,5.85,86722,2015
1,2015-06-24 00:00:00,6.62,8.05,6.62,8.05,32256,2015
2,2015-06-25 00:00:00,9.01,9.1,6.74,8.4,60135,2015
3,2015-06-26 00:00:00,7.01,8.35,6.84,8.35,20187,2015
4,2015-06-29 00:00:00,7.75,8.95,7.0,7.64,45690,2015
5,2015-06-30 00:00:00,7.54,7.54,5.6,6.29,52501,2015
6,2015-07-01 00:00:00,7.25,7.25,5.25,5.78,54597,2015
7,2015-07-02 00:00:00,5.76,5.76,4.62,4.62,3172,2015
8,2015-07-03 00:00:00,4.3,5.59,3.81,4.18,52746,2015
9,2015-07-06 00:00:00,3.82,4.25,3.16,4.25,57542,2015
10,2015-07-07 00:00:00,4.83,5.35,4.0,4.2,83880,2015
11,2015-07-08 00:00:00,4.46,4.46,3.57,3.79,31567,2015
12,2015-07-09 00:00:00,4.07,4.3,3.6,4.0,15594,2015
13,2015-07-10 00:00:00,4.18,4.18,3.35,3.4,85030,2015
14,2015-07-13 00:00:00,3.55,3.61,3.11,3.57,34915,2015
15,2015-07-14 00:00:00,3.6,3.65,3.17,3.4,17543,2015
16,2015-07-15 00:00:00,3.23,3.5,3.23,3.4,1555,2015
17,2015-07-16 00:00:00,3.4,3.41,2.65,2.65,64822,2015
18,2015-07-17 00:00:00,2.54,2.88,2.04,2.05,163524,2015
19,2015-07-20 00:00:00,1.64,2.22,1.64,1.98,146163,2015
20,2015-07-21 00:00:00,1.99,2.04,1.55,1.55,148036,2015
21,2015-07-22 00:00:00,1.59,1.75,1.36,1.57,47702,2015
22,2015-07-23 00:00:00,1.61,1.64,1.4,1.6,34872,2015
23,2015-07-24 00:00:00,1.61,1.8,1.32,1.42,223819,2015
24,2015-07-27 00:00:00,1.44,1.65,1.23,1.54,66196,2015
25,2015-07-28 00:00:00,1.48,1.83,1.48,1.71,134982,2015
26,2015-07-29 00:00:00,1.73,1.91,1.58,1.9,142448,2015
27,2015-07-30 00:00:00,1.95,2.19,1.9,1.9,85047,2015
28,2015-07-31 00:00:00,1.92,1.99,1.76,1.88,49465,2015
29,2015-08-03 00:00:00,1.98,2.0,1.59,1.64,170563,2015
30,2015-08-04 00:00:00,1.7,1.77,1.36,1.39,193896,2015
31,2015-08-05 00:00:00,1.42,1.45,1.2,1.3,151854,2015
32,2015-08-06 00:00:00,1.26,1.41,1.15,1.26,166974,2015
33,2015-08-07 00:00:00,1.24,1.31,1.0,1.0,275412,2015
34,2015-08-10 00:00:00,1.02,1.1,1.0,1.09,146223,2015
35,2015-08-11 00:00:00,1.13,1.14,0.9,0.9,278164,2015
36,2015-08-12 00:00:00,0.9,0.95,0.6,0.64,466067,2015
37,2015-08-13 00:00:00,0.69,0.8,0.64,0.71,104686,2015
38,2015-08-14 00:00:00,0.76,0.88,0.72,0.87,97590,2015
39,2015-08-17 00:00:00,0.88,0.88,0.79,0.83,39559,2015
40,2015-08-18 00:00:00,0.8,0.83,0.76,0.82,45419,2015
41,2015-08-19 00:00:00,0.77,0.8,0.74,0.8,13045,2015
42,2015-08-20 00:00:00,0.8,0.8,0.75,0.8,5702,2015
43,2015-08-21 00:00:00,0.81,0.81,0.75,0.79,1199,2015
44,2015-08-24 00:00:00,0.79,0.79,0.69,0.69,11575,2015
45,2015-08-25 00:00:00,0.71,0.8,0.7,0.76,29978,2015
46,2015-08-26 00:00:00,0.7,0.74,0.68,0.68,16907,2015
47,2015-08-27 00:00:00,0.68,0.72,0.66,0.66,3741,2015
48,2015-08-28 00:00:00,0.67,0.74,0.66,0.73,11358,2015
49,2015-08-31 00:00:00,0.73,0.8,0.73,0.77,25242,2015
50,2015-09-01 00:00:00,0.75,0.76,0.7,0.76,6300,2015
51,2015-09-02 00:00:00,0.77,0.79,0.74,0.79,17952,2015
52,2015-09-03 00:00:00,0.79,0.8,0.73,0.75,9025,2015
53,2015-09-04 00:00:00,0.77,0.77,0.69,0.7,21383,2015
54,2015-09-07 00:00:00,0.69,0.76,0.68,0.73,9977,2015
55,2015-09-08 00:00:00,0.69,0.75,0.69,0.75,10089,2015
56,2015-09-09 00:00:00,0.74,0.75,0.71,0.75,1251,2015
57,2015-09-10 00:00:00,0.75,0.78,0.72,0.75,26951,2015
58,2015-09-11 00:00:00,0.75,0.75,0.7,0.74,13789,2015
59,2015-09-14 00:00:00,0.71,0.78,0.71,0.78,21430,2015
60,2015-09-15 00:00:00,0.74,0.8,0.72,0.78,22324,2015
61,2015-09-16 00:00:00,0.76,0.78,0.74,0.78,9819,2015
62,2015-09-17 00:00:00,0.76,0.76,0.74,0.76,5548,2015
63,2015-09-18 00:00:00,0.75,0.76,0.7,0.75,4933,2015
64,2015-09-21 00:00:00,0.77,0.77,0.72,0.75,5100,2015
65,2015-09-22 00:00:00,0.76,0.76,0.72,0.76,12032,2015
66,2015-09-23 00:00:00,0.74,0.75,0.71,0.75,7157,2015
67,2015-09-24 00:00:00,0.72,0.73,0.67,0.7,11351,2015
68,2015-09-25 00:00:00,0.68,0.76,0.68,0.7,12634,2015
69,2015-09-28 00:00:00,0.71,0.74,0.71,0.71,1250,2015
70,2015-09-29 00:00:00,0.69,0.73,0.69,0.73,2859,2015
71,2015-09-30 00:00:00,0.72,0.73,0.67,0.71,12097,2015
72,2015-10-01 00:00:00,0.73,0.73,0.69,0.69,5100,2015
73,2015-10-02 00:00:00,0.69,0.72,0.65,0.72,5232,2015
74,2015-10-05 00:00:00,0.73,0.73,0.61,0.69,7852,2015
75,2015-10-06 00:00:00,0.67,0.71,0.66,0.7,12503,2015
76,2015-10-07 00:00:00,0.7,0.7,0.63,0.67,28984,2015
77,2015-10-08 00:00:00,0.67,0.67,0.63,0.67,13630,2015
78,2015-10-09 00:00:00,0.64,0.64,0.64,0.64,5646,2015
79,2015-10-12 00:00:00,0.66,0.68,0.63,0.66,16588,2015
80,2015-10-13 00:00:00,0.65,0.9,0.65,0.85,118066,2015
81,2015-10-14 00:00:00,0.85,0.97,0.8,0.9,93190,2015
82,2015-10-15 00:00:00,0.88,0.96,0.83,0.87,45349,2015
83,2015-10-16 00:00:00,0.95,1.01,0.83,0.9,74306,2015
84,2015-10-19 00:00:00,0.91,0.91,0.83,0.9,14276,2015
85,2015-10-20 00:00:00,0.88,0.9,0.85,0.85,17405,2015
86,2015-10-21 00:00:00,0.88,1.26,0.87,1.26,209780,2015
87,2015-10-22 00:00:00,1.41,1.69,1.3,1.69,157399,2015
88,2015-10-23 00:00:00,1.69,1.99,1.45,1.61,272483,2015
89,2015-10-26 00:00:00,1.68,1.89,1.56,1.7,42842,2015
90,2015-10-27 00:00:00,1.7,1.81,1.54,1.65,42157,2015
91,2015-10-28 00:00:00,1.69,1.98,1.57,1.79,89724,2015
92,2015-10-29 00:00:00,1.86,2.49,1.86,2.44,199015,2015
93,2015-10-30 00:00:00,2.4,2.46,2.12,2.34,89740,2015
94,2015-11-02 00:00:00,2.32,2.43,2.12,2.34,59051,2015
95,2015-11-03 00:00:00,2.25,2.7,2.2,2.42,117348,2015
96,2015-11-04 00:00:00,2.44,2.7,2.32,2.6,61319,2015
97,2015-11-05 00:00:00,2.61,2.84,2.61,2.79,29501,2015
98,2015-11-06 00:00:00,2.62,2.79,2.4,2.5,50539,2015
99,2015-11-09 00:00:00,2.5,2.61,2.28,2.33,19612,2015
100,2015-11-10 00:00:00,2.33,2.45,1.91,2.15,36722,2015
101,2015-11-12 00:00:00,2.1,2.21,1.68,1.68,37793,2015
102,2015-11-13 00:00:00,1.36,1.54,1.32,1.5,51171,2015
103,2015-11-16 00:00:00,1.43,1.53,1.36,1.47,10328,2015
104,2015-11-17 00:00:00,1.38,1.47,1.32,1.47,5351,2015
105,2015-11-18 00:00:00,1.37,1.46,1.32,1.44,7908,2015
106,2015-11-19 00:00:00,1.34,1.5,1.21,1.5,20540,2015
107,2015-11-20 00:00:00,1.55,1.8,1.55,1.77,33704,2015
108,2015-11-23 00:00:00,1.7,2.02,1.7,1.99,25048,2015
109,2015-11-24 00:00:00,1.99,1.99,1.77,1.89,16684,2015
110,2015-11-25 00:00:00,1.89,1.9,1.67,1.75,7407,2015
111,2015-11-26 00:00:00,1.71,1.72,1.56,1.7,6769,2015
112,2015-11-27 00:00:00,1.7,1.85,1.56,1.73,16303,2015
113,2015-11-30 00:00:00,1.77,1.85,1.75,1.75,8475,2015
114,2015-12-01 00:00:00,1.78,1.78,1.67,1.67,1901,2015
115,2015-12-02 00:00:00,1.61,1.72,1.5,1.7,5745,2015
116,2015-12-03 00:00:00,1.71,1.71,1.61,1.7,1218,2015
117,2015-12-04 00:00:00,1.6,1.61,1.51,1.55,8673,2015
118,2015-12-07 00:00:00,1.57,1.68,1.48,1.48,3154,2015
119,2015-12-08 00:00:00,1.48,1.5,1.33,1.5,5346,2015
