,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-02-09 00:00:00,3.9,4.68,3.9,4.68,88637,2011
1,2011-02-10 00:00:00,5.61,5.9,4.8,5.14,103272,2011
2,2011-02-11 00:00:00,5.14,5.14,4.14,4.21,20530,2011
3,2011-02-14 00:00:00,4.35,4.4,3.7,4.03,19090,2011
4,2011-02-15 00:00:00,4.0,4.0,3.8,3.95,6622,2011
5,2011-02-16 00:00:00,3.95,4.03,3.5,4.02,16950,2011
6,2011-02-17 00:00:00,4.02,4.02,3.73,4.01,1107,2011
7,2011-02-18 00:00:00,4.0,4.03,3.65,4.03,1511,2011
8,2011-02-21 00:00:00,4.0,4.0,3.8,4.0,605,2011
9,2011-02-22 00:00:00,4.0,4.0,3.54,3.55,892,2011
10,2011-02-23 00:00:00,3.54,3.7,3.54,3.7,52,2011
11,2011-02-24 00:00:00,3.7,3.7,3.7,3.7,99,2011
12,2011-02-25 00:00:00,4.0,4.0,3.5,3.66,8722,2011
13,2011-02-28 00:00:00,3.66,3.66,3.66,3.66,1,2011
14,2011-03-01 00:00:00,3.6,3.6,3.6,3.6,201,2011
15,2011-03-02 00:00:00,3.6,3.6,3.6,3.6,2,2011
16,2011-03-03 00:00:00,3.6,3.6,3.19,3.2,4771,2011
17,2011-03-04 00:00:00,3.06,3.53,2.92,3.45,5043,2011
18,2011-03-07 00:00:00,3.45,3.45,3.33,3.33,1601,2011
19,2011-03-08 00:00:00,3.4,3.4,3.3,3.3,117,2011
20,2011-03-09 00:00:00,3.1,3.4,3.1,3.3,5778,2011
21,2011-03-10 00:00:00,3.3,3.3,3.11,3.11,1201,2011
22,2011-03-11 00:00:00,3.14,3.19,3.14,3.19,1370,2011
23,2011-03-14 00:00:00,3.2,3.2,3.1,3.19,651,2011
24,2011-03-15 00:00:00,3.2,3.86,3.2,3.86,18843,2011
25,2011-03-16 00:00:00,4.0,4.45,4.0,4.12,65042,2011
26,2011-03-17 00:00:00,3.4,4.08,3.4,3.66,18704,2011
27,2011-03-18 00:00:00,3.68,3.68,3.09,3.6,2505,2011
28,2011-03-21 00:00:00,3.64,3.64,3.3,3.55,951,2011
29,2011-03-22 00:00:00,3.56,3.56,3.26,3.54,1102,2011
30,2011-03-23 00:00:00,3.58,3.58,3.13,3.13,1767,2011
31,2011-03-24 00:00:00,3.17,3.47,3.16,3.4,5375,2011
32,2011-03-25 00:00:00,3.15,3.35,3.14,3.35,2060,2011
