,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-08-12 00:00:00,10.0,11.85,8.8,11.3,23897,2013
1,2013-08-13 00:00:00,11.8,11.8,8.61,10.57,10804,2013
2,2013-08-14 00:00:00,9.15,9.83,9.15,9.48,1189,2013
3,2013-08-16 00:00:00,9.5,9.9,9.42,9.9,1384,2013
4,2013-08-19 00:00:00,9.5,9.5,9.25,9.25,809,2013
5,2013-08-20 00:00:00,9.45,9.45,8.5,8.51,4956,2013
6,2013-08-21 00:00:00,8.51,9.32,8.51,9.3,881,2013
7,2013-08-22 00:00:00,9.35,9.35,9.3,9.3,344,2013
8,2013-08-23 00:00:00,9.5,9.84,9.45,9.84,1557,2013
9,2013-08-26 00:00:00,9.94,9.95,9.63,9.9,2540,2013
10,2013-08-27 00:00:00,9.95,9.95,9.95,9.95,226,2013
11,2013-08-28 00:00:00,9.95,9.95,9.95,9.95,50,2013
12,2013-08-29 00:00:00,9.95,9.95,9.33,9.33,101,2013
13,2013-08-30 00:00:00,9.95,10.0,9.6,9.95,701,2013
14,2013-09-02 00:00:00,10.0,10.0,8.01,9.56,2370,2013
15,2013-09-03 00:00:00,9.8,9.8,9.8,9.8,80,2013
16,2013-09-04 00:00:00,9.92,9.92,9.45,9.47,440,2013
17,2013-09-05 00:00:00,9.81,9.81,9.81,9.81,5,2013
18,2013-09-09 00:00:00,9.9,9.9,9.8,9.9,601,2013
19,2013-09-10 00:00:00,9.91,10.11,9.9,9.9,5854,2013
20,2013-09-11 00:00:00,9.95,9.95,9.5,9.5,984,2013
21,2013-09-13 00:00:00,9.8,9.8,9.01,9.35,1432,2013
22,2013-09-16 00:00:00,9.35,9.35,9.35,9.35,608,2013
23,2013-09-17 00:00:00,9.6,9.6,9.6,9.6,1,2013
24,2013-09-18 00:00:00,9.94,9.94,9.47,9.47,179,2013
25,2013-09-19 00:00:00,9.14,9.14,8.9,9.0,728,2013
26,2013-09-20 00:00:00,9.69,9.69,9.69,9.69,100,2013
27,2013-09-24 00:00:00,9.65,9.65,9.65,9.65,100,2013
28,2013-09-25 00:00:00,9.25,9.66,9.25,9.66,338,2013
29,2013-09-26 00:00:00,9.8,9.85,9.3,9.79,220,2013
30,2013-09-27 00:00:00,9.36,9.8,9.3,9.35,450,2013
31,2013-09-30 00:00:00,9.5,9.5,9.5,9.5,2,2013
32,2013-10-01 00:00:00,9.35,9.5,9.35,9.5,1966,2013
33,2013-10-02 00:00:00,9.5,9.5,9.5,9.5,1,2013
34,2013-10-03 00:00:00,9.5,9.5,9.5,9.5,1,2013
35,2013-10-04 00:00:00,9.5,9.5,9.13,9.3,613,2013
36,2013-10-07 00:00:00,9.5,9.5,9.5,9.5,501,2013
37,2013-10-08 00:00:00,9.45,9.45,9.3,9.4,725,2013
