,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-11-27 00:00:00,2.7,2.8,1.4,1.7,30697,2008
1,2008-11-28 00:00:00,1.7,1.9,1.7,1.9,7044,2008
2,2008-12-01 00:00:00,1.9,1.9,1.9,1.9,10,2008
3,2008-12-02 00:00:00,1.7,1.7,1.5,1.7,3400,2008
4,2008-12-03 00:00:00,1.7,1.7,1.5,1.6,2774,2008
5,2008-12-04 00:00:00,1.6,1.6,1.6,1.6,322,2008
6,2008-12-05 00:00:00,1.6,1.6,1.6,1.6,10,2008
7,2008-12-08 00:00:00,1.6,1.9,1.6,1.9,652,2008
8,2008-12-09 00:00:00,1.8,1.8,1.5,1.7,1100,2008
9,2008-12-10 00:00:00,1.7,1.7,1.4,1.5,5461,2008
10,2008-12-11 00:00:00,1.5,1.5,1.4,1.4,910,2008
11,2008-12-12 00:00:00,1.4,1.4,1.3,1.4,1920,2008
12,2008-12-15 00:00:00,1.4,1.4,1.4,1.4,369,2008
13,2008-12-16 00:00:00,1.4,1.4,1.4,1.4,680,2008
14,2008-12-18 00:00:00,1.3,1.3,1.2,1.2,2804,2008
15,2008-12-19 00:00:00,1.2,1.3,1.2,1.3,769,2008
16,2008-12-22 00:00:00,1.2,1.2,1.2,1.2,430,2008
17,2008-12-23 00:00:00,1.3,1.3,1.3,1.3,100,2008
18,2008-12-29 00:00:00,1.3,1.4,1.3,1.4,153,2008
19,2008-12-30 00:00:00,1.4,1.4,1.3,1.3,165,2008
20,2008-12-31 00:00:00,1.2,1.4,1.2,1.4,510,2008
21,2009-01-05 00:00:00,1.4,1.5,1.4,1.5,421,2009
22,2009-01-06 00:00:00,1.5,1.6,1.5,1.6,600,2009
23,2009-01-07 00:00:00,1.6,1.6,1.6,1.6,100,2009
24,2009-01-08 00:00:00,1.6,1.6,1.6,1.6,105,2009
25,2009-01-09 00:00:00,1.6,1.6,1.5,1.6,142,2009
26,2009-01-12 00:00:00,1.6,1.6,1.3,1.5,942,2009
27,2009-01-13 00:00:00,1.5,1.5,1.5,1.5,2,2009
28,2009-01-14 00:00:00,1.5,1.5,1.5,1.5,2,2009
29,2009-01-15 00:00:00,1.5,1.5,1.4,1.4,252,2009
30,2009-01-16 00:00:00,1.5,1.5,1.5,1.5,2,2009
31,2009-01-19 00:00:00,1.5,1.5,1.5,1.5,1,2009
32,2009-01-20 00:00:00,1.5,1.5,1.5,1.5,2,2009
33,2009-01-21 00:00:00,1.5,1.5,1.5,1.5,1,2009
34,2009-01-22 00:00:00,1.5,1.5,1.5,1.5,1,2009
35,2009-01-23 00:00:00,1.5,1.5,1.5,1.5,1,2009
36,2009-01-26 00:00:00,1.5,1.5,1.5,1.5,5,2009
37,2009-01-27 00:00:00,1.5,1.5,1.5,1.5,1,2009
38,2009-01-28 00:00:00,1.5,1.6,1.5,1.5,600,2009
39,2009-01-29 00:00:00,1.3,1.3,1.2,1.2,3200,2009
40,2009-01-30 00:00:00,1.3,1.3,1.3,1.3,5,2009
41,2009-02-02 00:00:00,1.3,1.3,1.1,1.1,1001,2009
42,2009-02-03 00:00:00,1.2,1.2,1.2,1.2,100,2009
43,2009-02-04 00:00:00,1.2,1.3,1.1,1.1,11171,2009
44,2009-02-05 00:00:00,1.2,1.2,1.2,1.2,100,2009
45,2009-02-06 00:00:00,1.2,1.2,1.2,1.2,736,2009
46,2009-02-09 00:00:00,1.1,1.1,1.1,1.1,400,2009
47,2009-02-10 00:00:00,1.0,1.0,1.0,1.0,2548,2009
48,2009-02-11 00:00:00,1.0,1.0,1.0,1.0,1025,2009
49,2009-02-12 00:00:00,1.1,1.1,1.1,1.1,100,2009
50,2009-02-13 00:00:00,1.0,1.1,1.0,1.1,1010,2009
51,2009-02-17 00:00:00,1.1,1.1,1.0,1.0,172,2009
52,2009-02-18 00:00:00,1.0,1.0,1.0,1.0,6106,2009
53,2009-02-19 00:00:00,1.1,1.1,1.1,1.1,120,2009
