,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2016-02-16 00:00:00,5.4776,5.4776,4.6517,4.7126,4358,2016
1,2016-02-17 00:00:00,4.7386,4.9995,4.5212,4.9124,15541,2016
2,2016-02-18 00:00:00,4.5473,4.8429,4.3475,4.8429,15428,2016
3,2016-02-19 00:00:00,4.6517,4.6517,4.0431,4.4951,831,2016
4,2016-02-22 00:00:00,4.4516,4.4516,4.2604,4.4343,46,2016
5,2016-02-23 00:00:00,4.4343,4.4343,4.4256,4.4256,1670,2016
6,2016-02-24 00:00:00,4.4256,4.4256,4.4256,4.4256,2,2016
7,2016-02-25 00:00:00,4.3995,4.3995,4.3909,4.3995,60,2016
8,2016-02-26 00:00:00,4.3909,4.3909,3.8256,3.8256,991,2016
9,2016-02-29 00:00:00,3.9560000000000004,3.9560000000000004,3.9560000000000004,3.9560000000000004,58,2016
10,2016-03-01 00:00:00,3.9909,4.3909,3.9909,4.3909,2530,2016
11,2016-03-02 00:00:00,4.3909,4.3909,3.6691,4.3909,1974,2016
12,2016-03-03 00:00:00,4.3822,4.3822,4.3822,4.3822,2,2016
13,2016-03-04 00:00:00,4.0517,4.3387,3.9560000000000004,4.3387,700,2016
14,2016-03-07 00:00:00,4.3213,4.417,4.13,4.417,1795,2016
15,2016-03-08 00:00:00,4.3822,4.3822,4.0865,4.3648,940,2016
16,2016-03-09 00:00:00,4.3648,4.3648,3.9995,4.3648,886,2016
17,2016-03-10 00:00:00,4.2691,4.3734,4.2604,4.3734,872,2016
18,2016-03-11 00:00:00,4.3561,4.3561,4.3475,4.3561,147,2016
19,2016-03-14 00:00:00,4.3561,4.3822,3.9126,4.3822,2909,2016
20,2016-03-15 00:00:00,4.3648,4.3648,4.3475,4.3475,118,2016
21,2016-03-16 00:00:00,4.3387,4.3387,4.3387,4.3387,3,2016
22,2016-03-17 00:00:00,4.3213,4.3213,4.3213,4.3213,3,2016
23,2016-03-18 00:00:00,4.3213,4.3213,4.3213,4.3213,3,2016
24,2016-03-21 00:00:00,4.3387,4.3387,3.9126,4.3038,1140,2016
25,2016-03-22 00:00:00,4.3038,4.3387,4.3038,4.3387,345,2016
26,2016-03-23 00:00:00,4.3299,4.3299,4.3299,4.3299,4,2016
27,2016-03-24 00:00:00,4.0865,4.3475,4.0865,4.3475,1212,2016
28,2016-03-29 00:00:00,4.3475,4.3475,4.3475,4.3475,2,2016
29,2016-03-30 00:00:00,4.3475,4.3475,4.3475,4.3475,2,2016
30,2016-03-31 00:00:00,4.3561,4.3734,4.3561,4.3734,30,2016
31,2016-04-01 00:00:00,4.3734,4.3734,4.3734,4.3734,2,2016
32,2016-04-04 00:00:00,4.3475,4.3734,4.2431,4.3734,731,2016
33,2016-04-05 00:00:00,4.3734,4.3734,4.2431,4.3734,1223,2016
34,2016-04-06 00:00:00,4.13,4.1908,4.0169999999999995,4.1908,735,2016
35,2016-04-11 00:00:00,4.13,4.3387,4.0169999999999995,4.3387,1167,2016
36,2016-04-12 00:00:00,4.1735,4.1735,4.1647,4.1647,298,2016
37,2016-04-13 00:00:00,4.2604,4.3126,4.2604,4.3126,288,2016
38,2016-04-14 00:00:00,4.2952,4.2952,4.2952,4.2952,11,2016
39,2016-04-15 00:00:00,4.2952,4.2952,4.2952,4.2952,11,2016
40,2016-04-18 00:00:00,4.2952,4.2952,4.2952,4.2952,3,2016
41,2016-04-19 00:00:00,4.2952,4.2952,4.2952,4.2952,3,2016
42,2016-04-20 00:00:00,4.2952,4.2952,4.2952,4.2952,3,2016
43,2016-04-21 00:00:00,4.2952,4.2952,3.9909,3.9909,516,2016
44,2016-04-22 00:00:00,3.9909,4.2518,3.9126,3.9995,1474,2016
45,2016-04-25 00:00:00,3.9995,4.2082,3.9995,4.2082,52,2016
46,2016-04-27 00:00:00,4.2082,4.217,4.2082,4.217,173,2016
47,2016-04-28 00:00:00,4.217,4.217,3.8692,4.0778,1373,2016
48,2016-04-29 00:00:00,4.0778,4.1735,4.0778,4.1735,1167,2016
49,2016-05-04 00:00:00,4.13,4.13,3.8256,4.0431,1011,2016
