,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-11-24 00:00:00,1.72,2.06,1.57,2.06,480481,2010
1,2010-11-25 00:00:00,2.28,2.4,1.6,1.7,312873,2010
2,2010-11-26 00:00:00,1.74,1.74,1.5,1.69,97313,2010
3,2010-11-29 00:00:00,1.69,1.7,1.6,1.7,18288,2010
4,2010-11-30 00:00:00,1.69,1.7,1.63,1.68,7254,2010
5,2010-12-01 00:00:00,1.62,1.63,1.58,1.58,13596,2010
6,2010-12-02 00:00:00,1.58,1.73,1.47,1.6,72568,2010
7,2010-12-03 00:00:00,1.58,1.59,1.51,1.52,12126,2010
8,2010-12-06 00:00:00,1.5,1.5,1.4,1.44,13415,2010
9,2010-12-07 00:00:00,1.44,1.44,1.32,1.43,18564,2010
10,2010-12-08 00:00:00,1.42,1.44,1.3,1.44,53337,2010
11,2010-12-09 00:00:00,1.44,1.44,1.3,1.36,48181,2010
12,2010-12-10 00:00:00,1.35,1.49,1.32,1.36,45530,2010
13,2010-12-13 00:00:00,1.41,1.41,1.23,1.31,36289,2010
14,2010-12-14 00:00:00,1.3,1.35,1.3,1.35,17644,2010
15,2010-12-15 00:00:00,1.34,1.36,1.31,1.36,6459,2010
16,2010-12-16 00:00:00,1.35,1.37,1.31,1.37,10806,2010
17,2010-12-17 00:00:00,1.37,1.39,1.35,1.38,7524,2010
18,2010-12-20 00:00:00,1.38,1.43,1.33,1.4,16729,2010
19,2010-12-21 00:00:00,1.4,1.42,1.34,1.4,13136,2010
20,2010-12-22 00:00:00,1.41,1.69,1.32,1.62,108604,2010
21,2010-12-23 00:00:00,1.63,1.83,1.5,1.7,307230,2010
22,2010-12-27 00:00:00,1.7,2.0,1.66,1.68,199381,2010
23,2010-12-28 00:00:00,1.73,1.73,1.4,1.46,94734,2010
24,2010-12-29 00:00:00,1.54,1.56,1.41,1.5,21480,2010
25,2010-12-30 00:00:00,1.51,1.55,1.41,1.46,24728,2010
26,2010-12-31 00:00:00,1.54,1.54,1.37,1.45,8808,2010
27,2011-01-03 00:00:00,1.36,1.56,1.36,1.48,35805,2011
28,2011-01-04 00:00:00,1.54,1.54,1.36,1.45,23442,2011
29,2011-01-05 00:00:00,1.48,1.48,1.27,1.34,35107,2011
30,2011-01-07 00:00:00,1.34,1.47,1.29,1.32,25080,2011
31,2011-01-10 00:00:00,1.45,1.5,1.27,1.47,40942,2011
32,2011-01-11 00:00:00,1.45,1.45,1.33,1.4,4509,2011
33,2011-01-12 00:00:00,1.4,1.45,1.32,1.45,5302,2011
34,2011-01-13 00:00:00,1.45,1.45,1.37,1.4,8171,2011
35,2011-01-14 00:00:00,1.41,1.41,1.34,1.37,5047,2011
36,2011-01-17 00:00:00,1.32,1.33,1.12,1.29,19400,2011
37,2011-01-18 00:00:00,1.34,1.38,1.12,1.38,46255,2011
38,2011-01-19 00:00:00,1.37,1.37,1.25,1.32,5553,2011
39,2011-01-20 00:00:00,1.25,1.25,1.24,1.24,2863,2011
40,2011-01-21 00:00:00,1.28,1.3,1.24,1.3,4700,2011
41,2011-01-24 00:00:00,1.24,1.36,1.13,1.36,18038,2011
42,2011-01-25 00:00:00,1.23,1.3,1.23,1.29,6115,2011
43,2011-01-26 00:00:00,1.22,1.37,1.22,1.33,5115,2011
44,2011-01-27 00:00:00,1.27,1.27,1.23,1.23,4037,2011
45,2011-01-28 00:00:00,1.29,1.29,1.29,1.29,5,2011
46,2011-01-31 00:00:00,1.29,1.32,1.18,1.25,5591,2011
47,2011-02-01 00:00:00,1.28,1.28,1.0,1.2,13931,2011
48,2011-02-02 00:00:00,1.17,1.17,1.03,1.14,19558,2011
49,2011-02-03 00:00:00,1.13,1.19,1.04,1.19,18747,2011
50,2011-02-04 00:00:00,1.19,1.22,1.06,1.16,21498,2011
51,2011-02-07 00:00:00,1.17,1.21,1.09,1.19,5838,2011
52,2011-02-08 00:00:00,1.12,1.23,1.09,1.23,7812,2011
53,2011-02-09 00:00:00,1.19,1.43,1.12,1.26,85797,2011
54,2011-02-10 00:00:00,1.25,1.25,1.2,1.24,9867,2011
55,2011-02-11 00:00:00,1.19,1.27,1.19,1.27,565,2011
56,2011-02-14 00:00:00,1.21,1.25,1.21,1.25,2280,2011
57,2011-02-15 00:00:00,1.25,1.25,1.14,1.23,5711,2011
58,2011-02-16 00:00:00,1.12,1.2,1.0,1.09,4308,2011
59,2011-02-17 00:00:00,0.91,1.01,0.88,0.94,110500,2011
60,2011-02-18 00:00:00,0.94,0.94,0.89,0.92,14279,2011
61,2011-02-21 00:00:00,0.92,0.94,0.75,0.84,22607,2011
62,2011-02-22 00:00:00,0.85,0.85,0.77,0.85,45571,2011
63,2011-02-23 00:00:00,0.85,0.87,0.8,0.83,31705,2011
64,2011-02-24 00:00:00,0.8,0.81,0.71,0.81,15030,2011
65,2011-02-25 00:00:00,0.82,0.82,0.82,0.82,1110,2011
66,2011-02-28 00:00:00,0.8,0.8,0.78,0.78,10625,2011
67,2011-03-01 00:00:00,0.78,0.83,0.77,0.82,15231,2011
68,2011-03-02 00:00:00,0.81,0.81,0.81,0.81,619,2011
69,2011-03-03 00:00:00,0.81,0.81,0.81,0.81,3900,2011
70,2011-03-04 00:00:00,0.85,0.85,0.83,0.83,116,2011
71,2011-03-07 00:00:00,0.85,0.85,0.81,0.84,5211,2011
72,2011-03-08 00:00:00,0.81,0.81,0.73,0.81,16806,2011
73,2011-03-09 00:00:00,0.78,0.78,0.77,0.77,4000,2011
74,2011-03-10 00:00:00,0.77,0.77,0.77,0.77,1000,2011
75,2011-03-11 00:00:00,0.81,0.81,0.63,0.75,14360,2011
76,2011-03-14 00:00:00,0.75,0.83,0.75,0.83,16,2011
77,2011-03-15 00:00:00,0.76,0.76,0.72,0.74,10526,2011
78,2011-03-16 00:00:00,0.76,0.77,0.76,0.77,1001,2011
79,2011-03-17 00:00:00,0.76,0.82,0.76,0.82,8001,2011
80,2011-03-18 00:00:00,0.78,0.8,0.77,0.8,8640,2011
81,2011-03-21 00:00:00,0.82,0.93,0.82,0.9,44680,2011
82,2011-03-22 00:00:00,0.9,0.96,0.86,0.96,46281,2011
83,2011-03-23 00:00:00,0.96,0.96,0.9,0.96,2602,2011
84,2011-03-24 00:00:00,0.96,0.96,0.89,0.96,12648,2011
85,2011-03-25 00:00:00,0.95,0.95,0.9,0.9,18468,2011
86,2011-03-28 00:00:00,0.88,0.94,0.8,0.94,16597,2011
87,2011-03-29 00:00:00,0.88,0.88,0.88,0.88,1,2011
88,2011-03-30 00:00:00,0.89,0.95,0.87,0.95,21125,2011
89,2011-03-31 00:00:00,0.94,0.94,0.88,0.94,9002,2011
90,2011-04-01 00:00:00,0.93,0.98,0.92,0.98,15450,2011
91,2011-04-04 00:00:00,0.96,1.0,0.95,0.95,17436,2011
92,2011-04-05 00:00:00,0.93,0.93,0.92,0.92,2500,2011
93,2011-04-06 00:00:00,0.91,1.0,0.89,1.0,49702,2011
94,2011-04-07 00:00:00,1.0,1.0,0.91,1.0,26051,2011
95,2011-04-08 00:00:00,0.97,1.09,0.97,1.03,53518,2011
96,2011-04-11 00:00:00,1.03,1.04,1.03,1.04,9150,2011
97,2011-04-12 00:00:00,1.03,1.03,0.98,0.98,1401,2011
98,2011-04-13 00:00:00,1.03,1.03,0.93,0.96,11775,2011
99,2011-04-14 00:00:00,1.03,1.04,0.97,1.03,4522,2011
100,2011-04-15 00:00:00,1.04,1.04,0.97,1.01,4502,2011
101,2011-04-18 00:00:00,1.05,1.05,1.02,1.04,3035,2011
