,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-12-30 00:00:00,8.561,8.561,8.561,8.561,13904,2010
1,2010-12-31 00:00:00,9.4215,10.984000000000002,9.4215,10.984000000000002,3029,2010
2,2011-01-03 00:00:00,13.565999999999999,16.279,13.565999999999999,16.174,15924,2011
3,2011-01-04 00:00:00,16.174,19.317,15.805,19.317,9542,2011
4,2011-01-05 00:00:00,19.668,21.073,15.366,15.366,8731,2011
5,2011-01-07 00:00:00,15.360999999999999,16.679000000000002,9.878,16.679000000000002,9134,2011
6,2011-01-10 00:00:00,14.488,17.385,14.488,16.244,4576,2011
7,2011-01-11 00:00:00,16.134,16.244,14.488,16.244,907,2011
8,2011-01-12 00:00:00,16.244,16.463,16.244,16.441,216,2011
9,2011-01-13 00:00:00,16.463,23.671999999999997,15.607000000000001,21.951,1979,2011
10,2011-01-14 00:00:00,21.951,26.340999999999998,21.951,25.288,2802,2011
11,2011-01-17 00:00:00,25.815,29.151,20.651999999999997,26.340999999999998,5779,2011
12,2011-01-18 00:00:00,28.098000000000003,29.415,23.049,24.585,1970,2011
13,2011-01-19 00:00:00,24.146,34.2,22.61,34.2,4581,2011
14,2011-01-20 00:00:00,32.922,38.195,25.029,25.029,10651,2011
15,2011-01-21 00:00:00,25.029,25.029,20.024,20.024,12223,2011
16,2011-01-24 00:00:00,16.02,17.561,12.82,12.82,25195,2011
17,2011-01-25 00:00:00,12.679,13.39,10.383,10.409,11009,2011
18,2011-01-26 00:00:00,11.151,12.135,9.878,10.317,11961,2011
19,2011-01-27 00:00:00,10.317,10.537,9.2195,9.3117,12974,2011
20,2011-01-28 00:00:00,9.4785,9.4785,8.1,8.5171,18521,2011
21,2011-01-31 00:00:00,8.4688,10.097999999999999,7.9024,9.2634,12983,2011
22,2011-02-01 00:00:00,9.0,9.834,7.9024,9.812000000000001,19742,2011
23,2011-02-02 00:00:00,9.2195,9.2195,8.6927,8.6927,8535,2011
24,2011-02-03 00:00:00,8.7805,8.9122,7.4678,8.561,10778,2011
25,2011-02-04 00:00:00,8.7805,9.2854,7.9024,9.2854,10826,2011
26,2011-02-07 00:00:00,9.658999999999999,9.658999999999999,8.7146,9.2195,1027,2011
27,2011-02-08 00:00:00,8.7805,9.2195,8.3415,8.7366,1567,2011
28,2011-02-09 00:00:00,8.7322,9.022,8.2317,8.5171,1674,2011
29,2011-02-10 00:00:00,8.3415,8.5171,7.4941,7.4941,5214,2011
30,2011-02-11 00:00:00,7.6829,7.9859,7.2439,7.9859,2790,2011
31,2011-02-14 00:00:00,8.122,8.2098,7.4854,8.122,1501,2011
32,2011-02-15 00:00:00,7.4634,7.9902,7.0288,7.0683,9824,2011
33,2011-02-16 00:00:00,7.1561,7.2439,6.1463,7.2439,14056,2011
34,2011-02-17 00:00:00,7.1078,7.6829,6.4098,6.7741,7375,2011
35,2011-02-18 00:00:00,6.4537,7.2,6.4537,6.6732,932,2011
36,2011-02-21 00:00:00,6.5634,6.6468,6.4537,6.4537,934,2011
37,2011-02-22 00:00:00,6.457999999999999,7.3317,6.4537,7.0244,8733,2011
38,2011-02-23 00:00:00,6.5854,6.9805,6.5854,6.9673,843,2011
39,2011-02-24 00:00:00,6.6293,6.8268,6.1463,6.3659,3542,2011
40,2011-02-25 00:00:00,6.4756,6.5854,6.1683,6.5678,4685,2011
41,2011-02-28 00:00:00,6.5722,6.7083,6.1683,6.4844,6175,2011
42,2011-03-01 00:00:00,6.3834,6.6556,6.0629,6.3659,13523,2011
43,2011-03-02 00:00:00,6.3659,6.3659,5.9268,6.3351,6307,2011
44,2011-03-03 00:00:00,6.3,6.4537,6.1068,6.1068,1034,2011
45,2011-03-04 00:00:00,6.1507,7.4195,5.9312,7.4195,13377,2011
46,2011-03-07 00:00:00,7.4634,7.8146,6.5854,7.1122,3606,2011
47,2011-03-08 00:00:00,6.9366,7.0244,6.5854,6.9366,1524,2011
48,2011-03-09 00:00:00,6.9366,9.966000000000001,6.5854,7.9024,57507,2011
49,2011-03-10 00:00:00,7.9463,9.0615,7.3493,8.0561,31080,2011
50,2011-03-11 00:00:00,8.0737,8.4732,7.3361,7.8585,11883,2011
51,2011-03-14 00:00:00,7.6829,7.9024,7.0376,7.1122,4086,2011
52,2011-03-15 00:00:00,7.0463,7.3756,6.761,7.2439,1895,2011
53,2011-03-16 00:00:00,7.0244,7.3624,6.6732,7.2439,1702,2011
54,2011-03-17 00:00:00,7.2,7.2,6.6732,7.0244,1920,2011
55,2011-03-18 00:00:00,6.8268,7.1341,6.6293,6.9585,4665,2011
56,2011-03-21 00:00:00,6.9585,6.9585,6.4976,6.4976,1412,2011
57,2011-03-22 00:00:00,6.4756,6.6732,6.0937,6.5854,9419,2011
58,2011-03-23 00:00:00,6.1946,6.5415,6.1463,6.5195,2856,2011
59,2011-03-24 00:00:00,6.4976,6.4976,6.1902,6.4932,526,2011
60,2011-03-25 00:00:00,6.4932,6.4932,6.1463,6.3615,3275,2011
61,2011-03-28 00:00:00,6.3571,6.5195,6.2561,6.2561,1396,2011
62,2011-03-29 00:00:00,6.3659,6.5195,6.0585,6.3659,1153,2011
63,2011-03-30 00:00:00,6.3439,6.3439,6.0146,6.3,1845,2011
64,2011-03-31 00:00:00,6.2517,6.3659,6.0146,6.3439,1777,2011
65,2011-04-01 00:00:00,6.3176,6.3176,6.019,6.2341,3793,2011
66,2011-04-04 00:00:00,6.1463,6.8488,6.019,6.6907,5066,2011
67,2011-04-05 00:00:00,6.4317,7.3756,6.3659,7.3756,18165,2011
68,2011-04-06 00:00:00,7.3317,8.4293,7.1561,7.8541,37556,2011
