,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-07-01 00:00:00,2.0565,2.4679,2.0565,2.4392,37913,2011
1,2011-07-04 00:00:00,2.9078,3.5869,2.5348,3.5869,26436,2011
2,2011-07-05 00:00:00,3.6348,4.1131,2.9365,2.9461,21201,2011
3,2011-07-06 00:00:00,2.9461,3.147,2.1617,2.3914,17967,2011
4,2011-07-07 00:00:00,2.5444,2.7644,2.0374,2.1044,14778,2011
5,2011-07-08 00:00:00,2.0757,2.4966,2.0565,2.4487,12342,2011
6,2011-07-11 00:00:00,2.3434,2.5348,1.3869999999999998,1.3869999999999998,34470,2011
7,2011-07-12 00:00:00,1.5591,1.5687,0.9947,0.9947,140896,2011
8,2011-07-13 00:00:00,1.014,1.0618,0.813,0.8704,46157,2011
9,2011-07-14 00:00:00,0.8513,0.9087,0.8513,0.9087,2747,2011
10,2011-07-15 00:00:00,0.7748,0.8895,0.7748,0.7748,23380,2011
11,2011-07-18 00:00:00,0.7365,0.813,0.6887,0.8035,27405,2011
12,2011-07-19 00:00:00,0.8035,0.8035,0.6696,0.6791,7423,2011
13,2011-07-20 00:00:00,0.727,0.7939,0.6887,0.7843,2757,2011
14,2011-07-21 00:00:00,0.7843,0.8035,0.7556,0.8035,6382,2011
15,2011-07-22 00:00:00,0.8226,0.8226,0.7843,0.8035,9999,2011
16,2011-07-25 00:00:00,0.8322,0.8322,0.6791,0.7556,57759,2011
17,2011-07-26 00:00:00,0.6791,0.7365,0.6313,0.7365,5809,2011
18,2011-07-27 00:00:00,0.7365,0.7652,0.6409,0.7652,9733,2011
19,2011-07-29 00:00:00,0.7652,0.7652,0.7652,0.7652,1046,2011
20,2011-08-01 00:00:00,0.6696,0.7748,0.66,0.727,19361,2011
21,2011-08-02 00:00:00,0.727,0.727,0.727,0.727,53,2011
22,2011-08-05 00:00:00,0.6791,0.6791,0.6791,0.6791,3136,2011
23,2011-08-10 00:00:00,0.47827,0.6218,0.47827,0.49737,74300,2011
24,2011-08-11 00:00:00,0.49737,0.5835,0.46867,0.5739,80561,2011
25,2011-08-12 00:00:00,0.5739,0.6887,0.5739,0.6887,8676,2011
26,2011-08-16 00:00:00,0.7078,0.8226,0.7078,0.8226,4457,2011
27,2011-08-17 00:00:00,0.8417,0.8608,0.7652,0.8322,41191,2011
28,2011-08-18 00:00:00,0.7174,0.813,0.7078,0.813,2101,2011
29,2011-08-19 00:00:00,0.8035,0.8035,0.8035,0.8035,10,2011
30,2011-08-23 00:00:00,0.813,0.8322,0.813,0.8226,2356,2011
31,2011-08-24 00:00:00,0.7652,0.813,0.7652,0.813,42342,2011
32,2011-08-29 00:00:00,0.8035,0.8035,0.6218,0.7652,2040,2011
33,2011-08-30 00:00:00,0.7652,0.8035,0.7652,0.8035,1046,2011
34,2011-09-14 00:00:00,0.7652,0.8035,0.7652,0.8035,5227,2011
35,2011-09-16 00:00:00,0.6696,0.8035,0.6696,0.8035,941,2011
36,2011-09-19 00:00:00,0.8035,0.8608,0.8035,0.8608,571,2011
37,2011-09-20 00:00:00,0.8608,0.8608,0.8608,0.8608,1046,2011
38,2011-09-22 00:00:00,0.8417,0.8417,0.8417,0.8417,16,2011
39,2011-09-28 00:00:00,0.8513,0.8991,0.813,0.8991,11163,2011
40,2011-09-29 00:00:00,0.813,0.9374,0.813,0.9182,14982,2011
41,2011-09-30 00:00:00,0.9182,1.0044,0.8417,0.9278,35057,2011
42,2011-10-03 00:00:00,0.9278,1.0044,0.9278,1.0044,7951,2011
43,2011-10-04 00:00:00,0.9947,1.0044,0.9947,1.0044,522,2011
44,2011-10-05 00:00:00,0.9756,1.0044,0.9756,1.0044,24149,2011
45,2011-10-06 00:00:00,1.0235,1.0235,1.0235,1.0235,104,2011
46,2011-10-17 00:00:00,0.8608,1.0235,0.8608,1.0235,2830,2011
47,2011-10-18 00:00:00,0.8608,0.9947,0.8608,0.9947,7371,2011
48,2011-10-19 00:00:00,0.9852,1.0044,0.9852,1.0044,17,2011
49,2011-10-20 00:00:00,0.8608,1.0044,0.8608,1.0044,3189,2011
50,2011-10-24 00:00:00,0.8322,0.9947,0.8322,0.9947,2471,2011
51,2011-10-25 00:00:00,0.9947,0.9947,0.9947,0.9947,104,2011
52,2011-10-27 00:00:00,0.813,0.9947,0.813,0.9947,4705,2011
53,2011-10-31 00:00:00,1.0235,1.0235,1.0235,1.0235,1,2011
54,2011-11-04 00:00:00,1.0235,1.0235,1.0235,1.0235,16,2011
55,2011-11-07 00:00:00,0.8608,1.0044,0.8608,1.0044,811,2011
