,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2015-04-16 00:00:00,10.3,11.4,7.25,7.27,32041,2015
1,2015-04-17 00:00:00,7.3,7.84,7.25,7.48,10065,2015
2,2015-04-20 00:00:00,7.48,7.48,6.8,7.25,4080,2015
3,2015-04-21 00:00:00,7.15,7.15,6.78,6.8,490,2015
4,2015-04-22 00:00:00,6.76,7.08,6.76,7.08,1683,2015
5,2015-04-23 00:00:00,7.1,7.1,6.8,7.08,337,2015
6,2015-04-24 00:00:00,6.56,7.0,6.56,7.0,445,2015
7,2015-04-27 00:00:00,7.05,7.25,6.57,6.8,1166,2015
8,2015-04-28 00:00:00,6.57,6.57,6.4,6.4,920,2015
9,2015-04-29 00:00:00,6.4,6.4,6.35,6.35,119,2015
10,2015-04-30 00:00:00,6.35,6.35,5.55,6.15,1038,2015
11,2015-05-04 00:00:00,5.72,5.72,5.0,5.25,1131,2015
12,2015-05-05 00:00:00,5.84,5.84,4.99,5.5,953,2015
13,2015-05-06 00:00:00,5.7,6.83,5.7,6.83,1068,2015
14,2015-05-07 00:00:00,7.0,7.0,5.65,5.93,1184,2015
15,2015-05-08 00:00:00,6.15,6.25,5.83,6.25,108,2015
16,2015-05-11 00:00:00,5.83,6.4,5.83,6.31,182,2015
17,2015-05-12 00:00:00,6.6,6.75,6.6,6.75,30,2015
18,2015-05-13 00:00:00,6.75,6.75,6.75,6.75,2,2015
19,2015-05-14 00:00:00,6.78,6.78,5.7,6.6,103,2015
20,2015-05-15 00:00:00,6.0,6.0,5.7,5.7,100,2015
21,2015-05-18 00:00:00,5.7,6.05,5.7,6.05,212,2015
22,2015-05-20 00:00:00,6.1,6.1,5.95,5.95,114,2015
23,2015-05-27 00:00:00,5.95,5.95,5.7,5.7,360,2015
24,2015-05-28 00:00:00,5.7,6.37,5.7,6.12,363,2015
25,2015-06-02 00:00:00,6.25,6.37,6.24,6.24,333,2015
26,2015-06-03 00:00:00,6.5,6.5,6.2,6.2,180,2015
27,2015-06-05 00:00:00,6.0,6.0,5.9,5.9,150,2015
28,2015-06-09 00:00:00,5.9,5.9,5.0,5.27,1178,2015
29,2015-06-10 00:00:00,5.27,5.27,5.1,5.1,226,2015
30,2015-06-12 00:00:00,5.0,5.0,5.0,5.0,10,2015
31,2015-06-15 00:00:00,5.0,5.0,5.0,5.0,33,2015
32,2015-06-16 00:00:00,5.0,5.0,5.0,5.0,43,2015
33,2015-06-17 00:00:00,5.0,5.0,5.0,5.0,3,2015
34,2015-06-18 00:00:00,5.0,5.0,5.0,5.0,5,2015
35,2015-06-19 00:00:00,5.0,5.0,4.0,4.0,2391,2015
36,2015-06-22 00:00:00,3.69,4.21,3.69,3.96,763,2015
37,2015-06-23 00:00:00,3.75,3.75,3.59,3.59,216,2015
38,2015-06-24 00:00:00,3.6,3.6,3.59,3.59,493,2015
39,2015-06-25 00:00:00,3.59,3.59,3.59,3.59,10,2015
40,2015-06-26 00:00:00,3.59,3.59,3.59,3.59,10,2015
41,2015-06-29 00:00:00,3.59,3.59,3.59,3.59,20,2015
42,2015-06-30 00:00:00,3.59,3.59,3.59,3.59,4,2015
43,2015-07-01 00:00:00,3.59,3.59,3.59,3.59,3,2015
44,2015-07-02 00:00:00,3.59,3.59,3.59,3.59,3,2015
45,2015-07-03 00:00:00,3.59,3.59,3.59,3.59,105,2015
46,2015-07-06 00:00:00,3.59,3.59,3.59,3.59,10,2015
47,2015-07-07 00:00:00,3.59,3.59,3.59,3.59,10,2015
48,2015-07-08 00:00:00,3.59,3.59,3.59,3.59,10,2015
49,2015-07-09 00:00:00,3.58,3.58,3.58,3.58,10,2015
50,2015-07-10 00:00:00,3.58,3.59,3.58,3.59,480,2015
51,2015-07-13 00:00:00,3.59,3.59,3.59,3.59,3,2015
52,2015-07-14 00:00:00,3.59,3.59,3.59,3.59,3,2015
53,2015-07-15 00:00:00,3.59,3.59,3.59,3.59,3,2015
54,2015-07-16 00:00:00,3.59,3.59,3.59,3.59,4,2015
55,2015-07-17 00:00:00,3.59,3.59,3.59,3.59,3,2015
