,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-04-15 00:00:00,9.49,9.49,6.92,6.92,59853,2008
1,2008-04-16 00:00:00,7.2,7.2,6.24,6.5,8499,2008
2,2008-04-17 00:00:00,6.48,6.48,5.8,5.99,6225,2008
3,2008-04-18 00:00:00,5.99,7.03,5.99,6.8,19026,2008
4,2008-04-21 00:00:00,6.85,6.98,6.62,6.84,6658,2008
5,2008-04-22 00:00:00,6.97,6.97,6.25,6.42,2203,2008
6,2008-04-23 00:00:00,6.42,6.42,5.7,6.0,1533,2008
7,2008-04-24 00:00:00,6.0,6.0,5.6,5.95,1886,2008
8,2008-04-25 00:00:00,6.0,6.39,5.6,6.39,984,2008
9,2008-04-28 00:00:00,6.39,7.0,6.3,7.0,3718,2008
10,2008-04-29 00:00:00,6.7,6.98,6.7,6.98,205,2008
11,2008-04-30 00:00:00,6.98,6.98,6.6,6.6,721,2008
12,2008-05-05 00:00:00,6.86,6.86,6.1,6.69,1295,2008
13,2008-05-06 00:00:00,6.6,7.07,6.51,6.79,2762,2008
14,2008-05-07 00:00:00,6.79,6.81,6.55,6.81,863,2008
15,2008-05-08 00:00:00,6.8,6.8,6.63,6.79,628,2008
16,2008-05-09 00:00:00,6.63,6.63,6.6,6.6,75,2008
17,2008-05-12 00:00:00,6.57,6.57,6.11,6.55,185,2008
18,2008-05-13 00:00:00,6.8,6.8,6.8,6.8,5,2008
19,2008-05-14 00:00:00,6.6,6.6,6.59,6.6,265,2008
20,2008-05-15 00:00:00,6.6,6.6,6.6,6.6,5,2008
21,2008-05-16 00:00:00,6.5,6.5,6.5,6.5,5,2008
22,2008-05-19 00:00:00,6.02,6.02,5.0,5.94,4139,2008
23,2008-05-20 00:00:00,5.5,5.5,4.86,4.86,3584,2008
24,2008-05-21 00:00:00,4.99,4.99,4.31,4.93,1344,2008
25,2008-05-23 00:00:00,4.5,5.5,4.5,5.5,1542,2008
26,2008-05-26 00:00:00,5.54,5.54,5.01,5.54,270,2008
27,2008-05-27 00:00:00,5.48,5.48,4.91,5.45,305,2008
28,2008-05-28 00:00:00,5.29,5.48,4.36,4.7,4739,2008
29,2008-05-29 00:00:00,4.7,4.7,4.03,4.37,3626,2008
30,2008-05-30 00:00:00,3.92,4.5,3.5,4.14,17883,2008
